date,kaf
31.10.1921,0.55999685
30.11.1921,0.559996884
31.12.1921,0.55999685
31.01.1922,0.075187671
28.02.1922,0.09669697
31.03.1922,0.817900934
30.04.1922,0.701146755
31.05.1922,0.859188872
30.06.1922,0.366660241
31.07.1922,0
31.08.1922,0
30.09.1922,0
31.10.1922,0.306462273
30.11.1922,0.309198562
31.12.1922,0.309198543
31.01.1923,1.799092218
28.02.1923,1.625345516
31.03.1923,1.549057183
30.04.1923,1.687479448
31.05.1923,0.83665105
30.06.1923,0.737462491
31.07.1923,0.638273843
31.08.1923,0.638273843
30.09.1923,0.638273881
31.10.1923,0.686250741
30.11.1923,0.686250783
31.12.1923,0.685472007
31.01.1924,0
29.02.1924,0
31.03.1924,0
30.04.1924,0
31.05.1924,1.751458183
30.06.1924,0
31.07.1924,0
31.08.1924,0
30.09.1924,0
31.10.1924,0
30.11.1924,0
31.12.1924,0
31.01.1925,0.324019777
28.02.1925,0.049503027
31.03.1925,0.346521156
30.04.1925,0
31.05.1925,1.792445363
30.06.1925,0
31.07.1925,0
31.08.1925,0
30.09.1925,0
31.10.1925,0
30.11.1925,0
31.12.1925,0
31.01.1926,0.081877137
28.02.1926,0.081877139
31.03.1926,0.741391112
30.04.1926,0.081877141
31.05.1926,1.409708621
30.06.1926,0.648531366
31.07.1926,0.081877123
31.08.1926,0.081877129
30.09.1926,0.081877135
31.10.1926,0.473621423
30.11.1926,0.477850215
31.12.1926,0.477850186
31.01.1927,1.100095192
28.02.1927,1.260191676
31.03.1927,1.836263851
30.04.1927,0.53473517
31.05.1927,2.058340518
30.06.1927,1.029170321
31.07.1927,0
31.08.1927,0
30.09.1927,0
31.10.1927,0.518636981
30.11.1927,0.518637012
31.12.1927,0.510533278
31.01.1928,0.382108766
29.02.1928,1.695748142
31.03.1928,1.481310471
30.04.1928,1.767399308
31.05.1928,1.315029719
30.06.1928,0.83166434
31.07.1928,0.34829886
31.08.1928,0.34829886
30.09.1928,0.348298881
31.10.1928,0.590786956
30.11.1928,0.590786992
31.12.1928,0.586987987
31.01.1929,0
28.02.1929,0
31.03.1929,0
30.04.1929,0
31.05.1929,2.357875304
30.06.1929,0
31.07.1929,0
31.08.1929,0
30.09.1929,0
31.10.1929,0
30.11.1929,0
31.12.1929,0
31.01.1930,0.025945452
28.02.1930,0.003963889
31.03.1930,0.003963889
30.04.1930,0.003963889
31.05.1930,2.820034924
30.06.1930,0.003963889
31.07.1930,0.003963889
31.08.1930,0.003963889
30.09.1930,0.003963889
31.10.1930,0
30.11.1930,0
31.12.1930,0
31.01.1931,0.128635359
28.02.1931,0.128635348
31.03.1931,0.128635321
30.04.1931,0.128635321
31.05.1931,2.066968221
30.06.1931,0.128635312
31.07.1931,0.128635299
31.08.1931,0.128635293
30.09.1931,0.128635295
31.10.1931,0
30.11.1931,0
31.12.1931,0
31.01.1932,0.358591633
29.02.1932,0.308910875
31.03.1932,0.016905031
30.04.1932,0.016905031
31.05.1932,1.454521983
30.06.1932,0.01690503
31.07.1932,0.016905029
31.08.1932,0.016905028
30.09.1932,0.016905028
31.10.1932,0
30.11.1932,0
31.12.1932,0
31.01.1933,0.06566892
28.02.1933,0.065668913
31.03.1933,0.065668908
30.04.1933,0.245245153
31.05.1933,1.192320924
30.06.1933,0.508824884
31.07.1933,0
31.08.1933,0
30.09.1933,0
31.10.1933,0
30.11.1933,0.641726906
31.12.1933,0.641726867
31.01.1934,0.022513098
28.02.1934,0.022513099
31.03.1934,0.022513095
30.04.1934,0.022513099
31.05.1934,0.893318663
30.06.1934,0.022513101
31.07.1934,0.022513101
31.08.1934,0.0225131
30.09.1934,0.022513101
31.10.1934,0
30.11.1934,0
31.12.1934,0
31.01.1935,0.039777543
28.02.1935,0.039777546
31.03.1935,0.039777544
30.04.1935,1.09139689
31.05.1935,1.689306582
30.06.1935,1.203360838
31.07.1935,0.916302686
31.08.1935,0.916302686
30.09.1935,0.916302741
31.10.1935,1.058078373
30.11.1935,0
31.12.1935,0
31.01.1936,0
29.02.1936,0
31.03.1936,1.760658545
30.04.1936,0.411658749
31.05.1936,2.300585238
30.06.1936,1.150292689
31.07.1936,0
31.08.1936,0
30.09.1936,0
31.10.1936,0.579675021
30.11.1936,0.579675056
31.12.1936,0.570617598
31.01.1937,0
28.02.1937,0
31.03.1937,0
30.04.1937,2.779861101
31.05.1937,2.216510261
30.06.1937,1.108255198
31.07.1937,0
31.08.1937,0
30.09.1937,0
31.10.1937,0.558490774
30.11.1937,0.558490808
31.12.1937,0.549764356
31.01.1938,0.406547922
28.02.1938,0.386815275
31.03.1938,1.003740955
30.04.1938,1.212696182
31.05.1938,1.212696108
30.06.1938,1.212696182
31.07.1938,1.212696108
31.08.1938,1.212696108
30.09.1938,1.212696182
31.10.1938,1.208882598
30.11.1938,1.208882672
31.12.1938,1.208882598
31.01.1939,0.095740022
28.02.1939,0.048583686
31.03.1939,0.157421529
30.04.1939,2.776876852
31.05.1939,2.214130783
30.06.1939,1.107065459
31.07.1939,0
31.08.1939,0
30.09.1939,0
31.10.1939,0
30.11.1939,0
31.12.1939,1.664956612
31.01.1940,0
29.02.1940,0
31.03.1940,0.737121516
30.04.1940,2.159565386
31.05.1940,1.721920148
30.06.1940,0.860960126
31.07.1940,0
31.08.1940,0
30.09.1940,0
31.10.1940,0.433869644
30.11.1940,0.43386967
31.12.1940,0.42709043
31.01.1941,0.144333451
28.02.1941,0.355892732
31.03.1941,1.327211785
30.04.1941,1.281893899
31.05.1941,1.086989043
30.06.1941,1.086989109
31.07.1941,1.086989043
31.08.1941,1.086989043
30.09.1941,1.086989109
31.10.1941,1.083570839
30.11.1941,1.083570904
31.12.1941,1.083570839
31.01.1942,0.508637861
28.02.1942,0.383918783
31.03.1942,1.325030733
30.04.1942,0.37002561
31.05.1942,1.512044398
30.06.1942,1.037913411
31.07.1942,0.563782299
31.08.1942,0.563782299
30.09.1942,0.563782333
31.10.1942,0.800938828
30.11.1942,0.800938877
31.12.1942,0.797213771
31.01.1943,0.236953581
28.02.1943,0.39017583
31.03.1943,1.528270153
30.04.1943,0.89809444
31.05.1943,0.898094386
30.06.1943,0.89809444
31.07.1943,0.898094386
31.08.1943,0.898094386
30.09.1943,0.89809444
31.10.1943,0.89527019
30.11.1943,0.895270244
31.12.1943,0.89527019
31.01.1944,0
29.02.1944,0
31.03.1944,0
30.04.1944,0.18321043
31.05.1944,2.540630752
30.06.1944,0.084076019
31.07.1944,0
31.08.1944,0
30.09.1944,0
31.10.1944,0.070272489
30.11.1944,0.070899927
31.12.1944,0.070899922
31.01.1945,0.640329039
28.02.1945,0.571315825
31.03.1945,1.766018782
30.04.1945,2.22718436
31.05.1945,1.793049543
30.06.1945,0.938151838
31.07.1945,0.083254019
31.08.1945,0.083254019
30.09.1945,0.083254024
31.10.1945,0.513805686
30.11.1945,0.513805717
31.12.1945,0.507077651
31.01.1946,0.651926119
28.02.1946,0.538811868
31.03.1946,1.442284002
30.04.1946,1.844960035
31.05.1946,1.406896499
30.06.1946,0.78235873
31.07.1946,0.157820866
31.08.1946,0.157820866
30.09.1946,0.157820876
31.10.1946,0.472050565
30.11.1946,0.472050594
31.12.1946,0.467138127
31.01.1947,0
28.02.1947,0
31.03.1947,0
30.04.1947,2.70773748
31.05.1947,2.159002803
30.06.1947,1.079501467
31.07.1947,0
31.08.1947,0
30.09.1947,0
31.10.1947,0.544000706
30.11.1947,0
31.12.1947,1.079501402
31.01.1948,0
29.02.1948,0
31.03.1948,0
30.04.1948,0
31.05.1948,1.428983048
30.06.1948,3.17E-15
31.07.1948,0
31.08.1948,0
30.09.1948,0
31.10.1948,0.711771754
30.11.1948,0.718126903
31.12.1948,0.718126859
31.01.1949,0.987881488
28.02.1949,0.150926371
31.03.1949,0.150926343
30.04.1949,0.291586052
31.05.1949,2.799093842
30.06.1949,0.215475666
31.07.1949,0.15092633
31.08.1949,0.150926359
30.09.1949,0.15092639
31.10.1949,0.053951664
30.11.1949,0.054433379
31.12.1949,0.054433376
31.01.1950,0.153593158
28.02.1950,0.153593163
31.03.1950,0.153593148
30.04.1950,1.268883229
31.05.1950,1.946098054
30.06.1950,0.502769968
31.07.1950,0
31.08.1950,0
30.09.1950,0
31.10.1950,0.42022562
30.11.1950,0.42397766
31.12.1950,1.778970032
31.01.1951,3.329272204
28.02.1951,2.164801138
31.03.1951,1.077114533
30.04.1951,1.634425159
31.05.1951,0.953265363
30.06.1951,0.740401017
31.07.1951,0.52753658
31.08.1951,0.52753658
30.09.1951,0.527536612
31.10.1951,0.633146444
30.11.1951,0.633146482
31.12.1951,0.63147473
31.01.1952,0.591025659
29.02.1952,0.83615568
31.03.1952,1.149405076
30.04.1952,1.430140647
31.05.1952,0.905386987
30.06.1952,0.905387042
31.07.1952,0.905386987
31.08.1952,0.905386987
30.09.1952,0.905387042
31.10.1952,0.902539858
30.11.1952,0.902539913
31.12.1952,0.902539858
31.01.1953,0.910134269
28.02.1953,0.633330835
31.03.1953,1.415931834
30.04.1953,1.441266
31.05.1953,1.355894842
30.06.1953,0.677947462
31.07.1953,0
31.08.1953,0
30.09.1953,0
31.10.1953,0.341642795
30.11.1953,0.341642816
31.12.1953,0.336304626
31.01.1954,0.060987713
28.02.1954,0.523452818
31.03.1954,1.53048223
30.04.1954,1.994844496
31.05.1954,1.738659417
30.06.1954,0.876864795
31.07.1954,0.015070068
31.08.1954,0.015070068
30.09.1954,0.015070068
31.10.1954,0.449312667
30.11.1954,0.449312695
31.12.1954,0.442527602
31.01.1955,0
28.02.1955,0
31.03.1955,0
30.04.1955,0
31.05.1955,2.674138723
30.06.1955,0
31.07.1955,0
31.08.1955,0
30.09.1955,0
31.10.1955,0
30.11.1955,0
31.12.1955,0
31.01.1956,1.03554008
29.02.1956,1.398604302
31.03.1956,2.331921805
30.04.1956,0.90328745
31.05.1956,0.935048467
30.06.1956,0.935048524
31.07.1956,0.935048467
31.08.1956,0.935048467
30.09.1956,0.935048524
31.10.1956,0.932108063
30.11.1956,0.93210812
31.12.1956,0.932108063
31.01.1957,0
28.02.1957,0
31.03.1957,1.559238724
30.04.1957,1.927054026
31.05.1957,1.688485415
30.06.1957,0.844242759
31.07.1957,0
31.08.1957,0
30.09.1957,0
31.10.1957,0.425445144
30.11.1957,0.42544517
31.12.1957,0.418797564
31.01.1958,0.342703098
28.02.1958,0.611997631
31.03.1958,1.333560221
30.04.1958,1.059979108
31.05.1958,1.170341196
30.06.1958,1.170341267
31.07.1958,1.170341196
31.08.1958,1.170341196
30.09.1958,1.170341267
31.10.1958,1.166660878
30.11.1958,1.166660949
31.12.1958,1.166660878
31.01.1959,0
28.02.1959,0.263295443
31.03.1959,1.487719001
30.04.1959,0.497484129
31.05.1959,0.604575353
30.06.1959,0.25800351
31.07.1959,0
31.08.1959,0
30.09.1959,0
31.10.1959,0.215644712
30.11.1959,0.217570124
31.12.1959,0.217570111
31.01.1960,0.256526823
29.02.1960,0.247681082
31.03.1960,0.256526811
30.04.1960,2.513809095
31.05.1960,1.069266624
30.06.1960,0.456311262
31.07.1960,0
31.08.1960,0
30.09.1960,0
31.10.1960,0.381394465
30.11.1960,0.384799796
31.12.1960,0.384799772
31.01.1961,0.019687304
28.02.1961,0.003007783
31.03.1961,0.003007782
30.04.1961,0.003007782
31.05.1961,2.933166957
30.06.1961,0.003007782
31.07.1961,0.003007782
31.08.1961,0.003007782
30.09.1961,0.003007782
31.10.1961,0
30.11.1961,0
31.12.1961,0
31.01.1962,0.54207947
28.02.1962,0.082817702
31.03.1962,1.251765318
30.04.1962,0.846252068
31.05.1962,0.91001073
30.06.1962,0.388348552
31.07.1962,0
31.08.1962,0
30.09.1962,0
31.10.1962,0.324589815
30.11.1962,0.327487958
31.12.1962,0.327487938
31.01.1963,1.47639849
28.02.1963,1.325240671
31.03.1963,1.847053567
30.04.1963,0.493893488
31.05.1963,2.176116488
30.06.1963,1.08805831
31.07.1963,0
31.08.1963,0
30.09.1963,0
31.10.1963,0.548312816
30.11.1963,0.548312849
31.12.1963,0.539745428
31.01.1964,0.202084552
29.02.1964,0.450110265
31.03.1964,0.685444427
30.04.1964,2.263855069
31.05.1964,1.843077579
30.06.1964,0.921538845
31.07.1964,0
31.08.1964,0
30.09.1964,0
31.10.1964,0.4643975
30.11.1964,0.464397528
31.12.1964,0.457141289
31.01.1965,0.22448252
28.02.1965,0.259967917
31.03.1965,0.637236723
30.04.1965,0.553252039
31.05.1965,0.592119042
30.06.1965,0.252687759
31.07.1965,0
31.08.1965,0
30.09.1965,0
31.10.1965,0.211201697
30.11.1965,0.213087439
31.12.1965,0.213087426
31.01.1966,1.770192667
28.02.1966,0.806683475
31.03.1966,1.075310531
30.04.1966,1.470892585
31.05.1966,0.926110227
30.06.1966,0.75502727
31.07.1966,0.583944222
31.08.1966,0.583944222
30.09.1966,0.583944257
31.10.1966,0.668321745
30.11.1966,0.668321785
31.12.1966,0.666978328
31.01.1967,0
28.02.1967,0.433921853
31.03.1967,1.539056343
30.04.1967,0.591649813
31.05.1967,1.030078229
30.06.1967,1.030078291
31.07.1967,1.030078229
31.08.1967,1.030078229
30.09.1967,1.030078291
31.10.1967,1.026838989
30.11.1967,1.026839052
31.12.1967,1.026838989
31.01.1968,0.500538813
29.02.1968,0.698738087
31.03.1968,1.434042784
30.04.1968,1.788879114
31.05.1968,1.426355047
30.06.1968,0.713177567
31.07.1968,0
31.08.1968,0
30.09.1968,0
31.10.1968,0.359396547
30.11.1968,0.359396569
31.12.1968,0.353780976
31.01.1969,0
28.02.1969,0.944892177
31.03.1969,1.037352454
30.04.1969,1.192103434
31.05.1969,1.192103362
30.06.1969,1.192103434
31.07.1969,1.192103362
31.08.1969,1.192103362
30.09.1969,1.192103434
31.10.1969,1.188354609
30.11.1969,1.188354681
31.12.1969,1.188354609
31.01.1970,2.037847474
28.02.1970,2.179844834
31.03.1970,1.098361915
30.04.1970,1.670768197
31.05.1970,0.97930022
30.06.1970,0.755235104
31.07.1970,0.531169897
31.08.1970,0.531169897
30.09.1970,0.531169929
31.10.1970,0.642412752
30.11.1970,0.642412791
31.12.1970,0.640653039
31.01.1971,0.558726676
28.02.1971,0.387313773
31.03.1971,1.336477959
30.04.1971,0.363299325
31.05.1971,0.498865216
30.06.1971,0.212891538
