date,kaf
1921-10-31,29.126
1921-11-30,2.058
1921-12-31,0.784
1922-01-31,7.158
1922-02-28,4.413
1922-03-31,52.675
1922-04-30,50
1922-05-31,104.349
1922-06-30,131.53
1922-07-31,146.992
1922-08-31,116.691
1922-09-30,25.978
1922-10-31,29.126
1922-11-30,2.058
1922-12-31,0.784
1923-01-31,7.158
1923-02-28,4.413
1923-03-31,52.675
1923-04-30,50
1923-05-31,104.349
1923-06-30,131.53
1923-07-31,146.992
1923-08-31,116.691
1923-09-30,25.978
1923-10-31,29.126
1923-11-30,2.058
1923-12-31,0.784
1924-01-31,7.158
1924-02-29,4.413
1924-03-31,52.675
1924-04-30,50
1924-05-31,104.349
1924-06-30,131.53
1924-07-31,146.992
1924-08-31,116.691
1924-09-30,25.978
1924-10-31,29.126
1924-11-30,2.058
1924-12-31,0.784
1925-01-31,7.158
1925-02-28,4.413
1925-03-31,52.675
1925-04-30,50
1925-05-31,104.349
1925-06-30,131.53
1925-07-31,146.992
1925-08-31,116.691
1925-09-30,25.978
1925-10-31,29.126
1925-11-30,2.058
1925-12-31,0.784
1926-01-31,7.158
1926-02-28,4.413
1926-03-31,52.675
1926-04-30,50
1926-05-31,104.349
1926-06-30,131.53
1926-07-31,146.992
1926-08-31,116.691
1926-09-30,25.978
1926-10-31,29.126
1926-11-30,2.058
1926-12-31,0.784
1927-01-31,7.158
1927-02-28,4.413
1927-03-31,52.675
1927-04-30,50
1927-05-31,104.349
1927-06-30,131.53
1927-07-31,146.992
1927-08-31,116.691
1927-09-30,25.978
1927-10-31,29.126
1927-11-30,2.058
1927-12-31,0.784
1928-01-31,7.158
1928-02-29,4.413
1928-03-31,52.675
1928-04-30,50
1928-05-31,104.349
1928-06-30,131.53
1928-07-31,146.992
1928-08-31,116.691
1928-09-30,25.978
1928-10-31,29.126
1928-11-30,2.058
1928-12-31,0.784
1929-01-31,7.158
1929-02-28,4.413
1929-03-31,52.675
1929-04-30,50
1929-05-31,104.349
1929-06-30,131.53
1929-07-31,146.992
1929-08-31,116.691
1929-09-30,25.978
1929-10-31,29.126
1929-11-30,2.058
1929-12-31,0.784
1930-01-31,7.158
1930-02-28,4.413
1930-03-31,52.675
1930-04-30,50
1930-05-31,104.349
1930-06-30,131.53
1930-07-31,146.992
1930-08-31,116.691
1930-09-30,25.978
1930-10-31,29.126
1930-11-30,2.058
1930-12-31,0.784
1931-01-31,7.158
1931-02-28,4.413
1931-03-31,52.675
1931-04-30,50
1931-05-31,104.349
1931-06-30,131.53
1931-07-31,146.992
1931-08-31,116.691
1931-09-30,25.978
1931-10-31,29.126
1931-11-30,2.058
1931-12-31,0.784
1932-01-31,7.158
1932-02-29,4.413
1932-03-31,52.675
1932-04-30,50
1932-05-31,104.349
1932-06-30,131.53
1932-07-31,146.463
1932-08-31,116.691
1932-09-30,25.978
1932-10-31,29.126
1932-11-30,2.058
1932-12-31,0.784
1933-01-31,7.158
1933-02-28,4.413
1933-03-31,52.675
1933-04-30,50
1933-05-31,104.349
1933-06-30,131.53
1933-07-31,143.786
1933-08-31,116.691
1933-09-30,25.978
1933-10-31,29.126
1933-11-30,2.058
1933-12-31,0.784
1934-01-31,7.158
1934-02-28,4.413
1934-03-31,52.675
1934-04-30,50
1934-05-31,104.349
1934-06-30,131.53
1934-07-31,143.786
1934-08-31,116.691
1934-09-30,25.978
1934-10-31,29.126
1934-11-30,2.058
1934-12-31,0.784
1935-01-31,7.158
1935-02-28,4.413
1935-03-31,52.675
1935-04-30,50
1935-05-31,104.349
1935-06-30,131.53
1935-07-31,143.786
1935-08-31,116.691
1935-09-30,25.978
1935-10-31,29.126
1935-11-30,2.058
1935-12-31,0.784
1936-01-31,7.158
1936-02-29,4.413
1936-03-31,52.675
1936-04-30,50
1936-05-31,104.349
1936-06-30,131.53
1936-07-31,143.786
1936-08-31,116.691
1936-09-30,25.978
1936-10-31,29.126
1936-11-30,2.058
1936-12-31,0.784
1937-01-31,7.158
1937-02-28,4.413
1937-03-31,52.675
1937-04-30,50
1937-05-31,104.349
1937-06-30,131.53
1937-07-31,143.786
1937-08-31,116.691
1937-09-30,25.978
1937-10-31,29.126
1937-11-30,2.058
1937-12-31,0.784
1938-01-31,7.158
1938-02-28,4.413
1938-03-31,52.675
1938-04-30,50
1938-05-31,104.349
1938-06-30,131.53
1938-07-31,143.786
1938-08-31,116.691
1938-09-30,25.978
1938-10-31,29.126
1938-11-30,2.058
1938-12-31,0.784
1939-01-31,7.158
1939-02-28,4.413
1939-03-31,52.675
1939-04-30,50
1939-05-31,104.349
1939-06-30,131.53
1939-07-31,143.786
1939-08-31,116.691
1939-09-30,25.978
1939-10-31,29.126
1939-11-30,2.058
1939-12-31,0.784
1940-01-31,7.158
1940-02-29,4.413
1940-03-31,52.675
1940-04-30,50
1940-05-31,104.349
1940-06-30,131.53
1940-07-31,143.786
1940-08-31,116.691
1940-09-30,25.978
1940-10-31,29.126
1940-11-30,2.058
1940-12-31,0.784
1941-01-31,7.158
1941-02-28,4.413
1941-03-31,52.675
1941-04-30,50
1941-05-31,104.349
1941-06-30,131.53
1941-07-31,143.786
1941-08-31,116.691
1941-09-30,25.978
1941-10-31,29.126
1941-11-30,2.058
1941-12-31,0.784
1942-01-31,7.158
1942-02-28,4.413
1942-03-31,52.675
1942-04-30,50
1942-05-31,104.349
1942-06-30,131.53
1942-07-31,143.786
1942-08-31,116.691
1942-09-30,25.978
1942-10-31,29.126
1942-11-30,2.058
1942-12-31,0.784
1943-01-31,7.158
1943-02-28,4.413
1943-03-31,52.675
1943-04-30,50
1943-05-31,104.349
1943-06-30,131.53
1943-07-31,143.786
1943-08-31,116.691
1943-09-30,25.978
1943-10-31,29.126
1943-11-30,2.058
1943-12-31,0.784
1944-01-31,7.158
1944-02-29,4.413
1944-03-31,52.675
1944-04-30,50
1944-05-31,104.349
1944-06-30,131.53
1944-07-31,143.786
1944-08-31,116.691
1944-09-30,25.978
1944-10-31,29.126
1944-11-30,2.058
1944-12-31,0.784
1945-01-31,7.158
1945-02-28,4.413
1945-03-31,52.675
1945-04-30,50
1945-05-31,104.349
1945-06-30,131.53
1945-07-31,143.786
1945-08-31,116.691
1945-09-30,25.978
1945-10-31,29.126
1945-11-30,2.058
1945-12-31,0.784
1946-01-31,7.158
1946-02-28,4.413
1946-03-31,52.675
1946-04-30,50
1946-05-31,104.349
1946-06-30,131.53
1946-07-31,143.786
1946-08-31,116.691
1946-09-30,25.978
1946-10-31,29.126
1946-11-30,2.058
1946-12-31,0.784
1947-01-31,7.158
1947-02-28,4.413
1947-03-31,52.675
1947-04-30,50
1947-05-31,104.349
1947-06-30,131.53
1947-07-31,143.786
1947-08-31,116.691
1947-09-30,25.978
1947-10-31,29.126
1947-11-30,2.058
1947-12-31,0.784
1948-01-31,7.158
1948-02-29,4.413
1948-03-31,52.675
1948-04-30,50
1948-05-31,104.349
1948-06-30,131.53
1948-07-31,143.786
1948-08-31,116.691
1948-09-30,25.978
1948-10-31,29.126
1948-11-30,2.058
1948-12-31,0.784
1949-01-31,7.158
1949-02-28,4.413
1949-03-31,52.675
1949-04-30,50
1949-05-31,104.349
1949-06-30,131.53
1949-07-31,146.992
1949-08-31,116.691
1949-09-30,25.978
1949-10-31,29.126
1949-11-30,2.058
1949-12-31,0.784
1950-01-31,7.158
1950-02-28,4.413
1950-03-31,52.675
1950-04-30,50
1950-05-31,104.349
1950-06-30,131.53
1950-07-31,143.786
1950-08-31,116.691
1950-09-30,25.978
1950-10-31,29.126
1950-11-30,2.058
1950-12-31,0.784
1951-01-31,7.158
1951-02-28,4.413
1951-03-31,52.675
1951-04-30,50
1951-05-31,104.349
1951-06-30,131.53
1951-07-31,143.786
1951-08-31,116.691
1951-09-30,25.978
1951-10-31,29.126
1951-11-30,2.058
1951-12-31,0.784
1952-01-31,7.158
1952-02-29,4.413
1952-03-31,52.675
1952-04-30,50
1952-05-31,104.349
1952-06-30,131.53
1952-07-31,143.786
1952-08-31,116.691
1952-09-30,25.978
1952-10-31,29.126
1952-11-30,2.058
1952-12-31,0.784
1953-01-31,7.158
1953-02-28,4.413
1953-03-31,52.675
1953-04-30,50
1953-05-31,104.349
1953-06-30,131.53
1953-07-31,143.786
1953-08-31,116.691
1953-09-30,25.978
1953-10-31,29.126
1953-11-30,2.058
1953-12-31,0.784
1954-01-31,7.158
1954-02-28,4.413
1954-03-31,52.675
1954-04-30,50
1954-05-31,104.349
1954-06-30,131.53
1954-07-31,143.786
1954-08-31,116.691
1954-09-30,25.978
1954-10-31,29.126
1954-11-30,2.058
1954-12-31,0.784
1955-01-31,7.158
1955-02-28,4.413
1955-03-31,52.675
1955-04-30,50
1955-05-31,104.349
1955-06-30,131.53
1955-07-31,143.786
1955-08-31,116.691
1955-09-30,25.978
1955-10-31,29.126
1955-11-30,2.058
1955-12-31,0.784
1956-01-31,7.158
1956-02-29,4.413
1956-03-31,52.675
1956-04-30,50
1956-05-31,104.349
1956-06-30,131.53
1956-07-31,143.786
1956-08-31,116.691
1956-09-30,25.978
1956-10-31,29.126
1956-11-30,2.058
1956-12-31,0.784
1957-01-31,7.158
1957-02-28,4.413
1957-03-31,52.675
1957-04-30,50
1957-05-31,104.349
1957-06-30,131.53
1957-07-31,143.786
1957-08-31,116.691
1957-09-30,25.978
1957-10-31,29.126
1957-11-30,2.058
1957-12-31,0.784
1958-01-31,7.158
1958-02-28,4.413
1958-03-31,52.675
1958-04-30,50
1958-05-31,104.349
