date,kaf
1921-10-31,0.8
1921-11-30,0.0576
1921-12-31,0.0192
1922-01-31,0.1952
1922-02-28,0.1216
1922-03-31,1.4464
1922-04-30,1.3728
1922-05-31,2.8608
1922-06-30,3.6064
1922-07-31,3.9424
1922-08-31,3.2
1922-09-30,0.7136
1922-10-31,0.8
1922-11-30,0.0576
1922-12-31,0.0192
1923-01-31,0.1952
1923-02-28,0.1216
1923-03-31,1.4464
1923-04-30,1.3728
1923-05-31,2.8608
1923-06-30,3.6064
1923-07-31,3.9424
1923-08-31,3.2
1923-09-30,0.7136
1923-10-31,0.8
1923-11-30,0.0576
1923-12-31,0.0192
1924-01-31,0.1952
1924-02-29,0.1216
1924-03-31,1.4464
1924-04-30,1.3728
1924-05-31,2.8608
1924-06-30,3.6064
1924-07-31,3.9424
1924-08-31,3.2
1924-09-30,0.7136
1924-10-31,0.8
1924-11-30,0.0576
1924-12-31,0.0192
1925-01-31,0.1952
1925-02-28,0.1216
1925-03-31,1.4464
1925-04-30,1.3728
1925-05-31,2.8608
1925-06-30,3.6064
1925-07-31,3.9424
1925-08-31,3.2
1925-09-30,0.7136
1925-10-31,0.8
1925-11-30,0.0576
1925-12-31,0.0192
1926-01-31,0.1952
1926-02-28,0.1216
1926-03-31,1.4464
1926-04-30,1.3728
1926-05-31,2.8608
1926-06-30,3.6064
1926-07-31,3.9424
1926-08-31,3.2
1926-09-30,0.7136
1926-10-31,0.8
1926-11-30,0.0576
1926-12-31,0.0192
1927-01-31,0.1952
1927-02-28,0.1216
1927-03-31,1.4464
1927-04-30,1.3728
1927-05-31,2.8608
1927-06-30,3.6064
1927-07-31,3.9424
1927-08-31,3.2
1927-09-30,0.7136
1927-10-31,0.8
1927-11-30,0.0576
1927-12-31,0.0192
1928-01-31,0.1952
1928-02-29,0.1216
1928-03-31,1.4464
1928-04-30,1.3728
1928-05-31,2.8608
1928-06-30,3.6064
1928-07-31,3.9424
1928-08-31,3.2
1928-09-30,0.7136
1928-10-31,0.8
1928-11-30,0.0576
1928-12-31,0.0192
1929-01-31,0.1952
1929-02-28,0.1216
1929-03-31,1.4464
1929-04-30,1.3728
1929-05-31,2.8608
1929-06-30,3.6064
1929-07-31,3.9424
1929-08-31,3.2
1929-09-30,0.7136
1929-10-31,0.8
1929-11-30,0.0576
1929-12-31,0.0192
1930-01-31,0.1952
1930-02-28,0.1216
1930-03-31,1.4464
1930-04-30,1.3728
1930-05-31,2.8608
1930-06-30,3.6064
1930-07-31,3.9424
1930-08-31,3.2
1930-09-30,0.7136
1930-10-31,0.8
1930-11-30,0.0576
1930-12-31,0.0192
1931-01-31,0.1952
1931-02-28,0.1216
1931-03-31,1.4464
1931-04-30,1.3728
1931-05-31,2.8608
1931-06-30,3.6064
1931-07-31,3.9424
1931-08-31,3.2
1931-09-30,0.7136
1931-10-31,0.8
1931-11-30,0.0576
1931-12-31,0.0192
1932-01-31,0.1952
1932-02-29,0.1216
1932-03-31,1.4464
1932-04-30,1.3728
1932-05-31,2.8608
1932-06-30,3.6064
1932-07-31,3.9424
1932-08-31,3.2
1932-09-30,0.7136
1932-10-31,0.8
1932-11-30,0.0576
1932-12-31,0.0192
1933-01-31,0.1952
1933-02-28,0.1216
1933-03-31,1.4464
1933-04-30,1.3728
1933-05-31,2.8608
1933-06-30,3.6064
1933-07-31,3.9424
1933-08-31,3.2
1933-09-30,0.7136
1933-10-31,0.8
1933-11-30,0.0576
1933-12-31,0.0192
1934-01-31,0.1952
1934-02-28,0.1216
1934-03-31,1.4464
1934-04-30,1.3728
1934-05-31,2.8608
1934-06-30,3.6064
1934-07-31,3.9424
1934-08-31,3.2
1934-09-30,0.7136
1934-10-31,0.8
1934-11-30,0.0576
1934-12-31,0.0192
1935-01-31,0.1952
1935-02-28,0.1216
1935-03-31,1.4464
1935-04-30,1.3728
1935-05-31,2.8608
1935-06-30,3.6064
1935-07-31,3.9424
1935-08-31,3.2
1935-09-30,0.7136
1935-10-31,0.8
1935-11-30,0.0576
1935-12-31,0.0192
1936-01-31,0.1952
1936-02-29,0.1216
1936-03-31,1.4464
1936-04-30,1.3728
1936-05-31,2.8608
1936-06-30,3.6064
1936-07-31,3.9424
1936-08-31,3.2
1936-09-30,0.7136
1936-10-31,0.8
1936-11-30,0.0576
1936-12-31,0.0192
1937-01-31,0.1952
1937-02-28,0.1216
1937-03-31,1.4464
1937-04-30,1.3728
1937-05-31,2.8608
1937-06-30,3.6064
1937-07-31,3.9424
1937-08-31,3.2
1937-09-30,0.7136
1937-10-31,0.8
1937-11-30,0.0576
1937-12-31,0.0192
1938-01-31,0.1952
1938-02-28,0.1216
1938-03-31,1.4464
1938-04-30,1.3728
1938-05-31,2.8608
1938-06-30,3.6064
1938-07-31,3.9424
1938-08-31,3.2
1938-09-30,0.7136
1938-10-31,0.8
1938-11-30,0.0576
1938-12-31,0.0192
1939-01-31,0.1952
1939-02-28,0.1216
