date,kaf
1921-09-30,6941
1921-10-31,6912.397
1921-11-30,6883.474
1921-12-31,6871.821
1922-01-31,6869.49
1922-02-28,6850.619
1922-03-31,6871.021
1922-04-30,6865.419
1922-05-31,6890.664
1922-06-30,6954.702
1922-07-31,7015.413
1922-08-31,7043.338
1922-09-30,6995.928
1922-10-31,6966.849
1922-11-30,6937.665
1922-12-31,6925.898
1923-01-31,6923.476
1923-02-28,6904.405
1923-03-31,6924.53
1923-04-30,6918.473
1923-05-31,6943.079
1923-06-30,7006.571
1923-07-31,7066.632
1923-08-31,7093.883
1923-09-30,7045.93
1923-10-31,7016.416
1923-11-30,6986.997
1923-12-31,6975.126
1924-01-31,6972.621
1924-02-29,6953.368
1924-03-31,6973.239
1924-04-30,6966.768
1924-05-31,6990.792
1924-06-30,7053.789
1924-07-31,7113.258
1924-08-31,7139.896
1924-09-30,7091.447
1924-10-31,7061.539
1924-11-30,7031.903
1924-12-31,7019.939
1925-01-31,7017.357
1925-02-28,6997.94
1925-03-31,7017.581
1925-04-30,7010.731
1925-05-31,7034.227
1925-06-30,7096.771
1925-07-31,7155.703
1925-08-31,7181.782
1925-09-30,7132.882
1925-10-31,7102.614
1925-11-30,7072.783
1925-12-31,7060.733
1926-01-31,7058.082
1926-02-28,7038.514
1926-03-31,7057.945
1926-04-30,7050.752
1926-05-31,7073.767
1926-06-30,7135.9
1926-07-31,7194.341
1926-08-31,7219.911
1926-09-30,7170.602
1926-10-31,7140.006
1926-11-30,7109.997
1926-12-31,7097.869
1927-01-31,7095.155
1927-02-28,7075.45
1927-03-31,7094.69
1927-04-30,7087.185
1927-05-31,7109.76
1927-06-30,7171.519
1927-07-31,7229.514
1927-08-31,7254.621
1927-09-30,7204.938
1927-10-31,7174.045
1927-11-30,7143.873
1927-12-31,7131.673
1928-01-31,7128.902
1928-02-29,7109.073
1928-03-31,7128.14
1928-04-30,7120.349
1928-05-31,7142.525
1928-06-30,7203.944
1928-07-31,7261.532
1928-08-31,7286.218
1928-09-30,7236.195
1928-10-31,7205.031
1928-11-30,7174.71
1928-12-31,7162.447
1929-01-31,7159.624
1929-02-28,7139.681
1929-03-31,7158.589
1929-04-30,7150.54
1929-05-31,7172.352
1929-06-30,7233.46
1929-07-31,7290.679
1929-08-31,7314.981
1929-09-30,7264.649
1929-10-31,7233.238
1929-11-30,7202.783
1929-12-31,7190.46
1930-01-31,7187.589
1930-02-28,7167.543
1930-03-31,7186.308
1930-04-30,7178.022
1930-05-31,7199.504
1930-06-30,7260.33
1930-07-31,7317.212
1930-08-31,7341.165
1930-09-30,7290.551
1930-10-31,7258.915
1930-11-30,7228.337
1930-12-31,7215.961
1931-01-31,7213.047
1931-02-28,7192.908
1931-03-31,7211.541
1931-04-30,7203.04
1931-05-31,7224.221
1931-06-30,7284.79
1931-07-31,7341.366
1931-08-31,7365.001
1931-09-30,7314.13
1931-10-31,7282.29
1931-11-30,7251.601
1931-12-31,7239.176
1932-01-31,7236.222
1932-02-29,7215.997
1932-03-31,7234.511
1932-04-30,7225.814
1932-05-31,7246.721
1932-06-30,7307.056
1932-07-31,7363.353
1932-08-31,7386.699
1932-09-30,7335.595
1932-10-31,7303.568
1932-11-30,7272.777
1932-12-31,7260.308
1933-01-31,7257.319
1933-02-28,7237.015
1933-03-31,7255.42
1933-04-30,7246.546
1933-05-31,7267.204
1933-06-30,7327.326
1933-07-31,7383.369
1933-08-31,7406.451
1933-09-30,7355.134
1933-10-31,7322.938
1933-11-30,7292.055
1933-12-31,7279.545
1934-01-31,7276.523
1934-02-28,7256.149
1934-03-31,7274.455
1934-04-30,7265.419
1934-05-31,7285.849
1934-06-30,7345.777
1934-07-31,7401.589
1934-08-31,7424.431
1934-09-30,7372.921
1934-10-31,7340.571
1934-11-30,7309.604
1934-12-31,7297.057
1935-01-31,7294.005
1935-02-28,7273.566
1935-03-31,7291.783
1935-04-30,7282.599
1935-05-31,7302.822
1935-06-30,7362.574
1935-07-31,7418.175
1935-08-31,7440.799
1935-09-30,7389.113
1935-10-31,7356.622
1935-11-30,7325.578
1935-12-31,7312.998
1936-01-31,7309.919
1936-02-29,7289.422
1936-03-31,7307.556
1936-04-30,7298.238
1936-05-31,7318.273
1936-06-30,7377.864
1936-07-31,7433.274
1936-08-31,7455.7
1936-09-30,7403.853
1936-10-31,7371.234
1936-11-30,7340.12
1936-12-31,7327.51
1937-01-31,7324.407
1937-02-28,7303.855
1937-03-31,7321.916
1937-04-30,7312.475
1937-05-31,7332.339
1937-06-30,7391.784
1937-07-31,7447.019
1937-08-31,7469.263
1937-09-30,7417.271
1937-10-31,7384.536
1937-11-30,7353.358
1937-12-31,7340.72
1938-01-31,7337.595
1938-02-28,7316.995
1938-03-31,7334.986
1938-04-30,7325.435
1938-05-31,7345.143
1938-06-30,7404.454
1938-07-31,7459.531
1938-08-31,7481.611
1938-09-30,7429.486
1938-10-31,7396.644
1938-11-30,7365.409
1938-12-31,7352.746
1939-01-31,7349.6
1939-02-28,7328.956
1939-03-31,7346.886
1939-04-30,7337.232
1939-05-31,7356.798
1939-06-30,7415.989
1939-07-31,7470.921
1939-08-31,7492.851
1939-09-30,7440.605
1939-10-31,7407.667
1939-11-30,7376.379
1939-12-31,7363.692
1940-01-31,7360.528
1940-02-29,7339.844
1940-03-31,7357.717
1940-04-30,7347.972
1940-05-31,7367.409
1940-06-30,7426.489
1940-07-31,7481.29
1940-08-31,7503.083
1940-09-30,7450.727
1940-10-31,7417.701
1940-11-30,7386.365
1940-12-31,7373.658
1941-01-31,7370.477
1941-02-28,7349.755
1941-03-31,7367.578
1941-04-30,7357.749
1941-05-31,7377.067
1941-06-30,7436.047
1941-07-31,7490.728
1941-08-31,7512.397
1941-09-30,7459.941
1941-10-31,7426.835
1941-11-30,7395.456
1941-12-31,7382.729
1942-01-31,7379.533
1942-02-28,7358.778
1942-03-31,7376.554
1942-04-30,7366.648
1942-05-31,7385.86
1942-06-30,7444.748
1942-07-31,7499.32
1942-08-31,7520.876
1942-09-30,7468.329
1942-10-31,7435.15
1942-11-30,7403.731
1942-12-31,7390.987
1943-01-31,7387.777
1943-02-28,7366.992
1943-03-31,7384.725
1943-04-30,7374.75
1943-05-31,7393.864
1943-06-30,7452.669
1943-07-31,7507.142
1943-08-31,7528.595
1943-09-30,7475.964
1943-10-31,7442.719
1943-11-30,7411.264
1943-12-31,7398.505
1944-01-31,7395.281
1944-02-29,7374.469
1944-03-31,7392.163
1944-04-30,7382.125
1944-05-31,7401.15
1944-06-30,7459.879
1944-07-31,7514.262
1944-08-31,7535.621
1944-09-30,7482.915
1944-10-31,7449.61
1944-11-30,7418.122
1944-12-31,7405.348
1945-01-31,7402.113
1945-02-28,7381.275
1945-03-31,7398.935
1945-04-30,7388.838
1945-05-31,7407.783
1945-06-30,7466.443
1945-07-31,7520.744
1945-08-31,7542.018
1945-09-30,7489.243
1945-10-31,7455.882
1945-11-30,7424.365
1945-12-31,7411.578
1946-01-31,7408.332
1946-02-28,7387.471
1946-03-31,7405.099
1946-04-30,7394.95
1946-05-31,7413.821
1946-06-30,7472.418
1946-07-31,7526.644
1946-08-31,7547.84
1946-09-30,7495.002
1946-10-31,7461.592
1946-11-30,7430.047
1946-12-31,7417.248
1947-01-31,7413.993
1947-02-28,7393.111
1947-03-31,7410.709
1947-04-30,7400.513
1947-05-31,7419.317
1947-06-30,7477.858
1947-07-31,7532.015
1947-08-31,7553.141
1947-09-30,7500.246
1947-10-31,7466.79
1947-11-30,7435.22
1947-12-31,7422.411
1948-01-31,7419.146
1948-02-29,7398.246
1948-03-31,7415.817
1948-04-30,7405.578
1948-05-31,7424.321
1948-06-30,7482.809
1948-07-31,7536.904
1948-08-31,7557.966
1948-09-30,7505.019
1948-10-31,7471.522
1948-11-30,7439.93
1948-12-31,7427.11
1949-01-31,7423.838
1949-02-28,7402.919
1949-03-31,7420.467
1949-04-30,7410.188
1949-05-31,7428.875
1949-06-30,7487.316
1949-07-31,7541.355
1949-08-31,7562.358
1949-09-30,7509.364
1949-10-31,7475.83
1949-11-30,7444.216
1949-12-31,7431.388
1950-01-31,7428.108
1950-02-28,7407.174
1950-03-31,7424.7
1950-04-30,7414.385
1950-05-31,7433.022
1950-06-30,7491.42
1950-07-31,7545.407
1950-08-31,7566.356
1950-09-30,7513.32
1950-10-31,7479.75
1950-11-30,7448.119
1950-12-31,7435.282
1951-01-31,7431.996
1951-02-28,7411.048
1951-03-31,7428.553
1951-04-30,7418.205
1951-05-31,7436.796
1951-06-30,7495.155
1951-07-31,7549.096
1951-08-31,7569.996
1951-09-30,7516.92
1951-10-31,7483.32
1951-11-30,7451.671
1951-12-31,7438.827
1952-01-31,7435.535
1952-02-29,7414.574
1952-03-31,7432.061
1952-04-30,7421.683
1952-05-31,7440.232
1952-06-30,7498.555
1952-07-31,7552.453
1952-08-31,7573.31
1952-09-30,7520.198
1952-10-31,7486.569
1952-11-30,7454.905
1952-12-31,7442.054
1953-01-31,7438.757
1953-02-28,7417.783
1953-03-31,7435.254
1953-04-30,7424.849
1953-05-31,7443.36
1953-06-30,7501.65
1953-07-31,7555.51
1953-08-31,7576.326
1953-09-30,7523.182
1953-10-31,7489.527
1953-11-30,7457.849
1953-12-31,7444.991
1954-01-31,7441.689
1954-02-28,7420.705
1954-03-31,7438.161
1954-04-30,7427.731
1954-05-31,7446.208
1954-06-30,7504.468
1954-07-31,7558.292
1954-08-31,7579.072
1954-09-30,7525.898
1954-10-31,7492.22
1954-11-30,7460.528
1954-12-31,7447.666
1955-01-31,7444.359
1955-02-28,7423.365
1955-03-31,7440.807
1955-04-30,7430.354
1955-05-31,7448.799
1955-06-30,7507.033
1955-07-31,7560.825
1955-08-31,7581.571
1955-09-30,7528.371
1955-10-31,7494.671
1955-11-30,7462.968
1955-12-31,7450.1
1956-01-31,7446.789
1956-02-29,7425.786
1956-03-31,7443.216
1956-04-30,7432.743
1956-05-31,7451.159
1956-06-30,7509.368
1956-07-31,7563.13
1956-08-31,7583.847
1956-09-30,7530.622
1956-10-31,7496.902
1956-11-30,7465.188
1956-12-31,7452.316
1957-01-31,7449.001
1957-02-28,7427.99
1957-03-31,7445.408
1957-04-30,7434.917
1957-05-31,7453.307
1957-06-30,7511.494
1957-07-31,7565.229
1957-08-31,7585.918
1957-09-30,7532.67
1957-10-31,7498.934
1957-11-30,7467.21
1957-12-31,7454.333
1958-01-31,7451.015
1958-02-28,7429.997
1958-03-31,7447.404
1958-04-30,7436.896
1958-05-31,7455.262
1958-06-30,7513.428
1958-07-31,7567.14
1958-08-31,7587.803
1958-09-30,7534.536
1958-10-31,7500.783
1958-11-30,7469.05
1958-12-31,7456.169
1959-01-31,7452.849
1959-02-28,7431.823
1959-03-31,7449.222
1959-04-30,7438.697
1959-05-31,7457.042
1959-06-30,7515.19
1959-07-31,7568.879
1959-08-31,7589.52
1959-09-30,7536.234
1959-10-31,7502.466
1959-11-30,7470.726
1959-12-31,7457.841
1960-01-31,7454.518
1960-02-29,7433.486
1960-03-31,7450.875
1960-04-30,7440.337
1960-05-31,7458.662
1960-06-30,7516.793
1960-07-31,7570.463
1960-08-31,7591.082
1960-09-30,7537.779
1960-10-31,7503.998
1960-11-30,7472.25
1960-12-31,7459.363
1961-01-31,7456.037
1961-02-28,7435
1961-03-31,7452.381
1961-04-30,7441.83
1961-05-31,7460.137
1961-06-30,7518.253
1961-07-31,7571.904
1961-08-31,7592.504
1961-09-30,7539.187
1961-10-31,7505.393
1961-11-30,7473.639
1961-12-31,7460.749
1962-01-31,7457.419
1962-02-28,7436.377
1962-03-31,7453.752
1962-04-30,7443.189
1962-05-31,7461.479
1962-06-30,7519.582
1962-07-31,7573.216
1962-08-31,7593.799
1962-09-30,7540.467
1962-10-31,7506.663
1962-11-30,7474.902
1962-12-31,7462.009
1963-01-31,7458.678
1963-02-28,7437.631
1963-03-31,7455
1963-04-30,7444.426
1963-05-31,7462.702
1963-06-30,7520.791
1963-07-31,7575.124
1963-08-31,7595.682
1963-09-30,7542.33
1963-10-31,7508.509
1963-11-30,7476.74
1963-12-31,7463.843
1964-01-31,7460.509
1964-02-29,7439.456
1964-03-31,7456.814
1964-04-30,7446.226
1964-05-31,7464.479
1964-06-30,7522.55
1964-07-31,7579.314
1964-08-31,7599.817
1964-09-30,7546.42
1964-10-31,7512.564
1964-11-30,7480.775
1964-12-31,7467.87
1965-01-31,7464.529
1965-02-28,7443.461
1965-03-31,7460.799
1965-04-30,7450.176
1965-05-31,7468.382
1965-06-30,7526.413
1965-07-31,7583.128
1965-08-31,7603.581
1965-09-30,7550.144
1965-10-31,7516.255
1965-11-30,7484.449
1965-12-31,7471.536
1966-01-31,7468.189
1966-02-28,7447.107
1966-03-31,7464.426
1966-04-30,7453.772
1966-05-31,7471.936
1966-06-30,7529.929
1966-07-31,7584.967
1966-08-31,7605.395
1966-09-30,7551.938
1966-10-31,7518.034
1966-11-30,7486.22
1966-12-31,7473.303
1967-01-31,7469.953
1967-02-28,7448.864
1967-03-31,7466.174
1967-04-30,7455.506
1967-05-31,7473.648
1967-06-30,7531.624
1967-07-31,7586.786
1967-08-31,7607.19
1967-09-30,7553.714
1967-10-31,7519.794
1967-11-30,7487.972
1967-12-31,7475.051
1968-01-31,7471.698
1968-02-29,7450.603
1968-03-31,7467.904
1968-04-30,7457.221
1968-05-31,7475.343
1968-06-30,7533.3
1968-07-31,7588.296
1968-08-31,7608.681
1968-09-30,7555.188
1968-10-31,7521.256
1968-11-30,7489.426
1968-12-31,7476.503
1969-01-31,7473.147
1969-02-28,7452.047
1969-03-31,7469.341
1969-04-30,7458.645
1969-05-31,7476.75
1969-06-30,7534.692
1969-07-31,7589.671
1969-08-31,7610.038
1969-09-30,7556.531
1969-10-31,7522.587
1969-11-30,7490.75
1969-12-31,7477.824
1970-01-31,7474.466
1970-02-28,7453.361
1970-03-31,7470.648
1970-04-30,7459.941
1970-05-31,7478.03
1970-06-30,7535.96
1970-07-31,7591.502
1970-08-31,7611.845
1970-09-30,7558.319
1970-10-31,7524.359
1970-11-30,7492.514
1970-12-31,7479.584
1971-01-31,7476.224
1971-02-28,7455.112
1971-03-31,7472.39
1971-04-30,7461.668
1971-05-31,7479.736
1971-06-30,7537.648
1971-07-31,7594.224
