date,kaf
1921-10-31,5.488
1921-11-30,3.327
1921-12-31,431.262
1922-01-31,604.745
1922-02-28,1871.537
1922-03-31,795.437
1922-04-30,842.164
1922-05-31,1654.213
1922-06-30,1104.078
1922-07-31,0
1922-08-31,0
1922-09-30,0
1922-10-31,0
1922-11-30,0
1922-12-31,787.6
1923-01-31,787.478
1923-02-28,0
1923-03-31,0
1923-04-30,260.246
1923-05-31,0
1923-06-30,0
1923-07-31,0
1923-08-31,0
1923-09-30,10.203
1923-10-31,5.488
1923-11-30,0.327
1923-12-31,2.019
1924-01-31,0
1924-02-29,0
1924-03-31,0
1924-04-30,0
1924-05-31,0
1924-06-30,0
1924-07-31,0
1924-08-31,0
1924-09-30,11.203
1924-10-31,2.488
1924-11-30,3.327
1924-12-31,7.019
1925-01-31,0
1925-02-28,3078.824
1925-03-31,0
1925-04-30,230.491
1925-05-31,0
1925-06-30,0
1925-07-31,0
1925-08-31,0
1925-09-30,11.203
1925-10-31,5.488
1925-11-30,3.327
1925-12-31,2.019
1926-01-31,146.696
1926-02-28,2052.868
1926-03-31,0
1926-04-30,0
1926-05-31,0
1926-06-30,0
1926-07-31,9.982
1926-08-31,0
1926-09-30,11.203
1926-10-31,2.488
1926-11-30,473.228
1926-12-31,436.902
1927-01-31,2029.491
1927-02-28,5313.551
1927-03-31,2150.88
1927-04-30,2371.628
1927-05-31,0
1927-06-30,0
1927-07-31,0
1927-08-31,0
1927-09-30,0
1927-10-31,0
1927-11-30,0
1927-12-31,73.605
1928-01-31,448.197
1928-02-29,1267.562
1928-03-31,3709.885
1928-04-30,47.861
1928-05-31,0
1928-06-30,0
1928-07-31,127.383
1928-08-31,0
1928-09-30,0
1928-10-31,0
1928-11-30,0
1928-12-31,6.019
1929-01-31,0
1929-02-28,0
1929-03-31,0
1929-04-30,0
1929-05-31,0
1929-06-30,0
1929-07-31,0
1929-08-31,0
1929-09-30,11.203
1929-10-31,5.488
1929-11-30,0.327
1929-12-31,258.386
1930-01-31,370.347
1930-02-28,44.036
1930-03-31,1055.182
1930-04-30,0
1930-05-31,0
1930-06-30,0
1930-07-31,0
1930-08-31,0
1930-09-30,11.203
1930-10-31,3.488
1930-11-30,1.327
1930-12-31,0.019
1931-01-31,0
1931-02-28,0
1931-03-31,0
1931-04-30,0
1931-05-31,0
1931-06-30,0
1931-07-31,0
1931-08-31,0
1931-09-30,11.203
1931-10-31,5.488
1931-11-30,3.327
1931-12-31,369.989
1932-01-31,455.333
1932-02-29,0
1932-03-31,-0
1932-04-30,0
1932-05-31,0
1932-06-30,0
1932-07-31,0
1932-08-31,0
1932-09-30,11.203
1932-10-31,5.488
1932-11-30,0.327
1932-12-31,3.019
1933-01-31,0
1933-02-28,0
1933-03-31,0
1933-04-30,0
1933-05-31,0
1933-06-30,0
1933-07-31,0
1933-08-31,0
1933-09-30,11.203
1933-10-31,4.488
1933-11-30,0.327
1933-12-31,15.197
1934-01-31,249.628
1934-02-28,0
1934-03-31,0
1934-04-30,0
1934-05-31,0
1934-06-30,0
1934-07-31,0
1934-08-31,0
1934-09-30,11.203
1934-10-31,0
1934-11-30,5.327
1934-12-31,7.019
1935-01-31,1240.048
1935-02-28,207.997
1935-03-31,769.491
1935-04-30,2742.161
1935-05-31,0
1935-06-30,0
1935-07-31,0
1935-08-31,0
1935-09-30,11.203
1935-10-31,3.488
1935-11-30,0.327
1935-12-31,3.019
1936-01-31,2249.587
1936-02-29,4241.766
1936-03-31,900.191
1936-04-30,508.604
1936-05-31,0
1936-06-30,0
1936-07-31,0
1936-08-31,0
1936-09-30,11.203
1936-10-31,2.488
1936-11-30,0.327
1936-12-31,9.019
1937-01-31,167.517
1937-02-28,2022.224
1937-03-31,2321.139
1937-04-30,514.274
1937-05-31,385.681
1937-06-30,0
1937-07-31,0
1937-08-31,0
1937-09-30,11.203
1937-10-31,4.488
1937-11-30,948.727
1937-12-31,4057.769
1938-01-31,2456.964
1938-02-28,6549.099
1938-03-31,8512.025
1938-04-30,4462.325
1938-05-31,3062.507
1938-06-30,1527.089
1938-07-31,0
1938-08-31,0
1938-09-30,0
1938-10-31,0
1938-11-30,0
1938-12-31,1.019
1939-01-31,0
1939-02-28,0
1939-03-31,0
1939-04-30,-0
1939-05-31,0
1939-06-30,0
1939-07-31,14.622
1939-08-31,0
1939-09-30,11.203
1939-10-31,3.488
1939-11-30,0.327
1939-12-31,2.019
1940-01-31,1905.624
1940-02-29,3140.88
1940-03-31,5201.13
1940-04-30,3912.002
1940-05-31,0
1940-06-30,0
1940-07-31,101.806
1940-08-31,0
1940-09-30,0
1940-10-31,0
1940-11-30,0
1940-12-31,2076.392
1941-01-31,5424.58
1941-02-28,5791.399
1941-03-31,5354.946
1941-04-30,3681.084
1941-05-31,1467.17
1941-06-30,0
1941-07-31,0
1941-08-31,-0
1941-09-30,0
1941-10-31,0
1941-11-30,0
1941-12-31,3389.927
1942-01-31,4078.323
1942-02-28,6142.583
1942-03-31,1155.887
1942-04-30,2416.158
1942-05-31,676.781
1942-06-30,663.046
1942-07-31,0
1942-08-31,0
1942-09-30,0
1942-10-31,0
1942-11-30,0
1942-12-31,1104.226
1943-01-31,4190.237
1943-02-28,2253.715
1943-03-31,4477.872
1943-04-30,1211.641
1943-05-31,0
1943-06-30,0
1943-07-31,159.743
1943-08-31,0
1943-09-30,0
1943-10-31,0
1943-11-30,0
1943-12-31,3.019
1944-01-31,29.782
1944-02-29,474.105
1944-03-31,242.338
1944-04-30,0
1944-05-31,0
1944-06-30,0
1944-07-31,0
1944-08-31,0
1944-09-30,11.203
1944-10-31,4.488
1944-11-30,168.782
1944-12-31,280.859
1945-01-31,121.89
1945-02-28,2896.349
1945-03-31,593.279
1945-04-30,0
1945-05-31,0
1945-06-30,0
1945-07-31,4.736
1945-08-31,0
1945-09-30,11.203
1945-10-31,4.488
1945-11-30,2.327
1945-12-31,3235.42
1946-01-31,2278.659
1946-02-28,0
1946-03-31,365.895
1946-04-30,0
1946-05-31,0
1946-06-30,0
1946-07-31,14.035
1946-08-31,0
1946-09-30,11.203
1946-10-31,4.488
1946-11-30,5.327
1946-12-31,109.356
1947-01-31,0
1947-02-28,244.97
1947-03-31,349.611
1947-04-30,0
1947-05-31,0
1947-06-30,0
1947-07-31,0
1947-08-31,0
1947-09-30,11.203
1947-10-31,2.488
1947-11-30,1.327
1947-12-31,1.019
1948-01-31,24.82
1948-02-29,0
1948-03-31,196.116
1948-04-30,1160.266
1948-05-31,0
1948-06-30,0
1948-07-31,0
1948-08-31,0
1948-09-30,11.203
1948-10-31,4.488
1948-11-30,0.327
1948-12-31,7.019
1949-01-31,0
1949-02-28,0
1949-03-31,1750.137
1949-04-30,0
1949-05-31,0
1949-06-30,0
1949-07-31,0
1949-08-31,0
1949-09-30,11.203
1949-10-31,5.488
1949-11-30,2.327
1949-12-31,3.019
1950-01-31,382.922
1950-02-28,1558.654
1950-03-31,395.029
1950-04-30,148.593
1950-05-31,0
1950-06-30,0
1950-07-31,0
1950-08-31,-0
1950-09-30,11.203
1950-10-31,3.488
1950-11-30,2483.207
1950-12-31,5867.788
1951-01-31,3886.055
1951-02-28,3393.434
1951-03-31,769.87
1951-04-30,35.633
1951-05-31,57.316
1951-06-30,0
1951-07-31,116.649
1951-08-31,-0
1951-09-30,0
1951-10-31,0
1951-11-30,0
1951-12-31,2198.767
1952-01-31,4508.993
1952-02-29,3328.608
1952-03-31,3901.092
1952-04-30,3263.953
1952-05-31,2915.813
1952-06-30,1069.855
1952-07-31,0
1952-08-31,0
1952-09-30,0
1952-10-31,0
1952-11-30,0
1952-12-31,2432.567
1953-01-31,4574.506
1953-02-28,155.319
1953-03-31,416.554
1953-04-30,0
1953-05-31,492.308
1953-06-30,178.554
1953-07-31,0
1953-08-31,0
1953-09-30,0
1953-10-31,0
1953-11-30,0
1953-12-31,1.019
1954-01-31,655.809
1954-02-28,2134.469
1954-03-31,1741.437
1954-04-30,1409.236
1954-05-31,0
1954-06-30,0
1954-07-31,132.47
1954-08-31,0
1954-09-30,-0
1954-10-31,0
1954-11-30,0
1954-12-31,504.208
1955-01-31,450.037
1955-02-28,0
1955-03-31,0
1955-04-30,0
1955-05-31,0
1955-06-30,0
1955-07-31,0
1955-08-31,8.407
1955-09-30,11.203
1955-10-31,5.488
1955-11-30,2.327
1955-12-31,4986.763
1956-01-31,8870.885
1956-02-29,4328.89
1956-03-31,2143.526
1956-04-30,724.949
1956-05-31,1344.146
1956-06-30,394.075
1956-07-31,0
1956-08-31,0
1956-09-30,0
1956-10-31,0
1956-11-30,0
1956-12-31,0.019
1957-01-31,71.302
1957-02-28,742.258
1957-03-31,1261.658
1957-04-30,0
1957-05-31,129.513
1957-06-30,0
1957-07-31,102.534
1957-08-31,0
1957-09-30,0
1957-10-31,0
1957-11-30,0
1957-12-31,1383.685
1958-01-31,2834.014
1958-02-28,6886.96
1958-03-31,5769.96
1958-04-30,5478.304
1958-05-31,1788.343
1958-06-30,844.412
1958-07-31,0
1958-08-31,0
