bound_type,TimeSeries
,
date,bound
1921-10-31,23.3
1921-11-30,0
1921-12-31,0
1922-01-31,19.83
1922-02-28,19.19
1922-03-31,0
1922-04-30,0
1922-05-31,0
1922-06-30,0
1922-07-31,0
1922-08-31,0
1922-09-30,1.61
1922-10-31,17.84
1922-11-30,0
1922-12-31,20.53
1923-01-31,28.34
1923-02-28,0
1923-03-31,0
1923-04-30,0
1923-05-31,0
1923-06-30,0
1923-07-31,0
1923-08-31,0
1923-09-30,7.83
1923-10-31,20.88
1923-11-30,0
1923-12-31,0
1924-01-31,0
1924-02-29,0
1924-03-31,0
1924-04-30,0
1924-05-31,0
1924-06-30,0
1924-07-31,0
1924-08-31,0
1924-09-30,10.69
1924-10-31,0
1924-11-30,0
1924-12-31,0
1925-01-31,0
1925-02-28,0
1925-03-31,0
1925-04-30,0
1925-05-31,0
1925-06-30,0
1925-07-31,0
1925-08-31,0
1925-09-30,24.05
1925-10-31,26.85
1925-11-30,0
1925-12-31,0
1926-01-31,0
1926-02-28,0
1926-03-31,0
1926-04-30,0
1926-05-31,0
1926-06-30,0
1926-07-31,0
1926-08-31,0
1926-09-30,7.41
1926-10-31,0
1926-11-30,0
1926-12-31,0
1927-01-31,24.57
1927-02-28,58.37
1927-03-31,0
1927-04-30,0
1927-05-31,0
1927-06-30,0
1927-07-31,0
1927-08-31,0
1927-09-30,10.17
1927-10-31,0
1927-11-30,0
1927-12-31,0
1928-01-31,24.01
1928-02-29,0
1928-03-31,0
1928-04-30,0
1928-05-31,0
1928-06-30,0
1928-07-31,0
1928-08-31,0
1928-09-30,2.08
1928-10-31,24.64
1928-11-30,0
1928-12-31,0
1929-01-31,6.71
1929-02-28,0
1929-03-31,0
1929-04-30,0
1929-05-31,0
1929-06-30,0
1929-07-31,0
1929-08-31,0
1929-09-30,6.34
1929-10-31,19.59
1929-11-30,0
1929-12-31,0
1930-01-31,0
1930-02-28,0
1930-03-31,0
1930-04-30,0
1930-05-31,0
1930-06-30,0
1930-07-31,0
1930-08-31,0
1930-09-30,25.12
1930-10-31,12.02
1930-11-30,0
1930-12-31,0
1931-01-31,0
1931-02-28,0
1931-03-31,0
1931-04-30,0
1931-05-31,0
1931-06-30,0
1931-07-31,0
1931-08-31,0
1931-09-30,7.43
1931-10-31,15.16
1931-11-30,0
1931-12-31,0.41
1932-01-31,32.26
1932-02-29,29.86
1932-03-31,0
1932-04-30,0
1932-05-31,0
1932-06-30,0
1932-07-31,0
1932-08-31,0
1932-09-30,0
1932-10-31,21.7
1932-11-30,0
1932-12-31,0
1933-01-31,9.88
1933-02-28,0
1933-03-31,0
1933-04-30,0
1933-05-31,0
1933-06-30,0
1933-07-31,0
1933-08-31,0
1933-09-30,6.06
1933-10-31,0.45
1933-11-30,0
1933-12-31,0
1934-01-31,4.35
1934-02-28,9.38
1934-03-31,0
1934-04-30,0
1934-05-31,0
1934-06-30,0
1934-07-31,0
1934-08-31,0
1934-09-30,2.22
1934-10-31,16.1
1934-11-30,0
1934-12-31,0
1935-01-31,34.77
1935-02-28,0
1935-03-31,0
1935-04-30,0
1935-05-31,0
1935-06-30,0
1935-07-31,0
1935-08-31,0
1935-09-30,1.59
1935-10-31,4.6
1935-11-30,0
1935-12-31,0
1936-01-31,4.99
1936-02-29,6.77
1936-03-31,0
1936-04-30,0
1936-05-31,0
1936-06-30,0
1936-07-31,0
1936-08-31,0
1936-09-30,0
1936-10-31,12.76
1936-11-30,0
1936-12-31,0
1937-01-31,11.34
1937-02-28,26.63
1937-03-31,12.09
1937-04-30,0
1937-05-31,0
1937-06-30,0
1937-07-31,0
1937-08-31,0
1937-09-30,0.47
1937-10-31,16.47
1937-11-30,0
1937-12-31,0
1938-01-31,24.41
1938-02-28,106.16
1938-03-31,0
1938-04-30,0
1938-05-31,0
1938-06-30,0
1938-07-31,0
1938-08-31,0
1938-09-30,0
1938-10-31,7.76
1938-11-30,0
1938-12-31,0
1939-01-31,0
1939-02-28,0
1939-03-31,0
1939-04-30,0
1939-05-31,0
1939-06-30,0
1939-07-31,0
1939-08-31,0
1939-09-30,0
1939-10-31,10.18
1939-11-30,0
1939-12-31,0
1940-01-31,0
1940-02-29,4.79
1940-03-31,0
1940-04-30,0
1940-05-31,0
1940-06-30,0
1940-07-31,0
1940-08-31,0
1940-09-30,8.06
1940-10-31,9.75
1940-11-30,0
1940-12-31,0
1941-01-31,84.5
1941-02-28,51.62
1941-03-31,0
1941-04-30,0
1941-05-31,0
1941-06-30,0
1941-07-31,0
1941-08-31,0
1941-09-30,1.66
1941-10-31,12.39
1941-11-30,0
1941-12-31,0
1942-01-31,78.08
1942-02-28,0
1942-03-31,0
1942-04-30,0
1942-05-31,0
1942-06-30,0
1942-07-31,0
1942-08-31,0
1942-09-30,2.57
1942-10-31,13.31
1942-11-30,0
1942-12-31,0
1943-01-31,39.15
1943-02-28,0
1943-03-31,0
1943-04-30,0
1943-05-31,0
1943-06-30,0
1943-07-31,0
1943-08-31,0
1943-09-30,0
1943-10-31,21.51
1943-11-30,0
1943-12-31,0
1944-01-31,0
1944-02-29,0
1944-03-31,0
1944-04-30,0
1944-05-31,0
1944-06-30,0
1944-07-31,0
1944-08-31,0
1944-09-30,0
1944-10-31,0
1944-11-30,0
1944-12-31,0
1945-01-31,5.13
1945-02-28,0
1945-03-31,0
1945-04-30,0
1945-05-31,0
1945-06-30,0
1945-07-31,0
1945-08-31,0
1945-09-30,0
1945-10-31,0
1945-11-30,0
1945-12-31,0
1946-01-31,0
1946-02-28,0
1946-03-31,0
1946-04-30,0
1946-05-31,0
1946-06-30,0
1946-07-31,0
1946-08-31,0
1946-09-30,0
1946-10-31,21.52
1946-11-30,0
1946-12-31,0
1947-01-31,4.25
1947-02-28,0
1947-03-31,0
1947-04-30,0
1947-05-31,0
1947-06-30,0
1947-07-31,0
1947-08-31,0
1947-09-30,0
1947-10-31,0
1947-11-30,0
1947-12-31,0
1948-01-31,0
1948-02-29,0
1948-03-31,0
1948-04-30,0
1948-05-31,0
1948-06-30,0
1948-07-31,0
1948-08-31,0
1948-09-30,5.94
1948-10-31,8.32
1948-11-30,0
1948-12-31,0
1949-01-31,11
1949-02-28,0
1949-03-31,0
1949-04-30,0
1949-05-31,0
1949-06-30,0
1949-07-31,0
1949-08-31,0
1949-09-30,6.33
1949-10-31,6.49
1949-11-30,0
1949-12-31,0
1950-01-31,0
1950-02-28,0
1950-03-31,0
1950-04-30,0
1950-05-31,0
1950-06-30,0
1950-07-31,0
1950-08-31,0
1950-09-30,0
1950-10-31,0
1950-11-30,0
1950-12-31,23.58
1951-01-31,64.66
1951-02-28,0
1951-03-31,0
1951-04-30,0
1951-05-31,0
1951-06-30,0
1951-07-31,0
1951-08-31,0
1951-09-30,0
1951-10-31,0
1951-11-30,0
1951-12-31,0
1952-01-31,148.3
1952-02-29,0
1952-03-31,0
1952-04-30,0
1952-05-31,0
1952-06-30,0
1952-07-31,0
1952-08-31,0
1952-09-30,0
1952-10-31,15.84
1952-11-30,0
1952-12-31,0
1953-01-31,36.36
1953-02-28,0
1953-03-31,0
1953-04-30,0
1953-05-31,0
1953-06-30,0
1953-07-31,0
1953-08-31,0
1953-09-30,0
1953-10-31,12.15
1953-11-30,0
1953-12-31,0
1954-01-31,0
1954-02-28,0
1954-03-31,0
1954-04-30,0
1954-05-31,0
1954-06-30,0
1954-07-31,0
1954-08-31,0
1954-09-30,0
1954-10-31,21.14
1954-11-30,0
1954-12-31,0
1955-01-31,36.28
1955-02-28,0
1955-03-31,0
1955-04-30,0
1955-05-31,0
1955-06-30,0
1955-07-31,0
1955-08-31,0
1955-09-30,0
1955-10-31,0
1955-11-30,0
1955-12-31,0
1956-01-31,95.76
1956-02-29,0
1956-03-31,0
1956-04-30,0
1956-05-31,0
1956-06-30,0
1956-07-31,0
1956-08-31,0
1956-09-30,2.49
1956-10-31,5.41
1956-11-30,0
1956-12-31,0
1957-01-31,0
1957-02-28,0
1957-03-31,0
1957-04-30,0
1957-05-31,0
1957-06-30,0
1957-07-31,0
1957-08-31,0
1957-09-30,0
1957-10-31,0
1957-11-30,0
1957-12-31,0
1958-01-31,26.98
1958-02-28,84.07
1958-03-31,0
1958-04-30,0
1958-05-31,0
1958-06-30,0
1958-07-31,0
1958-08-31,0
1958-09-30,2.59
1958-10-31,0
