bound_type,TimeSeries
,
date,bound
1921-10-31,0.92101
1921-11-30,0.759
1921-12-31,0.766
1922-01-31,0.533
1922-02-28,0.576
1922-03-31,0.662
1922-04-30,0.803
1922-05-31,1.313
1922-06-30,1.905
1922-07-31,2.1
1922-08-31,1.598
1922-09-30,1.375
1922-10-31,0.92101
1922-11-30,0.759
1922-12-31,0.766
1923-01-31,0.533
1923-02-28,0.576
1923-03-31,0.662
1923-04-30,0.803
1923-05-31,1.313
1923-06-30,1.905
1923-07-31,2.1
1923-08-31,1.598
1923-09-30,1.375
1923-10-31,0.92101
1923-11-30,0.759
1923-12-31,0.766
1924-01-31,0.533
1924-02-29,0.576
1924-03-31,0.662
1924-04-30,0.803
1924-05-31,1.313
1924-06-30,1.905
1924-07-31,2.1
1924-08-31,1.598
1924-09-30,1.375
1924-10-31,0.92101
1924-11-30,0.759
1924-12-31,0.766
1925-01-31,0.533
1925-02-28,0.576
1925-03-31,0.662
1925-04-30,0.803
1925-05-31,1.313
1925-06-30,1.905
1925-07-31,2.1
1925-08-31,1.598
1925-09-30,1.375
1925-10-31,0.92101
1925-11-30,0.759
1925-12-31,0.766
1926-01-31,0.533
1926-02-28,0.576
1926-03-31,0.662
1926-04-30,0.803
1926-05-31,1.313
1926-06-30,1.905
1926-07-31,2.1
1926-08-31,1.598
1926-09-30,1.375
1926-10-31,0.92101
1926-11-30,0.759
1926-12-31,0.766
1927-01-31,0.533
1927-02-28,0.576
1927-03-31,0.662
1927-04-30,0.803
1927-05-31,1.313
1927-06-30,1.905
1927-07-31,2.1
1927-08-31,1.598
1927-09-30,1.375
1927-10-31,0.92101
1927-11-30,0.759
1927-12-31,0.766
1928-01-31,0.533
1928-02-29,0.576
1928-03-31,0.662
1928-04-30,0.803
1928-05-31,1.313
1928-06-30,1.905
1928-07-31,2.1
1928-08-31,1.598
1928-09-30,1.375
1928-10-31,0.92101
1928-11-30,0.759
1928-12-31,0.766
1929-01-31,0.533
1929-02-28,0.576
1929-03-31,0.662
1929-04-30,0.803
1929-05-31,1.313
1929-06-30,1.905
1929-07-31,2.1
1929-08-31,1.598
1929-09-30,1.375
1929-10-31,0.92101
1929-11-30,0.759
1929-12-31,0.766
1930-01-31,0.533
1930-02-28,0.576
1930-03-31,0.662
1930-04-30,0.803
1930-05-31,1.313
1930-06-30,1.905
1930-07-31,2.1
1930-08-31,1.598
1930-09-30,1.375
1930-10-31,0.92101
1930-11-30,0.759
1930-12-31,0.766
1931-01-31,0.533
1931-02-28,0.576
1931-03-31,0.662
1931-04-30,0.803
1931-05-31,1.313
1931-06-30,1.905
1931-07-31,2.1
1931-08-31,1.598
1931-09-30,1.375
1931-10-31,0.92101
1931-11-30,0.759
1931-12-31,0.766
1932-01-31,0.533
1932-02-29,0.576
1932-03-31,0.662
1932-04-30,0.803
1932-05-31,1.313
1932-06-30,1.905
1932-07-31,2.1
1932-08-31,1.598
1932-09-30,1.375
1932-10-31,0.92101
1932-11-30,0.759
1932-12-31,0.766
1933-01-31,0.533
1933-02-28,0.576
1933-03-31,0.662
1933-04-30,0.803
1933-05-31,1.313
1933-06-30,1.905
1933-07-31,2.1
1933-08-31,1.598
1933-09-30,1.375
1933-10-31,0.92101
1933-11-30,0.759
1933-12-31,0.766
1934-01-31,0.533
1934-02-28,0.576
1934-03-31,0.662
1934-04-30,0.803
1934-05-31,1.313
1934-06-30,1.905
1934-07-31,2.1
1934-08-31,1.598
1934-09-30,1.375
1934-10-31,0.92101
1934-11-30,0.759
1934-12-31,0.766
1935-01-31,0.533
1935-02-28,0.576
1935-03-31,0.662
1935-04-30,0.803
1935-05-31,1.313
1935-06-30,1.905
1935-07-31,2.1
1935-08-31,1.598
1935-09-30,1.375
1935-10-31,0.92101
1935-11-30,0.759
1935-12-31,0.766
1936-01-31,0.533
1936-02-29,0.576
1936-03-31,0.662
1936-04-30,0.803
1936-05-31,1.313
1936-06-30,1.905
1936-07-31,2.1
1936-08-31,1.598
1936-09-30,1.375
1936-10-31,0.92101
1936-11-30,0.759
1936-12-31,0.766
1937-01-31,0.533
1937-02-28,0.576
1937-03-31,0.662
1937-04-30,0.803
1937-05-31,1.313
1937-06-30,1.905
1937-07-31,2.1
1937-08-31,1.598
1937-09-30,1.375
1937-10-31,0.92101
1937-11-30,0.759
1937-12-31,0.766
1938-01-31,0.533
1938-02-28,0.576
1938-03-31,0.662
1938-04-30,0.803
1938-05-31,1.313
1938-06-30,1.905
1938-07-31,2.1
1938-08-31,1.598
1938-09-30,1.375
1938-10-31,0.92101
1938-11-30,0.759
1938-12-31,0.766
1939-01-31,0.533
1939-02-28,0.576
1939-03-31,0.662
1939-04-30,0.803
1939-05-31,1.313
1939-06-30,1.905
1939-07-31,2.1
1939-08-31,1.598
1939-09-30,1.375
1939-10-31,0.92101
1939-11-30,0.759
1939-12-31,0.766
1940-01-31,0.533
1940-02-29,0.576
1940-03-31,0.662
1940-04-30,0.803
1940-05-31,1.313
1940-06-30,1.905
1940-07-31,2.1
1940-08-31,1.598
1940-09-30,1.375
1940-10-31,0.92101
1940-11-30,0.759
1940-12-31,0.766
1941-01-31,0.533
1941-02-28,0.576
1941-03-31,0.662
1941-04-30,0.803
1941-05-31,1.313
1941-06-30,1.905
1941-07-31,2.1
1941-08-31,1.598
1941-09-30,1.375
1941-10-31,0.92101
1941-11-30,0.759
1941-12-31,0.766
1942-01-31,0.533
1942-02-28,0.576
1942-03-31,0.662
1942-04-30,0.803
1942-05-31,1.313
1942-06-30,1.905
1942-07-31,2.1
1942-08-31,1.598
1942-09-30,1.375
1942-10-31,0.92101
1942-11-30,0.759
1942-12-31,0.766
1943-01-31,0.533
1943-02-28,0.576
1943-03-31,0.662
1943-04-30,0.803
1943-05-31,1.313
1943-06-30,1.905
1943-07-31,2.1
1943-08-31,1.598
1943-09-30,1.375
1943-10-31,0.92101
1943-11-30,0.759
1943-12-31,0.766
1944-01-31,0.533
1944-02-29,0.576
1944-03-31,0.662
1944-04-30,0.803
1944-05-31,1.313
1944-06-30,1.905
1944-07-31,2.1
1944-08-31,1.598
1944-09-30,1.375
1944-10-31,0.92101
1944-11-30,0.759
1944-12-31,0.766
1945-01-31,0.533
1945-02-28,0.576
1945-03-31,0.662
1945-04-30,0.803
1945-05-31,1.313
1945-06-30,1.905
1945-07-31,2.1
1945-08-31,1.598
1945-09-30,1.375
1945-10-31,0.92101
1945-11-30,0.759
1945-12-31,0.766
1946-01-31,0.533
1946-02-28,0.576
1946-03-31,0.662
1946-04-30,0.803
1946-05-31,1.313
1946-06-30,1.905
1946-07-31,2.1
1946-08-31,1.598
1946-09-30,1.375
1946-10-31,0.92101
1946-11-30,0.759
1946-12-31,0.766
1947-01-31,0.533
1947-02-28,0.576
1947-03-31,0.662
1947-04-30,0.803
1947-05-31,1.313
1947-06-30,1.905
1947-07-31,2.1
1947-08-31,1.598
1947-09-30,1.375
1947-10-31,0.92101
1947-11-30,0.759
1947-12-31,0.766
1948-01-31,0.533
1948-02-29,0.576
1948-03-31,0.662
1948-04-30,0.803
1948-05-31,1.313
1948-06-30,1.905
1948-07-31,2.1
1948-08-31,1.598
1948-09-30,1.375
1948-10-31,0.92101
1948-11-30,0.759
1948-12-31,0.766
1949-01-31,0.533
1949-02-28,0.576
1949-03-31,0.662
1949-04-30,0.803
1949-05-31,1.313
1949-06-30,1.905
1949-07-31,2.1
1949-08-31,1.598
1949-09-30,1.375
1949-10-31,0.92101
1949-11-30,0.759
1949-12-31,0.766
1950-01-31,0.533
1950-02-28,0.576
1950-03-31,0.662
1950-04-30,0.803
1950-05-31,1.313
1950-06-30,1.905
1950-07-31,2.1
1950-08-31,1.598
1950-09-30,1.375
1950-10-31,0.92101
1950-11-30,0.759
1950-12-31,0.766
1951-01-31,0.533
1951-02-28,0.576
1951-03-31,0.662
1951-04-30,0.803
1951-05-31,1.313
1951-06-30,1.905
1951-07-31,2.1
1951-08-31,1.598
1951-09-30,1.375
1951-10-31,0.92101
1951-11-30,0.759
1951-12-31,0.766
1952-01-31,0.533
1952-02-29,0.576
1952-03-31,0.662
1952-04-30,0.803
1952-05-31,1.313
1952-06-30,1.905
1952-07-31,2.1
1952-08-31,1.598
1952-09-30,1.375
1952-10-31,0.92101
1952-11-30,0.759
1952-12-31,0.766
1953-01-31,0.533
1953-02-28,0.576
