bound_type,TimeSeries
,
date,bound
1921-10-31,0.322
1921-11-30,0.501
1921-12-31,1.172
1922-01-31,0.461
1922-02-28,0.271
1922-03-31,0.593
1922-04-30,0.813
1922-05-31,0.971
1922-06-30,1.504
1922-07-31,1.624
1922-08-31,1.393
1922-09-30,0.484
1922-10-31,0.322
1922-11-30,0.501
1922-12-31,1.172
1923-01-31,0.461
1923-02-28,0.271
1923-03-31,0.593
1923-04-30,0.813
1923-05-31,0.971
1923-06-30,1.504
1923-07-31,1.624
1923-08-31,1.393
1923-09-30,0.484
1923-10-31,0.322
1923-11-30,0.501
1923-12-31,1.172
1924-01-31,0.461
1924-02-29,0.271
1924-03-31,0.593
1924-04-30,0.813
1924-05-31,0.971
1924-06-30,1.504
1924-07-31,1.624
1924-08-31,1.393
1924-09-30,0.484
1924-10-31,0.322
1924-11-30,0.501
1924-12-31,1.172
1925-01-31,0.461
1925-02-28,0.271
1925-03-31,0.593
1925-04-30,0.813
1925-05-31,0.971
1925-06-30,1.504
1925-07-31,1.624
1925-08-31,1.393
1925-09-30,0.484
1925-10-31,0.322
1925-11-30,0.501
1925-12-31,1.172
1926-01-31,0.461
1926-02-28,0.271
1926-03-31,0.593
1926-04-30,0.813
1926-05-31,0.971
1926-06-30,1.504
1926-07-31,1.624
1926-08-31,1.393
1926-09-30,0.484
1926-10-31,0.322
1926-11-30,0.501
1926-12-31,1.172
1927-01-31,0.461
1927-02-28,0.271
1927-03-31,0.593
1927-04-30,0.813
1927-05-31,0.971
1927-06-30,1.504
1927-07-31,1.624
1927-08-31,1.393
1927-09-30,0.484
1927-10-31,0.322
1927-11-30,0.501
1927-12-31,1.172
1928-01-31,0.461
1928-02-29,0.271
1928-03-31,0.593
1928-04-30,0.813
1928-05-31,0.971
1928-06-30,1.504
1928-07-31,1.624
1928-08-31,1.393
1928-09-30,0.484
1928-10-31,0.322
1928-11-30,0.501
1928-12-31,1.172
1929-01-31,0.461
1929-02-28,0.271
1929-03-31,0.593
1929-04-30,0.813
1929-05-31,0.971
1929-06-30,1.504
1929-07-31,1.624
1929-08-31,1.393
1929-09-30,0.484
1929-10-31,0.322
1929-11-30,0.501
1929-12-31,1.172
1930-01-31,0.461
1930-02-28,0.271
1930-03-31,0.593
1930-04-30,0.813
1930-05-31,0.971
1930-06-30,1.504
1930-07-31,1.624
1930-08-31,1.393
1930-09-30,0.484
1930-10-31,0.322
1930-11-30,0.501
1930-12-31,1.172
1931-01-31,0.461
1931-02-28,0.271
1931-03-31,0.593
1931-04-30,0.813
1931-05-31,0.971
1931-06-30,1.504
1931-07-31,1.624
1931-08-31,1.393
1931-09-30,0.484
1931-10-31,0.322
1931-11-30,0.501
1931-12-31,1.172
1932-01-31,0.461
1932-02-29,0.271
1932-03-31,0.593
1932-04-30,0.813
1932-05-31,0.971
1932-06-30,1.504
1932-07-31,1.624
1932-08-31,1.393
1932-09-30,0.484
1932-10-31,0.322
1932-11-30,0.501
1932-12-31,1.172
1933-01-31,0.461
1933-02-28,0.271
1933-03-31,0.593
1933-04-30,0.813
1933-05-31,0.971
1933-06-30,1.504
1933-07-31,1.624
1933-08-31,1.393
1933-09-30,0.484
1933-10-31,0.322
1933-11-30,0.501
1933-12-31,1.172
1934-01-31,0.461
1934-02-28,0.271
1934-03-31,0.593
1934-04-30,0.813
1934-05-31,0.971
1934-06-30,1.504
1934-07-31,1.624
1934-08-31,1.393
1934-09-30,0.484
1934-10-31,0.322
1934-11-30,0.501
1934-12-31,1.172
1935-01-31,0.461
1935-02-28,0.271
1935-03-31,0.593
1935-04-30,0.813
1935-05-31,0.971
1935-06-30,1.504
1935-07-31,1.624
1935-08-31,1.393
1935-09-30,0.484
1935-10-31,0.322
1935-11-30,0.501
1935-12-31,1.172
1936-01-31,0.461
1936-02-29,0.271
1936-03-31,0.593
1936-04-30,0.813
1936-05-31,0.971
1936-06-30,1.504
1936-07-31,1.624
1936-08-31,1.393
1936-09-30,0.484
1936-10-31,0.322
1936-11-30,0.501
1936-12-31,1.172
1937-01-31,0.461
1937-02-28,0.271
1937-03-31,0.593
1937-04-30,0.813
1937-05-31,0.971
1937-06-30,1.504
1937-07-31,1.624
1937-08-31,1.393
1937-09-30,0.484
1937-10-31,0.322
1937-11-30,0.501
1937-12-31,1.172
1938-01-31,0.461
1938-02-28,0.271
1938-03-31,0.593
1938-04-30,0.813
1938-05-31,0.971
1938-06-30,1.504
1938-07-31,1.624
1938-08-31,1.393
1938-09-30,0.484
1938-10-31,0.322
1938-11-30,0.501
1938-12-31,1.172
1939-01-31,0.461
1939-02-28,0.271
1939-03-31,0.593
1939-04-30,0.813
1939-05-31,0.971
1939-06-30,1.504
1939-07-31,1.624
1939-08-31,1.393
1939-09-30,0.484
1939-10-31,0.322
1939-11-30,0.501
1939-12-31,1.172
1940-01-31,0.461
1940-02-29,0.271
1940-03-31,0.593
1940-04-30,0.813
1940-05-31,0.971
1940-06-30,1.504
1940-07-31,1.624
1940-08-31,1.393
1940-09-30,0.484
1940-10-31,0.322
1940-11-30,0.501
1940-12-31,1.172
1941-01-31,0.461
1941-02-28,0.271
1941-03-31,0.593
1941-04-30,0.813
1941-05-31,0.971
1941-06-30,1.504
1941-07-31,1.624
1941-08-31,1.393
1941-09-30,0.484
1941-10-31,0.322
1941-11-30,0.501
1941-12-31,1.172
1942-01-31,0.461
1942-02-28,0.271
1942-03-31,0.593
1942-04-30,0.813
1942-05-31,0.971
1942-06-30,1.504
1942-07-31,1.624
1942-08-31,1.393
1942-09-30,0.484
1942-10-31,0.322
1942-11-30,0.501
1942-12-31,1.172
1943-01-31,0.461
1943-02-28,0.271
1943-03-31,0.593
1943-04-30,0.813
1943-05-31,0.971
1943-06-30,1.504
1943-07-31,1.624
1943-08-31,1.393
1943-09-30,0.484
1943-10-31,0.322
1943-11-30,0.501
1943-12-31,1.172
1944-01-31,0.461
1944-02-29,0.271
1944-03-31,0.593
1944-04-30,0.813
1944-05-31,0.971
1944-06-30,1.504
1944-07-31,1.624
1944-08-31,1.393
1944-09-30,0.484
1944-10-31,0.322
1944-11-30,0.501
1944-12-31,1.172
1945-01-31,0.461
1945-02-28,0.271
1945-03-31,0.593
1945-04-30,0.813
1945-05-31,0.971
1945-06-30,1.504
1945-07-31,1.624
1945-08-31,1.393
1945-09-30,0.484
1945-10-31,0.322
1945-11-30,0.501
1945-12-31,1.172
1946-01-31,0.461
1946-02-28,0.271
1946-03-31,0.593
1946-04-30,0.813
1946-05-31,0.971
1946-06-30,1.504
1946-07-31,1.624
1946-08-31,1.393
1946-09-30,0.484
1946-10-31,0.322
1946-11-30,0.501
1946-12-31,1.172
1947-01-31,0.461
1947-02-28,0.271
1947-03-31,0.593
1947-04-30,0.813
1947-05-31,0.971
1947-06-30,1.504
1947-07-31,1.624
1947-08-31,1.393
1947-09-30,0.484
1947-10-31,0.322
1947-11-30,0.501
1947-12-31,1.172
1948-01-31,0.461
1948-02-29,0.271
1948-03-31,0.593
1948-04-30,0.813
1948-05-31,0.971
1948-06-30,1.504
1948-07-31,1.624
1948-08-31,1.393
1948-09-30,0.484
1948-10-31,0.322
1948-11-30,0.501
1948-12-31,1.172
1949-01-31,0.461
1949-02-28,0.271
1949-03-31,0.593
1949-04-30,0.813
1949-05-31,0.971
1949-06-30,1.504
1949-07-31,1.624
1949-08-31,1.393
1949-09-30,0.484
1949-10-31,0.322
1949-11-30,0.501
1949-12-31,1.172
1950-01-31,0.461
1950-02-28,0.271
1950-03-31,0.593
1950-04-30,0.813
1950-05-31,0.971
1950-06-30,1.504
1950-07-31,1.624
1950-08-31,1.393
1950-09-30,0.484
1950-10-31,0.322
1950-11-30,0.501
1950-12-31,1.172
1951-01-31,0.461
1951-02-28,0.271
1951-03-31,0.593
1951-04-30,0.813
1951-05-31,0.971
1951-06-30,1.504
1951-07-31,1.624
1951-08-31,1.393
1951-09-30,0.484
1951-10-31,0.322
1951-11-30,0.501
1951-12-31,1.172
1952-01-31,0.461
1952-02-29,0.271
1952-03-31,0.593
1952-04-30,0.813
1952-05-31,0.971
1952-06-30,1.504
1952-07-31,1.624
1952-08-31,1.393
1952-09-30,0.484
1952-10-31,0.322
1952-11-30,0.501
1952-12-31,1.172
1953-01-31,0.461
1953-02-28,0.271
1953-03-31,0.593
1953-04-30,0.813
1953-05-31,0.971
