bound_type,TimeSeries
,
date,bound
1921-10-31,0.72638
1921-11-30,0.28469
1921-12-31,0.1582
1922-01-31,0.16378
1922-02-28,0.25074
1922-03-31,0.45411
1922-04-30,1.9035
1922-05-31,1.9643
1922-06-30,2.1075
1922-07-31,2.9648
1922-08-31,2.9996
1922-09-30,2.5293
1922-10-31,0.97763
1922-11-30,0.38364
1922-12-31,0.19517
1923-01-31,0.18556
1923-02-28,0.29564
1923-03-31,0.47685
1923-04-30,1.8481
1923-05-31,1.9959
1923-06-30,2.4439
1923-07-31,2.9171
1923-08-31,2.9747
1923-09-30,2.4868
1923-10-31,0.94827
1923-11-30,0.38512
1923-12-31,0.21138
1924-01-31,0.20855
1924-02-29,0.33967
1924-03-31,0.53939
1924-04-30,2.0045
1924-05-31,2.54
1924-06-30,2.8836
1924-07-31,3.0374
1924-08-31,2.7969
1924-09-30,2.2065
1924-10-31,0.80466
1924-11-30,0.3013
1924-12-31,0.16988
1925-01-31,0.17215
1925-02-28,0.24561
1925-03-31,0.46655
1925-04-30,1.9078
1925-05-31,2.1673
1925-06-30,2.7065
1925-07-31,3.2292
1925-08-31,3.1208
1925-09-30,2.432
1925-10-31,0.88006
1925-11-30,0.35189
1925-12-31,0.19781
1926-01-31,0.19948
1926-02-28,0.30695
1926-03-31,0.5333
1926-04-30,1.9082
1926-05-31,2.4455
1926-06-30,2.9175
1926-07-31,3.0594
1926-08-31,2.7568
1926-09-30,2.1725
1926-10-31,0.71774
1926-11-30,0.27553
1926-12-31,0.1502
1927-01-31,0.15937
1927-02-28,0.2413
1927-03-31,0.46501
1927-04-30,1.8488
1927-05-31,2.2105
1927-06-30,2.8124
1927-07-31,3.3648
1927-08-31,3.062
1927-09-30,2.3584
1927-10-31,0.83427
1927-11-30,0.32315
1927-12-31,0.18868
1928-01-31,0.19467
1928-02-29,0.31268
1928-03-31,0.43588
1928-04-30,1.9032
1928-05-31,2.1592
1928-06-30,2.8427
1928-07-31,3.3467
1928-08-31,3.098
1928-09-30,2.4159
1928-10-31,0.88207
1928-11-30,0.3424
1928-12-31,0.19355
1929-01-31,0.19517
1929-02-28,0.32175
1929-03-31,0.51962
1929-04-30,1.914
1929-05-31,2.3087
1929-06-30,2.7049
1929-07-31,2.9157
1929-08-31,2.6693
1929-09-30,2.1241
1929-10-31,0.69052
1929-11-30,0.27661
1929-12-31,0.15599
1930-01-31,0.15494
1930-02-28,0.25531
1930-03-31,0.40299
1930-04-30,1.7657
1930-05-31,2.1952
1930-06-30,2.426
1930-07-31,2.7793
1930-08-31,2.5343
1930-09-30,2.035
1930-10-31,0.62798
1930-11-30,0.24612
1930-12-31,0.1413
1931-01-31,0.14245
1931-02-28,0.23729
1931-03-31,0.37957
1931-04-30,1.6893
1931-05-31,2.0544
1931-06-30,2.4175
1931-07-31,2.7022
1931-08-31,2.6325
1931-09-30,2.2062
1931-10-31,0.80399
1931-11-30,0.31577
1931-12-31,0.16183
1932-01-31,0.15772
1932-02-29,0.2067
1932-03-31,0.33833
1932-04-30,1.6253
1932-05-31,1.6923
1932-06-30,2.192
1932-07-31,2.7748
1932-08-31,2.6451
1932-09-30,2.1329
1932-10-31,0.67938
1932-11-30,0.27337
1932-12-31,0.15302
1933-01-31,0.15651
1933-02-28,0.26167
1933-03-31,0.41605
1933-04-30,1.7471
1933-05-31,2.0672
1933-06-30,2.2911
1933-07-31,2.6443
1933-08-31,2.4517
1933-09-30,2.093
1933-10-31,0.68802
1933-11-30,0.27066
1933-12-31,0.14808
1934-01-31,0.14136
1934-02-28,0.21961
1934-03-31,0.3461
1934-04-30,1.6861
1934-05-31,2.08
1934-06-30,2.4711
1934-07-31,2.7798
1934-08-31,2.7072
1934-09-30,2.2681
1934-10-31,0.84147
1934-11-30,0.33497
1934-12-31,0.18427
1935-01-31,0.17268
1935-02-28,0.27961
1935-03-31,0.41124
1935-04-30,1.5992
1935-05-31,1.5542
1935-06-30,2.1046
1935-07-31,2.787
1935-08-31,2.6066
1935-09-30,2.0461
1935-10-31,0.63299
1935-11-30,0.24709
1935-12-31,0.14092
1936-01-31,0.12954
1936-02-29,0.19739
1936-03-31,0.42831
1936-04-30,1.7721
1936-05-31,2.0931
1936-06-30,2.6579
1936-07-31,3.3262
1936-08-31,3.1165
1936-09-30,2.4073
1936-10-31,0.85872
1936-11-30,0.34103
1936-12-31,0.19306
1937-01-31,0.19428
1937-02-28,0.29868
1937-03-31,0.49519
1937-04-30,1.962
1937-05-31,2.0269
1937-06-30,2.5275
1937-07-31,3.1551
1937-08-31,3.1175
1937-09-30,2.5283
1937-10-31,0.93115
1937-11-30,0.37055
1937-12-31,0.19347
1938-01-31,0.18954
1938-02-28,0.22652
1938-03-31,0.25522
1938-04-30,1.4705
1938-05-31,1.1174
1938-06-30,1.0565
1938-07-31,1.7395
1938-08-31,2.03
1938-09-30,1.9257
1938-10-31,0.58229
1938-11-30,0.24463
1938-12-31,0.13284
1939-01-31,0.13284
1939-02-28,0.21746
1939-03-31,0.31777
1939-04-30,1.6648
1939-05-31,2.1819
1939-06-30,2.6338
1939-07-31,3.0222
1939-08-31,3.0054
1939-09-30,2.5181
1939-10-31,1.0025
1939-11-30,0.38805
1939-12-31,0.21588
1940-01-31,0.18729
1940-02-29,0.25895
1940-03-31,0.33029
1940-04-30,1.6368
1940-05-31,1.7027
1940-06-30,2.1774
1940-07-31,2.6993
1940-08-31,2.692
1940-09-30,2.3005
1940-10-31,0.83466
1940-11-30,0.33222
1940-12-31,0.17444
1941-01-31,0.16234
1941-02-28,0.23219
1941-03-31,0.31439
1941-04-30,1.6904
1941-05-31,1.6307
1941-06-30,1.8987
1941-07-31,2.3664
1941-08-31,2.4629
1941-09-30,2.1438
1941-10-31,0.73
1941-11-30,0.29053
1941-12-31,0.14738
1942-01-31,0.1236
1942-02-28,0.19505
1942-03-31,0.28663
1942-04-30,1.5136
1942-05-31,1.4613
1942-06-30,1.457
1942-07-31,1.8391
1942-08-31,2.0679
1942-09-30,1.8551
1942-10-31,0.57903
1942-11-30,0.24463
1942-12-31,0.13284
1943-01-31,0.13283
1943-02-28,0.21745
1943-03-31,0.26994
1943-04-30,1.3985
1943-05-31,1.5473
1943-06-30,1.8891
1943-07-31,2.2509
1943-08-31,2.3588
1943-09-30,2.0668
1943-10-31,0.68427
1943-11-30,0.27325
1943-12-31,0.15249
1944-01-31,0.1515
1944-02-29,0.24083
1944-03-31,0.35036
1944-04-30,1.7732
1944-05-31,2.1532
1944-06-30,2.5043
1944-07-31,3.0088
1944-08-31,2.9945
1944-09-30,2.5234
1944-10-31,0.97037
1944-11-30,0.37072
1944-12-31,0.20579
1945-01-31,0.1969
1945-02-28,0.25711
1945-03-31,0.40196
1945-04-30,1.8123
1945-05-31,1.9574
1945-06-30,2.1843
1945-07-31,2.7515
1945-08-31,2.8066
1945-09-30,2.3731
1945-10-31,0.88123
1945-11-30,0.33736
1945-12-31,0.16404
1946-01-31,0.1576
1946-02-28,0.25461
1946-03-31,0.37514
1946-04-30,1.6528
1946-05-31,1.7923
1946-06-30,2.266
1946-07-31,2.7631
1946-08-31,2.7465
1946-09-30,2.3258
1946-10-31,0.85436
1946-11-30,0.33128
1946-12-31,0.18336
1947-01-31,0.18166
1947-02-28,0.28754
1947-03-31,0.44223
1947-04-30,1.8587
1947-05-31,2.3703
1947-06-30,2.9775
1947-07-31,3.3768
1947-08-31,3.0492
1947-09-30,2.3686
1947-10-31,0.85238
1947-11-30,0.33085
1947-12-31,0.18674
1948-01-31,0.18777
1948-02-29,0.30991
1948-03-31,0.47953
1948-04-30,1.8415
1948-05-31,2.1866
1948-06-30,2.5072
1948-07-31,3.1864
1948-08-31,2.9144
1948-09-30,2.2607
1948-10-31,0.79162
1948-11-30,0.30388
1948-12-31,0.17284
1949-01-31,0.17588
1949-02-28,0.28972
1949-03-31,0.44695
1949-04-30,1.8263
1949-05-31,2.1347
1949-06-30,2.6459
1949-07-31,2.9779
1949-08-31,2.704
1949-09-30,2.1618
1949-10-31,0.72453
1949-11-30,0.28129
1949-12-31,0.15605
1950-01-31,0.14752
1950-02-28,0.24968
1950-03-31,0.42091
1950-04-30,1.787
1950-05-31,2.0188
1950-06-30,2.5962
1950-07-31,3.2005
1950-08-31,2.9352
1950-09-30,2.3268
1950-10-31,0.82755
