name,Groundwater inflow GW-14 C2VSIM Historical Run 
,
date,inflow
1921-10-31,66.933
1921-11-30,47.209
1921-12-31,38.574
1922-01-31,31.899
1922-02-28,28.555
1922-03-31,26.614
1922-04-30,24.76
1922-05-31,50.122
1922-06-30,71.168
1922-07-31,48.92
1922-08-31,41.652
1922-09-30,18.43
1922-10-31,23.179
1922-11-30,17.171
1922-12-31,17.028
1923-01-31,15.214
1923-02-28,14.361
1923-03-31,24.782
1923-04-30,15.963
1923-05-31,28.335
1923-06-30,35.053
1923-07-31,40.803
1923-08-31,32.574
1923-09-30,10.895
1923-10-31,15.302
1923-11-30,9.42
1923-12-31,8.3621
1924-01-31,10.871
1924-02-29,7.4461
1924-03-31,13.273
1924-04-30,10.172
1924-05-31,20.976
1924-06-30,31.197
1924-07-31,33.09
1924-08-31,29.003
1924-09-30,3.0552
1924-10-31,9.9378
1924-11-30,4.6215
1924-12-31,4.5078
1925-01-31,4.2048
1925-02-28,4.6605
1925-03-31,14.235
1925-04-30,6.9022
1925-05-31,13.916
1925-06-30,34.197
1925-07-31,39.968
1925-08-31,32.385
1925-09-30,2.5689
1925-10-31,9.6581
1925-11-30,3.224
1925-12-31,2.6365
1926-01-31,2.98
1926-02-28,2.9292
1926-03-31,11.258
1926-04-30,6.5611
1926-05-31,14.377
1926-06-30,32.208
1926-07-31,40.192
1926-08-31,35.463
1926-09-30,0.41259
1926-10-31,7.4446
1926-11-30,5.0953
1926-12-31,2.4993
1927-01-31,1.9684
1927-02-28,4.0412
1927-03-31,5.8652
1927-04-30,4.9536
1927-05-31,16.434
1927-06-30,32.707
1927-07-31,45.168
1927-08-31,38.094
1927-09-30,1.1246
1927-10-31,5.5431
1927-11-30,3.8281
1927-12-31,2.1047
1928-01-31,1.6386
1928-02-29,1.3723
1928-03-31,10.106
1928-04-30,5.0629
1928-05-31,13.288
1928-06-30,35.415
1928-07-31,47.027
1928-08-31,37.44
1928-09-30,-0.92784
1928-10-31,6.872
1928-11-30,0.21631
1928-12-31,-0.0932024
1929-01-31,-1.0217
1929-02-28,-1.2296
1929-03-31,4.6794
1929-04-30,0.2384
1929-05-31,11.957
