name,STONY CREEK
,
date,inflow
1921-10-31,7
1921-11-30,1
1921-12-31,5
1922-01-31,5
1922-02-28,32
1922-03-31,27
1922-04-30,40
1922-05-31,37
1922-06-30,20
1922-07-31,21
1922-08-31,19
1922-09-30,15
1922-10-31,7
1922-11-30,3
1922-12-31,18
1923-01-31,26
1923-02-28,23
1923-03-31,10
1923-04-30,27
1923-05-31,19
1923-06-30,20
1923-07-31,22
1923-08-31,20
1923-09-30,15
1923-10-31,2
1923-11-30,1
1923-12-31,1
1924-01-31,1
1924-02-29,6
1924-03-31,4
1924-04-30,10
1924-05-31,0
1924-06-30,1
1924-07-31,0
1924-08-31,1
1924-09-30,0
1924-10-31,0
1924-11-30,2
1924-12-31,11
1925-01-31,17
1925-02-28,167
1925-03-31,35
1925-04-30,58
1925-05-31,77
1925-06-30,20
1925-07-31,21
1925-08-31,19
1925-09-30,15
1925-10-31,7
1925-11-30,1
1925-12-31,2
1926-01-31,13
1926-02-28,104
1926-03-31,22
1926-04-30,66
1926-05-31,19
1926-06-30,20
1926-07-31,22
1926-08-31,20
1926-09-30,9
1926-10-31,0
1926-11-30,21
1926-12-31,49
1927-01-31,50
1927-02-28,263
1927-03-31,70
1927-04-30,47
1927-05-31,26
1927-06-30,20
1927-07-31,21
1927-08-31,20
1927-09-30,15
1927-10-31,7
1927-11-30,5
1927-12-31,11
1928-01-31,26
1928-02-29,71
1928-03-31,93
1928-04-30,54
1928-05-31,19
1928-06-30,20
1928-07-31,22
1928-08-31,20
1928-09-30,14
1928-10-31,0
1928-11-30,1
1928-12-31,3
1929-01-31,3
1929-02-28,10
1929-03-31,3
1929-04-30,11
1929-05-31,19
1929-06-30,19
1929-07-31,0
1929-08-31,1
1929-09-30,0
1929-10-31,0
1929-11-30,0
1929-12-31,7
1930-01-31,17
1930-02-28,28
1930-03-31,61
1930-04-30,18
1930-05-31,19
1930-06-30,20
1930-07-31,21
1930-08-31,19
1930-09-30,14
1930-10-31,0
1930-11-30,1
1930-12-31,0
1931-01-31,7
1931-02-28,5
1931-03-31,7
1931-04-30,11
1931-05-31,19
1931-06-30,6
1931-07-31,0
1931-08-31,1
