date,kaf
1921-10-31,10.85755
1921-11-30,20.823292
1921-12-31,35.490749
1922-01-31,30.187262
1922-02-28,45.020454
1922-03-31,75.389236
1922-04-30,153.659088
1922-05-31,265.233582
1922-06-30,110.822769
1922-07-31,20.099192
1922-08-31,7.296242
1922-09-30,4.342625
1922-10-31,17.43561
1922-11-30,20.160357
1922-12-31,36.471344
1923-01-31,51.235477
1923-02-28,45.458466
1923-03-31,83.320793
1923-04-30,168.831635
1923-05-31,160.091141
1923-06-30,60.773075
1923-07-31,22.208355
1923-08-31,8.407054
1923-09-30,8.018368
1923-10-31,16.46291
1923-11-30,13.613863
1923-12-31,18.35504
1924-01-31,20.373442
1924-02-29,80.081085
1924-03-31,31.755816
1924-04-30,42.907345
1924-05-31,27.024506
1924-06-30,6.779309
1924-07-31,2.61031
1924-08-31,2.509686
1924-09-30,2.434711
1924-10-31,16.664158
1924-11-30,94.407211
1924-12-31,65.297218
1925-01-31,70.283051
1925-02-28,286.384399
1925-03-31,160.446289
1925-04-30,331.882324
1925-05-31,279.459076
1925-06-30,120.689857
1925-07-31,35.149418
1925-08-31,11.899305
1925-09-30,18.773321
1925-10-31,14.347828
1925-11-30,18.737806
1925-12-31,42.6035
1926-01-31,26.300406
1926-02-28,166.266708
1926-03-31,134.796982
1926-04-30,259.886688
1926-05-31,95.174713
1926-06-30,28.080072
1926-07-31,9.012773
1926-08-31,4.660282
1926-09-30,4.766825
1926-10-31,13.594133
1926-11-30,178.805267
1926-12-31,219.094421
1927-01-31,142.452316
1927-02-28,254.401672
1927-03-31,202.945221
1927-04-30,257.321747
1927-05-31,285.378143
1927-06-30,186.805878
1927-07-31,49.686657
1927-08-31,15.807866
1927-09-30,10.269588
1927-10-31,12.082797
1927-11-30,76.20015
1927-12-31,42.899452
1928-01-31,82.241547
1928-02-29,132.685837
1928-03-31,226.443924
1928-04-30,194.461212
1928-05-31,203.359543
1928-06-30,49.915527
1928-07-31,17.680265
1928-08-31,7.611925
1928-09-30,6.613575
1928-10-31,9.413296
1928-11-30,23.522388
1928-12-31,25.692715
1929-01-31,29.662437
1929-02-28,46.833664
1929-03-31,83.439171
1929-04-30,78.709831
1929-05-31,144.997513
1929-06-30,59.115734
1929-07-31,14.801623
1929-08-31,5.662578
1929-09-30,3.961832
1929-10-31,7.499463
1929-11-30,7.179833
1929-12-31,152.185242
1930-01-31,40.967865
1930-02-28,121.262032
1930-03-31,151.409836
1930-04-30,159.124359
1930-05-31,102.123703
1930-06-30,43.317734
1930-07-31,12.962766
1930-08-31,5.999965
1930-09-30,6.053236
1930-10-31,7.576411
1930-11-30,10.111747
1930-12-31,14.858841
1931-01-31,34.012955
1931-02-28,42.013565
1931-03-31,83.816017
1931-04-30,86.442116
1931-05-31,65.066376
1931-06-30,40.460796
1931-07-31,8.841119
1931-08-31,3.521847
1931-09-30,3.31468
1931-10-31,8.409027
1931-11-30,10.57738
1931-12-31,21.586851
1932-01-31,31.284264
1932-02-29,39.312496
1932-03-31,171.514954
1932-04-30,123.274521
1932-05-31,205.766632
1932-06-30,76.58094
1932-07-31,17.623047
1932-08-31,6.678685
1932-09-30,4.350517
1932-10-31,5.692173
1932-11-30,15.584914
1932-12-31,16.2222
1933-01-31,16.326771
1933-02-28,18.303741
1933-03-31,136.0755
