date,kaf
1921-09-30,2053
1921-10-31,1834.956787
1921-11-30,1720.575317
1921-12-31,1683.780273
1922-01-31,1695.494629
1922-02-28,1723.652832
1922-03-31,1779.659302
1922-04-30,1898.471802
1922-05-31,1978.392334
1922-06-30,2034.557373
1922-07-31,2002.21875
1922-08-31,1972.777588
1922-09-30,1943.881592
1922-10-31,1935.673706
1922-11-30,1937.401611
1922-12-31,1875.37854
1923-01-31,1732.705322
1923-02-28,1701.254639
1923-03-31,1764.406494
1923-04-30,1898.272095
1923-05-31,1873.116699
1923-06-30,1880.182861
1923-07-31,1825.597168
1923-08-31,1798.1875
1923-09-30,1773.8396
1923-10-31,1764.97168
1923-11-30,1759.926025
1923-12-31,1556.682983
1924-01-31,1368.392212
1924-02-29,1384.232788
1924-03-31,1396.613403
1924-04-30,1400.963745
1924-05-31,1331.313965
1924-06-30,1286.158447
1924-07-31,1052.870361
1924-08-31,1023.207214
1924-09-30,995.801575
1924-10-31,988.34259
1924-11-30,1065.015015
1924-12-31,1112.078369
1925-01-31,1164.03125
1925-02-28,1434.603638
1925-03-31,1575.78125
1925-04-30,1878.228638
1925-05-31,1863.528931
1925-06-30,1826.855347
1925-07-31,1583.259888
1925-08-31,1358.473877
1925-09-30,1151.262085
1925-10-31,1134.071777
1925-11-30,1128.7052
1925-12-31,1144.838013
1926-01-31,1152.664307
1926-02-28,1302.524902
1926-03-31,1417.22583
1926-04-30,1642.232422
1926-05-31,1552.824829
1926-06-30,1527.833252
1926-07-31,1299.595337
1926-08-31,1068.903198
1926-09-30,848.459473
1926-10-31,760.497314
1926-11-30,921.909363
1926-12-31,1123.515503
1927-01-31,1248.001343
1927-02-28,1486.434692
1927-03-31,1670.6875
1927-04-30,1898.433716
1927-05-31,1889.608765
1927-06-30,1919.196167
1927-07-31,1689.827026
1927-08-31,1468.78772
1927-09-30,1278.725098
1927-10-31,1265.990845
1927-11-30,1324.160522
1927-12-31,1348.611694
1928-01-31,1412.574097
1928-02-29,1528.689697
1928-03-31,1735.844482
1928-04-30,1898.338623
1928-05-31,1838.608276
1928-06-30,1755.210571
1928-07-31,1508.859497
1928-08-31,1440.231201
1928-09-30,1415.714966
1928-10-31,1400.210083
1928-11-30,1405.45752
1928-12-31,1289.122437
1929-01-31,1300.339722
1929-02-28,1330.361084
1929-03-31,1394.497803
1929-04-30,1435.714844
1929-05-31,1484.457397
1929-06-30,1491.155762
1929-07-31,1471.041138
