date,kaf
1921-10-31,59.419
1921-11-30,24.435
1921-12-31,19.983
1922-01-31,9.971
1922-02-28,7.28
1922-03-31,12.034
1922-04-30,102.243
1922-05-31,137.41
1922-06-30,145.359
1922-07-31,166.741
1922-08-31,149.343
1922-09-30,82.349
1922-10-31,59.419
1922-11-30,36.227
1922-12-31,19.983
1923-01-31,9.971
1923-02-28,7.28
1923-03-31,12.034
1923-04-30,102.243
1923-05-31,5.076
1923-06-30,7.647
1923-07-31,10.976
1923-08-31,14.947
1923-09-30,18.9
1923-10-31,16.109
1923-11-30,16.267
1923-12-31,9.647
1924-01-31,8.779
1924-02-29,6.31
1924-03-31,2.294
1924-04-30,1.062
1924-05-31,3.903
1924-06-30,5.882
1924-07-31,8.497
1924-08-31,11.6
1924-09-30,78.117
1924-10-31,59.419
1924-11-30,36.227
1924-12-31,19.983
1925-01-31,9.971
1925-02-28,7.28
1925-03-31,12.034
1925-04-30,102.243
1925-05-31,137.41
1925-06-30,153.843
1925-07-31,166.741
1925-08-31,149.343
1925-09-30,82.349
1925-10-31,59.419
1925-11-30,20.915
1925-12-31,19.983
1926-01-31,9.971
1926-02-28,7.28
1926-03-31,12.034
1926-04-30,102.243
1926-05-31,137.41
1926-06-30,153.843
1926-07-31,166.741
1926-08-31,149.343
1926-09-30,82.349
1926-10-31,59.419
1926-11-30,36.227
1926-12-31,19.983
1927-01-31,9.971
1927-02-28,7.28
1927-03-31,12.034
1927-04-30,102.243
1927-05-31,137.41
1927-06-30,153.843
1927-07-31,166.741
1927-08-31,149.343
1927-09-30,82.349
1927-10-31,59.419
1927-11-30,36.227
1927-12-31,19.983
1928-01-31,9.971
1928-02-29,7.28
1928-03-31,12.034
1928-04-30,102.243
1928-05-31,5.076
1928-06-30,7.647
1928-07-31,10.976
1928-08-31,14.947
1928-09-30,18.9
1928-10-31,21.253
1928-11-30,18.324
1928-12-31,19.983
1929-01-31,9.971
1929-02-28,7.28
1929-03-31,2.618
1929-04-30,1.406
1929-05-31,5.076
1929-06-30,7.647
1929-07-31,10.976
1929-08-31,14.947
1929-09-30,22.857
1929-10-31,21.253
1929-11-30,36.227
1929-12-31,19.983
1930-01-31,9.971
1930-02-28,7.28
1930-03-31,12.034
1930-04-30,46.258
1930-05-31,5.076
1930-06-30,7.647
1930-07-31,10.976
1930-08-31,14.947
1930-09-30,18.9
1930-10-31,16.109
1930-11-30,14.279
1930-12-31,17.542
1931-01-31,8.779
1931-02-28,6.31
1931-03-31,2.294
1931-04-30,1.062
1931-05-31,3.903
1931-06-30,5.882
1931-07-31,8.497
1931-08-31,11.6
1931-09-30,14.668
1931-10-31,16.109
1931-11-30,32.183
1931-12-31,17.542
1932-01-31,8.779
1932-02-29,6.31
1932-03-31,2.294
1932-04-30,1.062
1932-05-31,3.903
1932-06-30,5.882
1932-07-31,8.497
1932-08-31,11.6
1932-09-30,14.668
1932-10-31,16.109
1932-11-30,14.279
1932-12-31,17.542
1933-01-31,8.779
1933-02-28,6.31
1933-03-31,2.294
1933-04-30,1.062
1933-05-31,3.903
1933-06-30,5.882
1933-07-31,8.497
1933-08-31,11.6
1933-09-30,14.668
1933-10-31,16.109
1933-11-30,30.071
1933-12-31,17.542
1934-01-31,8.779
1934-02-28,6.31
1934-03-31,2.294
1934-04-30,1.062
1934-05-31,3.903
1934-06-30,5.882
1934-07-31,8.497
1934-08-31,64.45
1934-09-30,78.117
1934-10-31,59.419
1934-11-30,36.227
1934-12-31,19.983
1935-01-31,9.971
1935-02-28,7.28
1935-03-31,12.034
1935-04-30,102.243
1935-05-31,137.41
1935-06-30,153.843
1935-07-31,166.741
1935-08-31,149.343
1935-09-30,82.349
1935-10-31,59.419
1935-11-30,26.987
