date,kaf
1921-10-31,67.295937
1921-11-30,18.417965
1921-12-31,1.069932
1922-01-31,0.593932
1922-02-28,0.497591
1922-03-31,0
1922-04-30,154.410324
1922-05-31,192.034302
1922-06-30,249.679749
1922-07-31,148.448975
1922-08-31,197.128922
1922-09-30,18.306198
1922-10-31,66.07486
1922-11-30,21.273787
1922-12-31,1.069932
1923-01-31,4.489386
1923-02-28,0.497591
1923-03-31,2.366529
1923-04-30,163.110321
1923-05-31,206.952484
1923-06-30,0
1923-07-31,0
1923-08-31,0
1923-09-30,0
1923-10-31,67.789062
1923-11-30,33.32872
1923-12-31,18.766733
1924-01-31,4.020637
1924-02-29,0.460659
1924-03-31,0
1924-04-30,0
1924-05-31,0
1924-06-30,0
1924-07-31,0
1924-08-31,68.507912
1924-09-30,84.288017
1924-10-31,70.274864
1924-11-30,14.340803
1924-12-31,1.069932
1925-01-31,4.489386
1925-02-28,0.497591
1925-03-31,0
1925-04-30,118.610321
1925-05-31,120.707756
1925-06-30,0
1925-07-31,242.688873
1925-08-31,197.128922
1925-09-30,90.506195
1925-10-31,70.274864
1925-11-30,33.49197
1925-12-31,10.930262
1926-01-31,0.593932
1926-02-28,0.497591
1926-03-31,0
1926-04-30,114.310326
1926-05-31,0
1926-06-30,0
1926-07-31,246.063049
1926-08-31,197.128922
1926-09-30,84.288017
1926-10-31,52.203754
1926-11-30,0.417591
1926-12-31,1.069932
1927-01-31,4.489386
1927-02-28,2.470731
1927-03-31,2.366529
1927-04-30,154.410324
1927-05-31,193.947113
1927-06-30,235.279755
1927-07-31,250.383057
1927-08-31,191.808929
1927-09-30,84.288017
1927-10-31,69.295937
1927-11-30,24.07379
1927-12-31,5.930262
1928-01-31,4.489386
1928-02-29,0.497591
1928-03-31,0
1928-04-30,154.410324
1928-05-31,0
1928-06-30,0
1928-07-31,0
1928-08-31,0
1928-09-30,0
1928-10-31,2.227341
1928-11-30,0
1928-12-31,10.093485
1929-01-31,0.593932
1929-02-28,0.497591
1929-03-31,0
1929-04-30,0
1929-05-31,0
1929-06-30,0
1929-07-31,0
1929-08-31,0
1929-09-30,90.506195
1929-10-31,58.75367
1929-11-30,20.082142
1929-12-31,1.069932
1930-01-31,4.489386
1930-02-28,0.497591
1930-03-31,0
1930-04-30,0
1930-05-31,0
1930-06-30,0
1930-07-31,0
1930-08-31,0
1930-09-30,0
1930-10-31,0
1930-11-30,37.303719
1930-12-31,18.523554
1931-01-31,3.690058
1931-02-28,0.460659
1931-03-31,0
1931-04-30,0
1931-05-31,0
1931-06-30,0
1931-07-31,0
1931-08-31,0
1931-09-30,0
1931-10-31,0
1931-11-30,12.714201
1931-12-31,0
1932-01-31,4.020637
1932-02-29,0.460659
1932-03-31,2.077273
1932-04-30,0
1932-05-31,0
1932-06-30,0
1932-07-31,0
1932-08-31,0
1932-09-30,30.749113
1932-10-31,64.639069
1932-11-30,37.303719
1932-12-31,19.360331
1933-01-31,0.125182
1933-02-28,0.460659
1933-03-31,0
1933-04-30,0
1933-05-31,0
1933-06-30,0
1933-07-31,0
1933-08-31,0
1933-09-30,0
1933-10-31,65.739067
1933-11-30,34.530117
1933-12-31,0
1934-01-31,0.125182
1934-02-28,0.460659
1934-03-31,0
1934-04-30,0
1934-05-31,0
1934-06-30,0
1934-07-31,0
1934-08-31,0
1934-09-30,80.689903
1934-10-31,70.274864
1934-11-30,7.19979
1934-12-31,1.069932
1935-01-31,4.489386
1935-02-28,0.497591
1935-03-31,0
1935-04-30,154.410324
1935-05-31,200.734299
1935-06-30,167.079758
1935-07-31,250.383057
1935-08-31,192.708923
1935-09-30,16.088017
1935-10-31,4.500068
1935-11-30,25.917971
1935-12-31,14.230262
1936-01-31,4.489386
1936-02-29,0.497591
1936-03-31,0
1936-04-30,163.110321
1936-05-31,193.947113
1936-06-30,241.49794
1936-07-31,221.881699
1936-08-31,123.008926
1936-09-30,88.106194
1936-10-31,69.174858
1936-11-30,36.691971
1936-12-31,26.648443
1937-01-31,4.489386
1937-02-28,0.497591
1937-03-31,2.366529
1937-04-30,154.410324
1937-05-31,198.252472
1937-06-30,235.279755
1937-07-31,241.68306
1937-08-31,199.184021
1937-09-30,85.456184
1937-10-31,66.277756
1937-11-30,32.773788
1937-12-31,20.430262
1938-01-31,4.489386
1938-02-28,0.497591
1938-03-31,0
1938-04-30,154.410324
1938-05-31,131.074295
1938-06-30,249.679749
1938-07-31,194.404175
1938-08-31,0
1938-09-30,0
1938-10-31,58.45668
1938-11-30,31.503128
1938-12-31,20.430262
1939-01-31,4.489386
1939-02-28,0.497591
1939-03-31,2.077273
1939-04-30,0
1939-05-31,0
1939-06-30,0
1939-07-31,250.383057
1939-08-31,194.108917
1939-09-30,82.688019
1939-10-31,72.495934
1939-11-30,25.800323
1939-12-31,20.219524
1940-01-31,4.489386
1940-02-29,0.497591
1940-03-31,2.366529
1940-04-30,163.110321
