date,kaf
1921-10-31,0.0
1921-11-30,0.0
1921-12-31,0.0
1922-01-31,0.0
1922-02-28,6.865530303
1922-03-31,9.15719697
1922-04-30,29.04
1922-05-31,29.04
1922-06-30,29.04
1922-07-31,29.04
1922-08-31,29.04
1922-09-30,1.1088
1922-10-31,5.9839824
1922-11-30,0.0
1922-12-31,0.0
1923-01-31,0.0
1923-02-28,6.865530303
1923-03-31,8.535286622
1923-04-30,8.773212121
1923-05-31,12.5895
1923-06-30,29.04
1923-07-31,29.04
1923-08-31,20.84707576
1923-09-30,1.1088
1923-10-31,0.0
1923-11-30,0.0
1923-12-31,0.0
1924-01-31,0.0
1924-02-29,0.0
1924-03-31,0.0
1924-04-30,8.773212121
1924-05-31,12.5895
1924-06-30,29.04
1924-07-31,29.04
1924-08-31,11.87655044
1924-09-30,1.832412622
1924-10-31,6.688092886
1924-11-30,4.0479824
1924-12-31,0.0
1925-01-31,4.131718307
1925-02-28,0.0
1925-03-31,9.15719697
1925-04-30,11.41321212
1925-05-31,29.04
1925-06-30,29.04
1925-07-31,29.04
1925-08-31,20.84707576
1925-09-30,1.1088
1925-10-31,3.5305424
1925-11-30,0.0
1925-12-31,0.0
1926-01-31,0.0
1926-02-28,0.0
1926-03-31,9.15719697
1926-04-30,8.773212121
1926-05-31,21.52093269
1926-06-30,29.04
1926-07-31,29.04
1926-08-31,20.84707576
1926-09-30,1.1088
1926-10-31,6.1599824
1926-11-30,0.0
1926-12-31,0.0
1927-01-31,0.0
1927-02-28,4.225530303
1927-03-31,9.15719697
1927-04-30,29.04
1927-05-31,29.04
1927-06-30,29.04
1927-07-31,29.04
1927-08-31,20.84707576
1927-09-30,1.1088
1927-10-31,5.4559824
1927-11-30,7.130681818
1927-12-31,0.0
1928-01-31,0.0
1928-02-29,0.0
1928-03-31,6.51719697
1928-04-30,29.04
1928-05-31,17.91225507
1928-06-30,29.04
1928-07-31,29.04
1928-08-31,20.84707576
1928-09-30,1.1088
1928-10-31,0.0
1928-11-30,0.0
1928-12-31,0.0
1929-01-31,0.0
1929-02-28,0.0
1929-03-31,0.0
1929-04-30,8.773212121
1929-05-31,12.5895
1929-06-30,29.04
1929-07-31,17.22979319
1929-08-31,16.57619624
1929-09-30,1.584
1929-10-31,0.528
1929-11-30,0.0
1929-12-31,0.0
1930-01-31,0.0
1930-02-28,0.0
1930-03-31,0.0
1930-04-30,29.04
1930-05-31,12.5895
1930-06-30,29.04
1930-07-31,29.04
1930-08-31,16.36914444
1930-09-30,1.584
1930-10-31,0.528
1930-11-30,0.0
1930-12-31,0.0
1931-01-31,0.0
1931-02-28,0.0
1931-03-31,0.0
1931-04-30,8.773212121
1931-05-31,8.110885269
1931-06-30,2.772
1931-07-31,2.6048
1931-08-31,2.6048
1931-09-30,0.0
1931-10-31,2.708732886
1931-11-30,0.0
1931-12-31,0.0
1932-01-31,0.0
1932-02-29,0.0
1932-03-31,9.15719697
1932-04-30,28.81729053
1932-05-31,12.5895
1932-06-30,29.04
1932-07-31,29.04
1932-08-31,20.84707576
1932-09-30,1.1088
1932-10-31,0.0
1932-11-30,0.0
1932-12-31,0.0
1933-01-31,0.0
1933-02-28,0.0
1933-03-31,0.0
1933-04-30,8.773212121
1933-05-31,12.5895
1933-06-30,29.04
1933-07-31,29.04
1933-08-31,20.84707576
1933-09-30,1.584
1933-10-31,0.0
1933-11-30,0.0
1933-12-31,0.0
1934-01-31,0.0
1934-02-28,0.0
1934-03-31,0.0
1934-04-30,18.37659038
1934-05-31,15.2295
1934-06-30,29.04
1934-07-31,29.04
1934-08-31,20.84707576
1934-09-30,1.1088
1934-10-31,5.5439824
1934-11-30,0.766471854
1934-12-31,0.0
1935-01-31,0.0
1935-02-28,0.0
1935-03-31,0.0
1935-04-30,29.04
1935-05-31,29.04
1935-06-30,29.04
1935-07-31,29.04
1935-08-31,20.84707576
1935-09-30,1.1088
1935-10-31,7.8319824
1935-11-30,2.1119824
