date,kaf
1921-10-31,6.79583
1921-11-30,3.27149
1921-12-31,2.59463
1922-01-31,0.67686
1922-02-28,0.59517
1922-03-31,2.30288
1922-04-30,37.06781
1922-05-31,57.124649
1922-06-30,68.635162
1922-07-31,74.065598
1922-08-31,59.692047
1922-09-30,21.25107
1922-10-31,6.79583
1922-11-30,3.27149
1922-12-31,2.59463
1923-01-31,0.67686
1923-02-28,0.59517
1923-03-31,2.30288
1923-04-30,37.06781
1923-05-31,57.124649
1923-06-30,68.635162
1923-07-31,74.065598
1923-08-31,59.692047
1923-09-30,21.25107
1923-10-31,6.79583
1923-11-30,3.27149
1923-12-31,2.59463
1924-01-31,0.67686
1924-02-29,0.59517
1924-03-31,2.30288
1924-04-30,37.06781
1924-05-31,57.124649
1924-06-30,68.635162
1924-07-31,74.065598
1924-08-31,59.692047
1924-09-30,21.25107
1924-10-31,6.79583
1924-11-30,3.27149
1924-12-31,2.59463
1925-01-31,0.67686
1925-02-28,0.59517
1925-03-31,2.30288
1925-04-30,37.06781
1925-05-31,57.124649
1925-06-30,68.635162
1925-07-31,74.065598
1925-08-31,59.692047
1925-09-30,21.25107
1925-10-31,6.79583
1925-11-30,3.27149
1925-12-31,2.59463
1926-01-31,0.67686
1926-02-28,0.59517
1926-03-31,2.30288
1926-04-30,37.06781
1926-05-31,57.124649
1926-06-30,68.635162
1926-07-31,74.065598
1926-08-31,59.692047
1926-09-30,21.25107
1926-10-31,6.79583
1926-11-30,3.27149
1926-12-31,2.59463
1927-01-31,0.67686
1927-02-28,0.59517
1927-03-31,2.30288
1927-04-30,37.06781
1927-05-31,57.124649
1927-06-30,68.635162
1927-07-31,74.065598
1927-08-31,59.692047
1927-09-30,21.25107
1927-10-31,6.79583
1927-11-30,3.27149
1927-12-31,2.59463
1928-01-31,0.67686
1928-02-29,0.59517
1928-03-31,2.30288
1928-04-30,37.06781
1928-05-31,57.124649
1928-06-30,68.635162
1928-07-31,74.065598
1928-08-31,59.692047
1928-09-30,21.25107
1928-10-31,6.79583
1928-11-30,3.27149
1928-12-31,2.59463
1929-01-31,0.67686
1929-02-28,0.59517
1929-03-31,2.30288
1929-04-30,37.06781
1929-05-31,57.124649
1929-06-30,68.635162
1929-07-31,74.065598
1929-08-31,59.692047
1929-09-30,21.25107
1929-10-31,6.79583
1929-11-30,3.27149
1929-12-31,2.59463
1930-01-31,0.67686
1930-02-28,0.59517
1930-03-31,2.30288
1930-04-30,37.06781
1930-05-31,57.124649
1930-06-30,68.635162
1930-07-31,74.065598
1930-08-31,59.692047
1930-09-30,21.25107
1930-10-31,6.79583
1930-11-30,3.27149
1930-12-31,2.59463
1931-01-31,0.67686
1931-02-28,0.59517
1931-03-31,2.30288
1931-04-30,37.06781
1931-05-31,57.124649
1931-06-30,68.635162
1931-07-31,74.065598
1931-08-31,59.692047
1931-09-30,21.25107
1931-10-31,6.79583
1931-11-30,3.27149
1931-12-31,2.59463
1932-01-31,0.67686
1932-02-29,0.59517
1932-03-31,2.30288
1932-04-30,37.06781
1932-05-31,57.124649
1932-06-30,68.635162
1932-07-31,74.065598
1932-08-31,59.692047
1932-09-30,21.25107
1932-10-31,6.79583
1932-11-30,3.27149
1932-12-31,2.59463
1933-01-31,0.67686
1933-02-28,0.59517
1933-03-31,2.30288
1933-04-30,37.06781
1933-05-31,57.124649
1933-06-30,68.635162
1933-07-31,74.065598
1933-08-31,59.692047
1933-09-30,21.25107
1933-10-31,6.79583
1933-11-30,3.27149
1933-12-31,2.59463
1934-01-31,0.67686
1934-02-28,0.59517
1934-03-31,2.30288
1934-04-30,37.06781
1934-05-31,57.124649
1934-06-30,68.635162
1934-07-31,74.065598
1934-08-31,59.692047
1934-09-30,21.25107
1934-10-31,6.79583
1934-11-30,3.27149
1934-12-31,2.59463
1935-01-31,0.67686
1935-02-28,0.59517
1935-03-31,2.30288
1935-04-30,37.06781
1935-05-31,57.124649
1935-06-30,68.635162
1935-07-31,74.065598
1935-08-31,59.692047
1935-09-30,21.25107
1935-10-31,6.79583
1935-11-30,3.27149
1935-12-31,2.59463
1936-01-31,0.67686
1936-02-29,0.59517
1936-03-31,2.30288
1936-04-30,37.06781
1936-05-31,57.124649
1936-06-30,68.635162
1936-07-31,74.065598
1936-08-31,59.692047
1936-09-30,21.25107
1936-10-31,6.79583
1936-11-30,3.27149
1936-12-31,2.59463
1937-01-31,0.67686
1937-02-28,0.59517
1937-03-31,2.30288
1937-04-30,37.06781
1937-05-31,57.124649
1937-06-30,68.635162
1937-07-31,74.065598
1937-08-31,59.692047
1937-09-30,21.25107
1937-10-31,6.79583
1937-11-30,3.27149
1937-12-31,2.59463
1938-01-31,0.67686
1938-02-28,0.59517
1938-03-31,2.30288
1938-04-30,37.06781
1938-05-31,57.124649
1938-06-30,68.635162
1938-07-31,74.065598
1938-08-31,59.692047
1938-09-30,21.25107
1938-10-31,6.79583
1938-11-30,3.27149
1938-12-31,2.59463
1939-01-31,0.67686
1939-02-28,0.59517
1939-03-31,2.30288
1939-04-30,37.06781
1939-05-31,57.124649
1939-06-30,68.635162
1939-07-31,74.065598
1939-08-31,59.692047
1939-09-30,21.25107
1939-10-31,6.79583
1939-11-30,3.27149
1939-12-31,2.59463
1940-01-31,0.67686
1940-02-29,0.59517
