date,kaf
1921-10-31,0.768
1921-11-30,0.56
1921-12-31,3.53967
1922-01-31,18.488001
1922-02-28,48.068001
1922-03-31,36.127201
1922-04-30,40.992001
1922-05-31,55.790436
1922-06-30,34.588799
1922-07-31,0.2688
1922-08-31,7.5888
1922-09-30,0.640014
1922-10-31,0.768
1922-11-30,0.56
1922-12-31,25.539671
1923-01-31,25.488001
1923-02-28,15.068001
1923-03-31,14.1272
1923-04-30,31.992004
1923-05-31,17.7904
1923-06-30,13.268801
1923-07-31,8.2688
1923-08-31,6.2688
1923-09-30,3.64
1923-10-31,4.766003
1923-11-30,0.484004
1923-12-31,0.324
1924-01-31,8.687503
1924-02-29,22.278
1924-03-31,15.5072
1924-04-30,14.154
1924-05-31,8.1864
1924-06-30,5.2168
1924-07-31,5.2168
1924-08-31,4.3868
1924-09-30,1.585
1924-10-31,1.968
1924-11-30,7.338763
1924-12-31,0.4
1925-01-31,10.488
1925-02-28,1055.391968
1925-03-31,22.127199
1925-04-30,0.192
1925-05-31,0.2304
1925-06-30,11.588803
1925-07-31,0.2688
1925-08-31,4.5888
1925-09-30,2.64
1925-10-31,2.968
1925-11-30,0.56
1925-12-31,0.4
1926-01-31,10.592546
1926-02-28,354.845551
1926-03-31,18.127199
1926-04-30,0.192
1926-05-31,13.79041
1926-06-30,7.588804
1926-07-31,0.2688
1926-08-31,3.5888
1926-09-30,1.640006
1926-10-31,2.96801
1926-11-30,29.059999
1926-12-31,0.53967
1927-01-31,31.488001
1927-02-28,2749.723145
1927-03-31,34.127201
1927-04-30,184.810684
1927-05-31,29.7904
1927-06-30,14.5888
1927-07-31,10.5888
1927-08-31,0.2688
1927-09-30,3.640013
1927-10-31,0.768
1927-11-30,20.059999
1927-12-31,0.4
1928-01-31,16.488001
1928-02-29,26.068001
1928-03-31,826.636414
1928-04-30,29.992001
1928-05-31,19.2304
1928-06-30,12.268813
1928-07-31,8.2688
1928-08-31,9.2688
1928-09-30,7.04
1928-10-31,7.368
1928-11-30,10.460002
1928-12-31,0.4
1929-01-31,8.488004
1929-02-28,15.068001
1929-03-31,18.527201
1929-04-30,17.191999
1929-05-31,14.2304
1929-06-30,11.268802
1929-07-31,9.268821
1929-08-31,6.5888
1929-09-30,2.640002
1929-10-31,0.768
1929-11-30,0.56
1929-12-31,22.539671
1930-01-31,30.488001
1930-02-28,32.068001
1930-03-31,38.76067
1930-04-30,30.992001
1930-05-31,23.2304
1930-06-30,12.2688
1930-07-31,9.268811
1930-08-31,8.2688
1930-09-30,6.040002
1930-10-31,5.966
1930-11-30,2.959
1930-12-31,4.499
1931-01-31,12.487513
1931-02-28,10.078
1931-03-31,18.607201
1931-04-30,12.754001
1931-05-31,9.3864
1931-06-30,6.416811
1931-07-31,4.316806
1931-08-31,2.9168
1931-09-30,4.76
1931-10-31,6.766
1931-11-30,0.484
1931-12-31,6.93867
1932-01-31,20.787502
1932-02-29,15.778001
1932-03-31,24.537201
1932-04-30,27.8915
1932-05-31,26.221401
1932-06-30,14.0168
1932-07-31,7.7168
1932-08-31,4.786801
1932-09-30,2.685003
1932-10-31,0.616015
1932-11-30,3.859
1932-12-31,5.199
1933-01-31,4.392046
1933-02-28,6.078
1933-03-31,20.537201
1933-04-30,20.854002
1933-05-31,23.086399
1933-06-30,14.116799
1933-07-31,5.7168
1933-08-31,5.9168
1933-09-30,2.885
1933-10-31,0.616
1933-11-30,0.484
1933-12-31,0.324
1934-01-31,18.192045
1934-02-28,28.077999
1934-03-31,24.807199
1934-04-30,13.754001
1934-05-31,10.186404
1934-06-30,7.9168
1934-07-31,5.5168
1934-08-31,3.686807
1934-09-30,0.46
1934-10-31,2.068
1934-11-30,0.56
1934-12-31,7.01367
1935-01-31,29.188004
1935-02-28,19.368
1935-03-31,36.527203
1935-04-30,394.449799
1935-05-31,44.3904
1935-06-30,15.3888
1935-07-31,6.9888
1935-08-31,0.2688
1935-09-30,2.54
1935-10-31,3.268002
1935-11-30,3.56
1935-12-31,0.4
1936-01-31,128.551559
1936-02-29,417.346832
1936-03-31,28.8272
1936-04-30,38.192009
1936-05-31,16.7904
1936-06-30,12.9888
1936-07-31,7.288805
1936-08-31,0.2688
1936-09-30,0.64
1936-10-31,0.768
1936-11-30,0.56
1936-12-31,4.6
1937-01-31,5.788001
1937-02-28,18.068003
1937-03-31,41.7272
1937-04-30,51.091999
1937-05-31,36.890411
1937-06-30,19.0888
1937-07-31,8.0888
1937-08-31,0.853412
1937-09-30,0.64
1937-10-31,3.368001
1937-11-30,80.871124
1937-12-31,1155.690308
1938-01-31,26.888
1938-02-28,2656.321289
1938-03-31,3497.762451
1938-04-30,386.516632
1938-05-31,0.2304
1938-06-30,25.588802
1938-07-31,0.2688
1938-08-31,0.2688
1938-09-30,3.84
1938-10-31,0.768
1938-11-30,8.060001
1938-12-31,10.6
1939-01-31,10.588
1939-02-28,9.868
1939-03-31,20.227203
1939-04-30,17.492001
1939-05-31,12.390401
1939-06-30,6.9888
1939-07-31,3.8888
1939-08-31,0.2688
1939-09-30,0.640013
1939-10-31,2.868002
1939-11-30,0.560009
1939-12-31,8.289266
1940-01-31,96.901245
1940-02-29,1095.577637
1940-03-31,1444.306641
1940-04-30,202.940033
1940-05-31,8.349923
1940-06-30,0.2688
1940-07-31,6.1888
1940-08-31,0.2688
1940-09-30,3.640022
1940-10-31,0.768001
1940-11-30,7.260008
1940-12-31,442.339905
1941-01-31,2686.473633
1941-02-28,2181.946777
1941-03-31,1326.66626
1941-04-30,1351.008057
1941-05-31,88.734879
1941-06-30,0.2688
1941-07-31,0.2688
1941-08-31,0.2688
1941-09-30,4.84
1941-10-31,0.768004
1941-11-30,7.66
1941-12-31,621.991333
1942-01-31,1062.44165
1942-02-28,2603.636719
1942-03-31,24.527199
1942-04-30,54.192001
1942-05-31,38.290401
1942-06-30,26.688801
1942-07-31,0.2688
1942-08-31,0.2688
1942-09-30,0.64
1942-10-31,0.768
1942-11-30,9.360003
1942-12-31,19.9
1943-01-31,610.549805
1943-02-28,364.539795
1943-03-31,503.300812
1943-04-30,0.192
1943-05-31,0.2304
1943-06-30,0.2688
1943-07-31,10.5688
1943-08-31,7.2888
1943-09-30,3.740008
1943-10-31,0.768
1943-11-30,5.06
1943-12-31,7.3
1944-01-31,10.988001
1944-02-29,19.968
1944-03-31,29.427198
1944-04-30,9.067342
1944-05-31,24.090399
1944-06-30,12.888802
1944-07-31,7.5888
1944-08-31,0.2688
1944-09-30,0.64
1944-10-31,0.768
1944-11-30,12.76
1944-12-31,19.9
1945-01-31,14.988
1945-02-28,227.001923
1945-03-31,29.027201
1945-04-30,0.192
1945-05-31,26.3904
1945-06-30,14.8888
1945-07-31,8.388801
1945-08-31,0.268813
1945-09-30,0.640016
1945-10-31,0.768006
1945-11-30,13.46
1945-12-31,1433.912476
1946-01-31,408.057373
1946-02-28,18.768002
1946-03-31,21.427198
1946-04-30,0.192
1946-05-31,15.190399
1946-06-30,9.5888
1946-07-31,6.6888
1946-08-31,5.4888
1946-09-30,2.14
1946-10-31,2.168
1946-11-30,0.560001
1946-12-31,12.700001
1947-01-31,7.888
1947-02-28,21.868
1947-03-31,28.827202
1947-04-30,28.392
1947-05-31,12.390402
1947-06-30,9.388803
1947-07-31,0.2688
1947-08-31,0.2688
1947-09-30,0.64
1947-10-31,0.768
1947-11-30,8.06
1947-12-31,6.3
1948-01-31,19.392548
1948-02-29,9.467999
1948-03-31,25.460672
1948-04-30,0.192008
1948-05-31,0.2304
1948-06-30,25.5888
1948-07-31,0.2688
1948-08-31,0.2688
1948-09-30,4.84
1948-10-31,2.768003
1948-11-30,0.56
1948-12-31,8.900001
1949-01-31,5.288
1949-02-28,8.068
1949-03-31,547.997925
1949-04-30,0.192
1949-05-31,20.290401
1949-06-30,8.9888
1949-07-31,0.2688
1949-08-31,0.268804
