date,kaf
1921-10-31,89.151
1921-11-30,110.806
1921-12-31,153.1893322
1922-01-31,155.6346932
1922-02-28,346.64
1922-03-31,212.708212
1922-04-30,348.062
1922-05-31,532.3480589
1922-06-30,524.169
1922-07-31,338.821
1922-08-31,342.385
1922-09-30,235.5293728
1922-10-31,245.2712256
1922-11-30,160.1162381
1922-12-31,118.611
1923-01-31,302.2845468
1923-02-28,302.5497326
1923-03-31,270.4855854
1923-04-30,105.4986123
1923-05-31,347.9627378
1923-06-30,196.1148196
1923-07-31,342.288
1923-08-31,292.8416792
1923-09-30,86.653
1923-10-31,87.922
1923-11-30,110.817
1923-12-31,119.014
1924-01-31,100.527
1924-02-29,77.562
1924-03-31,48.469
1924-04-30,48.083
1924-05-31,102.3894571
1924-06-30,343.559
1924-07-31,45.644
1924-08-31,45.828
1924-09-30,44.423
1924-10-31,130.6928275
1924-11-30,44.375
1924-12-31,46.009
1925-01-31,52.56959927
1925-02-28,343.557
1925-03-31,261.6378074
1925-04-30,185.7128592
1925-05-31,229.261437
1925-06-30,337.2964771
1925-07-31,203.2823263
1925-08-31,341.128
1925-09-30,107.8089061
1925-10-31,88.491
1925-11-30,110.801
1925-12-31,119.014
1926-01-31,100.527
1926-02-28,76.412
1926-03-31,219.92524
1926-04-30,63.236
1926-05-31,64.631
1926-06-30,121.1715545
1926-07-31,331.6517408
1926-08-31,64.553
1926-09-30,94.08986726
1926-10-31,270.4997157
1926-11-30,87.285
1926-12-31,90.969
1927-01-31,342.986
1927-02-28,581.6097548
1927-03-31,336.569
1927-04-30,468.5156065
1927-05-31,255.5113189
1927-06-30,271.5115344
1927-07-31,340.958
1927-08-31,251.4649634
1927-09-30,316.6584539
1927-10-31,132.906674
1927-11-30,149.831
1927-12-31,117.98
1928-01-31,103.611
1928-02-29,235.4339958
1928-03-31,589.8035373
1928-04-30,341.3134391
1928-05-31,105.119
1928-06-30,156.9231109
1928-07-31,239.262927
1928-08-31,101.988
1928-09-30,86.972
1928-10-31,88.034
1928-11-30,96.436
1928-12-31,103.772
1929-01-31,87.595
1929-02-28,66.494
1929-03-31,74.14
1929-04-30,71.628
1929-05-31,343.135
1929-06-30,343.031
1929-07-31,60.358
1929-08-31,60.375
1929-09-30,58.412
1929-10-31,154.7659676
1929-11-30,86.92
1929-12-31,90.458
1930-01-31,90.453
1930-02-28,81.336
1930-03-31,136.110598
1930-04-30,94.94050402
1930-05-31,90.454
1930-06-30,276.2940823
1930-07-31,102.737
1930-08-31,102.625
1930-09-30,86.64
1930-10-31,86.057
1930-11-30,83.536
1930-12-31,86.442
1931-01-31,72.917
1931-02-28,55.238
1931-03-31,61.649
1931-04-30,59.538
1931-05-31,184.7657744
1931-06-30,343.243
1931-07-31,64.68602579
1931-08-31,28.522
1931-09-30,108.7362288
1931-10-31,206.6771268
1931-11-30,43.452
1931-12-31,45.778
1932-01-31,46.011
1932-02-29,140.2794154
1932-03-31,145.5623883
1932-04-30,119.8028615
1932-05-31,178.8334912
1932-06-30,341.909
1932-07-31,187.0604844
1932-08-31,327.7599341
1932-09-30,86.524
1932-10-31,87.159
1932-11-30,110.824
1932-12-31,118.666
1933-01-31,100.53
1933-02-28,75.183
1933-03-31,85.162
1933-04-30,82.279
1933-05-31,115.5119696
1933-06-30,343.039
1933-07-31,72.026
1933-08-31,163.1179733
1933-09-30,134.8315982
1933-10-31,247.0116374
1933-11-30,65.197
1933-12-31,67.223
1934-01-31,56.968
1934-02-28,110.4469856
1934-03-31,83.84357233
1934-04-30,44.42
1934-05-31,44.889
1934-06-30,240.4352619
1934-07-31,145.3432305
1934-08-31,46.046
1934-09-30,43.704
1934-10-31,234.1616215
1934-11-30,44.183
1934-12-31,46.013
1935-01-31,46.006
1935-02-28,87.91137355
1935-03-31,297.8768054
1935-04-30,343.557
1935-05-31,221.5442006
1935-06-30,304.7325759
1935-07-31,341.489
1935-08-31,341.133
1935-09-30,142.3638535
1935-10-31,147.238
1935-11-30,156.6916873
1935-12-31,118.88
1936-01-31,342.741
1936-02-29,563.4645042
1936-03-31,273.6345212
1936-04-30,341.598
1936-05-31,190.5439813
1936-06-30,273.9676978
1936-07-31,341.248
1936-08-31,341.135
1936-09-30,244.6932088
1936-10-31,87.69
1936-11-30,110.791
1936-12-31,118.982
1937-01-31,100.527
1937-02-28,117.5742861
1937-03-31,274.2303839
1937-04-30,271.6148669
1937-05-31,259.1626273
1937-06-30,191.917499
1937-07-31,342.64
1937-08-31,341.123
1937-09-30,86.945
1937-10-31,87.879
1937-11-30,110.817
1937-12-31,299.7080276
1938-01-31,340.224
1938-02-28,443.2860966
1938-03-31,674.2712266
1938-04-30,482.1083682
1938-05-31,543.9906273
1938-06-30,496.6018257
1938-07-31,218.0286644
1938-08-31,266.6248998
1938-09-30,259.9936335
1938-10-31,167.0064949
1938-11-30,110.826
1938-12-31,118.548
1939-01-31,100.531
1939-02-28,76.412
1939-03-31,83.88581552
1939-04-30,48.27
1939-05-31,49.98
1939-06-30,143.461
1939-07-31,340.0997404
1939-08-31,46.145
1939-09-30,126.6332233
1939-10-31,217.2440207
1939-11-30,79.018
1939-12-31,81.779
1940-01-31,343.067
1940-02-29,434.2657472
1940-03-31,642.7330658
1940-04-30,391.226975
1940-05-31,140.8440372
1940-06-30,99.551
1940-07-31,342.798
1940-08-31,329.4849634
1940-09-30,197.7341407
1940-10-31,86.617
1940-11-30,130.3082008
1940-12-31,145.7809499
1941-01-31,342.79
1941-02-28,462.0746511
1941-03-31,302.5197016
1941-04-30,235.7102843
1941-05-31,300.6836556
1941-06-30,192.3346162
1941-07-31,158.917417
1941-08-31,257.0886197
1941-09-30,341.617
1941-10-31,226.0365148
1941-11-30,160.8203342
1941-12-31,342.106
1942-01-31,424.5808634
1942-02-28,579.2195605
1942-03-31,211.9717958
1942-04-30,342.542
1942-05-31,397.6367923
1942-06-30,377.303673
1942-07-31,212.6794569
1942-08-31,267.4356292
1942-09-30,341.536
1942-10-31,226.770536
1942-11-30,268.4111961
1942-12-31,308.7113808
1943-01-31,512.8073004
1943-02-28,408.4422961
1943-03-31,762.0707903
1943-04-30,320.3495516
1943-05-31,120.4603527
1943-06-30,193.1591877
1943-07-31,230.7435575
1943-08-31,257.3671522
1943-09-30,342.393
1943-10-31,86.616
1943-11-30,110.504
1943-12-31,118.737
1944-01-31,100.53
1944-02-29,76.545
1944-03-31,85.149
1944-04-30,82.279
1944-05-31,85.146
1944-06-30,197.5369818
1944-07-31,342.367
1944-08-31,173.7250621
1944-09-30,138.7893945
1944-10-31,243.97611
1944-11-30,96.2
1944-12-31,103.47
1945-01-31,170.8418857
1945-02-28,342.877
1945-03-31,154.2525734
1945-04-30,157.9212444
1945-05-31,198.1139307
1945-06-30,210.8702668
1945-07-31,342.368
1945-08-31,341.125
1945-09-30,139.7962798
1945-10-31,225.8801378
1945-11-30,110.658
1945-12-31,342.173
1946-01-31,347.7391352
1946-02-28,168.1885257
1946-03-31,200.72433
1946-04-30,260.6642398
1946-05-31,186.0783667
1946-06-30,331.7672628
1946-07-31,342.758
1946-08-31,172.8988656
1946-09-30,144.7190908
1946-10-31,126.0024488
1946-11-30,110.819
1946-12-31,119.014
1947-01-31,100.527
1947-02-28,76.412
1947-03-31,85.015
1947-04-30,81.764
1947-05-31,85.151
1947-06-30,143.295
1947-07-31,204.9610833
1947-08-31,169.0443522
1947-09-30,134.9583945
1947-10-31,88.279
1947-11-30,86.171
1947-12-31,89.404
1948-01-31,75.43
1948-02-29,100.1836972
1948-03-31,63.782
1948-04-30,295.4240745
1948-05-31,230.6156449
1948-06-30,244.1160222
1948-07-31,341.039
1948-08-31,341.985
1948-09-30,86.88551311
1948-10-31,192.0208032
1948-11-30,110.822
1948-12-31,118.758
1949-01-31,100.529
1949-02-28,76.412
1949-03-31,85.15
1949-04-30,216.0342497
1949-05-31,179.6359988
1949-06-30,342.477
1949-07-31,265.4874649
1949-08-31,170.1183847
1949-09-30,138.5682429
1949-10-31,114.3399647
1949-11-30,110.815
1949-12-31,119.014
1950-01-31,100.527
1950-02-28,336.53397
1950-03-31,208.1017199
1950-04-30,313.4949979
1950-05-31,201.9695466
1950-06-30,298.021045
1950-07-31,341.663
1950-08-31,341.132
1950-09-30,144.1631961
1950-10-31,275.183114
1950-11-30,659.127263
1950-12-31,943.4889752
1951-01-31,636.4642852
1951-02-28,476.3747908
1951-03-31,221.7181312
1951-04-30,187.0459356
1951-05-31,229.8897343
1951-06-30,126.9414233
1951-07-31,342.884
1951-08-31,208.5296352
1951-09-30,310.4845629
1951-10-31,167.3282665
1951-11-30,135.6559271
1951-12-31,342.498
1952-01-31,413.5966413
1952-02-29,538.5665042
1952-03-31,379.2778841
1952-04-30,547.1063752
1952-05-31,635.6751396
1952-06-30,588.8568825
1952-07-31,277.951365
1952-08-31,295.8310487
1952-09-30,273.0055778
1952-10-31,86.776
1952-11-30,201.1281731
1952-12-31,328.4083143
1953-01-31,342.748
1953-02-28,154.8621327
1953-03-31,103.458
1953-04-30,212.076895
1953-05-31,178.3009516
1953-06-30,341.782987
1953-07-31,340.442
1953-08-31,161.8839634
1953-09-30,341.709
1953-10-31,146.771
1953-11-30,136.9572051
1953-12-31,118.407
1954-01-31,100.532
1954-02-28,203.9250379
1954-03-31,288.1117199
1954-04-30,291.2406269
1954-05-31,99.3
1954-06-30,100.304
1954-07-31,342.875
1954-08-31,101.983
1954-09-30,255.6625121
1954-10-31,88.013
1954-11-30,110.816
1954-12-31,119.014
1955-01-31,100.527
1955-02-28,76.412
1955-03-31,84.744
1955-04-30,82.283
1955-05-31,85.146
1955-06-30,343.037
1955-07-31,220.7896414
1955-08-31,103.041
1955-09-30,138.6452798
1955-10-31,235.8223394
1955-11-30,120.9424804
1955-12-31,761.3756107
1956-01-31,1024.25559
1956-02-29,335.9528966
1956-03-31,125.6614552
1956-04-30,244.9208126
1956-05-31,342.243
1956-06-30,338.9982037
1956-07-31,199.6373575
1956-08-31,266.7157755
1956-09-30,341.526
1956-10-31,244.0249683
1956-11-30,151.8543937
1956-12-31,118.07
1957-01-31,100.535
1957-02-28,99.32348543
1957-03-31,295.4327025
1957-04-30,80.615
1957-05-31,232.1581453
1957-06-30,148.3763494
1957-07-31,342.283
1957-08-31,287.651976
1957-09-30,173.7904507
1957-10-31,87.903
1957-11-30,110.817
1957-12-31,119.014
1958-01-31,342.696
1958-02-28,378.9080248
1958-03-31,417.6645557
1958-04-30,612.8804548
1958-05-31,544.3718497
1958-06-30,446.5165964
1958-07-31,198.629971
1958-08-31,274.7899687
1958-09-30,341.485
1958-10-31,146.726
1958-11-30,126.1168421
1958-12-31,118.203
1959-01-31,100.534
1959-02-28,184.7767068
1959-03-31,53.09141532
1959-04-30,48.407
1959-05-31,50.115
1959-06-30,266.7820772
1959-07-31,255.0911823
1959-08-31,47.758
1959-09-30,47.987
1959-10-31,88.975
1959-11-30,96.428
1959-12-31,103.772
1960-01-31,87.595
1960-02-29,141.3291327
1960-03-31,265.234545
1960-04-30,99.80900715
1960-05-31,73.864
1960-06-30,99.255
1960-07-31,199.0677641
1960-08-31,102.107
1960-09-30,86.509
1960-10-31,88.22
1960-11-30,110.814
1960-12-31,119.014
1961-01-31,100.527
1961-02-28,76.412
1961-03-31,65.188
1961-04-30,63.136
1961-05-31,65.358
1961-06-30,107.1406651
1961-07-31,255.9259733
1961-08-31,100.8996538
1961-09-30,117.2525862
1961-10-31,125.0281722
1961-11-30,89.00681165
1961-12-31,57.514
1962-01-31,66.85112458
1962-02-28,213.4701038
1962-03-31,128.2273912
1962-04-30,250.25775
1962-05-31,123.4153601
1962-06-30,343.089
1962-07-31,303.4969175
1962-08-31,101.986
1962-09-30,102.1081498
1962-10-31,88.203
1962-11-30,269.7124203
1962-12-31,224.4144696
1963-01-31,342.009
1963-02-28,560.9968066
1963-03-31,250.0298297
1963-04-30,342.921
1963-05-31,398.246934
1963-06-30,178.5496839
1963-07-31,342.129
1963-08-31,212.888807
1963-09-30,342.46
1963-10-31,177.789806
1963-11-30,110.371
1963-12-31,117.769
1964-01-31,100.538
1964-02-29,116.3025042
1964-03-31,100.695
1964-04-30,97.316
1964-05-31,100.689
1964-06-30,342.901
1964-07-31,174.3143298
1964-08-31,102.631
1964-09-30,86.727
1964-10-31,306.2154348
1964-11-30,95.947
1964-12-31,1098.993094
1965-01-31,787.5889557
1965-02-28,298.3059192
1965-03-31,101.85
1965-04-30,313.8578404
1965-05-31,222.693557
1965-06-30,239.4741405
1965-07-31,446.3822929
1965-08-31,153.3715698
1965-09-30,342.7
1965-10-31,86.614
1965-11-30,110.189
1965-12-31,118.89
1966-01-31,103.603
1966-02-28,93.324
1966-03-31,81.36710411
1966-04-30,139.8451023
1966-05-31,45.261
1966-06-30,128.1938941
1966-07-31,343.099
1966-08-31,53.30226007
1966-09-30,129.657988
1966-10-31,228.4148779
1966-11-30,108.905
1966-12-31,118.0236353
1967-01-31,342.064
1967-02-28,315.2152805
1967-03-31,341.427
1967-04-30,340.623
1967-05-31,431.6808265
1967-06-30,524.029
1967-07-31,257.9497598
1967-08-31,273.4023594
1967-09-30,295.9323616
1967-10-31,276.6421408
1967-11-30,159.4446521
1967-12-31,118.067
1968-01-31,100.535
1968-02-29,343.035
1968-03-31,161.4180205
1968-04-30,77.906
1968-05-31,80.968
1968-06-30,143.332
1968-07-31,306.95
1968-08-31,74.551
1968-09-30,90.54595619
1968-10-31,156.9084284
1968-11-30,96.431
1968-12-31,202.8162295
1969-01-31,816.9279088
1969-02-28,528.3811679
1969-03-31,338.846
1969-04-30,363.8794044
1969-05-31,480.5322147
1969-06-30,366.0964233
1969-07-31,183.1668067
1969-08-31,256.7364019
1969-09-30,341.911
1969-10-31,86.881
1969-11-30,134.9675234
1969-12-31,342.574
1970-01-31,1344.01736
1970-02-28,338.7585089
1970-03-31,136.5624529
1970-04-30,99.862
1970-05-31,103.741
1970-06-30,125.7403218
1970-07-31,342.875
1970-08-31,253.6426909
1970-09-30,139.0550148
1970-10-31,234.8220117
1970-11-30,91.541
1970-12-31,198.6825129
1971-01-31,327.3343144
1971-02-28,210.9948045
1971-03-31,256.3686808
1971-04-30,182.2760264
1971-05-31,205.9806828
1971-06-30,272.236368
1971-07-31,341.139
1971-08-31,102.693
1971-09-30,342.085
1971-10-31,202.5638781
1971-11-30,193.3426715
1971-12-31,117.966
1972-01-31,100.536
1972-02-29,97.1286693
1972-03-31,270.3381888
1972-04-30,92.49346633
1972-05-31,85.159
1972-06-30,343.037
1972-07-31,306.29
1972-08-31,102.408
1972-09-30,91.60734079
1972-10-31,162.5083009
1972-11-30,110.812
1972-12-31,246.4090082
1973-01-31,395.0088949
1973-02-28,424.6159553
1973-03-31,248.8628841
1973-04-30,170.2171624
1973-05-31,242.6445975
1973-06-30,183.3772674
1973-07-31,342.009
1973-08-31,246.4447712
1973-09-30,87.384
1973-10-31,87.454
1973-11-30,343.017
1973-12-31,450.6213735
1974-01-31,778.3558467
1974-02-28,337.525
1974-03-31,466.9361221
1974-04-30,402.915651
1974-05-31,265.2111088
1974-06-30,244.0962356
1974-07-31,211.6818205
1974-08-31,270.4146292
1974-09-30,258.527066
1974-10-31,145.0496067
1974-11-30,175.4337843
1974-12-31,118.067
1975-01-31,100.535
1975-02-28,257.4250379
1975-03-31,290.7668662
1975-04-30,143.724888
1975-05-31,342.703
1975-06-30,338.0678193
1975-07-31,177.7007488
1975-08-31,261.9495281
1975-09-30,309.3915059
1975-10-31,185.6186073
1975-11-30,110.825
1975-12-31,117.538
1976-01-31,100.54
1976-02-29,76.545
1976-03-31,52.94
1976-04-30,51.489
1976-05-31,53.311
1976-06-30,51.482
1976-07-31,53.311
1976-08-31,52.626
1976-09-30,130.8845539
1976-10-31,45.861
1976-11-30,44.422
1976-12-31,46.008
1977-01-31,46.006
1977-02-28,41.246
1977-03-31,13.772
1977-04-30,12.565
1977-05-31,12.929
1977-06-30,168.0041877
1977-07-31,149.444
1977-08-31,12.898
1977-09-30,16.121
1977-10-31,112.1928959
1977-11-30,26.924
1977-12-31,27.738
1978-01-31,277.8345553
1978-02-28,305.9664173
1978-03-31,341.189
1978-04-30,270.4803468
1978-05-31,212.3850024
1978-06-30,229.681898
1978-07-31,333.4277533
1978-08-31,322.6662139
1978-09-30,246.0210355
1978-10-31,87.148
1978-11-30,110.824
1978-12-31,118.686
1979-01-31,100.53
1979-02-28,124.5762096
1979-03-31,217.1879435
1979-04-30,130.6035099
1979-05-31,262.0927507
1979-06-30,245.4561584
1979-07-31,342.38
1979-08-31,209.6993934
1979-09-30,86.946
1979-10-31,88.24
1979-11-30,110.814
1979-12-31,270.9598355
1980-01-31,945.4108877
