date,kaf
1921-10-31,60703.54494
1921-11-30,60704.58825
1921-12-31,60774.4387
1922-01-31,60775.75538
1922-02-28,60857.51754
1922-03-31,60857.67333
1922-04-30,60905.37266
1922-05-31,60959.97324
1922-06-30,60859.26095
1922-07-31,60752.85495
1922-08-31,60731.33859
1922-09-30,60737.01483
1922-10-31,60750.71377
1922-11-30,60785.82808
1922-12-31,60883.49453
1923-01-31,60886.61521
1923-02-28,60867.77137
1923-03-31,60861.58316
1923-04-30,60934.23649
1923-05-31,60841.12607
1923-06-30,60753.44578
1923-07-31,60675.36078
1923-08-31,60598.12166
1923-09-30,60559.29775
1923-10-31,60548.97623
1923-11-30,60545.15299
1923-12-31,60547.50713
1924-01-31,60564.54681
1924-02-29,60600.57897
1924-03-31,60579.1277
1924-04-30,60495.12771
1924-05-31,60415.71529
1924-06-30,60344.324
1924-07-31,60284.538
1924-08-31,60215.35588
1924-09-30,60210.54821
1924-10-31,60257.06815
1924-11-30,60287.91646
1924-12-31,60345.06891
1925-01-31,60350.29259
1925-02-28,60539.73975
1925-03-31,60475.54254
1925-04-30,60517.00887
1925-05-31,60416.76945
1925-06-30,60306.88116
1925-07-31,60212.93616
1925-08-31,60237.13804
1925-09-30,60239.77128
1925-10-31,60247.61722
1925-11-30,60261.16653
1925-12-31,60282.30398
1926-01-31,60333.88266
1926-02-28,60452.07482
1926-03-31,60403.74961
1926-04-30,60474.76794
1926-05-31,60344.31152
1926-06-30,60233.49423
1926-07-31,60251.85923
1926-08-31,60272.72611
1926-09-30,60281.11135
1926-10-31,60293.91829
1926-11-30,60433.7506
1926-12-31,60452.82205
1927-01-31,60492.52973
1927-02-28,60654.04489
1927-03-31,60601.28868
1927-04-30,60627.23301
1927-05-31,60608.47763
1927-06-30,60578.06165
1927-07-31,60533.41784
1927-08-31,60528.44572
1927-09-30,60509.66396
1927-10-31,60508.5929
1927-11-30,60571.75821
1927-12-31,60587.12066
1928-01-31,60599.76434
1928-02-29,60632.1865
1928-03-31,60721.77029
1928-04-30,60713.67562
1928-05-31,60588.3612
1928-06-30,60464.28291
1928-07-31,60363.77891
1928-08-31,60264.40379
1928-09-30,60210.90889
1928-10-31,60189.41337
1928-11-30,60213.28112
1928-12-31,60233.04457
1929-01-31,60225.28125
1929-02-28,60247.74741
1929-03-31,60243.31615
1929-04-30,60168.14215
1929-05-31,60080.12473
1929-06-30,59993.21844
1929-07-31,59912.43644
