date,kaf
1921-10-31,22.138922
1921-11-30,22.27651
1921-12-31,59.74033
1922-01-31,4.951516
1922-02-28,90.461777
1922-03-31,12.136994
1922-04-30,54.457268
1922-05-31,82.385834
1922-06-30,-66.200134
1922-07-31,-74.612564
1922-08-31,-16.598169
1922-09-30,-5.831489
1922-10-31,10.416002
1922-11-30,24.70463
1922-12-31,87.346764
1923-01-31,-7.823398
1923-02-28,-17.249216
1923-03-31,12.307531
1923-04-30,58.805386
1923-05-31,-26.526604
1923-06-30,-30.540873
1923-07-31,-12.90428
1923-08-31,-5.407026
1923-09-30,0.718683
1923-10-31,7.640503
1923-11-30,2.19977
1923-12-31,2.660087
1924-01-31,8.304058
1924-02-29,31.342636
1924-03-31,-18.9279
1924-04-30,2.075835
1924-05-31,-15.570969
1924-06-30,-9.737362
1924-07-31,3.946243
1924-08-31,6.904188
1924-09-30,9.78851
1924-10-31,33.98708
1924-11-30,9.164178
1924-12-31,31.599638
1925-01-31,-4.693798
1925-02-28,149.206436
1925-03-31,-59.304447
1925-04-30,25.762293
1925-05-31,-26.745327
1925-06-30,-36.206589
1925-07-31,-13.712041
1925-08-31,-7.994473
1925-09-30,0.151911
1925-10-31,3.309459
1925-11-30,7.164892
1925-12-31,9.166187
1926-01-31,25.083057
1926-02-28,115.510628
1926-03-31,-47.25592
1926-04-30,73.749268
1926-05-31,-80.129822
1926-06-30,-31.923143
1926-07-31,-13.000344
1926-08-31,-6.752093
1926-09-30,7.943067
1926-10-31,4.048936
1926-11-30,95.618515
1926-12-31,-16.250338
1927-01-31,20.984617
1927-02-28,180.063171
1927-03-31,-55.402008
1927-04-30,27.305262
1927-05-31,-46.774376
1927-06-30,-52.848179
1927-07-31,-37.132401
1927-08-31,-15.860535
1927-09-30,-4.546473
1927-10-31,3.926894
1927-11-30,33.97435
1927-12-31,-1.320877
1928-01-31,5.097778
1928-02-29,29.304852
1928-03-31,146.506256
1928-04-30,-65.730003
1928-05-31,-58.512386
1928-06-30,-43.284592
