date,kaf
1921-10-31,16.49052
1921-11-30,9.3567
1921-12-31,6.20382
1922-01-31,2.45774
1922-02-28,0.48311
1922-03-31,2.0888
1922-04-30,41.056038
1922-05-31,50.182831
1922-06-30,60.542042
1922-07-31,61.112041
1922-08-31,48.431019
1922-09-30,21.560049
1922-10-31,15.66922
1922-11-30,9.3567
1922-12-31,6.20382
1923-01-31,2.45774
1923-02-28,0.48311
1923-03-31,2.0888
1923-04-30,41.056038
1923-05-31,50.182831
1923-06-30,57.516602
1923-07-31,61.112041
1923-08-31,48.431019
1923-09-30,21.560049
1923-10-31,15.66922
1923-11-30,8.88684
1923-12-31,5.8944
1924-01-31,2.45774
1924-02-29,0.48311
1924-03-31,1.98184
1924-04-30,39.000881
1924-05-31,47.673092
1924-06-30,57.516602
1924-07-31,61.112041
1924-08-31,48.431019
1924-09-30,21.560049
1924-10-31,15.66922
1924-11-30,9.3567
1924-12-31,6.20382
1925-01-31,2.45774
1925-02-28,0.48311
1925-03-31,2.0888
1925-04-30,41.056038
1925-05-31,47.673092
1925-06-30,57.516602
1925-07-31,61.112041
1925-08-31,48.431019
1925-09-30,21.560049
1925-10-31,15.66922
1925-11-30,9.3567
1925-12-31,6.20382
1926-01-31,2.45774
1926-02-28,0.48311
1926-03-31,2.0888
1926-04-30,41.056038
1926-05-31,47.673092
1926-06-30,57.516602
1926-07-31,61.112041
1926-08-31,48.431019
1926-09-30,21.560049
1926-10-31,16.49052
1926-11-30,9.3567
1926-12-31,6.20382
1927-01-31,2.45774
1927-02-28,0.48311
1927-03-31,2.0888
1927-04-30,41.056038
1927-05-31,47.673092
1927-06-30,57.516602
1927-07-31,61.112041
1927-08-31,48.431019
1927-09-30,21.560049
1927-10-31,16.49052
1927-11-30,9.3567
1927-12-31,6.20382
1928-01-31,2.45774
1928-02-29,0.48311
1928-03-31,2.0888
1928-04-30,41.056038
1928-05-31,47.673092
1928-06-30,57.516602
1928-07-31,61.112041
1928-08-31,48.431019
1928-09-30,21.560049
1928-10-31,15.66922
1928-11-30,8.88684
1928-12-31,5.8944
1929-01-31,2.45774
1929-02-28,0.48311
1929-03-31,1.98184
1929-04-30,39.000881
1929-05-31,47.673092
1929-06-30,57.516602
1929-07-31,61.112041
1929-08-31,48.431019
1929-09-30,21.560049
1929-10-31,15.66922
1929-11-30,9.3567
1929-12-31,6.20382
1930-01-31,2.45774
1930-02-28,0.48311
1930-03-31,2.0888
1930-04-30,39.000881
1930-05-31,47.673092
1930-06-30,57.516602
1930-07-31,61.112041
1930-08-31,48.431019
1930-09-30,21.560049
1930-10-31,15.66922
1930-11-30,8.88684
1930-12-31,5.8944
1931-01-31,2.3355
1931-02-28,0.46019
1931-03-31,1.98184
1931-04-30,39.000881
1931-05-31,47.673092
1931-06-30,57.516602
1931-07-31,61.112041
1931-08-31,48.431019
1931-09-30,21.560049
1931-10-31,15.66922
1931-11-30,8.88684
1931-12-31,6.20382
1932-01-31,2.45774
1932-02-29,0.48311
1932-03-31,1.98184
1932-04-30,39.000881
1932-05-31,47.673092
1932-06-30,57.516602
1932-07-31,61.112041
1932-08-31,48.431019
1932-09-30,21.560049
1932-10-31,15.66922
1932-11-30,8.88684
1932-12-31,6.20382
1933-01-31,2.45774
1933-02-28,0.48311
1933-03-31,1.98184
1933-04-30,39.000881
1933-05-31,47.673092
1933-06-30,57.516602
1933-07-31,61.112041
1933-08-31,48.431019
1933-09-30,21.560049
1933-10-31,15.66922
1933-11-30,8.88684
1933-12-31,6.20382
1934-01-31,2.45774
1934-02-28,0.48311
1934-03-31,1.98184
1934-04-30,39.000881
1934-05-31,47.673092
1934-06-30,57.516602
1934-07-31,61.112041
1934-08-31,48.431019
1934-09-30,21.560049
1934-10-31,15.66922
1934-11-30,9.3567
1934-12-31,6.20382
1935-01-31,2.45774
1935-02-28,0.48311
1935-03-31,2.0888
1935-04-30,41.056038
1935-05-31,50.182831
1935-06-30,57.516602
1935-07-31,61.112041
1935-08-31,48.431019
1935-09-30,21.560049
1935-10-31,16.49052
1935-11-30,9.3567
1935-12-31,6.20382
1936-01-31,2.45774
1936-02-29,0.48311
1936-03-31,2.0888
1936-04-30,41.056038
1936-05-31,47.673092
1936-06-30,57.516602
1936-07-31,61.112041
1936-08-31,48.431019
1936-09-30,21.560049
1936-10-31,15.66922
1936-11-30,9.3567
1936-12-31,6.20382
1937-01-31,2.45774
1937-02-28,0.48311
1937-03-31,2.0888
1937-04-30,41.056038
1937-05-31,50.182831
1937-06-30,57.516602
1937-07-31,61.112041
1937-08-31,50.978958
1937-09-30,22.69459
1937-10-31,16.49052
1937-11-30,9.3567
1937-12-31,6.20382
1938-01-31,2.45774
1938-02-28,0.48311
1938-03-31,2.0888
1938-04-30,41.056038
1938-05-31,50.182831
1938-06-30,60.542042
1938-07-31,61.112041
1938-08-31,48.431019
1938-09-30,21.560049
1938-10-31,15.66922
1938-11-30,8.88684
1938-12-31,6.20382
1939-01-31,2.45774
1939-02-28,0.48311
1939-03-31,1.98184
1939-04-30,39.000881
1939-05-31,47.673092
1939-06-30,57.516602
1939-07-31,61.112041
1939-08-31,48.431019
1939-09-30,21.560049
1939-10-31,16.49052
1939-11-30,9.3567
1939-12-31,6.20382
1940-01-31,2.45774
1940-02-29,0.48311
1940-03-31,2.0888
1940-04-30,41.056038
1940-05-31,47.673092
1940-06-30,57.516602
1940-07-31,61.112041
1940-08-31,48.431019
1940-09-30,22.69459
1940-10-31,16.49052
1940-11-30,9.3567
1940-12-31,6.20382
1941-01-31,2.45774
1941-02-28,0.48311
1941-03-31,2.0888
1941-04-30,41.056038
1941-05-31,50.182831
1941-06-30,60.542042
1941-07-31,64.328484
1941-08-31,50.978958
1941-09-30,22.69459
1941-10-31,16.49052
1941-11-30,9.3567
1941-12-31,6.20382
1942-01-31,2.45774
1942-02-28,0.48311
1942-03-31,2.0888
1942-04-30,41.056038
1942-05-31,50.182831
1942-06-30,60.542042
1942-07-31,64.328484
1942-08-31,50.978958
1942-09-30,22.69459
1942-10-31,16.49052
1942-11-30,9.3567
1942-12-31,6.20382
1943-01-31,2.45774
1943-02-28,0.48311
1943-03-31,2.0888
1943-04-30,41.056038
1943-05-31,50.182831
1943-06-30,57.516602
1943-07-31,61.112041
1943-08-31,48.431019
1943-09-30,21.560049
1943-10-31,15.66922
1943-11-30,8.88684
1943-12-31,6.20382
1944-01-31,2.45774
1944-02-29,0.48311
1944-03-31,2.0888
1944-04-30,39.000881
1944-05-31,47.673092
1944-06-30,57.516602
1944-07-31,61.112041
1944-08-31,48.431019
1944-09-30,21.560049
1944-10-31,16.49052
1944-11-30,9.3567
1944-12-31,6.20382
1945-01-31,2.45774
1945-02-28,0.48311
1945-03-31,2.0888
1945-04-30,39.000881
1945-05-31,47.673092
1945-06-30,57.516602
1945-07-31,61.112041
1945-08-31,50.978958
1945-09-30,22.69459
1945-10-31,16.49052
1945-11-30,9.3567
1945-12-31,6.20382
1946-01-31,2.45774
1946-02-28,0.48311
1946-03-31,2.0888
1946-04-30,41.056038
1946-05-31,47.673092
1946-06-30,57.516602
1946-07-31,61.112041
1946-08-31,48.431019
1946-09-30,21.560049
1946-10-31,15.66922
1946-11-30,9.3567
