date,kaf
31.10.1921,0
30.11.1921,0
31.12.1921,6.377429761
31.01.1922,2.895731911
28.02.1922,7.479104715
31.03.1922,2.549439358
30.04.1922,5.573979487
31.05.1922,9.591715502
30.06.1922,0.838328991
31.07.1922,0
31.08.1922,0
30.09.1922,0
31.10.1922,0
30.11.1922,0
31.12.1922,8.578131746
31.01.1923,4.064881099
28.02.1923,0
31.03.1923,0
30.04.1923,3.964828166
31.05.1923,0.250377694
30.06.1923,0
31.07.1923,0
31.08.1923,0
30.09.1923,0
31.10.1923,0
30.11.1923,0
31.12.1923,0
31.01.1924,0
29.02.1924,0
31.03.1924,0
30.04.1924,0
31.05.1924,0
30.06.1924,2.054105221
31.07.1924,3.66377184
31.08.1924,2.821148418
30.09.1924,0
31.10.1924,0
30.11.1924,4.565752779
31.12.1924,6.011237634
31.01.1925,4.439930934
28.02.1925,25.07828974
31.03.1925,4.177398377
30.04.1925,9.148121219
31.05.1925,5.180993322
30.06.1925,0.118958907
31.07.1925,1.013573842
31.08.1925,0
30.09.1925,0
31.10.1925,0
30.11.1925,0
31.12.1925,0.182012964
31.01.1926,1.999480527
28.02.1926,15.41336376
31.03.1926,0.397651178
30.04.1926,6.685608974
31.05.1926,0.211398611
30.06.1926,0
31.07.1926,4.285215693
31.08.1926,0
30.09.1926,0
31.10.1926,0
30.11.1926,10.25497443
31.12.1926,12.74167111
31.01.1927,10.55787517
28.02.1927,34.11422761
31.03.1927,5.639862357
30.04.1927,8.210028902
31.05.1927,2.083897633
30.06.1927,0
31.07.1927,0
31.08.1927,0
30.09.1927,0
31.10.1927,0
30.11.1927,6.84200028
31.12.1927,2.575529836
31.01.1928,4.362204066
29.02.1928,8.371434556
31.03.1928,22.18499709
30.04.1928,3.500151675
31.05.1928,0
30.06.1928,1.961140945
31.07.1928,2.560989163
31.08.1928,0
30.09.1928,0
31.10.1928,0
30.11.1928,0
31.12.1928,1.010329217
31.01.1929,0
28.02.1929,2.272968951
31.03.1929,0
30.04.1929,0
31.05.1929,3.487410295
30.06.1929,0.678075303
31.07.1929,4.030337368
31.08.1929,3.178598349
30.09.1929,0
31.10.1929,0
30.11.1929,0
31.12.1929,13.33090197
31.01.1930,8.27593504
28.02.1930,9.053567093
31.03.1930,9.77172592
30.04.1930,1.624154683
31.05.1930,2.641953209
30.06.1930,3.047249615
31.07.1930,2.901474674
31.08.1930,0
30.09.1930,0
31.10.1930,0
30.11.1930,0
31.12.1930,0
31.01.1931,5.652874343
28.02.1931,1.538401818
31.03.1931,2.130748147
30.04.1931,0
31.05.1931,1.873302345
30.06.1931,1.703858419
31.07.1931,6.58523001
31.08.1931,1.836513439
30.09.1931,0
31.10.1931,0
30.11.1931,0
31.12.1931,11.99130236
31.01.1932,7.35421266
29.02.1932,3.653969471
31.03.1932,7.499679725
