date,kaf
1921-10-31,97.039
1921-11-30,114.545
1921-12-31,156.547
1922-01-31,156.481
1922-02-28,340.441
1922-03-31,211.219
1922-04-30,351.841
1922-05-31,542.26
1922-06-30,537.946
1922-07-31,353.441
1922-08-31,353.441
1922-09-30,250.345
1922-10-31,255.684
1922-11-30,211.935
1922-12-31,119.475
1923-01-31,256.907
1923-02-28,261.497
1923-03-31,264.247
1923-04-30,158.831
1923-05-31,355.059
1923-06-30,207.289
1923-07-31,344.498
1923-08-31,314.343
1923-09-30,97.939
1923-10-31,98.931
1923-11-30,114.545
1923-12-31,122.975
1924-01-31,104.528
1924-02-29,80.251
1924-03-31,49.19
1924-04-30,54.303
1924-05-31,55.89
1924-06-30,153.612
1924-07-31,158.124
1924-08-31,55.89
1924-09-30,106.051
1924-10-31,237.987
1924-11-30,53.029
1924-12-31,48.99
1925-01-31,48.89
1925-02-28,342.841
1925-03-31,256.101
1925-04-30,205.601
1925-05-31,240.522
1925-06-30,153
1925-07-31,353.441
1925-08-31,353.441
1925-09-30,174.538
1925-10-31,98.931
1925-11-30,115.394
1925-12-31,122.875
1926-01-31,104.428
1926-02-28,78.451
1926-03-31,224.215
1926-04-30,72.862
1926-05-31,75.79
1926-06-30,128.161
1926-07-31,309.183
1926-08-31,75.79
1926-09-30,144.059
1926-10-31,253.233
1926-11-30,90.82
1926-12-31,94.617
1927-01-31,345.741
1927-02-28,607.632
1927-03-31,345.641
1927-04-30,477.212
1927-05-31,273
1927-06-30,285.561
1927-07-31,353.441
1927-08-31,263.552
1927-09-30,324.334
1927-10-31,142.725
1927-11-30,153.699
1927-12-31,122.875
1928-01-31,107.403
1928-02-29,238.018
1928-03-31,592.318
1928-04-30,352.516
1928-05-31,114.203
1928-06-30,167.963
1928-07-31,250.512
1928-08-31,114.303
1928-09-30,97.939
1928-10-31,98.931
1928-11-30,100.165
1928-12-31,107.603
1929-01-31,91.262
1929-02-28,69.719
1929-03-31,77.343
1929-04-30,81.635
1929-05-31,120.317
1929-06-30,353.441
1929-07-31,239.792
1929-08-31,70.884
1929-09-30,68.814
1929-10-31,142.748
1929-11-30,153.699
1929-12-31,94.203
1930-01-31,93.803
1930-02-28,84.786
1930-03-31,158.638
1930-04-30,105.413
1930-05-31,100.903
1930-06-30,215.091
1930-07-31,114.303
1930-08-31,185.111
1930-09-30,97.939
1930-10-31,96.856
1930-11-30,87.248
1930-12-31,90.809
1931-01-31,76.632
1931-02-28,58.734
1931-03-31,65.138
1931-04-30,69.736
1931-05-31,71.838
1931-06-30,171.985
1931-07-31,353.441
1931-08-31,38.7
1931-09-30,106.608
1931-10-31,251.704
1931-11-30,82.874
1931-12-31,48.29
1932-01-31,48.09
1932-02-29,103.324
1932-03-31,148.874
1932-04-30,132
1932-05-31,188.015
1932-06-30,262.608
1932-07-31,275.467
1932-08-31,353.441
1932-09-30,97.939
1932-10-31,98.931
1932-11-30,116.583
1932-12-31,122.975
1933-01-31,104.428
1933-02-28,80.151
1933-03-31,88.649
1933-04-30,92.683
1933-05-31,95.549
1933-06-30,353.441
1933-07-31,83.843
1933-08-31,207.81
1933-09-30,143.776
1933-10-31,164.359
1933-11-30,144.817
1933-12-31,70.896
1934-01-31,59.516
1934-02-28,128.923
1934-03-31,86.698
1934-04-30,54.303
1934-05-31,55.89
1934-06-30,256.536
1934-07-31,55.89
1934-08-31,96.393
1934-09-30,111.829
1934-10-31,232.875
1934-11-30,47.603
1934-12-31,49.19
1935-01-31,48.19
1935-02-28,99.193
1935-03-31,299.93
1935-04-30,349.341
1935-05-31,234.54
1935-06-30,320.888
1935-07-31,353.441
1935-08-31,353.441
1935-09-30,151.885
1935-10-31,144.639
1935-11-30,172.304
1935-12-31,122.975
1936-01-31,344.941
1936-02-29,557.401
1936-03-31,282.805
1936-04-30,352.341
1936-05-31,208
1936-06-30,280.83
1936-07-31,353.441
1936-08-31,353.441
1936-09-30,256.752
1936-10-31,98.931
1936-11-30,114.545
1936-12-31,122.975
1937-01-31,103.928
1937-02-28,114.785
1937-03-31,273.006
1937-04-30,284
1937-05-31,269.451
1937-06-30,207.941
1937-07-31,353.441
1937-08-31,353.441
1937-09-30,97.939
1937-10-31,98.931
1937-11-30,114.545
1937-12-31,300.145
1938-01-31,346.241
1938-02-28,438.606
1938-03-31,682.263
1938-04-30,498
1938-05-31,586.503
1938-06-30,511.48
1938-07-31,240
1938-08-31,270.754
1938-09-30,268
1938-10-31,176.783
1938-11-30,118.913
1938-12-31,122.975
1939-01-31,104.428
1939-02-28,79.851
1939-03-31,87.112
1939-04-30,58.125
1939-05-31,59.942
1939-06-30,83.428
