date,kaf
1921-10-31,36.0
1921-11-30,58.0
1921-12-31,108.0
1922-01-31,77.0
1922-02-28,179.0
1922-03-31,139.0
1922-04-30,167.0
1922-05-31,331.0
1922-06-30,269.0
1922-07-31,108.0
1922-08-31,72.0
1922-09-30,65.0
1922-10-31,54.0
1922-11-30,78.0
1922-12-31,221.0
1923-01-31,156.0
1923-02-28,84.0
1923-03-31,93.0
1923-04-30,236.0
1923-05-31,302.0
1923-06-30,132.0
1923-07-31,111.0
1923-08-31,77.0
1923-09-30,70.0
1923-10-31,49.0
1923-11-30,44.0
1923-12-31,45.0
1924-01-31,35.0
1924-02-29,45.0
1924-03-31,29.0
1924-04-30,48.0
1924-05-31,69.0
1924-06-30,49.0
1924-07-31,48.0
1924-08-31,42.0
1924-09-30,35.0
1924-10-31,45.0
1924-11-30,53.0
1924-12-31,60.0
1925-01-31,42.0
1925-02-28,207.0
1925-03-31,105.0
1925-04-30,188.0
1925-05-31,209.0
1925-06-30,104.0
1925-07-31,89.0
1925-08-31,71.0
1925-09-30,65.0
1925-10-31,51.0
1925-11-30,56.0
1925-12-31,66.0
1926-01-31,45.0
1926-02-28,108.0
1926-03-31,64.0
1926-04-30,169.0
1926-05-31,62.0
1926-06-30,23.0
1926-07-31,13.0
1926-08-31,34.0
1926-09-30,62.0
1926-10-31,54.0
1926-11-30,121.0
1926-12-31,93.0
1927-01-31,118.0
1927-02-28,303.0
1927-03-31,169.0
1927-04-30,264.0
1927-05-31,229.0
1927-06-30,179.0
1927-07-31,100.0
1927-08-31,76.0
1927-09-30,69.0
1927-10-31,55.0
1927-11-30,96.0
1927-12-31,83.0
1928-01-31,66.0
1928-02-29,67.0
1928-03-31,358.0
1928-04-30,205.0
1928-05-31,141.0
1928-06-30,39.0
1928-07-31,17.0
1928-08-31,61.0
1928-09-30,66.0
1928-10-31,47.0
1928-11-30,53.0
1928-12-31,57.0
1929-01-31,39.0
1929-02-28,48.0
1929-03-31,61.0
1929-04-30,64.0
1929-05-31,88.0
1929-06-30,53.0
1929-07-31,16.0
1929-08-31,47.0
1929-09-30,62.0
1929-10-31,44.0
1929-11-30,44.0
1929-12-31,103.0
1930-01-31,82.0
1930-02-28,61.0
1930-03-31,120.0
1930-04-30,109.0
1930-05-31,75.0
1930-06-30,50.0
1930-07-31,33.0
1930-08-31,66.0
1930-09-30,64.0
1930-10-31,40.0
1930-11-30,58.0
1930-12-31,44.0
1931-01-31,43.0
1931-02-28,32.0
1931-03-31,44.0
1931-04-30,45.0
1931-05-31,65.0
1931-06-30,56.0
1931-07-31,44.0
1931-08-31,38.0
1931-09-30,35.0
1931-10-31,40.0
1931-11-30,44.0
1931-12-31,84.0
1932-01-31,77.0
1932-02-29,157.0
1932-03-31,99.0
1932-04-30,109.0
1932-05-31,159.0
1932-06-30,149.0
1932-07-31,106.0
1932-08-31,72.0
1932-09-30,63.0
1932-10-31,46.0
1932-11-30,49.0
1932-12-31,52.0
1933-01-31,44.0
1933-02-28,32.0
1933-03-31,57.0
1933-04-30,68.0
1933-05-31,79.0
1933-06-30,81.0
1933-07-31,23.0
1933-08-31,65.0
