date,kaf
1921-10-31,19.935
1921-11-30,9.593
1921-12-31,7.606
1922-01-31,1.987
1922-02-28,1.748
1922-03-31,6.755
1922-04-30,108.721
1922-05-31,167.56
1922-06-30,77.23
1922-07-31,93.158
1922-08-31,111.642
1922-09-30,62.335
1922-10-31,19.935
1922-11-30,9.593
1922-12-31,7.606
1923-01-31,1.987
1923-02-28,1.748
1923-03-31,6.755
1923-04-30,108.721
1923-05-31,43.469
1923-06-30,77.23
1923-07-31,93.158
1923-08-31,50.995
1923-09-30,0
1923-10-31,0
1923-11-30,0
1923-12-31,0
1924-01-31,1.987
1924-02-29,1.748
1924-03-31,0
1924-04-30,0
1924-05-31,43.469
1924-06-30,77.23
1924-07-31,93.158
1924-08-31,50.995
1924-09-30,62.335
1924-10-31,19.935
1924-11-30,9.593
1924-12-31,7.606
1925-01-31,1.987
1925-02-28,1.748
1925-03-31,6.755
1925-04-30,108.721
1925-05-31,43.469
1925-06-30,77.23
1925-07-31,93.158
1925-08-31,175.086
1925-09-30,62.335
1925-10-31,19.935
1925-11-30,9.593
1925-12-31,7.606
1926-01-31,1.987
1926-02-28,1.748
1926-03-31,6.755
1926-04-30,108.721
1926-05-31,43.469
1926-06-30,77.23
1926-07-31,217.249
1926-08-31,175.086
1926-09-30,62.335
1926-10-31,19.935
1926-11-30,9.593
1926-12-31,7.606
1927-01-31,1.987
1927-02-28,1.748
1927-03-31,6.755
1927-04-30,108.721
1927-05-31,167.56
1927-06-30,87.572
1927-07-31,110.929
1927-08-31,175.086
1927-09-30,62.335
1927-10-31,19.935
1927-11-30,9.593
1927-12-31,7.606
1928-01-31,1.987
1928-02-29,1.748
1928-03-31,6.755
1928-04-30,108.721
1928-05-31,43.469
1928-06-30,77.23
1928-07-31,93.158
1928-08-31,50.995
1928-09-30,0
1928-10-31,0
1928-11-30,0
1928-12-31,7.606
1929-01-31,1.987
1929-02-28,1.748
1929-03-31,0
1929-04-30,0
1929-05-31,43.469
1929-06-30,77.23
1929-07-31,93.158
1929-08-31,50.995
1929-09-30,0
1929-10-31,0
1929-11-30,9.593
1929-12-31,7.606
1930-01-31,1.987
1930-02-28,1.748
1930-03-31,6.755
1930-04-30,0
1930-05-31,43.469
1930-06-30,77.23
1930-07-31,93.158
1930-08-31,50.995
1930-09-30,0
1930-10-31,0
1930-11-30,0
1930-12-31,7.606
1931-01-31,1.987
1931-02-28,1.748
1931-03-31,0
1931-04-30,0
1931-05-31,43.469
1931-06-30,77.23
1931-07-31,93.158
1931-08-31,50.995
1931-09-30,0
1931-10-31,0
1931-11-30,1.547
1931-12-31,7.606
1932-01-31,1.987
1932-02-29,1.748
1932-03-31,6.755
1932-04-30,0
1932-05-31,43.469
1932-06-30,77.23
1932-07-31,93.158
1932-08-31,50.995
1932-09-30,0
1932-10-31,0
1932-11-30,9.593
1932-12-31,7.606
1933-01-31,1.987
1933-02-28,1.748
1933-03-31,0
1933-04-30,0
1933-05-31,43.469
1933-06-30,77.23
1933-07-31,93.158
1933-08-31,50.995
1933-09-30,0
1933-10-31,0
1933-11-30,9.593
1933-12-31,7.606
1934-01-31,1.987
1934-02-28,1.748
1934-03-31,0
1934-04-30,0
1934-05-31,43.469
1934-06-30,77.23
1934-07-31,93.158
1934-08-31,50.995
1934-09-30,0
1934-10-31,19.935
1934-11-30,9.593
1934-12-31,7.606
1935-01-31,1.987
1935-02-28,1.748
1935-03-31,6.755
1935-04-30,108.721
1935-05-31,167.56
1935-06-30,81.342
1935-07-31,130.246
1935-08-31,175.086
1935-09-30,62.335
1935-10-31,19.935
1935-11-30,9.593
1935-12-31,7.606
1936-01-31,1.987
1936-02-29,1.748
1936-03-31,6.755
1936-04-30,108.721
1936-05-31,43.469
1936-06-30,77.23
1936-07-31,93.158
1936-08-31,175.086
1936-09-30,62.335
1936-10-31,19.935
1936-11-30,9.593
1936-12-31,7.606
1937-01-31,1.987
1937-02-28,1.748
1937-03-31,6.755
1937-04-30,108.721
1937-05-31,167.56
1937-06-30,201.321
1937-07-31,217.249
1937-08-31,175.086
1937-09-30,62.335
1937-10-31,19.935
1937-11-30,9.593
1937-12-31,7.606
1938-01-31,1.987
1938-02-28,1.748
1938-03-31,6.755
1938-04-30,108.721
1938-05-31,167.56
1938-06-30,164.941
1938-07-31,93.158
1938-08-31,50.995
1938-09-30,0
1938-10-31,19.935
1938-11-30,9.593
1938-12-31,7.606
1939-01-31,1.987
1939-02-28,1.748
1939-03-31,6.755
1939-04-30,0
1939-05-31,43.469
1939-06-30,77.23
1939-07-31,93.158
1939-08-31,175.086
1939-09-30,62.335
1939-10-31,19.935
1939-11-30,9.593
