date,kaf
1921-10-31,132767.1199
1921-11-30,132816.9066
1921-12-31,132875.2396
1922-01-31,132897.3531
1922-02-28,132947.5428
1922-03-31,132955.9547
1922-04-30,133000.73
1922-05-31,133041.0861
1922-06-30,132928.1708
1922-07-31,132961.777
1922-08-31,132995.1826
1922-09-30,133012.6276
1922-10-31,133027.3785
1922-11-30,133047.8732
1922-12-31,133092.7513
1923-01-31,133098.3107
1923-02-28,133093.8604
1923-03-31,133091.8363
1923-04-30,133131.1936
1923-05-31,133023.5647
1923-06-30,132906.0334
1923-07-31,132781.8416
1923-08-31,132677.7395
1923-09-30,132631.5188
1923-10-31,132639.6336
1923-11-30,132640.4253
1923-12-31,132637.7482
1924-01-31,132641.1006
1924-02-29,132646.8624
1924-03-31,132630.9675
1924-04-30,132550.148
1924-05-31,132442.844
1924-06-30,132325.8797
1924-07-31,132202.9399
1924-08-31,132232.2665
1924-09-30,132243.7666
1924-10-31,132263.8474
1924-11-30,132269.9851
1924-12-31,132292.3622
1925-01-31,132289.4596
1925-02-28,132353.4814
1925-03-31,132331.3633
1925-04-30,132355.1905
1925-05-31,132379.5367
1925-06-30,132304.5245
1925-07-31,132329.1927
1925-08-31,132354.8393
1925-09-30,132367.5014
1925-10-31,132370.8042
1925-11-30,132373.5249
1925-12-31,132375.623
1926-01-31,132394.0334
1926-02-28,132434.2852
1926-03-31,132416.178
1926-04-30,132457.8103
1926-05-31,132472.0745
1926-06-30,132492.8253
1926-07-31,132521.8165
1926-08-31,132549.57
1926-09-30,132557.9181
1926-10-31,132564.434
1926-11-30,132610.6397
1926-12-31,132609.9767
1927-01-31,132621.4802
1927-02-28,132684.2929
1927-03-31,132656.7068
1927-04-30,132673.2821
1927-05-31,132693.3662
1927-06-30,132716.235
1927-07-31,132741.9332
1927-08-31,132767.5258
1927-09-30,132777.2469
1927-10-31,132783.0907
1927-11-30,132800.4144
1927-12-31,132806.6555
1928-01-31,132809.9109
1928-02-29,132816.4707
1928-03-31,132837.9265
1928-04-30,132849.6258
1928-05-31,132736.6649
1928-06-30,132609.5336
1928-07-31,132479.6078
1928-08-31,132370.2858
1928-09-30,132314.659
1928-10-31,132279.1012
1928-11-30,132271.9152
1928-12-31,132278.1653
1929-01-31,132271.8237
1929-02-28,132273.4955
1929-03-31,132259.6516
1929-04-30,132176.734
1929-05-31,132069.8691
1929-06-30,131948.4418
1929-07-31,131818.576
1929-08-31,131708.218
1929-09-30,131656.2908
1929-10-31,131658.4786
1929-11-30,131656.9153
1929-12-31,131693.0984
1930-01-31,131700.2358
1930-02-28,131701.4486
1930-03-31,131705.7444
1930-04-30,131618.0769
1930-05-31,131507.0079
1930-06-30,131384.3666
1930-07-31,131255.2039
1930-08-31,131146.9308
1930-09-30,131092.348
1930-10-31,131054.2512
1930-11-30,131047.7984
1930-12-31,131043.2284
1931-01-31,131059.6899
1931-02-28,131050.9136
1931-03-31,131038.0927
1931-04-30,130950.6852
1931-05-31,130849.1182
1931-06-30,130730.6359
1931-07-31,130604.0902
1931-08-31,130494.9401
1931-09-30,130438.2633
1931-10-31,130402.4405
1931-11-30,130402.3132
1931-12-31,130445.7773
1932-01-31,130438.6297
1932-02-29,130430.1914
1932-03-31,130428.7453
1932-04-30,130343.1978
1932-05-31,130239.2218
1932-06-30,130109.5635
1932-07-31,129976.3447
1932-08-31,129998.0093
1932-09-30,130004.2574
1932-10-31,130005.7892
1932-11-30,130004.7309
1932-12-31,130008.164
1933-01-31,130019.4954
1933-02-28,130009.0522
1933-03-31,130007.4603
1933-04-30,129924.0497
1933-05-31,129816.6618
1933-06-30,129689.0705
1933-07-31,129555.2877
1933-08-31,129443.4877
1933-09-30,129400.3174
1933-10-31,129403.6673
1933-11-30,129399.806
1933-12-31,129438.294
1934-01-31,129430.5985
1934-02-28,129431.9142
1934-03-31,129412.6964
1934-04-30,129324.4888
1934-05-31,129212.2029
1934-06-30,129086.9566
1934-07-31,128956.8468
1934-08-31,128961.5025
1934-09-30,128968.2845
1934-10-31,128972.4784
1934-11-30,128989.1121
1934-12-31,128986.0692
1935-01-31,129021.9126
1935-02-28,129019.7383
1935-03-31,129027.5952
1935-04-30,129061.1425
1935-05-31,129072.7796
1935-06-30,129084.5074
1935-07-31,129103.7877
1935-08-31,129125.1902
1935-09-30,129131.1943
1935-10-31,129133.5831
1935-11-30,129131.3969
1935-12-31,129135.2939
1936-01-31,129156.1033
1936-02-29,129198.0201
1936-03-31,129171.735
1936-04-30,129185.4493
1936-05-31,129183.8635
1936-06-30,129059.1952
1936-07-31,129080.8644
1936-08-31,129103.6719
1936-09-30,129109.893
1936-10-31,129110.9119
1936-11-30,129108.4046
1936-12-31,129108.3606
1937-01-31,129110.3891
1937-02-28,129139.9578
1937-03-31,129160.8477
1937-04-30,129173.83
1937-05-31,129192.2871
1937-06-30,129208.9269
1937-07-31,129228.9651
1937-08-31,129252.0277
1937-09-30,129259.1728
1937-10-31,129267.0636
1937-11-30,129295.0363
