date,kaf
1921-10-31,69.153542
1921-11-30,33.696789
1921-12-31,78.227829
1922-01-31,16.511047
1922-02-28,124.308838
1922-03-31,-6.783245
1922-04-30,0.860698
1922-05-31,-1.222172
1922-06-30,-29.383551
1922-07-31,-40.656101
1922-08-31,-25.661203
1922-09-30,-8.199093
1922-10-31,10.97547
1922-11-30,37.207989
1922-12-31,122.27034
1923-01-31,23.403597
1923-02-28,-12.022763
1923-03-31,-15.036762
1923-04-30,28.238663
1923-05-31,-25.529175
1923-06-30,-29.20052
1923-07-31,-28.055359
1923-08-31,-18.407417
1923-09-30,-1.902068
1923-10-31,8.865253
1923-11-30,4.898822
1923-12-31,7.331554
1924-01-31,17.623281
1924-02-29,39.622917
1924-03-31,-1.826557
1924-04-30,-3.869754
1924-05-31,-6.78443
1924-06-30,-0.66886
1924-07-31,4.026617
1924-08-31,7.938833
1924-09-30,12.308444
1924-10-31,28.477131
1924-11-30,26.090361
1924-12-31,58.39719
1925-01-31,13.740651
1925-02-28,221.094131
1925-03-31,-55.039032
1925-04-30,-13.841904
1925-05-31,-30.667498
1925-06-30,-41.702053
1925-07-31,-36.251366
1925-08-31,-22.9624
1925-09-30,-6.598397
1925-10-31,3.96013
1925-11-30,10.859889
1925-12-31,9.513002
1926-01-31,51.616665
1926-02-28,176.614487
1926-03-31,-50.691654
1926-04-30,47.232784
1926-05-31,-63.008556
1926-06-30,-47.76479
1926-07-31,-32.216698
1926-08-31,-17.938322
1926-09-30,-3.472373
1926-10-31,9.252762
1926-11-30,136.467606
1926-12-31,31.520586
1927-01-31,44.511002
1927-02-28,219.187653
1927-03-31,-112.821495
1927-04-30,-15.160548
1927-05-31,-61.857639
1927-06-30,-50.851845
1927-07-31,-44.465511
1927-08-31,-28.794981
1927-09-30,-13.381392
1927-10-31,2.998232
1927-11-30,45.287285
1927-12-31,36.002792
1928-01-31,30.486967
1928-02-29,56.647476
1928-03-31,122.937271
1928-04-30,-51.317745
1928-05-31,-52.528751
1928-06-30,-38.307346
1928-07-31,-21.362038
1928-08-31,-6.53562
1928-09-30,5.903301
1928-10-31,10.178929
1928-11-30,24.886152
1928-12-31,35.129757
1929-01-31,7.339399
1929-02-28,34.47403
1929-03-31,10.266805
1929-04-30,-3.029245
1929-05-31,-7.134972
1929-06-30,-8.930634
1929-07-31,-9.436594
1929-08-31,2.282593
1929-09-30,9.564479
1929-10-31,11.982742
1929-11-30,8.789781
