date,kaf
1921-10-31,2.36
1921-11-30,2.15
1921-12-31,2.15
1922-01-31,2.15
1922-02-28,2.1999999999999997
1922-03-31,3.37
1922-04-30,5.41
1922-05-31,7.199999999999999
1922-06-30,7.99
1922-07-31,7.800000000000001
1922-08-31,5.8100000000000005
1922-09-30,3.71
1922-10-31,2.36
1922-11-30,2.15
1922-12-31,2.15
1923-01-31,2.15
1923-02-28,2.1999999999999997
1923-03-31,3.37
1923-04-30,5.41
1923-05-31,7.199999999999999
1923-06-30,7.99
1923-07-31,7.800000000000001
1923-08-31,5.8100000000000005
1923-09-30,3.71
1923-10-31,2.36
1923-11-30,2.15
1923-12-31,2.15
1924-01-31,2.15
1924-02-29,2.1999999999999997
1924-03-31,3.37
1924-04-30,5.41
1924-05-31,7.199999999999999
1924-06-30,7.99
1924-07-31,7.800000000000001
1924-08-31,5.8100000000000005
1924-09-30,3.71
1924-10-31,2.36
1924-11-30,2.15
1924-12-31,2.15
1925-01-31,2.15
1925-02-28,2.1999999999999997
1925-03-31,3.37
1925-04-30,5.41
1925-05-31,7.199999999999999
1925-06-30,7.99
1925-07-31,7.800000000000001
1925-08-31,5.8100000000000005
1925-09-30,3.71
1925-10-31,2.36
1925-11-30,2.15
1925-12-31,2.15
1926-01-31,2.15
1926-02-28,2.1999999999999997
1926-03-31,3.37
1926-04-30,5.41
1926-05-31,7.199999999999999
1926-06-30,7.99
1926-07-31,7.800000000000001
1926-08-31,5.8100000000000005
1926-09-30,3.71
1926-10-31,2.36
1926-11-30,2.15
1926-12-31,2.15
1927-01-31,2.15
1927-02-28,2.1999999999999997
1927-03-31,3.37
1927-04-30,5.41
1927-05-31,7.199999999999999
1927-06-30,7.99
1927-07-31,7.800000000000001
1927-08-31,5.8100000000000005
1927-09-30,3.71
1927-10-31,2.36
1927-11-30,2.15
1927-12-31,2.15
1928-01-31,2.15
1928-02-29,2.1999999999999997
1928-03-31,3.37
1928-04-30,5.41
1928-05-31,7.199999999999999
1928-06-30,7.99
1928-07-31,7.800000000000001
1928-08-31,5.8100000000000005
1928-09-30,3.71
1928-10-31,2.36
1928-11-30,2.15
1928-12-31,2.15
1929-01-31,2.15
1929-02-28,2.1999999999999997
1929-03-31,3.37
1929-04-30,5.41
1929-05-31,7.199999999999999
1929-06-30,7.99
1929-07-31,7.800000000000001
1929-08-31,5.8100000000000005
1929-09-30,3.71
1929-10-31,2.36
1929-11-30,2.15
1929-12-31,2.15
1930-01-31,2.15
1930-02-28,2.1999999999999997
1930-03-31,3.37
1930-04-30,5.41
1930-05-31,7.199999999999999
1930-06-30,7.99
1930-07-31,7.800000000000001
1930-08-31,5.8100000000000005
1930-09-30,3.71
1930-10-31,2.36
1930-11-30,2.15
1930-12-31,2.15
1931-01-31,2.15
1931-02-28,2.1999999999999997
1931-03-31,3.37
1931-04-30,5.41
1931-05-31,7.199999999999999
1931-06-30,7.99
1931-07-31,7.800000000000001
1931-08-31,5.8100000000000005
1931-09-30,3.71
1931-10-31,2.36
1931-11-30,2.15
1931-12-31,2.15
1932-01-31,2.15
1932-02-29,2.1999999999999997
1932-03-31,3.37
1932-04-30,5.41
1932-05-31,7.199999999999999
1932-06-30,7.99
1932-07-31,7.800000000000001
1932-08-31,5.8100000000000005
1932-09-30,3.71
1932-10-31,2.36
1932-11-30,2.15
1932-12-31,2.15
1933-01-31,2.15
1933-02-28,2.1999999999999997
1933-03-31,3.37
1933-04-30,5.41
1933-05-31,7.199999999999999
1933-06-30,7.99
1933-07-31,7.800000000000001
1933-08-31,5.8100000000000005
1933-09-30,3.71
1933-10-31,2.36
1933-11-30,2.15
1933-12-31,2.15
1934-01-31,2.15
1934-02-28,2.1999999999999997
1934-03-31,3.37
1934-04-30,5.41
1934-05-31,7.199999999999999
1934-06-30,7.99
1934-07-31,7.800000000000001
1934-08-31,5.8100000000000005
1934-09-30,3.71
1934-10-31,2.36
1934-11-30,2.15
1934-12-31,2.15
1935-01-31,2.15
1935-02-28,2.1999999999999997
1935-03-31,3.37
1935-04-30,5.41
1935-05-31,7.199999999999999
1935-06-30,7.99
1935-07-31,7.800000000000001
1935-08-31,5.8100000000000005
1935-09-30,3.71
1935-10-31,2.36
1935-11-30,2.15
1935-12-31,2.15
1936-01-31,2.15
1936-02-29,2.1999999999999997
1936-03-31,3.37
1936-04-30,5.41
1936-05-31,7.199999999999999
1936-06-30,7.99
1936-07-31,7.800000000000001
1936-08-31,5.8100000000000005
1936-09-30,3.71
1936-10-31,2.36
1936-11-30,2.15
1936-12-31,2.15
1937-01-31,2.15
1937-02-28,2.1999999999999997
1937-03-31,3.37
1937-04-30,5.41
1937-05-31,7.199999999999999
1937-06-30,7.99
1937-07-31,7.800000000000001
1937-08-31,5.8100000000000005
1937-09-30,3.71
1937-10-31,2.36
1937-11-30,2.15
1937-12-31,2.15
1938-01-31,2.15
1938-02-28,2.1999999999999997
1938-03-31,3.37
1938-04-30,5.41
1938-05-31,7.199999999999999
1938-06-30,7.99
1938-07-31,7.800000000000001
1938-08-31,5.8100000000000005
1938-09-30,3.71
1938-10-31,2.36
1938-11-30,2.15
1938-12-31,2.15
1939-01-31,2.15
1939-02-28,2.1999999999999997
1939-03-31,3.37
1939-04-30,5.41
1939-05-31,7.199999999999999
1939-06-30,7.99
1939-07-31,7.800000000000001
1939-08-31,5.8100000000000005
1939-09-30,3.71
1939-10-31,2.36
1939-11-30,2.15
1939-12-31,2.15
1940-01-31,2.15
1940-02-29,2.1999999999999997
1940-03-31,3.37
1940-04-30,5.41
1940-05-31,7.199999999999999
1940-06-30,7.99
1940-07-31,7.800000000000001
1940-08-31,5.8100000000000005
1940-09-30,3.71
1940-10-31,2.36
1940-11-30,2.15
1940-12-31,2.15
1941-01-31,2.15
1941-02-28,2.1999999999999997
1941-03-31,3.37
1941-04-30,5.41
1941-05-31,7.199999999999999
1941-06-30,7.99
1941-07-31,7.800000000000001
1941-08-31,5.8100000000000005
1941-09-30,3.71
1941-10-31,2.36
1941-11-30,2.15
1941-12-31,2.15
1942-01-31,2.15
