date,kaf
1921-10-31,0
1921-11-30,0
1921-12-31,0
1922-01-31,0
1922-02-28,0
1922-03-31,0
1922-04-30,35.894184
1922-05-31,85.699997
1922-06-30,85.699997
1922-07-31,85.699997
1922-08-31,85.699997
1922-09-30,53.989746
1922-10-31,0
1922-11-30,0
1922-12-31,0
1923-01-31,0
1923-02-28,0
1923-03-31,0
1923-04-30,35.894184
1923-05-31,85.699997
1923-06-30,85.699997
1923-07-31,85.699997
1923-08-31,85.699997
1923-09-30,53.538471
1923-10-31,27.842157
1923-11-30,0
1923-12-31,0
1924-01-31,0
1924-02-29,0
1924-03-31,13.076923
1924-04-30,65.814186
1924-05-31,85.699997
1924-06-30,85.699997
1924-07-31,85.699997
1924-08-31,85.699997
1924-09-30,53.886486
1924-10-31,27.842157
1924-11-30,0
1924-12-31,0
1925-01-31,0
1925-02-28,0
1925-03-31,0
1925-04-30,35.894184
1925-05-31,85.699997
1925-06-30,85.699997
1925-07-31,85.699997
1925-08-31,85.699997
1925-09-30,53.788647
1925-10-31,0
1925-11-30,0
1925-12-31,0
1926-01-31,0
1926-02-28,0
1926-03-31,0
1926-04-30,35.894184
1926-05-31,85.699997
1926-06-30,85.699997
1926-07-31,85.699997
1926-08-31,85.699997
1926-09-30,24.975105
1926-10-31,0
1926-11-30,0
1926-12-31,0
1927-01-31,-0
1927-02-28,0
1927-03-31,0
1927-04-30,35.894184
1927-05-31,85.699997
1927-06-30,85.699997
1927-07-31,85.699997
1927-08-31,85.699997
1927-09-30,54.895103
1927-10-31,0
1927-11-30,0
1927-12-31,0
1928-01-31,-0
1928-02-29,0
1928-03-31,0
1928-04-30,35.894184
1928-05-31,85.699997
1928-06-30,85.699997
1928-07-31,85.699997
1928-08-31,85.699997
1928-09-30,53.989746
1928-10-31,27.842157
1928-11-30,1.498502
1928-12-31,0
1929-01-31,0
1929-02-28,0
1929-03-31,12.571918
1929-04-30,64.157257
1929-05-31,85.699997
1929-06-30,85.699997
1929-07-31,85.699997
1929-08-31,85.699997
1929-09-30,53.989746
1929-10-31,27.842157
1929-11-30,0
1929-12-31,-0
1930-01-31,0
