date,kaf
1921-10-31,36.61
1921-11-30,28.52
1921-12-31,15.24
1922-01-31,11.74
1922-02-28,7.94
1922-03-31,10.45
1922-04-30,99.24
1922-05-31,124.75
1922-06-30,150.18
1922-07-31,145.34
1922-08-31,112.5
1922-09-30,46.72
1922-10-31,36.61
1922-11-30,28.52
1922-12-31,15.24
1923-01-31,11.74
1923-02-28,7.94
1923-03-31,10.45
1923-04-30,99.24
1923-05-31,124.75
1923-06-30,150.18
1923-07-31,145.34
1923-08-31,112.5
1923-09-30,46.72
1923-10-31,36.61
1923-11-30,28.52
1923-12-31,15.24
1924-01-31,11.74
1924-02-29,7.94
1924-03-31,10.45
1924-04-30,99.24
1924-05-31,124.75
1924-06-30,150.18
1924-07-31,145.34
1924-08-31,112.5
1924-09-30,46.72
1924-10-31,36.61
1924-11-30,28.52
1924-12-31,15.24
1925-01-31,11.74
1925-02-28,7.94
1925-03-31,10.45
1925-04-30,99.24
1925-05-31,124.75
1925-06-30,150.18
1925-07-31,145.34
1925-08-31,112.5
1925-09-30,46.72
1925-10-31,36.61
1925-11-30,28.52
1925-12-31,15.24
1926-01-31,11.74
1926-02-28,7.94
1926-03-31,10.45
1926-04-30,99.24
1926-05-31,124.75
1926-06-30,150.18
1926-07-31,145.34
1926-08-31,112.5
1926-09-30,46.72
1926-10-31,36.61
1926-11-30,28.52
1926-12-31,15.24
1927-01-31,11.74
1927-02-28,7.94
1927-03-31,10.45
1927-04-30,99.24
1927-05-31,124.75
1927-06-30,150.18
1927-07-31,145.34
1927-08-31,112.5
1927-09-30,46.72
1927-10-31,36.61
1927-11-30,28.52
1927-12-31,15.24
1928-01-31,11.74
1928-02-29,7.94
1928-03-31,10.45
1928-04-30,99.24
1928-05-31,124.75
1928-06-30,150.18
1928-07-31,145.34
1928-08-31,112.5
1928-09-30,46.72
1928-10-31,36.61
1928-11-30,28.52
1928-12-31,15.24
1929-01-31,11.74
1929-02-28,7.94
1929-03-31,10.45
1929-04-30,99.24
1929-05-31,124.75
1929-06-30,150.18
1929-07-31,145.34
1929-08-31,112.5
1929-09-30,46.72
1929-10-31,36.61
1929-11-30,28.52
1929-12-31,15.24
1930-01-31,11.74
1930-02-28,7.94
1930-03-31,10.45
1930-04-30,99.24
1930-05-31,124.75
1930-06-30,150.18
1930-07-31,145.34
1930-08-31,112.5
1930-09-30,46.72
1930-10-31,36.61
1930-11-30,28.52
1930-12-31,15.24
1931-01-31,11.74
1931-02-28,7.94
1931-03-31,10.45
1931-04-30,99.24
1931-05-31,124.75
1931-06-30,150.18
1931-07-31,145.34
1931-08-31,112.5
1931-09-30,46.72
1931-10-31,36.61
1931-11-30,28.52
1931-12-31,15.24
1932-01-31,11.74
1932-02-29,7.94
1932-03-31,10.45
1932-04-30,99.24
1932-05-31,124.75
1932-06-30,150.18
1932-07-31,145.34
1932-08-31,112.5
1932-09-30,46.72
1932-10-31,36.61
1932-11-30,28.52
1932-12-31,15.24
1933-01-31,11.74
1933-02-28,7.94
1933-03-31,10.45
1933-04-30,99.24
1933-05-31,124.75
1933-06-30,150.18
1933-07-31,145.34
1933-08-31,112.5
1933-09-30,46.72
1933-10-31,36.61
1933-11-30,28.52
1933-12-31,15.24
1934-01-31,11.74
1934-02-28,7.94
1934-03-31,10.45
1934-04-30,99.24
1934-05-31,124.75
1934-06-30,150.18
1934-07-31,145.34
1934-08-31,112.5
1934-09-30,46.72
1934-10-31,36.61
1934-11-30,28.52
1934-12-31,15.24
1935-01-31,11.74
1935-02-28,7.94
1935-03-31,10.45
1935-04-30,99.24
1935-05-31,124.75
1935-06-30,150.18
1935-07-31,145.34
1935-08-31,112.5
1935-09-30,46.72
1935-10-31,36.61
1935-11-30,28.52
1935-12-31,15.24
1936-01-31,11.74
1936-02-29,7.94
1936-03-31,10.45
1936-04-30,99.24
1936-05-31,124.75
1936-06-30,150.18
1936-07-31,145.34
1936-08-31,112.5
1936-09-30,46.72
1936-10-31,36.61
1936-11-30,28.52
1936-12-31,15.24
1937-01-31,11.74
1937-02-28,7.94
1937-03-31,10.45
1937-04-30,99.24
1937-05-31,124.75
1937-06-30,150.18
1937-07-31,145.34
1937-08-31,112.5
1937-09-30,46.72
1937-10-31,36.61
1937-11-30,28.52
1937-12-31,15.24
1938-01-31,11.74
1938-02-28,7.94
1938-03-31,10.45
1938-04-30,99.24
1938-05-31,124.75
1938-06-30,150.18
1938-07-31,145.34
1938-08-31,112.5
1938-09-30,46.72
1938-10-31,36.61
1938-11-30,28.52
1938-12-31,15.24
1939-01-31,11.74
1939-02-28,7.94
1939-03-31,10.45
1939-04-30,99.24
1939-05-31,124.75
1939-06-30,150.18
1939-07-31,145.34
1939-08-31,112.5
1939-09-30,46.72
1939-10-31,36.61
1939-11-30,28.52
1939-12-31,15.24
1940-01-31,11.74
1940-02-29,7.94
1940-03-31,10.45
1940-04-30,99.24
1940-05-31,124.75
1940-06-30,150.18
1940-07-31,145.34
1940-08-31,112.5
1940-09-30,46.72
1940-10-31,36.61
1940-11-30,28.52
1940-12-31,15.24
1941-01-31,11.74
1941-02-28,7.94
1941-03-31,10.45
1941-04-30,99.24
1941-05-31,124.75
1941-06-30,150.18
1941-07-31,145.34
1941-08-31,112.5
1941-09-30,46.72
1941-10-31,36.61
1941-11-30,28.52
1941-12-31,15.24
1942-01-31,11.74
1942-02-28,7.94
1942-03-31,10.45
1942-04-30,99.24
1942-05-31,124.75
1942-06-30,150.18
1942-07-31,145.34
1942-08-31,112.5
1942-09-30,46.72
1942-10-31,36.61
1942-11-30,28.52
1942-12-31,15.24
1943-01-31,11.74
1943-02-28,7.94
1943-03-31,10.45
1943-04-30,99.24
1943-05-31,124.75
1943-06-30,150.18
1943-07-31,145.34
1943-08-31,112.5
1943-09-30,46.72
1943-10-31,36.61
1943-11-30,28.52
1943-12-31,15.24
1944-01-31,11.74
1944-02-29,7.94
1944-03-31,10.45
1944-04-30,99.24
1944-05-31,124.75
1944-06-30,150.18
1944-07-31,145.34
1944-08-31,112.5
1944-09-30,46.72
1944-10-31,36.61
1944-11-30,28.52
1944-12-31,15.24
1945-01-31,11.74
1945-02-28,7.94
1945-03-31,10.45
1945-04-30,99.24
1945-05-31,124.75
