date,kaf
date,FLOW_LOC(KAF)
1921-10-31,0.906
1921-11-30,0.717
1921-12-31,0.64
1922-01-31,0.607
1922-02-28,0.618
1922-03-31,0.668
1922-04-30,0.836
1922-05-31,1.098
1922-06-30,1.261
1922-07-31,1.334
1922-08-31,1.273
1922-09-30,1.093
1922-10-31,0.906
1922-11-30,0.717
1922-12-31,0.64
1923-01-31,0.607
1923-02-28,0.618
1923-03-31,0.668
1923-04-30,0.836
1923-05-31,1.098
1923-06-30,1.261
1923-07-31,1.334
1923-08-31,1.273
1923-09-30,1.093
1923-10-31,0.906
1923-11-30,0.717
1923-12-31,0.64
1924-01-31,0.607
1924-02-29,0.618
1924-03-31,0.668
1924-04-30,0.836
1924-05-31,1.098
1924-06-30,1.261
1924-07-31,1.334
1924-08-31,1.273
1924-09-30,1.093
1924-10-31,0.906
1924-11-30,0.717
1924-12-31,0.64
1925-01-31,0.607
1925-02-28,0.618
1925-03-31,0.668
1925-04-30,0.836
1925-05-31,1.098
1925-06-30,1.261
1925-07-31,1.334
1925-08-31,1.273
1925-09-30,1.093
1925-10-31,0.906
1925-11-30,0.717
1925-12-31,0.64
1926-01-31,0.607
1926-02-28,0.618
1926-03-31,0.668
1926-04-30,0.836
1926-05-31,1.098
1926-06-30,1.261
1926-07-31,1.334
1926-08-31,1.273
1926-09-30,1.093
1926-10-31,0.906
1926-11-30,0.717
1926-12-31,0.64
1927-01-31,0.607
1927-02-28,0.618
1927-03-31,0.668
1927-04-30,0.836
1927-05-31,1.098
1927-06-30,1.261
1927-07-31,1.334
1927-08-31,1.273
1927-09-30,1.093
1927-10-31,0.906
1927-11-30,0.717
1927-12-31,0.64
1928-01-31,0.607
1928-02-29,0.618
1928-03-31,0.668
1928-04-30,0.836
1928-05-31,1.098
1928-06-30,1.261
1928-07-31,1.334
1928-08-31,1.273
1928-09-30,1.093
1928-10-31,0.906
1928-11-30,0.717
1928-12-31,0.64
1929-01-31,0.607
1929-02-28,0.618
1929-03-31,0.668
1929-04-30,0.836
1929-05-31,1.098
1929-06-30,1.261
1929-07-31,1.334
1929-08-31,1.273
1929-09-30,1.093
1929-10-31,0.906
1929-11-30,0.717
1929-12-31,0.64
1930-01-31,0.607
1930-02-28,0.618
1930-03-31,0.668
1930-04-30,0.836
1930-05-31,1.098
1930-06-30,1.261
1930-07-31,1.334
1930-08-31,1.273
1930-09-30,1.093
1930-10-31,0.906
1930-11-30,0.717
1930-12-31,0.64
1931-01-31,0.607
1931-02-28,0.618
1931-03-31,0.668
1931-04-30,0.836
1931-05-31,1.098
1931-06-30,1.261
1931-07-31,1.334
1931-08-31,1.273
1931-09-30,1.093
1931-10-31,0.906
1931-11-30,0.717
1931-12-31,0.64
1932-01-31,0.607
1932-02-29,0.618
1932-03-31,0.668
1932-04-30,0.836
1932-05-31,1.098
1932-06-30,1.261
1932-07-31,1.334
1932-08-31,1.273
1932-09-30,1.093
1932-10-31,0.906
1932-11-30,0.717
1932-12-31,0.64
1933-01-31,0.607
1933-02-28,0.618
1933-03-31,0.668
1933-04-30,0.836
1933-05-31,1.098
1933-06-30,1.261
1933-07-31,1.334
1933-08-31,1.273
1933-09-30,1.093
1933-10-31,0.906
1933-11-30,0.717
1933-12-31,0.64
1934-01-31,0.607
1934-02-28,0.618
1934-03-31,0.668
1934-04-30,0.836
1934-05-31,1.098
1934-06-30,1.261
1934-07-31,1.334
1934-08-31,1.273
1934-09-30,1.093
1934-10-31,0.906
1934-11-30,0.717
1934-12-31,0.64
1935-01-31,0.607
1935-02-28,0.618
1935-03-31,0.668
1935-04-30,0.836
1935-05-31,1.098
1935-06-30,1.261
1935-07-31,1.334
1935-08-31,1.273
1935-09-30,1.093
1935-10-31,0.906
1935-11-30,0.717
1935-12-31,0.64
1936-01-31,0.607
1936-02-29,0.618
1936-03-31,0.668
1936-04-30,0.836
1936-05-31,1.098
1936-06-30,1.261
1936-07-31,1.334
1936-08-31,1.273
1936-09-30,1.093
