date,kaf
1921-10-31,16.483299
1921-11-30,9.351359
1921-12-31,6.19986
1922-01-31,2.45244
1922-02-28,0.4775
1922-03-31,2.0819
1922-04-30,41.045898
1922-05-31,50.16806
1922-06-30,60.524078
1922-07-31,61.093262
1922-08-31,48.41468
1922-09-30,21.54862
1922-10-31,15.662
1922-11-30,9.351359
1922-12-31,6.19986
1923-01-31,2.45244
1923-02-28,0.4775
1923-03-31,2.0819
1923-04-30,41.045898
1923-05-31,50.16806
1923-06-30,57.498638
1923-07-31,61.093262
1923-08-31,48.41468
1923-09-30,21.54862
1923-10-31,15.662
1923-11-30,8.8815
1923-12-31,5.89044
1924-01-31,2.45244
1924-02-29,0.4775
1924-03-31,1.97494
1924-04-30,38.990742
1924-05-31,47.658321
1924-06-30,57.498638
1924-07-31,61.093262
1924-08-31,48.41468
1924-09-30,21.54862
1924-10-31,15.662
1924-11-30,9.351359
1924-12-31,6.19986
1925-01-31,2.45244
1925-02-28,0.4775
1925-03-31,2.0819
1925-04-30,41.045898
1925-05-31,47.658321
1925-06-30,57.498638
1925-07-31,61.093262
1925-08-31,48.41468
1925-09-30,21.54862
1925-10-31,15.662
1925-11-30,9.351359
1925-12-31,6.19986
1926-01-31,2.45244
1926-02-28,0.4775
1926-03-31,2.0819
1926-04-30,41.045898
1926-05-31,47.658321
1926-06-30,57.498638
1926-07-31,61.093262
1926-08-31,48.41468
1926-09-30,21.54862
1926-10-31,16.483299
1926-11-30,9.351359
1926-12-31,6.19986
1927-01-31,2.45244
1927-02-28,0.4775
1927-03-31,2.0819
1927-04-30,41.045898
1927-05-31,47.658321
1927-06-30,57.498638
1927-07-31,61.093262
1927-08-31,48.41468
1927-09-30,21.54862
1927-10-31,16.483299
1927-11-30,9.351359
1927-12-31,6.19986
1928-01-31,2.45244
1928-02-29,0.4775
1928-03-31,2.0819
1928-04-30,41.045898
1928-05-31,47.658321
1928-06-30,57.498638
1928-07-31,61.093262
1928-08-31,48.41468
1928-09-30,21.54862
1928-10-31,15.662
1928-11-30,8.8815
1928-12-31,5.89044
1929-01-31,2.45244
1929-02-28,0.4775
1929-03-31,1.97494
1929-04-30,38.990742
1929-05-31,47.658321
1929-06-30,57.498638
1929-07-31,61.093262
1929-08-31,48.41468
1929-09-30,21.54862
1929-10-31,15.662
1929-11-30,9.351359
1929-12-31,6.19986
1930-01-31,2.45244
1930-02-28,0.4775
1930-03-31,2.0819
1930-04-30,38.990742
1930-05-31,47.658321
1930-06-30,57.498638
