date,kaf
1921-10-31,0
1921-11-30,0
1921-12-31,147.25
1922-01-31,0
1922-02-28,0
1922-03-31,0
1922-04-30,0
1922-05-31,0
1922-06-30,0
1922-07-31,395.407684
1922-08-31,671.67395
1922-09-30,453.878235
1922-10-31,0
1922-11-30,334.496338
1922-12-31,0
1923-01-31,0
1923-02-28,0
1923-03-31,0
1923-04-30,105.708488
1923-05-31,168.992645
1923-06-30,463.985168
1923-07-31,1109.43811
1923-08-31,852.114929
1923-09-30,514.380737
1923-10-31,138.741013
1923-11-30,192.288361
1923-12-31,208.453812
1924-01-31,503.79129
1924-02-29,0
1924-03-31,0
1924-04-30,61.140854
1924-05-31,196.99437
1924-06-30,505.25473
1924-07-31,878.229126
1924-08-31,425.310516
1924-09-30,27.237482
1924-10-31,205.797012
1924-11-30,195.489075
1924-12-31,0
1925-01-31,120.934616
1925-02-28,0
1925-03-31,0
1925-04-30,0
1925-05-31,104.608948
1925-06-30,397.956268
1925-07-31,837.931641
1925-08-31,908.676147
1925-09-30,367.362183
1925-10-31,455.892609
1925-11-30,335.583069
1925-12-31,289.120209
1926-01-31,618.712952
1926-02-28,0
1926-03-31,0
1926-04-30,210.908813
1926-05-31,329.095459
1926-06-30,634.251953
1926-07-31,1175.49353
1926-08-31,960.902222
1926-09-30,102.873451
1926-10-31,406.399109
1926-11-30,180.192749
1926-12-31,0
1927-01-31,0
1927-02-28,0
1927-03-31,0
1927-04-30,0
1927-05-31,0
1927-06-30,526.402222
1927-07-31,1204.512207
1927-08-31,855.671692
1927-09-30,535.858154
1927-10-31,0
1927-11-30,0
1927-12-31,0
1928-01-31,0
1928-02-29,0
1928-03-31,0
1928-04-30,0
1928-05-31,17.245432
1928-06-30,828.476013
1928-07-31,1463.264038
1928-08-31,903.968689
1928-09-30,549.277588
1928-10-31,0
1928-11-30,0
1928-12-31,0
1929-01-31,108.872185
1929-02-28,0
1929-03-31,0
1929-04-30,25.508293
1929-05-31,111.281624
1929-06-30,356.844208
1929-07-31,582.275757
1929-08-31,421.826813
1929-09-30,0
1929-10-31,128.376862
1929-11-30,201.332947
