date,kaf
1921-10-31,401.1757079
1921-11-30,358.6931843
1921-12-31,521.7283411
1922-01-31,391.7122064
1922-02-28,713.8680218
1922-03-31,505.5919227
1922-04-30,466.5493621
1922-05-31,703.9646463
1922-06-30,422.9758105
1922-07-31,610.1679371
1922-08-31,641.6878532
1922-09-30,484.8688807
1922-10-31,388.3534517
1922-11-30,359.7694555
1922-12-31,710.9983411
1923-01-31,594.9642064
1923-02-28,334.5180218
1923-03-31,311.4909227
1923-04-30,435.4383621
1923-05-31,430.0623154
1923-06-30,413.5265465
1923-07-31,598.8850213
1923-08-31,409.838298
1923-09-30,322.31843
1923-10-31,382.0055822
1923-11-30,352.9072529
1923-12-31,329.1861888
1924-01-31,295.0320135
1924-02-29,352.8330218
1924-03-31,315.5372607
1924-04-30,284.5360192
1924-05-31,702.035027
1924-06-30,711.1866599
1924-07-31,531.8640741
1924-08-31,454.9098436
1924-09-30,368.7555311
1924-10-31,334.2187225
1924-11-30,333.3097055
1924-12-31,398.9753411
1925-01-31,367.7352064
1925-02-28,1509.945022
1925-03-31,460.6733545
1925-04-30,579.8603621
1925-05-31,630.3583631
1925-06-30,320.5435927
1925-07-31,908.6874604
1925-08-31,638.6477206
1925-09-30,443.2538807
1925-10-31,385.3121093
1925-11-30,330.7766163
1925-12-31,355.1191407
1926-01-31,467.6912064
1926-02-28,1008.418022
1926-03-31,410.1256201
1926-04-30,524.2378318
1926-05-31,1027.699369
1926-06-30,1043.30277
1926-07-31,1020.630863
1926-08-31,961.462621
1926-09-30,359.9736807
1926-10-31,301.0978231
1926-11-30,541.1857055
1926-12-31,833.8473411
1927-01-31,906.8942064
1927-02-28,1765.708465
1927-03-31,1178.061456
1927-04-30,1321.588139
1927-05-31,728.1522103
1927-06-30,708.7150082
1927-07-31,1041.119863
1927-08-31,1035.745605
1927-09-30,921.1340103
1927-10-31,438.9547089
1927-11-30,535.3917055
1927-12-31,533.6323411
1928-01-31,602.7722064
1928-02-29,659.8690218
1928-03-31,957.9469227
1928-04-30,578.9273621
1928-05-31,445.1157043
1928-06-30,349.4937698
1928-07-31,1064.771863
1928-08-31,523.9996928
1928-09-30,304.06663
1928-10-31,355.7884312
1928-11-30,351.0847055
1928-12-31,367.9073411
1929-01-31,328.6350135
1929-02-28,499.3740218
1929-03-31,333.4581545
1929-04-30,345.2180836
1929-05-31,467.0811118
1929-06-30,722.4262435
1929-07-31,321.9139328
1929-08-31,303.027298
1929-09-30,242.047
1929-10-31,302.9721116
1929-11-30,243.0184555
1929-12-31,609.5593411
1930-01-31,553.7132064
1930-02-28,572.8920218
1930-03-31,706.7179227
1930-04-30,342.1191313
1930-05-31,407.6198196
1930-06-30,445.8498192
1930-07-31,875.7137585
1930-08-31,316.965298
1930-09-30,249.00443
1930-10-31,244.5159018
1930-11-30,255.2200009
1930-12-31,270.268667
1931-01-31,460.2550135
1931-02-28,332.5320218
1931-03-31,326.5011545
1931-04-30,236.2701313
1931-05-31,243.0942669
1931-06-30,312.8358761
1931-07-31,339.7111093
1931-08-31,313.6733392
1931-09-30,240.853
1931-10-31,261.2059018
1931-11-30,255.6577055
1931-12-31,697.9703411
1932-01-31,454.7592064
1932-02-29,321.9800218
1932-03-31,384.1691545
1932-04-30,293.1901313
1932-05-31,319.780636
1932-06-30,435.5768618
1932-07-31,466.869964
1932-08-31,434.7598436
1932-09-30,295.2563477
1932-10-31,316.7831931
1932-11-30,261.8469329
1932-12-31,292.1723411
1933-01-31,419.1014872
1933-02-28,307.2460218
1933-03-31,526.3591545
1933-04-30,293.6831313
1933-05-31,647.8747335
1933-06-30,547.5923801
1933-07-31,442.3875004
1933-08-31,296.9792392
1933-09-30,242.081
1933-10-31,296.7755822
1933-11-30,236.2574555
1933-12-31,471.2483411
1934-01-31,524.9512064
1934-02-28,481.9810218
1934-03-31,399.6774045
1934-04-30,450.1756431
1934-05-31,855.9468922
1934-06-30,980.0297483
1934-07-31,516.2639002
1934-08-31,411.2379828
1934-09-30,306.0783477
1934-10-31,312.5542395
1934-11-30,444.8554555
1934-12-31,346.1313411
1935-01-31,821.0612064
1935-02-28,463.7850218
1935-03-31,609.5689227
1935-04-30,906.2833621
1935-05-31,632.6605844
1935-06-30,717.5502674
1935-07-31,1023.881863
1935-08-31,983.3462543
1935-09-30,344.2418807
1935-10-31,301.7777225
1935-11-30,267.0849343
1935-12-31,339.3153411
1936-01-31,1037.814206
1936-02-29,970.2250218
1936-03-31,531.9863545
1936-04-30,464.6333621
1936-05-31,415.4014514
1936-06-30,329.4895465
1936-07-31,1035.401863
1936-08-31,747.9475447
1936-09-30,411.0656807
1936-10-31,375.8897225
1936-11-30,328.0189343
1936-12-31,303.3923411
1937-01-31,320.0412064
1937-02-28,656.1930218
1937-03-31,853.6379227
1937-04-30,466.5393621
1937-05-31,502.6831852
1937-06-30,1047.655499
1937-07-31,1029.322863
1937-08-31,1019.918605
1937-09-30,603.3026729
1937-10-31,336.0792784
1937-11-30,846.9457055
1937-12-31,1750.086616
1938-01-31,1489.913206
1938-02-28,2358.522022
1938-03-31,2565.321923
1938-04-30,1663.273513
1938-05-31,1351.321724
1938-06-30,575.6733601
1938-07-31,648.31164
1938-08-31,613.73547
1938-09-30,813.6732499
1938-10-31,422.8017225
1938-11-30,384.4736388
1938-12-31,417.9783411
1939-01-31,346.9172064
1939-02-28,308.9480218
1939-03-31,377.1409227
1939-04-30,269.9441057
1939-05-31,658.2215218
1939-06-30,1022.72677
1939-07-31,1002.666863
1939-08-31,825.7623015
1939-09-30,401.9896807
1939-10-31,339.7017225
1939-11-30,308.9279343
1939-12-31,385.0173411
1940-01-31,1048.931206
1940-02-29,1743.146317
1940-03-31,2010.016923
1940-04-30,1254.022651
1940-05-31,595.5671852
1940-06-30,893.3141172
1940-07-31,1021.948863
1940-08-31,1018.973605
1940-09-30,707.6462576
1940-10-31,425.5927225
1940-11-30,404.1919788
1940-12-31,1265.929064
1941-01-31,2217.583206
1941-02-28,2352.718051
1941-03-31,2035.288923
1941-04-30,1959.628101
1941-05-31,1264.390622
1941-06-30,575.1973988
1941-07-31,936.0750706
1941-08-31,891.4319847
1941-09-30,1057.972709
1941-10-31,619.9132696
1941-11-30,365.8212136
1941-12-31,1827.811485
1942-01-31,1809.194206
1942-02-28,2186.054022
1942-03-31,510.9783545
1942-04-30,1186.921921
1942-05-31,979.0426354
1942-06-30,569.1564763
1942-07-31,755.6789825
1942-08-31,930.4472126
1942-09-30,1052.810248
1942-10-31,414.6277225
1942-11-30,383.8587055
1942-12-31,561.3853411
1943-01-31,1358.877022
1943-02-28,967.5760023
1943-03-31,1292.561074
1943-04-30,804.1368236
1943-05-31,611.4774641
1943-06-30,386.8366053
1943-07-31,917.1830706
