date,kaf
1921-10-31,414.943115
1921-11-30,337.804688
1921-12-31,512.843079
1922-01-31,390.381622
1922-02-28,766.825073
1922-03-31,522.108887
1922-04-30,379.257538
1922-05-31,592.314087
1922-06-30,438.278442
1922-07-31,455.630005
1922-08-31,483.981354
1922-09-30,407.923523
1922-10-31,333.729065
1922-11-30,339.719391
1922-12-31,710.673157
1923-01-31,636.042114
1923-02-28,353.896576
1923-03-31,304.20459
1923-04-30,343.608551
1923-05-31,432.442535
1923-06-30,410.479889
1923-07-31,646.045471
1923-08-31,399.480011
1923-09-30,308.466187
1923-10-31,330.365448
1923-11-30,335.564026
1923-12-31,323.667328
1924-01-31,290.532928
1924-02-29,354.997864
1924-03-31,259.933533
1924-04-30,230.292068
1924-05-31,343.723389
1924-06-30,889.603333
1924-07-31,710.252686
1924-08-31,313.340363
1924-09-30,311.130219
1924-10-31,275.324158
1924-11-30,304.896759
1924-12-31,385.550812
1925-01-31,369.70163
1925-02-28,1718.500977
1925-03-31,482.054108
1925-04-30,489.517426
1925-05-31,532.869385
1925-06-30,310.386932
1925-07-31,856.369629
1925-08-31,581.462952
1925-09-30,365.983307
1925-10-31,330.338898
1925-11-30,315.427917
1925-12-31,344.123047
1926-01-31,465.027252
1926-02-28,1126.461182
1926-03-31,431.23233
1926-04-30,431.101288
1926-05-31,708.383789
1926-06-30,893.852539
1926-07-31,859.462341
1926-08-31,885.833557
1926-09-30,308.682159
1926-10-31,249.897629
1926-11-30,516.098877
1926-12-31,880.558044
1927-01-31,975.277344
1927-02-28,2053.201904
1927-03-31,1231.055664
1927-04-30,1240.01062
1927-05-31,606.008789
1927-06-30,450.494171
1927-07-31,881.169128
1927-08-31,891.113525
1927-09-30,955.698303
1927-10-31,383.148132
1927-11-30,514.060059
1927-12-31,521.228027
1928-01-31,619.581726
1928-02-29,750.089844
1928-03-31,1051.446533
1928-04-30,491.883362
1928-05-31,457.53772
1928-06-30,476.198151
1928-07-31,1061.948975
1928-08-31,541.240417
1928-09-30,292.329163
1928-10-31,337.157227
1928-11-30,336.415985
1928-12-31,353.472198
1929-01-31,323.210571
1929-02-28,499.63324
1929-03-31,333.69577
1929-04-30,283.006683
1929-05-31,358.817566
1929-06-30,680.778503
1929-07-31,478.76593
1929-08-31,292.463043
1929-09-30,222.802994
1929-10-31,245.857529
1929-11-30,210.143677
1929-12-31,608.441406
1930-01-31,571.672974
1930-02-28,620.737671
1930-03-31,758.189331
1930-04-30,251.661224
1930-05-31,417.948303
1930-06-30,314.216431
1930-07-31,984.65686
1930-08-31,435.007904
1930-09-30,233.891998
1930-10-31,231.278687
1930-11-30,232.384369
1930-12-31,255.890121
1931-01-31,456.817261
1931-02-28,330.984436
1931-03-31,327.449402
1931-04-30,245.598999
1931-05-31,321.401764
1931-06-30,324.045532
1931-07-31,339.297699
1931-08-31,308.951965
1931-09-30,229.016449
1931-10-31,248.005798
1931-11-30,226.672836
1931-12-31,701.296936
1932-01-31,503.036957
1932-02-29,345.652405
1932-03-31,396.149109
1932-04-30,280.391754
1932-05-31,265.09552
1932-06-30,249.062607
1932-07-31,624.434082
1932-08-31,498.872986
1932-09-30,226.828293
1932-10-31,243.042587
1932-11-30,232.03508
1932-12-31,277.768677
1933-01-31,415.047394
1933-02-28,306.464813
1933-03-31,540.548706
