date,kaf
1921-10-31,3.082
1921-11-30,0
1921-12-31,21.4
1922-01-31,19.9
1922-02-28,129.354
1922-03-31,28.295
1922-04-30,5.244
1922-05-31,4.04
1922-06-30,3.945
1922-07-31,2.906
1922-08-31,3.33
1922-09-30,3.417
1922-10-31,0.824
1922-11-30,6.6
1922-12-31,89.799
1923-01-31,19.5
1923-02-28,4.4
1923-03-31,4.748
1923-04-30,14.512
1923-05-31,4.193
1923-06-30,3.933
1923-07-31,2.906
1923-08-31,3.315
1923-09-30,2.904
1923-10-31,3.096
1923-11-30,0.238
1923-12-31,0
1924-01-31,0
1924-02-29,10.138
1924-03-31,2.293
1924-04-30,8.116
1924-05-31,4.611
1924-06-30,3.945
1924-07-31,2.906
1924-08-31,3.33
1924-09-30,3.299
1924-10-31,5.163
1924-11-30,0
1924-12-31,18.2
1925-01-31,0
1925-02-28,457.005
1925-03-31,0
1925-04-30,23.012
1925-05-31,16.703
1925-06-30,3.722
1925-07-31,2.902
1925-08-31,3.315
1925-09-30,3.188
1925-10-31,3.501
1925-11-30,0
1925-12-31,0
1926-01-31,19.239
1926-02-28,366.121
1926-03-31,1.805
1926-04-30,195.928
1926-05-31,2.91
1926-06-30,3.896
1926-07-31,2.906
1926-08-31,3.324
1926-09-30,3.417
1926-10-31,1.178
1926-11-30,52
1926-12-31,101.959
1927-01-31,108.491
1927-02-28,2484.131
1927-03-31,182.501
1927-04-30,229.991
1927-05-31,3.344
1927-06-30,3.627
1927-07-31,2.906
1927-08-31,3.33
1927-09-30,4.728
1927-10-31,0.77
1927-11-30,3.4
1927-12-31,19.9
1928-01-31,23.4
1928-02-29,157.883
1928-03-31,601.445
1928-04-30,2.341
1928-05-31,3.562
1928-06-30,3.945
1928-07-31,2.906
1928-08-31,3.33
1928-09-30,3.417
1928-10-31,3.419
1928-11-30,4.8
1928-12-31,15.2
1929-01-31,1.168
1929-02-28,11.7
1929-03-31,0.117
1929-04-30,5.042
1929-05-31,4.438
