date,kaf
1921-10-31,249.345
1921-11-30,272.015
1921-12-31,890.285
1922-01-31,991.864
1922-02-28,1881.138
1922-03-31,1491.916
1922-04-30,1242.927
1922-05-31,1974.882
1922-06-30,1468.445
1922-07-31,545.372
1922-08-31,247.16
1922-09-30,803.001
1922-10-31,375.854
1922-11-30,652.44
1922-12-31,1218.733
1923-01-31,1244.426
1923-02-28,865.915
1923-03-31,569.152
1923-04-30,620.811
1923-05-31,543.804
1923-06-30,407.85
1923-07-31,453.141
1923-08-31,247.175
1923-09-30,184.348
1923-10-31,249.332
1923-11-30,272.642
1923-12-31,280.057
1924-01-31,361.833
1924-02-29,517.912
1924-03-31,588.632
1924-04-30,303.449
1924-05-31,302.238
1924-06-30,290.02
1924-07-31,299.423
1924-08-31,185.673
1924-09-30,183.953
1924-10-31,185.777
1924-11-30,212.511
1924-12-31,338.842
1925-01-31,481.251
1925-02-28,3136.966
1925-03-31,807.642
1925-04-30,603.129
1925-05-31,607.013
1925-06-30,382.821
1925-07-31,360.914
1925-08-31,267.632
1925-09-30,184.064
1925-10-31,248.926
1925-11-30,272.015
1925-12-31,280.057
1926-01-31,646.616
1926-02-28,1682.385
1926-03-31,769.631
1926-04-30,232.7
1926-05-31,700.384
1926-06-30,358.871
1926-07-31,370.892
1926-08-31,267.622
1926-09-30,183.835
1926-10-31,251.25
1926-11-30,876.434
1926-12-31,725.863
1927-01-31,1941.069
1927-02-28,3496.468
1927-03-31,2467.106
1927-04-30,2389.198
1927-05-31,1008.996
1927-06-30,357.776
1927-07-31,545.372
1927-08-31,298.36
1927-09-30,1187.535
1927-10-31,469.982
1927-11-30,944.862
1927-12-31,513.271
1928-01-31,1065.074
1928-02-29,1430.526
1928-03-31,3344.677
1928-04-30,802.882
1928-05-31,541.155
1928-06-30,508.598
1928-07-31,672.755
1928-08-31,298.36
1928-09-30,682.134
1928-10-31,362.652
1928-11-30,625.348
1928-12-31,264.857
1929-01-31,441.024
1929-02-28,589.055
1929-03-31,556.915
1929-04-30,448.068
1929-05-31,493.022
1929-06-30,483.66
1929-07-31,299.423
1929-08-31,243.219
1929-09-30,183.835
1929-10-31,187.398
1929-11-30,211.999
1929-12-31,615.941
1930-01-31,943.292
1930-02-28,760.285
1930-03-31,1083.439
1930-04-30,466.965
1930-05-31,474.029
1930-06-30,474.482
1930-07-31,360.91
1930-08-31,273.963
1930-09-30,184.12
1930-10-31,250.332
1930-11-30,270.815
1930-12-31,280.057
1931-01-31,326.375
1931-02-28,462.656
1931-03-31,452.434
1931-04-30,448.477
1931-05-31,277.361
1931-06-30,290.333
1931-07-31,299.423
1931-08-31,185.673
1931-09-30,183.835
1931-10-31,188.305
1931-11-30,209.711
1931-12-31,699.501
1932-01-31,1102.737
1932-02-29,789.519
1932-03-31,665.351
1932-04-30,653.61
1932-05-31,581.423
1932-06-30,642.283
1932-07-31,360.91
1932-08-31,273.963
1932-09-30,183.835
1932-10-31,248.79
1932-11-30,270.101
1932-12-31,274.957
1933-01-31,475.682
1933-02-28,381.827
1933-03-31,446.88
1933-04-30,543.98
1933-05-31,497.883
1933-06-30,483.011
1933-07-31,299.423
1933-08-31,243.219
1933-09-30,183.854
1933-10-31,189.441
1933-11-30,212.01
1933-12-31,374.787
1934-01-31,839.981
1934-02-28,611.584
1934-03-31,650.887
1934-04-30,564.022
1934-05-31,492.964
1934-06-30,474.761
1934-07-31,299.423
1934-08-31,185.679
1934-09-30,183.854
1934-10-31,184.384
1934-11-30,330.302
1934-12-31,208.67
1935-01-31,1487.795
1935-02-28,548.074
1935-03-31,1066.647
1935-04-30,2379.167
1935-05-31,896.851
1935-06-30,548.341
1935-07-31,453.141
1935-08-31,298.36
1935-09-30,183.835
1935-10-31,250.151
1935-11-30,305.884
1935-12-31,284.981
1936-01-31,1984.354
1936-02-29,3456.117
1936-03-31,1652.04
1936-04-30,772.479
1936-05-31,639.475
1936-06-30,435.702
1936-07-31,453.141
1936-08-31,247.16
1936-09-30,183.989
1936-10-31,249.399
1936-11-30,271.514
1936-12-31,273.857
1937-01-31,663.633
1937-02-28,1619.136
1937-03-31,2152.935
1937-04-30,738.221
1937-05-31,831.582
1937-06-30,681.475
1937-07-31,453.145
1937-08-31,304.707
1937-09-30,194.689
1937-10-31,249.912
1937-11-30,1285.351
1937-12-31,3619.689
1938-01-31,2871.701
1938-02-28,2957.472
1938-03-31,2768.175
1938-04-30,3562.261
1938-05-31,2979.718
1938-06-30,1615.572
1938-07-31,490.1
1938-08-31,298.36
1938-09-30,1221.591
1938-10-31,462.954
1938-11-30,815.942
1938-12-31,328.502
1939-01-31,409.731
1939-02-28,461.1
1939-03-31,455.566
1939-04-30,520.229
1939-05-31,302.308
1939-06-30,290.02
1939-07-31,375.532
1939-08-31,273.963
1939-09-30,183.965
1939-10-31,249.548
1939-11-30,271.559
1939-12-31,279.562
1940-01-31,1955.51
1940-02-29,2769.432
1940-03-31,3616.205
1940-04-30,3346.299
1940-05-31,279.154
1940-06-30,407.119
1940-07-31,647.178
1940-08-31,298.36
1940-09-30,693.062
1940-10-31,365.936
1940-11-30,635.148
1940-12-31,1833.233
1941-01-31,3728.469
1941-02-28,3692.754
1941-03-31,3792.851
1941-04-30,2901.652
1941-05-31,1830.402
1941-06-30,477.272
1941-07-31,545.372
1941-08-31,300.924
1941-09-30,1239.982
1941-10-31,472.604
1941-11-30,838.486
1941-12-31,3227.367
1942-01-31,3232.904
1942-02-28,3259.716
1942-03-31,1249.39
1942-04-30,2434.496
1942-05-31,1555.173
1942-06-30,845.359
1942-07-31,545.372
1942-08-31,300.924
1942-09-30,1249.316
1942-10-31,442.511
1942-11-30,963.057
1942-12-31,1364.575
1943-01-31,3391.679
1943-02-28,2503.327
1943-03-31,3365.731
1943-04-30,1297.776
1943-05-31,505.768
1943-06-30,388.436
1943-07-31,705.115
1943-08-31,298.36
1943-09-30,1147.007
1943-10-31,460.171
1943-11-30,744.784
1943-12-31,284.009
1944-01-31,665.649
1944-02-29,1111.615
1944-03-31,567.789
1944-04-30,459.292
1944-05-31,263.409
1944-06-30,439.451
1944-07-31,360.91
1944-08-31,253.017
1944-09-30,183.835
1944-10-31,251.062
1944-11-30,604.741
1944-12-31,576.341
1945-01-31,540.613
1945-02-28,2128.686
1945-03-31,1270.576
1945-04-30,419.676
1945-05-31,470.461
1945-06-30,457.263
1945-07-31,457.877
1945-08-31,298.36
1945-09-30,194.689
1945-10-31,252.427
1945-11-30,479.116
1945-12-31,2962.719
1946-01-31,2677.561
1946-02-28,926.999
1946-03-31,1051.821
1946-04-30,536.346
1946-05-31,591.516
1946-06-30,430.722
1946-07-31,467.18
1946-08-31,298.36
1946-09-30,183.891
1946-10-31,249.426
1946-11-30,315.556
1946-12-31,533.825
1947-01-31,440.281
1947-02-28,676.225
1947-03-31,812.886
1947-04-30,412.656
1947-05-31,427.89
1947-06-30,474.788
1947-07-31,360.91
1947-08-31,256.706
1947-09-30,183.835
1947-10-31,248.098
1947-11-30,331.019
1947-12-31,279.357
1948-01-31,497.33
1948-02-29,618.896
1948-03-31,383.667
1948-04-30,1480.173
1948-05-31,814.294
1948-06-30,440.989
1948-07-31,453.141
1948-08-31,298.36
1948-09-30,184.082
1948-10-31,250.709
1948-11-30,283.862
1948-12-31,401.577
1949-01-31,402.733
1949-02-28,432.92
1949-03-31,2008.9
1949-04-30,436.23
1949-05-31,776.661
1949-06-30,451.474
1949-07-31,360.914
1949-08-31,274.005
1949-09-30,183.835
1949-10-31,248.831
1949-11-30,269.255
1949-12-31,280.057
1950-01-31,848.442
1950-02-28,1591.362
1950-03-31,1140.776
1950-04-30,775.793
1950-05-31,780.096
1950-06-30,475.97
1950-07-31,453.141
1950-08-31,304.707
1950-09-30,194.974
1950-10-31,252.266
1950-11-30,2662.761
1950-12-31,3667.676
1951-01-31,2947.365
1951-02-28,3553.316
1951-03-31,1463.026
1951-04-30,421.625
1951-05-31,579.888
1951-06-30,352.499
1951-07-31,662.02
1951-08-31,298.36
1951-09-30,635.652
1951-10-31,404.459
1951-11-30,613.553
1951-12-31,2359.855
1952-01-31,3857.788
1952-02-29,3575.616
1952-03-31,3191.223
1952-04-30,2880.591
1952-05-31,2663.916
1952-06-30,1816.835
1952-07-31,465.78
1952-08-31,300.924
1952-09-30,1213.646
1952-10-31,525.669
1952-11-30,786.94
1952-12-31,2363.297
1953-01-31,2826.798
1953-02-28,1068.831
1953-03-31,886.511
1953-04-30,751.454
1953-05-31,1015.908
1953-06-30,512.461
1953-07-31,545.372
1953-08-31,300.981
1953-09-30,1136.734
1953-10-31,496.483
1953-11-30,922.369
1953-12-31,280.057
1954-01-31,1192.868
1954-02-28,2532.642
1954-03-31,2435.448
1954-04-30,1821.365
1954-05-31,633.558
1954-06-30,441.205
1954-07-31,677.842
1954-08-31,247.218
1954-09-30,671.356
1954-10-31,381.676
1954-11-30,614.553
1954-12-31,879.029
1955-01-31,1037.602
1955-02-28,489.389
1955-03-31,416.259
1955-04-30,436.246
1955-05-31,424.743
1955-06-30,437.441
1955-07-31,360.91
1955-08-31,288.06
1955-09-30,179.598
1955-10-31,249.358
1955-11-30,400.709
1955-12-31,3317.342
1956-01-31,3463.119
1956-02-29,3425.285
1956-03-31,2066.736
1956-04-30,1161.929
1956-05-31,1789.452
1956-06-30,661.155
1956-07-31,545.372
1956-08-31,298.36
1956-09-30,1241.358
1956-10-31,481.401
1956-11-30,813.208
1956-12-31,280.057
1957-01-31,514.778
1957-02-28,1309.307
1957-03-31,1826.337
1957-04-30,494.373
1957-05-31,486.355
1957-06-30,342.086
1957-07-31,647.906
1957-08-31,304.707
1957-09-30,712.447
1957-10-31,367.897
1957-11-30,570.839
1957-12-31,1521.943
1958-01-31,3212.743
1958-02-28,3054.661
1958-03-31,2873.208
1958-04-30,3863.467
1958-05-31,2390.198
1958-06-30,1336.281
1958-07-31,545.392
1958-08-31,300.393
1958-09-30,1083.537
1958-10-31,564.594
