date,kaf
1921-10-31,252.427
1921-11-30,272.015
1921-12-31,701.3
1922-01-31,882.413
1922-02-28,2279.091
1922-03-31,1553.98
1922-04-30,1249.065
1922-05-31,2160.153
1922-06-30,1796.046
1922-07-31,102.906
1922-08-31,103.33
1922-09-30,187.252
1922-10-31,376.678
1922-11-30,272.015
1922-12-31,1058.638
1923-01-31,1064.146
1923-02-28,870.315
1923-03-31,573.899
1923-04-30,114.512
1923-05-31,104.193
1923-06-30,103.933
1923-07-31,102.906
1923-08-31,103.315
1923-09-30,187.252
1923-10-31,252.427
1923-11-30,272.015
1923-12-31,280.057
1924-01-31,100
1924-02-29,436.549
1924-03-31,470.037
1924-04-30,311.565
1924-05-31,104.611
1924-06-30,103.945
1924-07-31,102.906
1924-08-31,103.33
1924-09-30,187.252
1924-10-31,190.94
1924-11-30,212.511
1924-12-31,218.57
1925-01-31,100
1925-02-28,3589.587
1925-03-31,807.642
1925-04-30,715.622
1925-05-31,116.703
1925-06-30,103.722
1925-07-31,102.902
1925-08-31,103.315
1925-09-30,187.252
1925-10-31,252.427
1925-11-30,272.015
1925-12-31,280.057
1926-01-31,119.239
1926-02-28,2385.12
1926-03-31,771.436
1926-04-30,295.928
1926-05-31,102.91
1926-06-30,103.896
1926-07-31,102.906
1926-08-31,103.324
1926-09-30,187.252
1926-10-31,252.427
1926-11-30,733.915
1926-12-31,715.94
1927-01-31,2307.159
1927-02-28,6149.122
1927-03-31,2672.904
1927-04-30,2712.215
1927-05-31,997.74
1927-06-30,103.627
1927-07-31,102.906
1927-08-31,103.33
1927-09-30,187.252
1927-10-31,470.752
1927-11-30,948.262
1927-12-31,350.642
1928-01-31,721.865
1928-02-29,1643.936
1928-03-31,4401.809
1928-04-30,805.222
1928-05-31,559.318
1928-06-30,103.945
1928-07-31,102.906
1928-08-31,103.33
1928-09-30,187.252
1928-10-31,366.071
1928-11-30,530.325
1928-12-31,280.057
1929-01-31,101.168
1929-02-28,446.549
1929-03-31,557.032
1929-04-30,453.11
1929-05-31,104.438
1929-06-30,103.296
1929-07-31,102.906
1929-08-31,103.33
1929-09-30,187.252
1929-10-31,190.94
1929-11-30,212.511
1929-12-31,473.936
1930-01-31,644.015
1930-02-28,504.014
1930-03-31,1649.693
1930-04-30,110.475
1930-05-31,103.399
1930-06-30,103.945
1930-07-31,102.906
1930-08-31,103.33
1930-09-30,187.252
1930-10-31,252.427
1930-11-30,272.015
1930-12-31,280.057
1931-01-31,114.2
1931-02-28,462.656
1931-03-31,455.47
1931-04-30,108.115
1931-05-31,104.082
1931-06-30,103.633
1931-07-31,102.906
1931-08-31,103.33
1931-09-30,187.252
1931-10-31,190.94
1931-11-30,212.511
1931-12-31,578.54
1932-01-31,732.001
1932-02-29,501.05
1932-03-31,665.763
1932-04-30,105.507
1932-05-31,104.301
1932-06-30,103.945
1932-07-31,102.906
1932-08-31,103.33
1932-09-30,187.252
1932-10-31,252.427
1932-11-30,272.015
1932-12-31,280.057
1933-01-31,124
1933-02-28,330.946
1933-03-31,446.941
1933-04-30,549.952
1933-05-31,501.898
1933-06-30,103.945
1933-07-31,102.906
1933-08-31,103.33
1933-09-30,187.252
1933-10-31,190.94
1933-11-30,212.511
1933-12-31,225.748
1934-01-31,128.991
1934-02-28,632.184
1934-03-31,654.155
1934-04-30,571.051
1934-05-31,104.496
1934-06-30,103.666
1934-07-31,102.906
1934-08-31,103.324
1934-09-30,187.252
1934-10-31,137.444
1934-11-30,212.511
1934-12-31,218.57
1935-01-31,1518.716
1935-02-28,431.207
1935-03-31,1466.299
1935-04-30,3152.152
1935-05-31,951.68
1935-06-30,103.945
1935-07-31,102.906
1935-08-31,103.33
1935-09-30,187.252
1935-10-31,252.427
1935-11-30,272.015
1935-12-31,280.057
1936-01-31,251.091
1936-02-29,4275.771
1936-03-31,1740.543
1936-04-30,799.431
1936-05-31,691.551
1936-06-30,103.527
1936-07-31,102.906
1936-08-31,103.33
1936-09-30,187.252
1936-10-31,252.427
1936-11-30,272.015
1936-12-31,280.057
1937-01-31,111.74
1937-02-28,1973.536
1937-03-31,2683.944
1937-04-30,950.062
1937-05-31,884.803
1937-06-30,103.79
1937-07-31,102.902
1937-08-31,103.33
1937-09-30,198.106
1937-10-31,252.427
1937-11-30,1217.414
1937-12-31,4327.807
1938-01-31,2733.632
1938-02-28,6151.561
1938-03-31,7257.341
1938-04-30,4235.558
1938-05-31,3438.249
1938-06-30,1943.614
1938-07-31,548.278
1938-08-31,103.33
1938-09-30,1222.749
1938-10-31,465.145
1938-11-30,818.487
1938-12-31,280.057
1939-01-31,275.668
1939-02-28,101.556
1939-03-31,462.999
1939-04-30,108.79
1939-05-31,104.541
1939-06-30,103.945
1939-07-31,102.906
1939-08-31,103.33
1939-09-30,187.252
1939-10-31,252.427
1939-11-30,272.015
1939-12-31,280.057
1940-01-31,2176.292
