date,kaf
1921-10-31,0.6549
1921-11-30,0.07375
1921-12-31,0.0295
1922-01-31,0.00885
1922-02-28,0
1922-03-31,0.03835
1922-04-30,0.59885
1922-05-31,1.01185
1922-06-30,1.13575
1922-07-31,1.2508
1922-08-31,1.18885
1922-09-30,1.0443
1922-10-31,0.6549
1922-11-30,0.07375
1922-12-31,0.0295
1923-01-31,0.00885
1923-02-28,0
1923-03-31,0.03835
1923-04-30,0.59885
1923-05-31,1.01185
1923-06-30,1.13575
1923-07-31,1.2508
1923-08-31,1.18885
1923-09-30,1.0443
1923-10-31,0.6549
1923-11-30,0.07375
1923-12-31,0.0295
1924-01-31,0.0059
1924-02-29,0
1924-03-31,0.0354
1924-04-30,0.59885
1924-05-31,1.01185
1924-06-30,1.13575
1924-07-31,1.2508
1924-08-31,1.18885
1924-09-30,1.0443
1924-10-31,0.6549
1924-11-30,0.07375
1924-12-31,0.0295
1925-01-31,0.00885
1925-02-28,0
1925-03-31,0.03835
1925-04-30,0.59885
1925-05-31,1.01185
1925-06-30,1.13575
1925-07-31,1.2508
1925-08-31,1.18885
1925-09-30,1.0443
1925-10-31,0.6549
1925-11-30,0.07375
1925-12-31,0.0295
1926-01-31,0.00885
1926-02-28,0
1926-03-31,0.03835
1926-04-30,0.59885
1926-05-31,1.01185
1926-06-30,1.13575
1926-07-31,1.2508
1926-08-31,1.18885
1926-09-30,1.0443
1926-10-31,0.6549
1926-11-30,0.07375
1926-12-31,0.0295
1927-01-31,0.00885
1927-02-28,0
1927-03-31,0.03835
1927-04-30,0.59885
1927-05-31,1.01185
1927-06-30,1.13575
1927-07-31,1.2508
1927-08-31,1.18885
1927-09-30,1.0443
1927-10-31,0.6549
1927-11-30,0.07375
1927-12-31,0.0295
1928-01-31,0.00885
1928-02-29,0
1928-03-31,0.03835
1928-04-30,0.59885
1928-05-31,1.01185
1928-06-30,1.13575
1928-07-31,1.2508
1928-08-31,1.18885
1928-09-30,1.0443
1928-10-31,0.6549
1928-11-30,0.07375
1928-12-31,0.0295
1929-01-31,0.0059
1929-02-28,0
1929-03-31,0.0354
1929-04-30,0.59885
1929-05-31,1.01185
1929-06-30,1.13575
1929-07-31,1.2508
1929-08-31,1.18885
1929-09-30,1.0443
1929-10-31,0.6549
1929-11-30,0.07375
1929-12-31,0.0295
