date,kaf
1921-10-31,418.611
1921-11-30,357.738
1921-12-31,521.729
1922-01-31,391.713
1922-02-28,713.869
1922-03-31,505.589
1922-04-30,464.58
1922-05-31,714.641
1922-06-30,421.488
1922-07-31,613.854
1922-08-31,626.361
1922-09-30,482.889
1922-10-31,388.355
1922-11-30,359.766
1922-12-31,710.999
1923-01-31,594.966
1923-02-28,334.519
1923-03-31,311.489
1923-04-30,433.468
1923-05-31,427.798
1923-06-30,411.22
1923-07-31,649.29
1923-08-31,407.824
1923-09-30,320.338
1923-10-31,344.209
1923-11-30,352.03
1923-12-31,329.186
1924-01-31,295.032
1924-02-29,352.833
1924-03-31,258.331
1924-04-30,225.986
1924-05-31,341.927
1924-06-30,889.302
1924-07-31,711.246
1924-08-31,452.896
1924-09-30,384.845
1924-10-31,332.239
1924-11-30,332.352
1924-12-31,398.976
1925-01-31,367.736
1925-02-28,1509.945
1925-03-31,460.704
1925-04-30,577.89
1925-05-31,634.251
1925-06-30,308.399
1925-07-31,1015.453
1925-08-31,724.346
1925-09-30,441.274
1925-10-31,385.314
1925-11-30,330.779
1925-12-31,355.118
1926-01-31,467.692
1926-02-28,1008.416
1926-03-31,416.564
1926-04-30,515.414
1926-05-31,836.731
1926-06-30,1041.334
1926-07-31,1018.662
1926-08-31,1028.764
1926-09-30,385.396
1926-10-31,306.802
1926-11-30,541.215
1926-12-31,833.849
1927-01-31,906.893
1927-02-28,1768.04
1927-03-31,1180.447
1927-04-30,1324.229
1927-05-31,732.841
1927-06-30,597.154
1927-07-31,1039.152
1927-08-31,1033.777
1927-09-30,1030.881
1927-10-31,439.886
1927-11-30,534.433
1927-12-31,533.632
1928-01-31,602.774
1928-02-29,659.87
1928-03-31,960.377
1928-04-30,580.344
1928-05-31,452.593
1928-06-30,349.493
1928-07-31,1064.773
1928-08-31,549.215
1928-09-30,304.067
1928-10-31,355.789
1928-11-30,351.117
1928-12-31,367.919
1929-01-31,328.636
1929-02-28,499.375
1929-03-31,331.476
1929-04-30,276.432
1929-05-31,355.837
1929-06-30,681.898
1929-07-31,482.186
1929-08-31,301.013
1929-09-30,291.238
1929-10-31,302.972
1929-11-30,243.016
1929-12-31,609.56
1930-01-31,553.714
1930-02-28,572.89
1930-03-31,711.148
1930-04-30,340.563
1930-05-31,412.772
1930-06-30,230.644
1930-07-31,987.565
1930-08-31,443.13
1930-09-30,246.83
1930-10-31,244.516
1930-11-30,255.218
1930-12-31,270.269
1931-01-31,460.253
1931-02-28,332.53
1931-03-31,324.518
1931-04-30,236.269
1931-05-31,251.631
1931-06-30,322.814
1931-07-31,339.677
1931-08-31,313.639
1931-09-30,238.853
1931-10-31,261.205
1931-11-30,254.778
1931-12-31,697.969
1932-01-31,454.757
1932-02-29,321.979
1932-03-31,383.971
1932-04-30,291.22
1932-05-31,317.809
1932-06-30,246.968
1932-07-31,624.815
1932-08-31,503.662
1932-09-30,267.781
1932-10-31,294.868
1932-11-30,260.971
1932-12-31,292.183
1933-01-31,419.11
1933-02-28,307.247
1933-03-31,527.194
1933-04-30,291.715
1933-05-31,332.064
1933-06-30,331.817
1933-07-31,896.777
1933-08-31,385.841
1933-09-30,240.081
1933-10-31,297.089
1933-11-30,236.255
1933-12-31,471.249
1934-01-31,524.95
1934-02-28,481.981
1934-03-31,399.71
1934-04-30,273.759
1934-05-31,486.846
1934-06-30,1005.078
1934-07-31,989.831
1934-08-31,436.334
1934-09-30,304.099
1934-10-31,326.924
1934-11-30,445.843
1934-12-31,346.131
1935-01-31,821.061
1935-02-28,463.785
1935-03-31,609.566
1935-04-30,924.986
1935-05-31,630.442
1935-06-30,709.598
1935-07-31,1021.913
1935-08-31,995.944
1935-09-30,347.962
1935-10-31,301.778
1935-11-30,267.085
1935-12-31,339.315
1936-01-31,1037.814
1936-02-29,970.224
1936-03-31,532.016
1936-04-30,462.663
1936-05-31,419.938
1936-06-30,327.476
1936-07-31,993.897
1936-08-31,794.96
1936-09-30,409.085
1936-10-31,375.889
1936-11-30,328.019
1936-12-31,303.393
1937-01-31,320.041
