date,kaf
1921-10-31,29
1921-11-30,27
1921-12-31,81
1922-01-31,61
1922-02-28,170
1922-03-31,123
1922-04-30,138
1922-05-31,191
1922-06-30,111
1922-07-31,37
1922-08-31,26
1922-09-30,23
1922-10-31,28
1922-11-30,52
1922-12-31,170
1923-01-31,93
1923-02-28,53
1923-03-31,53
1923-04-30,113
1923-05-31,57
1923-06-30,33
1923-07-31,23
1923-08-31,22
1923-09-30,25
1923-10-31,22
1923-11-30,19
1923-12-31,22
1924-01-31,23
1924-02-29,61
1924-03-31,37
1924-04-30,30
1924-05-31,17
1924-06-30,15
1924-07-31,15
1924-08-31,15
1924-09-30,15
1924-10-31,19
1924-11-30,28
1924-12-31,42
1925-01-31,32
1925-02-28,181
1925-03-31,69
1925-04-30,114
1925-05-31,54
1925-06-30,28
1925-07-31,19
1925-08-31,16
1925-09-30,16
1925-10-31,19
1925-11-30,27
1925-12-31,34
1926-01-31,46
1926-02-28,141
1926-03-31,57
1926-04-30,162
1926-05-31,39
1926-06-30,19
1926-07-31,16
1926-08-31,15
1926-09-30,15
1926-10-31,18
1926-11-30,108
1926-12-31,64
1927-01-31,102
1927-02-28,275
1927-03-31,132
1927-04-30,152
1927-05-31,94
1927-06-30,40
1927-07-31,26
1927-08-31,21
1927-09-30,18
1927-10-31,21
1927-11-30,71
1927-12-31,47
1928-01-31,52
1928-02-29,96
1928-03-31,282
1928-04-30,115
1928-05-31,60
1928-06-30,33
1928-07-31,21
1928-08-31,21
1928-09-30,18
1928-10-31,20
1928-11-30,26
1928-12-31,31
1929-01-31,24
1929-02-28,49
1929-03-31,43
1929-04-30,43
1929-05-31,42
1929-06-30,27
1929-07-31,17
1929-08-31,15
1929-09-30,14
1929-10-31,16
1929-11-30,15
1929-12-31,141
1930-01-31,93
1930-02-28,98
1930-03-31,136
1930-04-30,96
1930-05-31,69
1930-06-30,33
1930-07-31,21
1930-08-31,18
1930-09-30,18
1930-10-31,18
1930-11-30,20
1930-12-31,20
1931-01-31,35
1931-02-28,29
1931-03-31,51
1931-04-30,28
1931-05-31,24
1931-06-30,16
1931-07-31,12
1931-08-31,12
1931-09-30,12
1931-10-31,17
1931-11-30,20
1931-12-31,106
1932-01-31,53
1932-02-29,45
1932-03-31,71
1932-04-30,86
1932-05-31,92
1932-06-30,40
1932-07-31,20
1932-08-31,16
1932-09-30,14
1932-10-31,16
1932-11-30,16
1932-12-31,22
1933-01-31,30
1933-02-28,29
1933-03-31,75
1933-04-30,57
1933-05-31,58
1933-06-30,38
1933-07-31,18
1933-08-31,14
1933-09-30,14
1933-10-31,16
1933-11-30,16
1933-12-31,75
1934-01-31,64
1934-02-28,75
1934-03-31,61
1934-04-30,42
1934-05-31,27
1934-06-30,19
1934-07-31,15
1934-08-31,13
1934-09-30,12
1934-10-31,16
1934-11-30,39
1934-12-31,34
1935-01-31,122
1935-02-28,68
1935-03-31,121
1935-04-30,233
1935-05-31,127
1935-06-30,50
1935-07-31,26
1935-08-31,20
1935-09-30,17
1935-10-31,20
1935-11-30,19
1935-12-31,26
1936-01-31,150
1936-02-29,209
1936-03-31,82
1936-04-30,108
1936-05-31,63
1936-06-30,44
1936-07-31,26
1936-08-31,19
1936-09-30,17
1936-10-31,18
1936-11-30,17
1936-12-31,21
1937-01-31,23
1937-02-28,83
1937-03-31,139
1937-04-30,131
1937-05-31,96
1937-06-30,40
1937-07-31,21
1937-08-31,16
1937-09-30,16
1937-10-31,24
1937-11-30,105
1937-12-31,300
1938-01-31,98
1938-02-28,295
1938-03-31,326
1938-04-30,191
1938-05-31,249
1938-06-30,170
1938-07-31,79
1938-08-31,43
1938-09-30,35
1938-10-31,27
1938-11-30,27
1938-12-31,32
1939-01-31,28
1939-02-28,32
1939-03-31,73
1939-04-30,48
1939-05-31,32
1939-06-30,20
1939-07-31,16
1939-08-31,16
1939-09-30,16
1939-10-31,19
1939-11-30,18
1939-12-31,37
1940-01-31,184
1940-02-29,368
1940-03-31,294
1940-04-30,160
1940-05-31,70
1940-06-30,42
1940-07-31,28
1940-08-31,21
1940-09-30,23
1940-10-31,24
1940-11-30,31
1940-12-31,214
1941-01-31,239
1941-02-28,338
1941-03-31,237
1941-04-30,253
1941-05-31,140
1941-06-30,63
1941-07-31,41
1941-08-31,30
1941-09-30,26
1941-10-31,27
1941-11-30,33
1941-12-31,237
1942-01-31,245
1942-02-28,304
1942-03-31,75
1942-04-30,195
1942-05-31,157
1942-06-30,92
1942-07-31,46
1942-08-31,32
1942-09-30,28
1942-10-31,28
1942-11-30,36
1942-12-31,66
1943-01-31,232
1943-02-28,121
1943-03-31,244
1943-04-30,166
1943-05-31,100
1943-06-30,63
1943-07-31,37
1943-08-31,28
1943-09-30,25
1943-10-31,28
1943-11-30,28
1943-12-31,30
1944-01-31,40
1944-02-29,79
1944-03-31,90
1944-04-30,59
1944-05-31,66
1944-06-30,38
1944-07-31,24
1944-08-31,19
1944-09-30,18
1944-10-31,22
1944-11-30,51
1944-12-31,83
1945-01-31,45
1945-02-28,175
1945-03-31,96
1945-04-30,75
1945-05-31,79
1945-06-30,48
1945-07-31,29
1945-08-31,22
1945-09-30,19
1945-10-31,32
1945-11-30,58
1945-12-31,276
1946-01-31,105
1946-02-28,52
1946-03-31,74
1946-04-30,89
1946-05-31,77
1946-06-30,37
1946-07-31,27
1946-08-31,21
1946-09-30,21
1946-10-31,23
1946-11-30,41
1946-12-31,62
1947-01-31,25
1947-02-28,79
1947-03-31,82
