date,kaf
1921-10-31,16.289999
1921-11-30,1.82
1921-12-31,0.15
1922-01-31,0.13
1922-02-28,0.31
1922-03-31,4.85
1922-04-30,35.18
1922-05-31,59.599998
1922-06-30,69.639999
1922-07-31,85.300003
1922-08-31,71.419998
1922-09-30,46.849998
1922-10-31,16.289999
1922-11-30,1.82
1922-12-31,0.15
1923-01-31,0.13
1923-02-28,0.31
1923-03-31,4.85
1923-04-30,34.610001
1923-05-31,60.579998
1923-06-30,70.790001
1923-07-31,85.300003
1923-08-31,71.419998
1923-09-30,46.09
1923-10-31,15.73
1923-11-30,1.75
1923-12-31,0.14
1924-01-31,0.12
1924-02-29,0.31
1924-03-31,4.68
1924-04-30,35.18
1924-05-31,59.928078
1924-06-30,69.639999
1924-07-31,85.300003
1924-08-31,71.419998
1924-09-30,46.09
1924-10-31,16.289999
1924-11-30,1.82
1924-12-31,0.15
1925-01-31,0.13
1925-02-28,0.31
1925-03-31,4.85
1925-04-30,36.439999
1925-05-31,59.599998
1925-06-30,69.639999
1925-07-31,85.300003
1925-08-31,71.419998
1925-09-30,46.849998
1925-10-31,16.289999
1925-11-30,1.82
1925-12-31,0.15
1926-01-31,0.13
1926-02-28,0.31
1926-03-31,4.85
1926-04-30,36.439999
1926-05-31,59.599998
1926-06-30,69.639999
1926-07-31,85.300003
1926-08-31,71.419998
1926-09-30,46.09
1926-10-31,16.289999
1926-11-30,1.82
1926-12-31,0.15
1927-01-31,0.13
1927-02-28,0.31
1927-03-31,4.85
1927-04-30,35.18
1927-05-31,59.599998
1927-06-30,69.639999
1927-07-31,85.300003
1927-08-31,71.419998
1927-09-30,46.849998
1927-10-31,16.289999
1927-11-30,1.82
1927-12-31,0.15
1928-01-31,0.13
1928-02-29,0.31
1928-03-31,4.85
1928-04-30,36.439999
1928-05-31,59.599998
1928-06-30,70.790001
1928-07-31,86.699997
1928-08-31,72.599998
1928-09-30,46.849998
1928-10-31,15.73
1928-11-30,1.75
1928-12-31,0.14
1929-01-31,0.12
1929-02-28,0.31
1929-03-31,4.68
1929-04-30,34.610001
1929-05-31,60.579998
1929-06-30,69.639999
1929-07-31,85.300003
1929-08-31,71.419998
1929-09-30,46.09
1929-10-31,15.73
1929-11-30,1.82
1929-12-31,0.15
1930-01-31,0.13
1930-02-28,0.31
1930-03-31,4.85
1930-04-30,34.610001
1930-05-31,59.599998
1930-06-30,70.790001
1930-07-31,86.699997
1930-08-31,72.599998
1930-09-30,46.849998
1930-10-31,15.73
1930-11-30,1.75
1930-12-31,0.14
1931-01-31,0.12
1931-02-28,0.31
1931-03-31,4.68
1931-04-30,35.18
1931-05-31,60.579998
1931-06-30,70.790001
1931-07-31,86.699997
1931-08-31,72.599998
1931-09-30,46.849998
1931-10-31,15.73
1931-11-30,1.75
1931-12-31,0.15
1932-01-31,0.13
1932-02-29,0.31
1932-03-31,4.85
1932-04-30,34.610001
1932-05-31,59.599998
1932-06-30,69.639999
1932-07-31,85.300003
1932-08-31,71.419998
1932-09-30,46.09
1932-10-31,15.73
1932-11-30,1.75
1932-12-31,0.14
1933-01-31,0.12
1933-02-28,0.31
1933-03-31,4.68
1933-04-30,35.18
1933-05-31,60.579998
1933-06-30,69.639999
1933-07-31,85.300003
1933-08-31,71.419998
1933-09-30,46.09
1933-10-31,15.73
1933-11-30,1.82
1933-12-31,0.15
1934-01-31,0.13
1934-02-28,0.31
1934-03-31,4.68
1934-04-30,35.18
1934-05-31,59.599998
1934-06-30,69.639999
1934-07-31,85.300003
1934-08-31,71.419998
1934-09-30,46.09
1934-10-31,16.289999
1934-11-30,1.82
1934-12-31,0.15
1935-01-31,0.13
1935-02-28,0.31
1935-03-31,4.85
1935-04-30,36.439999
1935-05-31,59.599998
1935-06-30,69.639999
1935-07-31,85.300003
1935-08-31,71.419998
1935-09-30,46.849998
1935-10-31,16.289999
1935-11-30,1.82
1935-12-31,0.15
1936-01-31,0.13
1936-02-29,0.31
1936-03-31,4.85
1936-04-30,34.610001
1936-05-31,59.599998
1936-06-30,69.639999
1936-07-31,85.300003
1936-08-31,71.419998
1936-09-30,46.09
1936-10-31,16.289999
1936-11-30,1.82
1936-12-31,0.15
1937-01-31,0.13
1937-02-28,0.31
1937-03-31,4.85
1937-04-30,36.439999
1937-05-31,59.599998
1937-06-30,69.639999
1937-07-31,85.300003
1937-08-31,71.419998
1937-09-30,48.495083
1937-10-31,16.289999
1937-11-30,1.82
1937-12-31,0.15
1938-01-31,0.13
1938-02-28,0.31
1938-03-31,4.85
1938-04-30,36.439999
1938-05-31,59.599998
1938-06-30,69.639999
1938-07-31,85.300003
1938-08-31,71.419998
1938-09-30,46.849998
1938-10-31,15.73
1938-11-30,1.75
1938-12-31,0.15
1939-01-31,0.13
1939-02-28,0.31
1939-03-31,4.85
1939-04-30,34.610001
1939-05-31,59.599998
1939-06-30,69.639999
1939-07-31,85.300003
1939-08-31,71.419998
1939-09-30,46.09
1939-10-31,16.289999
1939-11-30,1.82
1939-12-31,0.15
1940-01-31,0.13
1940-02-29,0.31
1940-03-31,4.85
1940-04-30,36.439999
1940-05-31,59.599998
1940-06-30,69.639999
1940-07-31,85.300003
1940-08-31,71.419998
1940-09-30,46.09
1940-10-31,16.289999
1940-11-30,1.82
1940-12-31,0.15
1941-01-31,0.13
1941-02-28,0.31
1941-03-31,4.85
1941-04-30,36.439999
1941-05-31,59.599998
1941-06-30,69.639999
1941-07-31,85.300003
1941-08-31,71.419998
1941-09-30,48.509998
1941-10-31,16.289999
1941-11-30,1.82
1941-12-31,0.15
1942-01-31,0.13
1942-02-28,0.31
1942-03-31,4.85
1942-04-30,36.439999
1942-05-31,59.599998
1942-06-30,69.639999
1942-07-31,85.300003
1942-08-31,71.419998
1942-09-30,48.509998
1942-10-31,16.289999
1942-11-30,1.82
1942-12-31,0.15
1943-01-31,0.13
1943-02-28,0.31
1943-03-31,4.85
1943-04-30,34.610001
1943-05-31,59.599998
1943-06-30,69.639999
1943-07-31,85.300003
1943-08-31,71.419998
1943-09-30,46.09
1943-10-31,15.73
1943-11-30,1.75
1943-12-31,0.15
1944-01-31,0.13
1944-02-29,0.31
1944-03-31,4.85
1944-04-30,34.610001
1944-05-31,59.599998
1944-06-30,69.639999
1944-07-31,85.300003
1944-08-31,71.419998
1944-09-30,46.09
1944-10-31,16.289999
1944-11-30,1.82
1944-12-31,0.15
1945-01-31,0.13
1945-02-28,0.31
1945-03-31,4.85
1945-04-30,34.610001
1945-05-31,59.599998
1945-06-30,69.639999
1945-07-31,85.300003
1945-08-31,71.419998
1945-09-30,46.09
1945-10-31,16.289999
1945-11-30,1.82
1945-12-31,0.15
1946-01-31,0.13
1946-02-28,0.31
1946-03-31,4.85
1946-04-30,34.610001
1946-05-31,59.599998
1946-06-30,69.639999
1946-07-31,85.300003
1946-08-31,71.419998
1946-09-30,46.09
1946-10-31,16.289999
1946-11-30,1.82
1946-12-31,0.15
1947-01-31,0.12
1947-02-28,0.31
1947-03-31,4.85
1947-04-30,34.610001
1947-05-31,59.599998
1947-06-30,69.639999
1947-07-31,85.300003
1947-08-31,71.419998
1947-09-30,46.09
1947-10-31,16.289999
1947-11-30,1.82
1947-12-31,0.15
1948-01-31,0.13
1948-02-29,0.31
