date,kaf
1921-10-31,13.895651
1921-11-30,7.058044
1921-12-31,2.825313
1922-01-31,1.583259
1922-02-28,1.227978
1922-03-31,4.183996
1922-04-30,35.084717
1922-05-31,45.726215
1922-06-30,50.412979
1922-07-31,53.643936
1922-08-31,46.421246
1922-09-30,22.452051
1922-10-31,13.895651
1922-11-30,7.058044
1922-12-31,2.825313
1923-01-31,1.583259
1923-02-28,1.227978
1923-03-31,4.183996
1923-04-30,35.084717
1923-05-31,45.726215
1923-06-30,50.412979
1923-07-31,53.643936
1923-08-31,46.421246
1923-09-30,22.452051
1923-10-31,13.895651
1923-11-30,7.058044
1923-12-31,2.282988
1924-01-31,1.572733
1924-02-29,1.227978
1924-03-31,4.183996
1924-04-30,35.084717
1924-05-31,45.726215
1924-06-30,50.412979
1924-07-31,53.643936
1924-08-31,46.421246
1924-09-30,22.452051
1924-10-31,13.895651
1924-11-30,7.058044
1924-12-31,2.825313
1925-01-31,1.583259
1925-02-28,1.227978
1925-03-31,4.183996
1925-04-30,35.084717
1925-05-31,45.726215
1925-06-30,50.412979
1925-07-31,53.643936
1925-08-31,46.421246
1925-09-30,22.452051
1925-10-31,13.895651
1925-11-30,7.058044
1925-12-31,2.293521
1926-01-31,1.583259
1926-02-28,1.227978
1926-03-31,4.183996
1926-04-30,35.084721
1926-05-31,45.726215
1926-06-30,50.412979
1926-07-31,53.643936
1926-08-31,46.421246
1926-09-30,22.452051
1926-10-31,13.895651
1926-11-30,7.058044
1926-12-31,2.825313
1927-01-31,1.583259
1927-02-28,1.227978
1927-03-31,4.183996
1927-04-30,35.084721
1927-05-31,45.726215
1927-06-30,50.412979
1927-07-31,53.643936
1927-08-31,46.421246
1927-09-30,22.452051
1927-10-31,13.895651
1927-11-30,7.058044
1927-12-31,2.825313
1928-01-31,1.583259
1928-02-29,1.227978
1928-03-31,4.183996
1928-04-30,35.084717
1928-05-31,45.726215
1928-06-30,49.412979
1928-07-31,52.643936
1928-08-31,45.421246
1928-09-30,22.452051
1928-10-31,13.895651
1928-11-30,7.058044
1928-12-31,2.814786
1929-01-31,1.572733
1929-02-28,1.227978
1929-03-31,4.183996
1929-04-30,35.084717
1929-05-31,45.726215
1929-06-30,50.412979
1929-07-31,53.643936
1929-08-31,46.421246
1929-09-30,22.452051
1929-10-31,13.895651
1929-11-30,7.058044
1929-12-31,2.825313
1930-01-31,1.583259
1930-02-28,1.227978
1930-03-31,4.183996
1930-04-30,35.084717
1930-05-31,45.726215
1930-06-30,50.412979
1930-07-31,53.643936
1930-08-31,46.421246
1930-09-30,22.452051
1930-10-31,13.895651
1930-11-30,7.058044
1930-12-31,2.282987
1931-01-31,1.572733
1931-02-28,1.227978
1931-03-31,4.183996
1931-04-30,34.084717
1931-05-31,44.726215
