date,kaf
1921-10-31,410.2528911
1921-11-30,319.1624788
1921-12-31,320.456
1922-01-31,340.315
1922-02-28,336.967
1922-03-31,347.742
1922-04-30,364.887
1922-05-31,615.4587795
1922-06-30,413.3740407
1922-07-31,672.035382
1922-08-31,703.9146333
1922-09-30,529.5351714
1922-10-31,382.5226349
1922-11-30,302.064
1922-12-31,394.944
1923-01-31,378.193
1923-02-28,244.012
1923-03-31,262.718
1923-04-30,282.604
1923-05-31,460.9076794
1923-06-30,447.7487767
1923-07-31,657.9151586
1923-08-31,466.6486934
1923-09-30,351.3581822
1923-10-31,380.8264018
1923-11-30,332.7735474
1923-12-31,307.8086757
1924-01-31,242.074
1924-02-29,248.406
1924-03-31,284.1021971
1924-04-30,319.5028879
1924-05-31,757.022391
1924-06-30,772.4828901
1924-07-31,595.5762113
1924-08-31,511.930239
1924-09-30,404.8112833
1924-10-31,330.9109057
1924-11-30,231.656
1924-12-31,287.403
1925-01-31,309.776
1925-02-28,432.826
1925-03-31,294.215
1925-04-30,290.082
1925-05-31,586.953727
1925-06-30,332.1198229
1925-07-31,966.7645976
1925-08-31,693.261116
1925-09-30,479.2866329
1925-10-31,389.2052925
1925-11-30,289.6851608
1925-12-31,266.234
1926-01-31,267.328
1926-02-28,361.172
1926-03-31,313.0632655
1926-04-30,259.638
1926-05-31,986.8697326
1926-06-30,1075.573
1926-07-31,1068.087
1926-08-31,997.9380165
1926-09-30,378.6864329
1926-10-31,287.9380063
1926-11-30,267.995
1926-12-31,420.926
1927-01-31,446.821
1927-02-28,677.4414428
1927-03-31,780.851533
1927-04-30,934.2587773
1927-05-31,614.0975742
1927-06-30,714.6752383
1927-07-31,1075.446
1927-08-31,1070.659
1927-09-30,936.4827626
1927-10-31,428.4658921
1927-11-30,339.785
1927-12-31,346.755
1928-01-31,439.814
1928-02-29,332.054
1928-03-31,414.1
1928-04-30,270.069
1928-05-31,412.6230682
1928-06-30,351.627
1928-07-31,1070.505
1928-08-31,526.9830882
1928-09-30,287.1593822
1928-10-31,342.5542507
1928-11-30,224.193
1928-12-31,265.515
1929-01-31,261.103
1929-02-28,230.437
1929-03-31,243.799
1929-04-30,295.7429523
1929-05-31,463.0944758
1929-06-30,726.7574737
1929-07-31,368.1740701
1929-08-31,346.7836934
1929-09-30,262.0367522
1929-10-31,293.3729312
1929-11-30,214.656
1929-12-31,338.087
1930-01-31,303.54
1930-02-28,279.278
1930-03-31,297.075
1930-04-30,251.479
1930-05-31,329.6283085
1930-06-30,435.3030994
1930-07-31,920.0448458
1930-08-31,363.6463357
1930-09-30,257.7692822
1930-10-31,240.4517213
1930-11-30,216.497
1930-12-31,229.064
1931-01-31,280.16
1931-02-28,225.577
1931-03-31,263.261
1931-04-30,217.748
1931-05-31,248.9907309
1931-06-30,330.6751063
1931-07-31,374.5312466
1931-08-31,344.0556846
1931-09-30,246.9908522
1931-10-31,247.0716531
1931-11-30,213.407
1931-12-31,245.384
1932-01-31,282.512
1932-02-29,226.835
1932-03-31,296.155
1932-04-30,232.172
1932-05-31,243.33
1932-06-30,446.5690919
1932-07-31,518.3461012
1932-08-31,490.2246236
1932-09-30,327.5666383
1932-10-31,320.7670126
1932-11-30,242.5562275
1932-12-31,218.834
1933-01-31,224.667
1933-02-28,201.065
1933-03-31,259.499
1933-04-30,243.763
1933-05-31,625.4610974
1933-06-30,568.9266102
1933-07-31,496.3996376
1933-08-31,350.7756346
1933-09-30,270.9667522
1933-10-31,300.8204018
1933-11-30,210.054
1933-12-31,244.604
1934-01-31,287.521
1934-02-28,232.412
1934-03-31,259.371
1934-04-30,395.7045118
1934-05-31,859.5432562
1934-06-30,1018.360978
1934-07-31,573.4160375
1934-08-31,464.4253782
1934-09-30,339.2350999
1934-10-31,309.355059
1934-11-30,226.148
1934-12-31,242.972
1935-01-31,290.021
1935-02-28,249.539
1935-03-31,260.709
1935-04-30,283.675
1935-05-31,467.9159484
1935-06-30,715.8884976
1935-07-31,1069.459
1935-08-31,1035.45265
1935-09-30,375.0226329
1935-10-31,296.5839057
1935-11-30,237.5134788
1935-12-31,241.002
1936-01-31,501.257
1936-02-29,392.528
1936-03-31,369.125
1936-04-30,320.541
1936-05-31,354.4858154
1936-06-30,306.2997767
1936-07-31,1069.524
1936-08-31,792.0249401
1936-09-30,430.1534329
1936-10-31,376.7849057
1936-11-30,299.9774788
1936-12-31,236.501
1937-01-31,224.444
1937-02-28,212.899
1937-03-31,273.924
1937-04-30,265.0
1937-05-31,421.6723184
1937-06-30,1025.280729
1937-07-31,1070.395
1937-08-31,1067.099
1937-09-30,639.130502
1937-10-31,303.985
1937-11-30,360.641
1937-12-31,996.719275
1938-01-31,1144.485
1938-02-28,1178.862
1938-03-31,1304.067
1938-04-30,1301.247541
1938-05-31,1173.628857
1938-06-30,513.2745903
1938-07-31,654.8127772
1938-08-31,648.5608654
1938-09-30,829.1760021
1938-10-31,401.470542
1938-11-30,328.9179334
1938-12-31,317.95
1939-01-31,260.999
1939-02-28,220.491
1939-03-31,279.001
1939-04-30,256.7659744
1939-05-31,674.3548858
1939-06-30,1077.628
1939-07-31,1067.502
1939-08-31,887.3586969
1939-09-30,436.4454329
1939-10-31,346.0179057
1939-11-30,290.4764788
1939-12-31,267.186
1940-01-31,456.284
1940-02-29,902.5532949
1940-03-31,1235.627
1940-04-30,814.5615418
1940-05-31,529.0375491
1940-06-30,912.2293474
1940-07-31,1070.751
1940-08-31,1068.269
1940-09-30,725.2570098
1940-10-31,412.9089057
1940-11-30,325.5262733
1940-12-31,600.272723
1941-01-31,1407.734
1941-02-28,1476.52503
1941-03-31,1377.687
1941-04-30,1396.776591
1941-05-31,1053.580755
1941-06-30,534.498629
1941-07-31,958.0585155
1941-08-31,927.8167647
1941-09-30,1075.075
1941-10-31,630.0309913
1941-11-30,303.5865082
1941-12-31,1221.172144
1942-01-31,1233.906
1942-02-28,1320.907
1942-03-31,337.281
1942-04-30,812.6795591
1942-05-31,811.5687685
1942-06-30,492.9105331
1942-07-31,769.2551197
1942-08-31,965.9409926
1942-09-30,1072.259
1942-10-31,420.5004441
1942-11-30,303.258
1942-12-31,343.333
1943-01-31,593.243816
1943-02-28,643.1029806
1943-03-31,793.472719
1943-04-30,570.6614615
1943-05-31,514.2010588
1943-06-30,360.1908355
1943-07-31,953.4542078
1943-08-31,444.4206934
1943-09-30,419.3530411
1943-10-31,386.9818412
1943-11-30,311.9222985
1943-12-31,302.388
1944-01-31,292.587
1944-02-29,242.479
1944-03-31,258.869
1944-04-30,230.815
1944-05-31,337.0677309
1944-06-30,845.2895262
1944-07-31,1067.178
1944-08-31,671.3967424
1944-09-30,365.9614329
1944-10-31,306.2477322
1944-11-30,302.721
1944-12-31,266.558
1945-01-31,254.976
1945-02-28,368.857
1945-03-31,346.571
1945-04-30,327.7244585
1945-05-31,578.6348099
1945-06-30,1065.568319
1945-07-31,1066.672
1945-08-31,951.9109634
1945-09-30,477.2535299
1945-10-31,371.517778
1945-11-30,317.575
1945-12-31,533.0303905
1946-01-31,442.362855
1946-02-28,297.858
