date,kaf
1921-10-31,0.289331
1921-11-30,1.404375
1921-12-31,24.314373
1922-01-31,36.566841
1922-02-28,31.967506
1922-03-31,26.176825
1922-04-30,69.881012
1922-05-31,47.703072
1922-06-30,5.749826
1922-07-31,1.493757
1922-08-31,0.189691
1922-09-30,0.015013
1922-10-31,1.645661
1922-11-30,6.647823
1922-12-31,37.849243
1923-01-31,41.837868
1923-02-28,20.489082
1923-03-31,13.507148
1923-04-30,42.269951
1923-05-31,13.27704
1923-06-30,6.912968
1923-07-31,0.752177
1923-08-31,0.616896
1923-09-30,0.416354
1923-10-31,1.06933
1923-11-30,1.266621
1923-12-31,3.077999
1924-01-31,5.411355
1924-02-29,23.909647
1924-03-31,3.977323
1924-04-30,3.219078
1924-05-31,1.325359
1924-06-30,0.10158
1924-07-31,0
1924-08-31,0
1924-09-30,0
1924-10-31,4.294804
1924-11-30,15.506428
1924-12-31,28.539791
1925-01-31,27.884117
1925-02-28,120.464081
1925-03-31,42.498291
1925-04-30,60.256962
1925-05-31,50.35051
1925-06-30,9.314719
1925-07-31,3.597945
1925-08-31,1.474492
1925-09-30,2.507131
1925-10-31,2.712661
1925-11-30,3.552213
1925-12-31,9.40572
1926-01-31,12.886683
1926-02-28,81.354561
1926-03-31,30.101643
1926-04-30,37.20903
1926-05-31,8.160384
1926-06-30,1.938171
1926-07-31,0.502599
1926-08-31,0.105207
1926-09-30,0.032027
1926-10-31,0.687635
1926-11-30,28.43576
1926-12-31,52.37542
1927-01-31,46.532974
1927-02-28,125.222778
1927-03-31,78.283699
1927-04-30,59.135735
1927-05-31,34.355686
1927-06-30,10.960606
1927-07-31,2.509023
1927-08-31,0.818383
1927-09-30,0.498757
1927-10-31,0.636645
1927-11-30,33.476444
1927-12-31,18.072512
1928-01-31,43.428242
1928-02-29,65.069923
1928-03-31,101.44931
1928-04-30,48.219791
1928-05-31,16.241039
1928-06-30,7.687997
1928-07-31,1.218214
1928-08-31,0.050372
1928-09-30,0.065723
1928-10-31,0.199298
1928-11-30,0.249455
1928-12-31,12.952054
1929-01-31,11.191068
1929-02-28,13.212462
1929-03-31,11.144382
1929-04-30,9.560044
1929-05-31,10.486563
1929-06-30,2.880903
1929-07-31,0.086637
1929-08-31,0.011796
1929-09-30,0
1929-10-31,0
1929-11-30,0.238104
1929-12-31,46.738491
1930-01-31,23.762016
1930-02-28,40.175808
1930-03-31,40.127647
1930-04-30,23.830183
1930-05-31,8.627028
1930-06-30,2.726376
1930-07-31,0.430535
1930-08-31,0.004782
1930-09-30,0.005004
1930-10-31,0.247956
1930-11-30,1.504983
1930-12-31,1.594939
1931-01-31,18.461754
1931-02-28,13.267888
1931-03-31,22.6248
1931-04-30,8.118808
1931-05-31,3.885562
1931-06-30,1.655471
1931-07-31,0.197384
1931-08-31,0
1931-09-30,0
1931-10-31,1.593798
1931-11-30,2.610631
1931-12-31,11.697957
1932-01-31,22.545849
1932-02-29,16.94183
1932-03-31,43.708549
1932-04-30,20.250795
1932-05-31,20.522898
1932-06-30,6.298455
1932-07-31,0.861599
1932-08-31,0.052285
1932-09-30,0
1932-10-31,0
1932-11-30,0.22082
1932-12-31,1.160429
1933-01-31,3.639728
1933-02-28,4.505328
1933-03-31,24.764416
1933-04-30,32.937469
1933-05-31,24.898552
1933-06-30,15.007048
1933-07-31,1.984433
1933-08-31,0.162274
1933-09-30,0.005338
1933-10-31,0.19551
1933-11-30,0.812598
1933-12-31,11.311582
1934-01-31,23.595377
1934-02-28,19.763268
1934-03-31,24.470383
1934-04-30,11.276254
1934-05-31,5.447291
1934-06-30,1.68422
1934-07-31,0.348137
1934-08-31,0.000956
1934-09-30,0
1934-10-31,0.909076
1934-11-30,11.691089
1934-12-31,9.343275
1935-01-31,21.727276
1935-02-28,29.439034
1935-03-31,24.819548
1935-04-30,65.135361
1935-05-31,25.995983
1935-06-30,5.297028
1935-07-31,0.907964
1935-08-31,0.122742
1935-09-30,0.064388
1935-10-31,0.544572
1935-11-30,0.897727
1935-12-31,2.396312
1936-01-31,88.131119
1936-02-29,78.432831
1936-03-31,39.770607
1936-04-30,27.253119
1936-05-31,11.88649
1936-06-30,5.481501
1936-07-31,1.066401
1936-08-31,0.177895
1936-09-30,0.091745
1936-10-31,0.070803
1936-11-30,0.248423
1936-12-31,0.558879
1937-01-31,1.122615
1937-02-28,6.569281
1937-03-31,33.380638
1937-04-30,50.796478
1937-05-31,34.681633
1937-06-30,9.020041
1937-07-31,1.598939
1937-08-31,0.211052
1937-09-30,0.030026
1937-10-31,0.751736
1937-11-30,52.713081
1937-12-31,85.705238
1938-01-31,23.779558
1938-02-28,52.203217
1938-03-31,127.316345
1938-04-30,106.433426
1938-05-31,85.093109
1938-06-30,24.487072
1938-07-31,3.894683
1938-08-31,1.142931
1938-09-30,0.927455
1938-10-31,1.334478
1938-11-30,2.600313
1938-12-31,12.42908
1939-01-31,7.767676
1939-02-28,8.316514
1939-03-31,29.127657
1939-04-30,12.883423
1939-05-31,6.82377
1939-06-30,2.271181
1939-07-31,0.473456
1939-08-31,0.027418
1939-09-30,0.00834
1939-10-31,0.196967
1939-11-30,0.257968
1939-12-31,13.336348
1940-01-31,73.914253
1940-02-29,129.722839
1940-03-31,90.612083
1940-04-30,45.209316
1940-05-31,18.306931
1940-06-30,4.985579
1940-07-31,0.806756
1940-08-31,0.282465
1940-09-30,0.416687
1940-10-31,1.15849
1940-11-30,3.570271
1940-12-31,63.25119
1941-01-31,78.156219
1941-02-28,113.593918
1941-03-31,124.562408
1941-04-30,85.191772
1941-05-31,59.725571
1941-06-30,22.824413
1941-07-31,6.395758
1941-08-31,2.011685
1941-09-30,1.374501
1941-10-31,1.255808
1941-11-30,3.588328
1941-12-31,75.591812
1942-01-31,83.243065
1942-02-28,81.784775
1942-03-31,29.912621
1942-04-30,44.218464
1942-05-31,38.095863
1942-06-30,17.120108
1942-07-31,3.746314
1942-08-31,1.117426
1942-09-30,0.71394
1942-10-31,0.601098
1942-11-30,11.381528
1942-12-31,36.116402
1943-01-31,86.79509
1943-02-28,43.467049
1943-03-31,46.512367
1943-04-30,25.337791
1943-05-31,13.342697
1943-06-30,5.304215
1943-07-31,1.371087
1943-08-31,0.39341
1943-09-30,0.179152
1943-10-31,0.693462
1943-11-30,1.434299
1943-12-31,2.024246
1944-01-31,7.42563
1944-02-29,10.602169
1944-03-31,22.782318
1944-04-30,15.545443
1944-05-31,16.81555
1944-06-30,5.515042
1944-07-31,1.581718
1944-08-31,0.365674
1944-09-30,0.021018
1944-10-31,0.324296
1944-11-30,10.844955
1944-12-31,20.989197
1945-01-31,13.939136
1945-02-28,45.512527
1945-03-31,14.54414
1945-04-30,28.815248
1945-05-31,16.205866
1945-06-30,5.785763
1945-07-31,1.132637
1945-08-31,0.258554
1945-09-30,0.029025
1945-10-31,1.886625
1945-11-30,17.513416
1945-12-31,86.475388
1946-01-31,54.633926
1946-02-28,15.107498
1946-03-31,29.571333
1946-04-30,33.669941
1946-05-31,18.843922
1946-06-30,4.937664
1946-07-31,1.135287
1946-08-31,0.212327
1946-09-30,0.129777
1946-10-31,0.296615
1946-11-30,6.892892
1946-12-31,9.189766
1947-01-31,3.34738
1947-02-28,23.957155
1947-03-31,36.334095
1947-04-30,14.843788
1947-05-31,4.957199
1947-06-30,3.423542
1947-07-31,0.498095
1947-08-31,0.084803
1947-09-30,0.006339
1947-10-31,8.499283
1947-11-30,4.393187
1947-12-31,2.177756
1948-01-31,47.82515
1948-02-29,8.160793
1948-03-31,9.944621
1948-04-30,47.589249
1948-05-31,35.307732
1948-06-30,14.087074
1948-07-31,2.395097
1948-08-31,0.698511
1948-09-30,0.934127
1948-10-31,0.844165
1948-11-30,4.50843
1948-12-31,8.826447
1949-01-31,3.98162
1949-02-28,10.830149
1949-03-31,66.353058
1949-04-30,57.641655
1949-05-31,22.796034
1949-06-30,5.808595
1949-07-31,1.000066
1949-08-31,0.293752
1949-09-30,0.10076
1949-10-31,0.24119
1949-11-30,1.392793
1949-12-31,1.349355
1950-01-31,20.70962
1950-02-28,26.50909
1950-03-31,43.037357
1950-04-30,37.890247
1950-05-31,17.277422
1950-06-30,4.380694
1950-07-31,0.515702
1950-08-31,0.099967
1950-09-30,0.082116
1950-10-31,14.485488
1950-11-30,21.405621
1950-12-31,48.718018
1951-01-31,54.666447
1951-02-28,68.039009
1951-03-31,23.278017
1951-04-30,19.846613
1951-05-31,20.25124
1951-06-30,4.573289
1951-07-31,1.047471
1951-08-31,0.192992
1951-09-30,0.110876
1951-10-31,1.216859
1951-11-30,8.357355
1951-12-31,58.744461
1952-01-31,44.707436
1952-02-29,85.904129
1952-03-31,64.954712
1952-04-30,86.665787
1952-05-31,48.013885
1952-06-30,13.235703
1952-07-31,4.518347
1952-08-31,1.342016
1952-09-30,0.632727
1952-10-31,0.623405
1952-11-30,2.523768
1952-12-31,39.893555
1953-01-31,126.737854
1953-02-28,34.798016
1953-03-31,26.066776
1953-04-30,41.631077
1953-05-31,29.980165
1953-06-30,17.508099
1953-07-31,5.046347
1953-08-31,1.228165
1953-09-30,0.728926
1953-10-31,0.839207
1953-11-30,9.694215
1953-12-31,8.88
1954-01-31,64.258514
1954-02-28,73.755371
1954-03-31,61.910084
1954-04-30,67.394379
1954-05-31,19.848595
1954-06-30,7.432066
1954-07-31,1.89243
1954-08-31,0.993322
1954-09-30,0.802909
1954-10-31,0.861422
1954-11-30,12.103339
1954-12-31,22.040331
1955-01-31,14.048926
1955-02-28,10.587769
1955-03-31,11.698512
1955-04-30,17.861156
1955-05-31,26.701488
1955-06-30,5.270281
1955-07-31,1.294413
1955-08-31,0.214215
1955-09-30,0.127537
1955-10-31,0.307636
1955-11-30,5.644166
1955-12-31,161.492035
1956-01-31,132.58313
1956-02-29,78.194382
1956-03-31,51.28661
1956-04-30,64.377518
1956-05-31,53.914711
1956-06-30,16.230743
1956-07-31,3.757884
1956-08-31,1.040529
1956-09-30,0.694413
1956-10-31,2.792132
1956-11-30,2.750876
1956-12-31,2.239934
1957-01-31,6.173157
1957-02-28,53.317684
1957-03-31,46.085953
1957-04-30,25.7038
1957-05-31,30.585125
1957-06-30,8.126281
1957-07-31,1.70043
1957-08-31,0.575207
1957-09-30,1.178182
1957-10-31,23.778248
1957-11-30,17.9881
1957-12-31,37.551075
1958-01-31,70.155373
1958-02-28,254.495209
1958-03-31,78.702148
1958-04-30,96.842979
1958-05-31,56.842312
1958-06-30,17.533884
1958-07-31,5.047934
1958-08-31,1.785719
1958-09-30,0.84238
1958-10-31,0.745785
1958-11-30,2.103471
1958-12-31,2.857785
1959-01-31,41.119339
1959-02-28,30.914379
1959-03-31,34.774216
1959-04-30,22.871405
1959-05-31,8.889917
1959-06-30,2.622744
1959-07-31,0.464132
1959-08-31,0.153917
1959-09-30,0.943339
1959-10-31,0.569256
1959-11-30,0.506777
1959-12-31,1.064132
1960-01-31,6.178314
1960-02-29,84.553391
1960-03-31,61.616528
1960-04-30,20.864132
1960-05-31,15.911406
1960-06-30,7.075636
1960-07-31,1.099636
1960-08-31,0.297322
1960-09-30,0.177124
1960-10-31,0.350678
1960-11-30,3.648198
1960-12-31,22.87339
1961-01-31,18.731899
1961-02-28,49.541157
1961-03-31,30.190414
1961-04-30,26.261158
1961-05-31,16.316032
1961-06-30,6.847339
1961-07-31,0.845157
1961-08-31,0.346314
1961-09-30,0.29038
1961-10-31,0.28086
1961-11-30,2.593983
1961-12-31,10.589752
1962-01-31,6.442314
1962-02-28,34.926941
1962-03-31,31.721653
1962-04-30,47.831406
1962-05-31,13.719669
1962-06-30,4.853554
1962-07-31,0.847934
1962-08-31,0.604165
1962-09-30,0.152132
1962-10-31,21.35881
1962-11-30,8.241719
1962-12-31,30.122976
1963-01-31,26.657852
1963-02-28,90.503799
1963-03-31,31.925949
1963-04-30,82.212891
1963-05-31,43.580826
1963-06-30,9.389751
1963-07-31,2.787372
1963-08-31,0.903868
1963-09-30,0.590479
1963-10-31,2.087207
1963-11-30,24.103539
1963-12-31,7.190083
1964-01-31,16.367603
1964-02-29,15.901488
1964-03-31,9.31438
1964-04-30,10.671074
1964-05-31,6.681124
1964-06-30,2.583868
1964-07-31,0.515901
1964-08-31,0.120397
1964-09-30,0.100364
1964-10-31,0.957223
1964-11-30,15.6
1964-12-31,216.872726
1965-01-31,102.398674
1965-02-28,40.133556
1965-03-31,23.516033
1965-04-30,83.851242
1965-05-31,32.961323
1965-06-30,8.419835
1965-07-31,2.404364
1965-08-31,1.419769
1965-09-30,0.805289
1965-10-31,0.772364
1965-11-30,24.645618
1965-12-31,10.050248
1966-01-31,53.24231
1966-02-28,25.198017
1966-03-31,51.6357
1966-04-30,55.620495
1966-05-31,18.275703
1966-06-30,4.20595
1966-07-31,1.371174
1966-08-31,0.422678
1966-09-30,0.417719
1966-10-31,0.399273
1966-11-30,22.601852
1966-12-31,57.42942
1967-01-31,79.188103
1967-02-28,45.760662
1967-03-31,33.068428
1967-04-30,35.831406
1967-05-31,68.423805
1967-06-30,29.506117
1967-07-31,4.863471
1967-08-31,1.621488
1967-09-30,0.856661
1967-10-31,1.858314
1967-11-30,2.691769
1967-12-31,9.953058
1968-01-31,60.263802
1968-02-29,89.137192
1968-03-31,32.709423
1968-04-30,20.495207
1968-05-31,10.926942
1968-06-30,3.285025
1968-07-31,1.09924
1968-08-31,0.804694
1968-09-30,0.479405
1968-10-31,0.748959
1968-11-30,4.84919
1968-12-31,23.615404
1969-01-31,138.446289
1969-02-28,73.864464
1969-03-31,86.005287
1969-04-30,128.695541
1969-05-31,84.62281
1969-06-30,16.423141
1969-07-31,3.436562
1969-08-31,1.100827
1969-09-30,0.702149
1969-10-31,1.102016
1969-11-30,2.25957
1969-12-31,64.988235
1970-01-31,232.8853
1970-02-28,40.296196
1970-03-31,42.257851
1970-04-30,13.126612
1970-05-31,11.2681
1970-06-30,4.260496
1970-07-31,1.128
1970-08-31,0.470083
1970-09-30,0.38757
1970-10-31,0.851702
1970-11-30,23.192329
1970-12-31,58.038345
1971-01-31,102.642647
1971-02-28,39.53653
1971-03-31,70.623474
1971-04-30,43.604626
1971-05-31,31.257521
1971-06-30,10.813885
1971-07-31,2.819703
1971-08-31,0.811041
1971-09-30,0.540496
1971-10-31,0.79081
1971-11-30,3.146777
1971-12-31,7.370579
1972-01-31,25.896198
1972-02-29,25.999338
