date,kaf
1921-10-31,52.868183
1921-11-30,1.785114
1921-12-31,1.50286
1922-01-31,1.505344
1922-02-28,41.070374
1922-03-31,16.462116
1922-04-30,2.380152
1922-05-31,1.448884
1922-06-30,14.388261
1922-07-31,0
1922-08-31,0
1922-09-30,2.380152
1922-10-31,1.932596
1922-11-30,11.974373
1922-12-31,1.844618
1923-01-31,41.646305
1923-02-28,21.45389
1923-03-31,0
1923-04-30,1.450633
1923-05-31,2.45949
1923-06-30,0
1923-07-31,0
1923-08-31,0
1923-09-30,2.380152
1923-10-31,0
1923-11-30,1.785114
1923-12-31,1.50286
1924-01-31,1.505344
1924-02-29,1.638712
1924-03-31,0
1924-04-30,0
1924-05-31,0
1924-06-30,0
1924-07-31,0
1924-08-31,0
1924-09-30,0
1924-10-31,0
1924-11-30,5.973948
1924-12-31,1.50286
1925-01-31,8.331076
1925-02-28,195.17659
1925-03-31,26.451494
1925-04-30,1.450526
1925-05-31,28.785944
1925-06-30,42.111565
1925-07-31,0
1925-08-31,0
1925-09-30,2.380152
1925-10-31,1.935993
1925-11-30,2.970541
1925-12-31,4.980331
1926-01-31,1.844618
1926-02-28,109.27607
1926-03-31,20.881598
1926-04-30,1.450526
1926-05-31,2.45949
1926-06-30,0
1926-07-31,0
1926-08-31,0
1926-09-30,1.233387
1926-10-31,0
1926-11-30,0.796478
1926-12-31,59.10902
1927-01-31,66.392693
1927-02-28,261.139191
1927-03-31,49.78096
1927-04-30,2.380152
1927-05-31,1.448884
1927-06-30,0
1927-07-31,0.812775
1927-08-31,0
1927-09-30,2.380152
1927-10-31,0
1927-11-30,8.966798
1927-12-31,1.844618
1928-01-31,20.704817
1928-02-29,86.450737
1928-03-31,76.020493
1928-04-30,1.450554
1928-05-31,2.45949
1928-06-30,127.176926
1928-07-31,0
1928-08-31,0
1928-09-30,2.380152
1928-10-31,0
1928-11-30,0.876023
1928-12-31,1.50286
1929-01-31,1.505344
1929-02-28,1.638712
1929-03-31,0
1929-04-30,1.450536
1929-05-31,1.448884
1929-06-30,0
1929-07-31,0
1929-08-31,0
1929-09-30,1.233387
1929-10-31,0
1929-11-30,1.785114
1929-12-31,1.50286
1930-01-31,17.012989
1930-02-28,43.452995
1930-03-31,45.013321
1930-04-30,2.380145
1930-05-31,2.45949
1930-06-30,84.238358
1930-07-31,0
1930-08-31,0
1930-09-30,1.233387
1930-10-31,0
1930-11-30,1.785114
1930-12-31,1.50286
1931-01-31,1.505344
1931-02-28,1.638712
1931-03-31,0
1931-04-30,5.728329
1931-05-31,67.1894
1931-06-30,0
1931-07-31,0
1931-08-31,0
1931-09-30,0
1931-10-31,0.313479
1931-11-30,1.970693
1931-12-31,1.50286
1932-01-31,47.992847
1932-02-29,22.449764
1932-03-31,17.457294
1932-04-30,2.380152
1932-05-31,2.459488
1932-06-30,0
1932-07-31,-0
1932-08-31,0
1932-09-30,1.233387
1932-10-31,7e-06
1932-11-30,1.785114
1932-12-31,1.50286
1933-01-31,1.505344
1933-02-28,1.638712
1933-03-31,0
1933-04-30,0
1933-05-31,0
1933-06-30,0
1933-07-31,0
1933-08-31,0
1933-09-30,0
1933-10-31,0
1933-11-30,1.785114
1933-12-31,1.50286
1934-01-31,19.030956
1934-02-28,36.442837
1934-03-31,3.205731
1934-04-30,2.380152
1934-05-31,1.448888
1934-06-30,0
1934-07-31,0
1934-08-31,0
1934-09-30,1.233387
1934-10-31,0
1934-11-30,0.677458
1934-12-31,1.50286
1935-01-31,33.311317
1935-02-28,36.449532
1935-03-31,50.453918
1935-04-30,9.199052
1935-05-31,2.45949
1935-06-30,0
1935-07-31,5.705388
1935-08-31,0
1935-09-30,2.380152
1935-10-31,1.844618
1935-11-30,1.785114
1935-12-31,3.979631
1936-01-31,35.610001
1936-02-29,142.441162
1936-03-31,24.020819
1936-04-30,1.450526
1936-05-31,2.45949
1936-06-30,0
1936-07-31,0
1936-08-31,0
1936-09-30,2.380152
1936-10-31,2e-06
1936-11-30,1.785114
1936-12-31,1.50286
1937-01-31,1.505344
1937-02-28,26.131607
1937-03-31,53.026779
1937-04-30,2.380152
1937-05-31,2.45949
1937-06-30,0
1937-07-31,0
1937-08-31,0
1937-09-30,2.380152
1937-10-31,1.554677
1937-11-30,1.785114
1937-12-31,116.113091
1938-01-31,62.383469
1938-02-28,213.451828
1938-03-31,228.456238
1938-04-30,23.191992
1938-05-31,26.819218
1938-06-30,0
1938-07-31,0
1938-08-31,0
1938-09-30,30.38311
1938-10-31,0
1938-11-30,1.785114
1938-12-31,1.844618
1939-01-31,1.505344
1939-02-28,1.666106
1939-03-31,0
1939-04-30,0
1939-05-31,0
1939-06-30,0
1939-07-31,0
1939-08-31,0
1939-09-30,0
1939-10-31,0
1939-11-30,1.785114
1939-12-31,5.978287
1940-01-31,66.610001
1940-02-29,224.44101
1940-03-31,97.010803
1940-04-30,1.450526
1940-05-31,2.45949
1940-06-30,0
1940-07-31,0
1940-08-31,0
1940-09-30,2.380152
1940-10-31,1.397056
1940-11-30,2.968411
1940-12-31,74.080002
1941-01-31,263.364105
1941-02-28,259.438019
1941-03-31,207.012543
1941-04-30,102.159042
1941-05-31,26.786623
1941-06-30,49.189156
1941-07-31,0
1941-08-31,0
1941-09-30,2.380152
1941-10-31,0
1941-11-30,3.963051
1941-12-31,31.08
1942-01-31,166.374863
1942-02-28,194.446411
1942-03-31,25.019157
1942-04-30,32.179005
1942-05-31,2.811069
1942-06-30,0
1942-07-31,30.271284
1942-08-31,-0
1942-09-30,6.390269
1942-10-31,1.844618
1942-11-30,10.967498
1942-12-31,1.844618
1943-01-31,151.666977
1943-02-28,51.445717
1943-03-31,45.017567
1943-04-30,1.450646
1943-05-31,1.448884
1943-06-30,0
1943-07-31,0
1943-08-31,0
1943-09-30,2.380152
1943-10-31,0.106249
1943-11-30,0.876023
1943-12-31,1.50286
1944-01-31,1.505344
1944-02-29,1.638712
1944-03-31,31.920729
1944-04-30,2.380152
1944-05-31,2.45949
1944-06-30,-0
1944-07-31,0
1944-08-31,0
1944-09-30,1.233387
1944-10-31,0.925332
1944-11-30,1.785114
1944-12-31,1.502961
1945-01-31,11.176943
1945-02-28,75.451904
1945-03-31,4.018772
1945-04-30,2.380152
1945-05-31,2.45949
1945-06-30,0
1945-07-31,-0
1945-08-31,0
1945-09-30,2.380152
1945-10-31,1.924828
1945-11-30,1.785114
1945-12-31,166.107452
1946-01-31,26.610001
1946-02-28,21.449812
1946-03-31,0
1946-04-30,2.380152
1946-05-31,1.448884
1946-06-30,0
1946-07-31,0
1946-08-31,0
1946-09-30,1.233387
1946-10-31,0
1946-11-30,1.785114
1946-12-31,1.50286
1947-01-31,20.588524
1947-02-28,1.638753
1947-03-31,15.602632
1947-04-30,2.380152
1947-05-31,1.448884
1947-06-30,0
1947-07-31,0
1947-08-31,0
1947-09-30,1.233387
1947-10-31,1.554677
1947-11-30,1.785114
1947-12-31,1.50286
1948-01-31,1.505344
1948-02-29,3.461218
1948-03-31,1.783845
1948-04-30,1.450526
1948-05-31,1.448884
1948-06-30,0
1948-07-31,28.497946
1948-08-31,0
1948-09-30,2.380152
1948-10-31,0
1948-11-30,1.968046
1948-12-31,1.50286
1949-01-31,1.505344
1949-02-28,30.899302
1949-03-31,62.378181
1949-04-30,2.380152
1949-05-31,2.45949
1949-06-30,0
1949-07-31,0
1949-08-31,0
1949-09-30,2.380152
1949-10-31,0
1949-11-30,1.785114
1949-12-31,2.981222
1950-01-31,1.505344
1950-02-28,44.589226
1950-03-31,19.018923
1950-04-30,1.450526
1950-05-31,2.45949
1950-06-30,0
1950-07-31,0
1950-08-31,0
1950-09-30,2.380152
1950-10-31,1.554677
1950-11-30,1.785114
1950-12-31,74.448593
1951-01-31,113.37146
1951-02-28,92.449844
1951-03-31,25.020845
1951-04-30,2.380152
1951-05-31,2.45949
1951-06-30,0
1951-07-31,0
1951-08-31,0
1951-09-30,2.380152
1951-10-31,0
1951-11-30,5.964605
1951-12-31,38.080002
1952-01-31,158.388809
1952-02-29,138.452759
1952-03-31,70.020264
1952-04-30,2.380152
1952-05-31,9.704455
1952-06-30,10.176633
1952-07-31,0
1952-08-31,0
1952-09-30,30.137934
1952-10-31,1.844618
1952-11-30,0.979775
1952-12-31,45.080002
1953-01-31,244.382385
1953-02-28,38.435013
1953-03-31,21.015926
1953-04-30,1.450526
1953-05-31,2.45949
1953-06-30,0
1953-07-31,21.264914
1953-08-31,0
1953-09-30,2.380152
1953-10-31,1.844618
1953-11-30,4.975938
1953-12-31,8.977237
1954-01-31,46.610001
1954-02-28,82.444473
1954-03-31,43.021713
1954-04-30,2.380152
1954-05-31,1.814577
1954-06-30,10.157063
1954-07-31,0
1954-08-31,0
1954-09-30,2.380152
1954-10-31,1.844618
1954-11-30,5.784154
1954-12-31,1.844618
1955-01-31,1.844618
1955-02-28,12.455369
1955-03-31,0
1955-04-30,2.380152
1955-05-31,1.448892
1955-06-30,0
1955-07-31,0
1955-08-31,0
1955-09-30,1.233387
1955-10-31,0.924954
1955-11-30,1.469535
1955-12-31,84.576416
1956-01-31,250.369995
1956-02-29,146.442795
1956-03-31,40.02692
1956-04-30,2.380152
1956-05-31,1.448884
1956-06-30,27.104137
1956-07-31,0
1956-08-31,0
1956-09-30,2.380152
1956-10-31,0
1956-11-30,2.965306
1956-12-31,1.844618
1957-01-31,1.505344
1957-02-28,50.757584
1957-03-31,23.014044
1957-04-30,2.380152
1957-05-31,1.448884
1957-06-30,0
1957-07-31,20.960588
1957-08-31,0
1957-09-30,1.233387
1957-10-31,26.933813
1957-11-30,15.967133
1957-12-31,1.844618
1958-01-31,110.663933
1958-02-28,479.448639
1958-03-31,203.58252
1958-04-30,2.380152
1958-05-31,15.707851
1958-06-30,0
1958-07-31,47.334038
1958-08-31,0
1958-09-30,2.380152
1958-10-31,0
1958-11-30,1.972647
1958-12-31,3.975938
1959-01-31,7.61
1959-02-28,95.439766
1959-03-31,19.020845
1959-04-30,2.380152
1959-05-31,2.45949
1959-06-30,0
1959-07-31,0
1959-08-31,0
1959-09-30,1.233387
1959-10-31,0
1959-11-30,1.785114
1959-12-31,1.50286
1960-01-31,13.978529
1960-02-29,91.18
1960-03-31,55.016068
1960-04-30,2.380152
1960-05-31,1.448889
1960-06-30,0
1960-07-31,0
1960-08-31,0
1960-09-30,2.380152
1960-10-31,0
1960-11-30,1.785114
1960-12-31,1.844618
1961-01-31,76.200523
1961-02-28,25.18
1961-03-31,21.447502
1961-04-30,2.380152
1961-05-31,2.45949
1961-06-30,0
1961-07-31,0
1961-08-31,0
1961-09-30,2.380152
1961-10-31,0
1961-11-30,3.968746
1961-12-31,1.50286
1962-01-31,1.505344
1962-02-28,84.025314
1962-03-31,51.024319
1962-04-30,2.380152
1962-05-31,2.45949
1962-06-30,0
1962-07-31,0
1962-08-31,0
1962-09-30,2.380152
1962-10-31,1.554677
1962-11-30,1.785114
1962-12-31,11.379452
1963-01-31,33.385563
1963-02-28,167.458832
1963-03-31,35.003819
1963-04-30,68.188942
1963-05-31,2.45949
1963-06-30,27.10017
1963-07-31,0
1963-08-31,0
1963-09-30,2.380152
1963-10-31,2.931463
1963-11-30,22.979454
1963-12-31,1.844618
1964-01-31,1.844618
1964-02-29,4.384357
1964-03-31,0
1964-04-30,0
1964-05-31,0
1964-06-30,0
1964-07-31,-0
1964-08-31,0
1964-09-30,0
1964-10-31,0.452942
1964-11-30,1.785114
1964-12-31,241.21022
1965-01-31,212.404724
1965-02-28,47.488583
1965-03-31,2.985424
1965-04-30,31.230623
1965-05-31,1.448884
1965-06-30,0
1965-07-31,0.179216
1965-08-31,0
1965-09-30,2.380152
1965-10-31,0
1965-11-30,35.978897
1965-12-31,1.844618
1966-01-31,87.713242
1966-02-28,63.437061
1966-03-31,25.476839
1966-04-30,1.45053
1966-05-31,2.45949
1966-06-30,0
1966-07-31,0
1966-08-31,0
1966-09-30,2.380152
1966-10-31,0
1966-11-30,1.785114
1966-12-31,52.213123
1967-01-31,193.44751
1967-02-28,66.460594
1967-03-31,32.003368
1967-04-30,2.380152
1967-05-31,10.314667
1967-06-30,7.029869
1967-07-31,0
1967-08-31,57.058643
1967-09-30,2.380152
1967-10-31,1.844618
1967-11-30,2.960499
1967-12-31,1.844618
1968-01-31,47.688133
1968-02-29,141.447235
1968-03-31,27.505037
1968-04-30,2.380152
1968-05-31,2.45949
1968-06-30,0
1968-07-31,0
1968-08-31,0
1968-09-30,2.380152
1968-10-31,0
1968-11-30,1.785114
1968-12-31,3.266911
1969-01-31,317.806976
1969-02-28,162.179993
1969-03-31,107.113594
1969-04-30,24.799273
1969-05-31,2.45949
1969-06-30,28.149418
1969-07-31,0
1969-08-31,0
1969-09-30,2.380152
1969-10-31,1.922936
1969-11-30,1.785114
1969-12-31,22.245415
1970-01-31,464.748169
1970-02-28,41.18
1970-03-31,43.012341
1970-04-30,2.380152
1970-05-31,2.45949
1970-06-30,0
1970-07-31,0
1970-08-31,0
1970-09-30,2.380152
1970-10-31,0.214894
1970-11-30,35.98592
1970-12-31,64.080002
1971-01-31,149.439865
1971-02-28,37.428791
