date,kaf
1921-10-31,405.686432
1921-11-30,313.665649
1921-12-31,256.277161
1922-01-31,220.010178
1922-02-28,270.202728
1922-03-31,294.774811
1922-04-30,278.374146
1922-05-31,570.58252
1922-06-30,400.834625
1922-07-31,670.855225
1922-08-31,686.560059
1922-09-30,525.916565
1922-10-31,373.817169
1922-11-30,289.363922
1922-12-31,297.092621
1923-01-31,241.078262
1923-02-28,200.02327
1923-03-31,233.601883
1923-04-30,228.862366
1923-05-31,441.942383
1923-06-30,432.478821
1923-07-31,705.016235
1923-08-31,461.913055
1923-09-30,346.703217
1923-10-31,336.081085
1923-11-30,327.466309
1923-12-31,296.46225
1924-01-31,221.12735
1924-02-29,197.510529
1924-03-31,217.348175
1924-04-30,255.532944
1924-05-31,393.698212
1924-06-30,948.830688
1924-07-31,773.238647
1924-08-31,508.19574
1924-09-30,419.299438
1924-10-31,314.12207
1924-11-30,206.79071
1924-12-31,212.71196
1925-01-31,217.160507
1925-02-28,190.457703
1925-03-31,210.522919
1925-04-30,214.991653
1925-05-31,532.307312
1925-06-30,303.065552
1925-07-31,1064.231567
1925-08-31,774.845032
1925-09-30,469.240753
1925-10-31,377.244568
1925-11-30,281.240723
1925-12-31,239.144928
1926-01-31,222.542572
1926-02-28,196.407272
1926-03-31,263.548553
1926-04-30,211.904404
1926-05-31,784.972473
1926-06-30,1068.817871
1926-07-31,1063.340698
1926-08-31,1063.349487
1926-09-30,402.425293
1926-10-31,286.93042
1926-11-30,225.371536
1926-12-31,286.93631
1927-01-31,294.731628
1927-02-28,427.961395
1927-03-31,632.182312
1927-04-30,865.109802
1927-05-31,578.296692
1927-06-30,583.49884
1927-07-31,1066.472046
1927-08-31,1065.641846
1927-09-30,1043.342896
1927-10-31,422.839325
1927-11-30,290.239197
1927-12-31,298.105194
1928-01-31,297.626709
1928-02-29,199.485321
1928-03-31,219.434189
1928-04-30,209.266342
1928-05-31,400.054169
1928-06-30,335.419525
1928-07-31,1064.250366
1928-08-31,547.39563
1928-09-30,283.389862
1928-10-31,321.462769
1928-11-30,220.280518
1928-12-31,229.603653
1929-01-31,221.723816
1929-02-28,200.887665
1929-03-31,219.131348
1929-04-30,214.009613
1929-05-31,338.298248
1929-06-30,679.893066
1929-07-31,526.544128
1929-08-31,343.032074
1929-09-30,309.627289
1929-10-31,289.686707
1929-11-30,210.758728
1929-12-31,218.120331
1930-01-31,224.071518
1930-02-28,196.224487
1930-03-31,217.846573
1930-04-30,220.03685
1930-05-31,323.325867
1930-06-30,212.016251
1930-07-31,1000.053162
1930-08-31,486.401001
1930-09-30,254.222168
1930-10-31,236.00798
1930-11-30,210.86026
1930-12-31,221.407043
1931-01-31,217.593353
1931-02-28,195.916122
1931-03-31,216.980804
1931-04-30,204.541504
1931-05-31,249.422943
1931-06-30,334.362274
1931-07-31,370.391602
1931-08-31,340.331268
1931-09-30,243.367249
1931-10-31,238.519394
1931-11-30,206.25116
1931-12-31,212.591354
1932-01-31,206.919846
1932-02-29,189.765701
1932-03-31,210.184067
1932-04-30,204.566467
1932-05-31,216.480637
1932-06-30,246.007156
1932-07-31,672.757324
1932-08-31,554.832703
1932-09-30,297.903473
1932-10-31,297.14563
1932-11-30,238.685898
1932-12-31,212.257889
1933-01-31,209.368866
1933-02-28,188.792923
1933-03-31,209.190231
1933-04-30,201.099457
1933-05-31,279.833618
1933-06-30,326.884491
1933-07-31,944.888977
1933-08-31,437.653717
1933-09-30,267.352966
1933-10-31,296.535797
1933-11-30,205.368896
1933-12-31,212.773865
1934-01-31,208.582687
1934-02-28,189.863342
1934-03-31,209.61734
1934-04-30,204.303741
1934-05-31,482.575439
1934-06-30,1039.040527
1934-07-31,1044.529175
1934-08-31,487.800446
1934-09-30,335.655182
1934-10-31,319.271606
1934-11-30,206.52298
1934-12-31,216.037811
1935-01-31,217.041153
1935-02-28,187.791077
1935-03-31,210.296738
1935-04-30,202.795624
1935-05-31,434.786102
1935-06-30,697.629456
1935-07-31,1063.858398
1935-08-31,1046.13269
1935-09-30,376.97583
1935-10-31,291.236267
1935-11-30,232.712662
1935-12-31,231.351486
1936-01-31,216.506271
1936-02-29,233.442459
1936-03-31,290.568085
1936-04-30,284.623383
1936-05-31,343.889191
1936-06-30,293.676147
1936-07-31,1024.05249
1936-08-31,837.030273
1936-09-30,426.337158
1936-10-31,372.880859
1936-11-30,296.06781
1936-12-31,231.4216
1937-01-31,217.175095
1937-02-28,196.530472
1937-03-31,207.39595
1937-04-30,201.139893
1937-05-31,378.834412
1937-06-30,1011.258057
1937-07-31,1063.338135
1937-08-31,1063.068848
1937-09-30,600.694824
1937-10-31,298.002502
1937-11-30,284.676178
1937-12-31,811.776855
1938-01-31,1064.960938
1938-02-28,1071.944092
1938-03-31,1060.707397
1938-04-30,1176.584106
1938-05-31,1080.683716
1938-06-30,475.135498
1938-07-31,661.210876
1938-08-31,638.231201
1938-09-30,824.932007
1938-10-31,406.63855
1938-11-30,321.778137
1938-12-31,283.339691
1939-01-31,232.538254
1939-02-28,200.656525
1939-03-31,220.478989
1939-04-30,213.342453
1939-05-31,541.009033
1939-06-30,1027.089478
1939-07-31,1062.815918
1939-08-31,1035.580566
1939-09-30,432.84317
1939-10-31,341.730957
1939-11-30,286.555389
1939-12-31,230.317856
1940-01-31,216.872559
1940-02-29,650.829041
1940-03-31,1061.363892
1940-04-30,762.878662
1940-05-31,504.679596
1940-06-30,900.038025
1940-07-31,1065.363281
1940-08-31,1064.122559
1940-09-30,716.731873
1940-10-31,407.267487
1940-11-30,318.232025
1940-12-31,384.033722
1941-01-31,1067.490112
1941-02-28,1115.948486
1941-03-31,1065.648682
1941-04-30,1146.574097
1941-05-31,976.430603
1941-06-30,498.70401
1941-07-31,925.723511
1941-08-31,929.437134
1941-09-30,1069.484497
1941-10-31,601.873291
1941-11-30,300.974457
1941-12-31,1072.222168
1942-01-31,1068.516968
1942-02-28,1066.905151
1942-03-31,288.458038
1942-04-30,727.450562
1942-05-31,755.720398
1942-06-30,474.264282
1942-07-31,771.112488
1942-08-31,897.003967
1942-09-30,1068.49646
1942-10-31,414.974091
1942-11-30,289.111908
1942-12-31,295.769592
1943-01-31,465.216248
