date,kaf
date,FLOW_LOC(KAF)
1921-10-31,7.895
1921-11-30,7.478
1921-12-31,7.608
1922-01-31,7.879
1922-02-28,9.179
1922-03-31,5.785
1922-04-30,8.397
1922-05-31,8.33
1922-06-30,6.349
1922-07-31,6.209
1922-08-31,6.56
1922-09-30,7.389
1922-10-31,8.462
1922-11-30,9.696
1922-12-31,8.103
1923-01-31,7.422
1923-02-28,8.421
1923-03-31,9.432
1923-04-30,9.491
1923-05-31,7.781
1923-06-30,5.836
1923-07-31,6.038
1923-08-31,6.532
1923-09-30,7.411
1923-10-31,10.04
1923-11-30,8.996
1923-12-31,8.843
1924-01-31,8.996
1924-02-29,8.685
1924-03-31,8.292
1924-04-30,8.282
1924-05-31,6.292
1924-06-30,6.864
1924-07-31,6.04
1924-08-31,6.354
1924-09-30,7.751
1924-10-31,9.725
1924-11-30,9.238
1924-12-31,8.574
1925-01-31,8.104
1925-02-28,8.297
1925-03-31,1.466
1925-04-30,9.335
1925-05-31,7.421
1925-06-30,8.364
1925-07-31,6.599
1925-08-31,6.03
1925-09-30,7.443
1925-10-31,9.761
1925-11-30,8.974
1925-12-31,9.121
1926-01-31,8.646
1926-02-28,7.582
1926-03-31,4.235
1926-04-30,9.591
1926-05-31,7.48
1926-06-30,7.486
1926-07-31,5.708
1926-08-31,5.717
1926-09-30,6.954
1926-10-31,10.549
1926-11-30,9.265
1926-12-31,7.614
1927-01-31,5.742
1927-02-28,6.192
1927-03-31,0
1927-04-30,10.321
1927-05-31,7.884
1927-06-30,9.379
1927-07-31,8.84
1927-08-31,8.009
1927-09-30,8.511
1927-10-31,6.472
1927-11-30,10.571
1927-12-31,9.115
1928-01-31,8.637
1928-02-29,7.883
1928-03-31,7.303
1928-04-30,3.978
1928-05-31,8.703
1928-06-30,9.124
1928-07-31,6.618
1928-08-31,6.142
1928-09-30,7.593
1928-10-31,7.773
1928-11-30,9.904
1928-12-31,8.537
1929-01-31,9.593
1929-02-28,9.285
1929-03-31,7
1929-04-30,8.721
1929-05-31,7.263
1929-06-30,7.345
1929-07-31,5.788
1929-08-31,5.811
1929-09-30,7.376
1929-10-31,8.588
1929-11-30,8.446
1929-12-31,9.064
1930-01-31,7.255
1930-02-28,7.399
1930-03-31,6.915
1930-04-30,6.436
1930-05-31,8.704
1930-06-30,7.807
1930-07-31,6.027
1930-08-31,5.898
1930-09-30,7.646
1930-10-31,9.463
1930-11-30,8.547
1930-12-31,8.607
1931-01-31,8.537
1931-02-28,7.091
1931-03-31,7.924
1931-04-30,8.179
1931-05-31,5.109
1931-06-30,6.852
1931-07-31,6.009
1931-08-31,5.785
1931-09-30,7.151
1931-10-31,9.615
1931-11-30,8.699
1931-12-31,8.454
1932-01-31,5.242
1932-02-29,7.605
1932-03-31,8.506
1932-04-30,8.204
1932-05-31,7.027
1932-06-30,7.504
1932-07-31,6.324
1932-08-31,6.048
1932-09-30,7.05
1932-10-31,8.725
1932-11-30,8.166
1932-12-31,8.12
1933-01-31,7.691
1933-02-28,6.632
1933-03-31,7.512
1933-04-30,5.927
1933-05-31,6.651
1933-06-30,7.16
1933-07-31,6.513
1933-08-31,5.212
1933-09-30,6.674
1933-10-31,8.039
1933-11-30,7.816
1933-12-31,8.636
1934-01-31,6.904
1934-02-28,6.592
1934-03-31,6.709
1934-04-30,7.941
1934-05-31,6.635
1934-06-30,6.831
1934-07-31,5.97
1934-08-31,5.296
1934-09-30,6.766
1934-10-31,8.005
1934-11-30,8.97
1934-12-31,6.981
1935-01-31,7.984
1935-02-28,4.519
1935-03-31,7.389
1935-04-30,6.433
1935-05-31,4.906
1935-06-30,8.706
1935-07-31,6.226
1935-08-31,5.825
1935-09-30,7.237
1935-10-31,9.336
1935-11-30,8.511
1935-12-31,8.19
1936-01-31,7.45
1936-02-29,3.498
1936-03-31,4.652
1936-04-30,7.931
1936-05-31,7.59
1936-06-30,7.091
1936-07-31,5.957
1936-08-31,5.172
1936-09-30,6.728
1936-10-31,9.224
1936-11-30,8.188
1936-12-31,8.072
1937-01-31,8.118
1937-02-28,7.705
1937-03-31,4.488
1937-04-30,4.777
1937-05-31,7.866
1937-06-30,7.707
1937-07-31,5.706
1937-08-31,5.436
1937-09-30,6.826
1937-10-31,9.012
1937-11-30,7.983
1937-12-31,4.279
1938-01-31,0.258
1938-02-28,8.431
1938-03-31,0
1938-04-30,0
1938-05-31,11.22
1938-06-30,11.708
1938-07-31,10.562
1938-08-31,9.105
1938-09-30,8.723
1938-10-31,7.659
1938-11-30,8.64
1938-12-31,8.638
1939-01-31,9.136
1939-02-28,9.054
1939-03-31,8.348
1939-04-30,8.054
1939-05-31,5.426
1939-06-30,6.019
1939-07-31,5.184
1939-08-31,4.661
1939-09-30,5.853
1939-10-31,8.296
1939-11-30,9.104
1939-12-31,8.415
1940-01-31,7.816
1940-02-29,3.901
1940-03-31,0
1940-04-30,2.428
1940-05-31,9.908
1940-06-30,10.475
1940-07-31,7.731
1940-08-31,6.49
1940-09-30,7.731
1940-10-31,9.823
1940-11-30,8.776
1940-12-31,7.972
1941-01-31,2.787
1941-02-28,0
1941-03-31,0.945
1941-04-30,6.995
1941-05-31,7.081
1941-06-30,9.194
1941-07-31,10.39
1941-08-31,8.532
1941-09-30,8.153
1941-10-31,7.254
1941-11-30,10.132
1941-12-31,7.519
1942-01-31,3.814
1942-02-28,3.392
1942-03-31,0
1942-04-30,13.216
1942-05-31,9.362
1942-06-30,8.051
1942-07-31,8.651
1942-08-31,7.49
1942-09-30,7.165
1942-10-31,6.502
1942-11-30,9.444
1942-12-31,6.779
1943-01-31,8.468
1943-02-28,3.617
1943-03-31,6.658
1943-04-30,5.189
1943-05-31,9.043
1943-06-30,8.071
1943-07-31,7.164
1943-08-31,6.074
1943-09-30,7.486
1943-10-31,6.307
1943-11-30,9.293
1943-12-31,6.843
1944-01-31,9.26
1944-02-29,8.046
1944-03-31,7.582
1944-04-30,7.906
1944-05-31,6.859
1944-06-30,7.575
1944-07-31,5.608
1944-08-31,4.56
1944-09-30,5.988
1944-10-31,9.512
1944-11-30,8.063
1944-12-31,6.829
1945-01-31,7.014
1945-02-28,8.163
1945-03-31,4.126
1945-04-30,6.509
1945-05-31,7.854
1945-06-30,7.125
1945-07-31,5.58
1945-08-31,5.269
1945-09-30,6.474
1945-10-31,8.834
1945-11-30,8.028
1945-12-31,6.516
1946-01-31,0
1946-02-28,6.952
1946-03-31,10.132
1946-04-30,9.036
1946-05-31,7.299
1946-06-30,7.178
1946-07-31,6.035
1946-08-31,5.858
1946-09-30,6.755
1946-10-31,9.314
1946-11-30,8.176
1946-12-31,8.074
1947-01-31,7.622
1947-02-28,8.094
1947-03-31,6.789
1947-04-30,6.296
1947-05-31,6.555
1947-06-30,5.517
1947-07-31,5.057
1947-08-31,4.922
1947-09-30,6.055
1947-10-31,8.375
1947-11-30,8.829
1947-12-31,8.299
1948-01-31,7.983
1948-02-29,5.911
1948-03-31,8.038
1948-04-30,5.884
1948-05-31,4.352
1948-06-30,4.51
1948-07-31,5.925
1948-08-31,5.951
1948-09-30,6.714
1948-10-31,8.38
1948-11-30,8.354
1948-12-31,8.376
1949-01-31,7.458
1949-02-28,8.044
1949-03-31,7.304
1949-04-30,1.721
1949-05-31,7.912
1949-06-30,7.031
1949-07-31,5.399
1949-08-31,5.508
1949-09-30,6.339
1949-10-31,8.305
1949-11-30,7.894
1949-12-31,8.115
1950-01-31,7.945
1950-02-28,5.496
1950-03-31,4.976
1950-04-30,6.903
1950-05-31,7.428
1950-06-30,6.781
1950-07-31,5.613
1950-08-31,5.571
1950-09-30,6.602
1950-10-31,8.948
1950-11-30,6.666
1950-12-31,4.459
1951-01-31,1.962
1951-02-28,5.84
1951-03-31,3.445
1951-04-30,9.725
1951-05-31,8.396
1951-06-30,8.797
1951-07-31,6.061
1951-08-31,5.242
1951-09-30,6.882
1951-10-31,8.304
1951-11-30,8.487
1951-12-31,6.439
1952-01-31,2.36
1952-02-29,4.527
1952-03-31,2.518
1952-04-30,6.566
1952-05-31,5.736
1952-06-30,8.575
1952-07-31,9.084
1952-08-31,6.98
1952-09-30,7.089
1952-10-31,6.962
1952-11-30,8.636
1952-12-31,7.135
1953-01-31,5.333
1953-02-28,0
1953-03-31,12.119
1953-04-30,10.425
1953-05-31,8.713
1953-06-30,5.603
1953-07-31,6.556
1953-08-31,6.105
1953-09-30,6.733
1953-10-31,5.652
1953-11-30,9.507
1953-12-31,5.856
1954-01-31,8.947
1954-02-28,3.597
1954-03-31,1.956
1954-04-30,5.917
1954-05-31,6.292
1954-06-30,9.298
1954-07-31,7.56
1954-08-31,6.129
1954-09-30,7.17
1954-10-31,7.73
1954-11-30,9.236
1954-12-31,6.934
1955-01-31,7.093
1955-02-28,7.367
1955-03-31,8.739
1955-04-30,8.326
1955-05-31,6.198
1955-06-30,6.535
1955-07-31,5.019
1955-08-31,4.457
1955-09-30,5.823
1955-10-31,8.275
1955-11-30,8.363
1955-12-31,6.99
1956-01-31,0
1956-02-29,0
1956-03-31,5.309
1956-04-30,12.682
1956-05-31,11.601
1956-06-30,7.175
1956-07-31,8.233
1956-08-31,7.635
1956-09-30,7.809
1956-10-31,6.229
1956-11-30,8.253
1956-12-31,6.294
1957-01-31,9.255
1957-02-28,8.224
1957-03-31,7.136
1957-04-30,3.584
1957-05-31,7.746
1957-06-30,5.304
1957-07-31,6.144
1957-08-31,5.045
1957-09-30,6.93
1957-10-31,7.507
1957-11-30,6.595
1957-12-31,6.447
1958-01-31,5.037
1958-02-28,3.259
1958-03-31,0
1958-04-30,0.279
1958-05-31,10.399
1958-06-30,12.285
1958-07-31,10.672
1958-08-31,8.637
1958-09-30,8.233
1958-10-31,8.083
1958-11-30,8.692
1958-12-31,7.525
1959-01-31,9.796
1959-02-28,5.837
1959-03-31,3.54
1959-04-30,10.16
1959-05-31,7.082
1959-06-30,7.121
1959-07-31,5.411
1959-08-31,5.146
1959-09-30,6.455
1959-10-31,9.845
1959-11-30,8.193
1959-12-31,7.74
1960-01-31,7.814
1960-02-29,6.889
1960-03-31,3.875
1960-04-30,5.88
1960-05-31,6.952
1960-06-30,7.505
1960-07-31,4.677
1960-08-31,4.435
1960-09-30,6.236
1960-10-31,8.001
1960-11-30,8.217
1960-12-31,7.604
1961-01-31,5.384
1961-02-28,7.851
1961-03-31,2.972
1961-04-30,6.138
1961-05-31,7.572
1961-06-30,6.809
1961-07-31,5.345
1961-08-31,4.825
1961-09-30,5.743
1961-10-31,8.125
1961-11-30,6.118
1961-12-31,6.967
1962-01-31,6.93
1962-02-28,8.771
1962-03-31,3.246
1962-04-30,6.629
1962-05-31,7.908
1962-06-30,6.846
1962-07-31,5.736
1962-08-31,5.17
1962-09-30,6.627
1962-10-31,9.171
1962-11-30,5.203
1962-12-31,8
1963-01-31,4.705
1963-02-28,7.868
1963-03-31,4.16
1963-04-30,6.699
1963-05-31,0
1963-06-30,10.082
1963-07-31,8
1963-08-31,6.292
1963-09-30,7.579
1963-10-31,5.769
1963-11-30,9.832
1963-12-31,7.3
1964-01-31,8.452
1964-02-29,6.392
1964-03-31,8.44
1964-04-30,7.92
1964-05-31,4.745
1964-06-30,6.233
1964-07-31,5.115
1964-08-31,4.623
1964-09-30,5.872
1964-10-31,8.565
1964-11-30,8.313
1964-12-31,6.247
1965-01-31,0
1965-02-28,0.751
1965-03-31,10.131
1965-04-30,9.647
1965-05-31,5.066
1965-06-30,7.977
1965-07-31,6.516
1965-08-31,5.748
1965-09-30,7.148
1965-10-31,5.949
1965-11-30,8.729
1965-12-31,5.505
1966-01-31,8.224
1966-02-28,5.678
1966-03-31,6.328
1966-04-30,4.502
1966-05-31,6.553
1966-06-30,7.433
1966-07-31,5.308
1966-08-31,5.09
1966-09-30,6.512
1966-10-31,8.487
1966-11-30,8.204
1966-12-31,7.181
1967-01-31,3.162
1967-02-28,3.377
1967-03-31,6.357
1967-04-30,4.403
1967-05-31,5.606
1967-06-30,5.642
1967-07-31,7.902
1967-08-31,7.106
1967-09-30,6.845
1967-10-31,6.956
1967-11-30,8.034
1967-12-31,7.857
1968-01-31,8.104
1968-02-29,5.508
1968-03-31,1.952
1968-04-30,8.436
1968-05-31,7.603
1968-06-30,7.251
1968-07-31,5.494
1968-08-31,4.678
1968-09-30,6.556
1968-10-31,8.35
1968-11-30,8.542
1968-12-31,7.488
1969-01-31,4.431
1969-02-28,0
1969-03-31,0.26
1969-04-30,9.58
1969-05-31,7.324
1969-06-30,7.758
1969-07-31,8.46
1969-08-31,7.353
1969-09-30,7.515
1969-10-31,6.417
1969-11-30,9.152
1969-12-31,8.259
1970-01-31,1.693
1970-02-28,0
1970-03-31,9.555
1970-04-30,11.879
1970-05-31,11.156
1970-06-30,9.465
1970-07-31,7.336
1970-08-31,5.948
1970-09-30,7.556
1970-10-31,6.12
1970-11-30,8.715
1970-12-31,5.869
1971-01-31,4.568
1971-02-28,3.333
1971-03-31,9.729
1971-04-30,3.16
1971-05-31,8.928
1971-06-30,6.925
1971-07-31,7.027
1971-08-31,6.248
1971-09-30,7.103
1971-10-31,6.27
1971-11-30,6.96
1971-12-31,6.467
1972-01-31,8.349
1972-02-29,7.452
1972-03-31,7.387
1972-04-30,4.138
1972-05-31,6.893
1972-06-30,7.173
1972-07-31,5.112
1972-08-31,4.713
1972-09-30,6.686
1972-10-31,8.386
1972-11-30,8.257
1972-12-31,5.207
1973-01-31,5.216
1973-02-28,1.184
1973-03-31,1.73
1973-04-30,7.602
1973-05-31,10.17
1973-06-30,8.479
1973-07-31,6.249
1973-08-31,5.328
1973-09-30,7.172
1973-10-31,8.543
1973-11-30,8.184
1973-12-31,0
1974-01-31,2.399
1974-02-28,0
1974-03-31,12.578
1974-04-30,0
1974-05-31,11.049
1974-06-30,11.959
1974-07-31,9.332
1974-08-31,8.353
1974-09-30,7.134
1974-10-31,7.241
1974-11-30,7.947
1974-12-31,6.517
1975-01-31,8.848
1975-02-28,8.343
1975-03-31,4.467
1975-04-30,0
1975-05-31,9.63
1975-06-30,7.283
1975-07-31,7.224
1975-08-31,6.935
1975-09-30,6.573
1975-10-31,6.393
1975-11-30,6.89
1975-12-31,6.8
1976-01-31,8.938
1976-02-29,8.66
1976-03-31,7.009
1976-04-30,7.368
1976-05-31,6.493
1976-06-30,6.553
1976-07-31,4.284
1976-08-31,4.076
1976-09-30,6.741
1976-10-31,8.657
1976-11-30,6.652
1976-12-31,7.814
1977-01-31,7.414
1977-02-28,5.54
1977-03-31,7.712
1977-04-30,6.857
1977-05-31,4.146
1977-06-30,6.394
1977-07-31,3.552
1977-08-31,4.517
1977-09-30,6.424
1977-10-31,8.332
1977-11-30,7.392
1977-12-31,7.581
1978-01-31,5.394
1978-02-28,1.992
1978-03-31,4.098
1978-04-30,1.89
1978-05-31,6.949
1978-06-30,7.562
1978-07-31,7.029
1978-08-31,6.645
1978-09-30,7.22
1978-10-31,9.138
1978-11-30,7.698
1978-12-31,7.122
1979-01-31,8.056
1979-02-28,5.824
1979-03-31,4.85
1979-04-30,6.713
1979-05-31,7.759
1979-06-30,6.427
1979-07-31,4.475
1979-08-31,4.797
1979-09-30,6.828
1979-10-31,7.943
1979-11-30,7.278
1979-12-31,5.712
1980-01-31,4.962
1980-02-29,0.431
1980-03-31,0
1980-04-30,9.379
1980-05-31,10.594
1980-06-30,8.541
1980-07-31,6.331
1980-08-31,6.301
1980-09-30,6.984
1980-10-31,9.142
1980-11-30,8.036
1980-12-31,6.266
1981-01-31,6.939
1981-02-28,5.067
1981-03-31,6.087
1981-04-30,5.53
1981-05-31,8.269
1981-06-30,5.368
1981-07-31,3.837
1981-08-31,4.585
1981-09-30,6.68
1981-10-31,8.439
1981-11-30,8.132
1981-12-31,3.394
1982-01-31,0
1982-02-28,6.711
1982-03-31,1.448
1982-04-30,6.309
1982-05-31,2.598
1982-06-30,12.807
1982-07-31,8.944
1982-08-31,7.747
1982-09-30,7.949
1982-10-31,6.521
1982-11-30,6.684
1982-12-31,6.09
1983-01-31,3.72
1983-02-28,1.56
1983-03-31,0
1983-04-30,0
1983-05-31,12.082
1983-06-30,11.635
1983-07-31,10.107
1983-08-31,8.968
1983-09-30,9.284
1983-10-31,8.429
1983-11-30,8.674
1983-12-31,5.084
1984-01-31,0
