date,kaf
1921-10-31,402.21
1921-11-30,341.792
1921-12-31,442.023
1922-01-31,301.082
1922-02-28,596.852
1922-03-31,410.938
1922-04-30,323.865
1922-05-31,545.022
1922-06-30,473.565
1922-07-31,584.519
1922-08-31,544.632
1922-09-30,408.027
1922-10-31,370.835
1922-11-30,329.584
1922-12-31,570.249
1923-01-31,481.861
1923-02-28,291.022
1923-03-31,272.462
1923-04-30,342.044
1923-05-31,385.314
1923-06-30,387.512
1923-07-31,638.247
1923-08-31,396.924
1923-09-30,309.486
1923-10-31,331.193
1923-11-30,336.744
1923-12-31,310.991
1924-01-31,268.612
1924-02-29,298.661
1924-03-31,523.566
1924-04-30,369.621
1924-05-31,737.544
1924-06-30,681.857
1924-07-31,520.622
1924-08-31,304.739
1924-09-30,315.239
1924-10-31,297.757
1924-11-30,301.816
1924-12-31,341.283
1925-01-31,312.57
1925-02-28,1297.795
1925-03-31,375.479
1925-04-30,460.075
1925-05-31,551.227
1925-06-30,387.417
1925-07-31,832.859
1925-08-31,621.167
1925-09-30,430.435
1925-10-31,370.314
1925-11-30,313.428
1925-12-31,322.616
1926-01-31,413.437
1926-02-28,855.859
1926-03-31,352.822
1926-04-30,403.207
1926-05-31,1094.303
1926-06-30,1026.873
1926-07-31,1008.431
1926-08-31,714.444
1926-09-30,350.686
1926-10-31,287.129
1926-11-30,450.378
1926-12-31,737.707
1927-01-31,769.652
1927-02-28,1480.467
1927-03-31,1029.18
1927-04-30,1187.339
1927-05-31,711.009
1927-06-30,707.759
1927-07-31,1020.44
1927-08-31,1021.639
1927-09-30,803.634
1927-10-31,424.265
1927-11-30,460.244
1927-12-31,482.482
1928-01-31,513.327
1928-02-29,545.817
1928-03-31,700.312
1928-04-30,473.121
1928-05-31,399.211
1928-06-30,290.874
1928-07-31,1047.701
1928-08-31,670.937
1928-09-30,292.523
1928-10-31,340.674
1928-11-30,330.288
1928-12-31,330.8
1929-01-31,297.816
1929-02-28,453.121
1929-03-31,293.154
1929-04-30,301.766
1929-05-31,505.404
1929-06-30,559.678
1929-07-31,309.763
1929-08-31,292.5
1929-09-30,232.065
1929-10-31,253.831
1929-11-30,232.62
1929-12-31,470.3
1930-01-31,465.445
1930-02-28,472.674
1930-03-31,587.769
1930-04-30,257.225
1930-05-31,361.68
1930-06-30,314.399
1930-07-31,964.406
1930-08-31,304.743
1930-09-30,236.525
1930-10-31,233.355
1930-11-30,239.287
1930-12-31,253.805
1931-01-31,413.147
1931-02-28,297.52
1931-03-31,268.219
1931-04-30,205.122
1931-05-31,247.552
1931-06-30,302.751
1931-07-31,320.155
1931-08-31,296.737
1931-09-30,232.065
1931-10-31,247.209
1931-11-30,239.438
1931-12-31,619.758
1932-01-31,397.036
1932-02-29,277.326
1932-03-31,295.952
1932-04-30,216.158
1932-05-31,236.816
1932-06-30,377.473
1932-07-31,753.617
1932-08-31,283.475
1932-09-30,232.065
1932-10-31,245.347
1932-11-30,221.561
1932-12-31,275.302
1933-01-31,392.375
1933-02-28,283.066
1933-03-31,462.206
1933-04-30,305.355
1933-05-31,683.238
1933-06-30,488.033
1933-07-31,721.191
1933-08-31,286.598
1933-09-30,232.065
1933-10-31,246.538
1933-11-30,223.155
1933-12-31,411.532
1934-01-31,458.948
1934-02-28,414.844
1934-03-31,329.748
1934-04-30,474.032
1934-05-31,897.231
1934-06-30,895.351
1934-07-31,544.481
1934-08-31,334.259
1934-09-30,302.752
1934-10-31,297.227
1934-11-30,406.277
1934-12-31,312.012
1935-01-31,719.761
1935-02-28,392.145
1935-03-31,524.183
1935-04-30,725.203
1935-05-31,480.592
1935-06-30,747.597
1935-07-31,1005.209
1935-08-31,558.773
1935-09-30,333.128
1935-10-31,288.012
1935-11-30,252.776
1935-12-31,318.383
1936-01-31,854.632
1936-02-29,774.027
1936-03-31,436.997
1936-04-30,367.622
1936-05-31,376.735
1936-06-30,437.884
1936-07-31,983.81
1936-08-31,627.268
1936-09-30,398.741
1936-10-31,363.484
1936-11-30,315.987
1936-12-31,288.103
1937-01-31,301.567
1937-02-28,596.17
1937-03-31,749.064
1937-04-30,348.534
1937-05-31,399.509
1937-06-30,1012.616
1937-07-31,1012.989
1937-08-31,1008.41
1937-09-30,651.676
1937-10-31,319.383
1937-11-30,721.342
1937-12-31,1423.85
1938-01-31,1404.916
1938-02-28,2122.882
1938-03-31,2247.086
1938-04-30,1452.278
1938-05-31,1148.847
1938-06-30,481.777
1938-07-31,649.153
1938-08-31,589.637
1938-09-30,858.415
1938-10-31,473.805
1938-11-30,360.489
1938-12-31,378.479
1939-01-31,315.216
1939-02-28,278.62
