date,kaf
1921-10-31,136626.82563
1921-11-30,136693.53647000002
1921-12-31,136743.63671000002
1922-01-31,136773.52636000002
1922-02-28,136810.60138
1922-03-31,136826.19959
1922-04-30,136834.28758
1922-05-31,136831.20614
1922-06-30,136807.52112
1922-07-31,136769.82116
1922-08-31,136749.70025999998
1922-09-30,136748.99443
1922-10-31,136748.58406
1922-11-30,136752.4179
1922-12-31,136762.15514
1923-01-31,136769.17078999997
1923-02-28,136769.58380999998
1923-03-31,136765.53601999997
1923-04-30,136763.63000999996
1923-05-31,136744.61356999996
1923-06-30,136714.35954999996
1923-07-31,136655.06270000298
1923-08-31,136605.045800003
1923-09-30,136584.738870003
1923-10-31,136580.280700003
1923-11-30,136573.493690003
1923-12-31,136569.426930003
1924-01-31,136566.235030003
1924-02-29,136566.92505000302
1924-03-31,136554.60691000303
1924-04-30,136540.07790000303
1924-05-31,136521.21546000303
1924-06-30,136478.90313308538
1924-07-31,136410.2971730854
1924-08-31,136360.2002730854
1924-09-30,136338.4933430854
1924-10-31,136339.5799730854
1924-11-30,136337.8818130854
1924-12-31,136343.67405308541
1925-01-31,136345.32670308542
1925-02-28,136380.58472308543
1925-03-31,136383.18293308542
1925-04-30,136385.31322308542
1925-05-31,136375.17078308543
1925-06-30,136345.09876308544
1925-07-31,136303.09180308544
1925-08-31,136280.33490308543
1925-09-30,136277.98107308542
1925-10-31,136275.30170308542
1925-11-30,136271.47454308544
1925-12-31,136270.89978308545
1926-01-31,136276.19343308546
1926-02-28,136295.98445308546
1926-03-31,136295.57266308545
1926-04-30,136299.00095308546
1926-05-31,136281.13551308546
1926-06-30,136251.25649308547
1926-07-31,136211.20853308548
1926-08-31,136189.21563308546
1926-09-30,136173.46472226613
1926-10-31,136172.20935226613
1926-11-30,136184.53719226614
1926-12-31,136192.63843226613
1927-01-31,136207.34408226612
1927-02-28,136263.64910226612
1927-03-31,136275.2533122661
1927-04-30,136279.9293022661
1927-05-31,136270.8588622661
1927-06-30,136245.4938422661
1927-07-31,136207.24088226608
1927-08-31,136187.1589822661
1927-09-30,136188.06115226608
1927-10-31,136188.30178226606
1927-11-30,136197.96562226606
1927-12-31,136205.85986226605
1928-01-31,136214.05751226604
1928-02-29,136225.12153226603
1928-03-31,136237.85474226603
1928-04-30,136238.39203226604
1928-05-31,136197.58559226606
1928-06-30,136114.86867226605
1928-07-31,136020.88081226606
1928-08-31,135946.27351226605
1928-09-30,135900.79018226606
1928-10-31,135900.82301226608
1928-11-30,135905.83300226607
1928-12-31,135911.01624226608
1929-01-31,135911.34534226608
1929-02-28,135917.4293622661
1929-03-31,135912.9432222661
1929-04-30,135906.9802122661
1929-05-31,135892.81177226608
1929-06-30,135867.13575226607
1929-07-31,135806.12958427722
1929-08-31,135760.8786842772
1929-09-30,135743.96051427722
1929-10-31,135743.98634427722
1929-11-30,135741.52618427723
1929-12-31,135756.57842427722
1930-01-31,135764.41907427722
1930-02-28,135774.57709427722
1930-03-31,135781.4073042772
1930-04-30,135775.0951942772
1930-05-31,135736.5177542772
1930-06-30,135654.99533427722
1930-07-31,135591.37937427722
1930-08-31,135545.97947427724
1930-09-30,135530.79930427723
1930-10-31,135530.89813427723
1930-11-30,135529.91512427724
1930-12-31,135528.69836427722
1931-01-31,135538.09846427722
1931-02-28,135538.67148427723
1931-03-31,135536.67734427724
1931-04-30,135492.92833427724
1931-05-31,135424.24799427725
1931-06-30,135343.09607427724
1931-07-31,135249.15721427725
1931-08-31,135173.14241427724
1931-09-30,135128.88498427725
1931-10-31,135113.62281427725
1931-11-30,135112.39565427724
1931-12-31,135126.58089427723
1932-01-31,135133.2025442772
1932-02-29,135137.3565642772
1932-03-31,135141.0634242772
1932-04-30,135135.5234142772
1932-05-31,135124.26397427722
1932-06-30,135096.47995427722
1932-07-31,135052.77832471437
1932-08-31,135006.57042471436
1932-09-30,134990.08025471435
1932-10-31,134989.07108471435
1932-11-30,134987.47607471436
1932-12-31,134989.54631471436
1933-01-31,134996.61696471437
1933-02-28,134994.82898471438
1933-03-31,134999.98484471437
1933-04-30,134993.29883471437
1933-05-31,134981.03139471437
1933-06-30,134954.45137471438
1933-07-31,134915.8624147144
1933-08-31,134891.0112880726
1933-09-30,134873.5903580726
1933-10-31,134873.5041880726
1933-11-30,134871.6730280726
1933-12-31,134885.6022680726
1934-01-31,134893.0709180726
1934-02-28,134901.2529380726
1934-03-31,134903.7207980726
1934-04-30,134897.1407880726
1934-05-31,134883.5153480726
1934-06-30,134858.2063280726
1934-07-31,134805.64310156586
1934-08-31,134761.19620156585
1934-09-30,134745.76503156585
1934-10-31,134746.91386156584
1934-11-30,134757.59970156584
1934-12-31,134761.48494156584
1935-01-31,134776.44059156583
1935-02-28,134791.99861156582
1935-03-31,134804.97582156584
1935-04-30,134820.26811156585
1935-05-31,134813.95967156586
1935-06-30,134788.58265156584
1935-07-31,134752.11369156584
1935-08-31,134734.85379156584
1935-09-30,134737.18196156583
1935-10-31,134739.82159156582
1935-11-30,134740.95143156583
1935-12-31,134747.79267156584
1936-01-31,134764.11532156583
1936-02-29,134788.36134156582
1936-03-31,134795.05055156583
1936-04-30,134800.89754156582
1936-05-31,134790.2751015658
1936-06-30,134768.5170815658
1936-07-31,134732.9381215658
1936-08-31,134712.95482279424
1936-09-30,134698.51289279424
1936-10-31,134701.57752279425
1936-11-30,134702.48536279425
1936-12-31,134706.85760279425
1937-01-31,134711.53225279425
1937-02-28,134724.81127279424
1937-03-31,134741.33848279424
1937-04-30,134748.63477279423
1937-05-31,134741.73933279424
1937-06-30,134719.64331279424
1937-07-31,134684.19535279425
1937-08-31,134667.22445279427
1937-09-30,134670.82092279426
1937-10-31,134676.86755279425
1937-11-30,134694.01739279425
1937-12-31,134716.96863279425
1938-01-31,134740.03728279425
1938-02-28,134802.05830279423
1938-03-31,134858.77251279424
1938-04-30,134879.47280279425
1938-05-31,134884.82836279424
1938-06-30,134871.45034279424
1938-07-31,134840.88338279424
1938-08-31,134827.53348279424
1938-09-30,134834.75565279424
1938-10-31,134841.33348279423
1938-11-30,134845.66547279424
1938-12-31,134854.13671279425
1939-01-31,134860.76636279424
1939-02-28,134865.14538279423
1939-03-31,134870.39559279423
1939-04-30,134864.11058279424
1939-05-31,134855.71814279424
1939-06-30,134832.97712279425
1939-07-31,134784.51378752303
1939-08-31,134742.30588752302
1939-09-30,134728.98895752302
1939-10-31,134732.799587523
1939-11-30,134735.55942752303
1939-12-31,134745.60866752302
1940-01-31,134768.79031752303
1940-02-29,134817.03233752304
1940-03-31,134841.71054752305
1940-04-30,134852.41283752304
1940-05-31,134847.62039752305
1940-06-30,134828.12737752305
1940-07-31,134796.67041752304
1940-08-31,134783.99051752305
1940-09-30,134786.43521491895
1940-10-31,134794.33284491894
1940-11-30,134800.30568491895
1940-12-31,134831.82392491895
1941-01-31,134897.87057491895
1941-02-28,134988.19559491894
1941-03-31,135040.12280491894
1941-04-30,135073.25409491893
1941-05-31,135080.19965491892
1941-06-30,135068.4746349189
1941-07-31,135042.4116749189
1941-08-31,135033.9827749189
1941-09-30,135045.1602449189
1941-10-31,135056.4318749189
1941-11-30,135066.6027149189
1941-12-31,135096.4589549189
1942-01-31,135135.0276049189
1942-02-28,135191.1796249189
1942-03-31,135208.8508349189
1942-04-30,135231.02912491892
1942-05-31,135235.7706849189
1942-06-30,135222.6966649189
1942-07-31,135194.2337049189
1942-08-31,135184.2128049189
1942-09-30,135194.8142749189
1942-10-31,135205.8759049189
1942-11-30,135217.3297449189
1942-12-31,135235.30998491892
1943-01-31,135266.9016349189
1943-02-28,135282.5436549189
1943-03-31,135296.8308649189
1943-04-30,135303.3658549189
1943-05-31,135298.4524149189
1943-06-30,135279.22439491889
1943-07-31,135247.31943491887
1943-08-31,135228.2644053732
1943-09-30,135218.2264753732
1943-10-31,135226.6713053732
1943-11-30,135231.8572953732
1943-12-31,135237.1915353732
1944-01-31,135246.14418537318
1944-02-29,135259.38420537318
1944-03-31,135264.3454153732
1944-04-30,135263.61340537318
1944-05-31,135258.55296537318
1944-06-30,135238.76394537318
1944-07-31,135207.19498537318
1944-08-31,135193.73108537318
