date,kaf
1921-10-31,5.335
1921-11-30,4.582
1921-12-31,4.499
1922-01-31,4.464
1922-02-28,4.455
1922-03-31,4.517
1922-04-30,5.22
1922-05-31,5.832
1922-06-30,6.166
1922-07-31,6.444
1922-08-31,6.34
1922-09-30,5.972
1922-10-31,5.335
1922-11-30,4.582
1922-12-31,4.499
1923-01-31,4.464
1923-02-28,4.455
1923-03-31,4.517
1923-04-30,5.22
1923-05-31,5.832
1923-06-30,6.166
1923-07-31,6.444
1923-08-31,6.34
1923-09-30,5.972
1923-10-31,5.335
1923-11-30,4.582
1923-12-31,4.497
1924-01-31,4.464
1924-02-29,4.455
1924-03-31,4.517
1924-04-30,5.22
1924-05-31,5.832
1924-06-30,6.166
1924-07-31,6.444
1924-08-31,6.34
1924-09-30,5.972
1924-10-31,5.335
1924-11-30,4.582
1924-12-31,4.499
1925-01-31,4.464
1925-02-28,4.455
1925-03-31,4.517
1925-04-30,5.22
1925-05-31,5.832
1925-06-30,6.166
1925-07-31,6.444
1925-08-31,6.34
1925-09-30,5.972
1925-10-31,5.335
1925-11-30,4.582
1925-12-31,4.499
1926-01-31,4.464
1926-02-28,4.455
1926-03-31,4.517
1926-04-30,5.22
1926-05-31,5.832
1926-06-30,6.166
1926-07-31,6.444
1926-08-31,6.34
1926-09-30,5.972
1926-10-31,5.335
1926-11-30,4.582
1926-12-31,4.499
1927-01-31,4.464
1927-02-28,4.455
1927-03-31,4.517
1927-04-30,5.22
1927-05-31,5.832
1927-06-30,6.166
1927-07-31,6.444
1927-08-31,6.34
1927-09-30,5.972
1927-10-31,5.335
1927-11-30,4.582
1927-12-31,4.499
1928-01-31,4.464
1928-02-29,4.455
1928-03-31,4.517
1928-04-30,5.22
1928-05-31,5.832
1928-06-30,6.107
1928-07-31,6.379
1928-08-31,6.278
1928-09-30,5.936
1928-10-31,5.335
1928-11-30,4.576
1928-12-31,4.499
1929-01-31,4.464
1929-02-28,4.455
1929-03-31,4.517
1929-04-30,5.22
1929-05-31,5.832
1929-06-30,6.166
1929-07-31,6.444
1929-08-31,6.34
1929-09-30,5.972
1929-10-31,5.335
1929-11-30,4.582
1929-12-31,4.499
1930-01-31,4.464
1930-02-28,4.455
1930-03-31,4.517
1930-04-30,5.22
1930-05-31,5.832
1930-06-30,6.107
1930-07-31,6.379
1930-08-31,6.278
1930-09-30,5.936
1930-10-31,5.335
1930-11-30,4.576
1930-12-31,4.499
1931-01-31,4.464
1931-02-28,4.455
1931-03-31,4.517
1931-04-30,5.188
1931-05-31,5.779
1931-06-30,6.107
1931-07-31,6.379
1931-08-31,6.278
1931-09-30,5.936
1931-10-31,5.335
1931-11-30,4.582
1931-12-31,4.499
1932-01-31,4.464
1932-02-29,4.455
1932-03-31,4.517
1932-04-30,5.22
1932-05-31,5.832
1932-06-30,6.166
1932-07-31,6.444
1932-08-31,6.34
1932-09-30,5.972
1932-10-31,5.335
1932-11-30,4.582
1932-12-31,4.499
1933-01-31,4.464
1933-02-28,4.455
1933-03-31,4.517
1933-04-30,5.22
1933-05-31,5.832
1933-06-30,6.166
1933-07-31,6.444
1933-08-31,6.34
1933-09-30,5.972
1933-10-31,5.335
1933-11-30,4.582
1933-12-31,4.499
1934-01-31,4.464
1934-02-28,4.455
1934-03-31,4.517
1934-04-30,5.22
1934-05-31,5.832
1934-06-30,6.166
1934-07-31,6.444
1934-08-31,6.34
1934-09-30,5.972
1934-10-31,5.335
1934-11-30,4.582
1934-12-31,4.499
1935-01-31,4.464
1935-02-28,4.455
1935-03-31,4.517
1935-04-30,5.22
1935-05-31,5.832
1935-06-30,6.166
1935-07-31,6.444
1935-08-31,6.34
1935-09-30,5.972
1935-10-31,5.335
1935-11-30,4.582
1935-12-31,4.499
1936-01-31,4.464
1936-02-29,4.455
1936-03-31,4.517
1936-04-30,5.22
1936-05-31,5.832
1936-06-30,6.166
1936-07-31,6.444
1936-08-31,6.34
1936-09-30,5.972
1936-10-31,5.335
1936-11-30,4.582
1936-12-31,4.499
1937-01-31,4.464
1937-02-28,4.455
1937-03-31,4.517
1937-04-30,5.22
1937-05-31,5.832
1937-06-30,6.166
1937-07-31,6.444
1937-08-31,6.34
1937-09-30,5.972
1937-10-31,5.335
1937-11-30,4.582
1937-12-31,4.499
1938-01-31,4.464
1938-02-28,4.455
1938-03-31,4.517
1938-04-30,5.22
1938-05-31,5.832
1938-06-30,6.166
1938-07-31,6.444
1938-08-31,6.34
1938-09-30,5.972
1938-10-31,5.335
1938-11-30,4.582
1938-12-31,4.499
1939-01-31,4.464
1939-02-28,4.455
