date,kaf
1921-10-31,224.574387
1921-11-30,119.057907
1921-12-31,80.378731
1922-01-31,35.023743
1922-02-28,11.107364
1922-03-31,25.499619
1922-04-30,83.991386
1922-05-31,56.566547
1922-06-30,12.874719
1922-07-31,5.226417
1922-08-31,5.226417
1922-09-30,8.92557
1922-10-31,12.297451
1922-11-30,11.900761
1922-12-31,67.396248
1923-01-31,233.656464
1923-02-28,91.983711
1923-03-31,13.131642
1923-04-30,49.919964
1923-05-31,17.13588
1923-06-30,12.874719
1923-07-31,7.023262
1923-08-31,6.575375
1923-09-30,9.243279
1923-10-31,12.297451
1923-11-30,11.900753
1923-12-31,168.782684
1924-01-31,212.131042
1924-02-29,83.036804
1924-03-31,9.223074
1924-04-30,8.925567
1924-05-31,9.697906
1924-06-30,7.208849
1924-07-31,204.598785
1924-08-31,6.575375
1924-09-30,2.102811
1924-10-31,1.844618
1924-11-30,13.260513
1924-12-31,30.448563
1925-01-31,26.310911
1925-02-28,107.155655
1925-03-31,45.353424
1925-04-30,72.068359
1925-05-31,60.042721
1925-06-30,9.899529
1925-07-31,229.309143
1925-08-31,204.181335
1925-09-30,197.372559
1925-10-31,9.223088
1925-11-30,8.925566
1925-12-31,17.698671
1926-01-31,12.063909
1926-02-28,63.861851
1926-03-31,31.421675
1926-04-30,43.496857
1926-05-31,14.656543
1926-06-30,17.943674
1926-07-31,209.932571
1926-08-31,209.484634
1926-09-30,189.057648
1926-10-31,90.440025
1926-11-30,21.520584
1926-12-31,57.08342
1927-01-31,44.933258
1927-02-28,112.438271
1927-03-31,85.241592
1927-04-30,70.738197
1927-05-31,40.112568
1927-06-30,31.270441
1927-07-31,209.932587
1927-08-31,204.246674
1927-09-30,171.289459
1927-10-31,12.297451
1927-11-30,26.578506
1927-12-31,18.632126
1928-01-31,41.833847
1928-02-29,63.320461
1928-03-31,93.461151
1928-04-30,57.266335
1928-05-31,17.300997
1928-06-30,12.874719
1928-07-31,209.932587
1928-08-31,15.374689
1928-09-30,9.243279
1928-10-31,12.297451
1928-11-30,11.900753
1928-12-31,82.961151
1929-01-31,40.642681
1929-02-28,11.107376
1929-03-31,12.297451
1929-04-30,11.900761
1929-05-31,14.65654
1929-06-30,9.899529
1929-07-31,7.023292
1929-08-31,6.575375
1929-09-30,9.243279
1929-10-31,9.223088
1929-11-30,8.92557
1929-12-31,34.483974
1930-01-31,22.158388
1930-02-28,18.252441
1930-03-31,42.704617
1930-04-30,27.174042
1930-05-31,14.57843
1930-06-30,9.701602
1930-07-31,6.804542
1930-08-31,6.35661
1930-09-30,8.92557
1930-10-31,9.223074
1930-11-30,8.92557
1930-12-31,141.278122
1931-01-31,209.056671
1931-02-28,11.703833
1931-03-31,23.191311
1931-04-30,7.614578
1931-05-31,9.619781
1931-06-30,3.949135
1931-07-31,23.77951
1931-08-31,6.356625
1931-09-30,9.243279
1931-10-31,1.844618
1931-11-30,4.165266
1931-12-31,4.432598
1932-01-31,20.959223
1932-02-29,1.666106
1932-03-31,37.572453
1932-04-30,22.805586
1932-05-31,22.855541
1932-06-30,3.949147
1932-07-31,7.023292
1932-08-31,6.575375
1932-09-30,2.102822
1932-10-31,1.84461
1932-11-30,4.16526
1932-12-31,135.532074
1933-01-31,57.030193
1933-02-28,1.666106
1933-03-31,3.139103
1933-04-30,38.372917
1933-05-31,28.507769
1933-06-30,4.224405
1933-07-31,123.790054
1933-08-31,6.575354
1933-09-30,9.243275
1933-10-31,1.84461
1933-11-30,4.165266
1933-12-31,4.304108
1934-01-31,101.479797
1934-02-28,2.776844
1934-03-31,41.861607
1934-04-30,11.508604
1934-05-31,9.697893
1934-06-30,21.459747
1934-07-31,209.932587
1934-08-31,191.38385
1934-09-30,9.243279
1934-10-31,9.223088
1934-11-30,4.628732
1934-12-31,9.223088
1935-01-31,19.716661
1935-02-28,6.439005
1935-03-31,25.791258
1935-04-30,78.102348
1935-05-31,29.700233
1935-06-30,24.741148
1935-07-31,209.932587
1935-08-31,204.326538
1935-09-30,65.168434
1935-10-31,9.223088
1935-11-30,8.92557
1935-12-31,9.223088
1936-01-31,77.515617
1936-02-29,60.611561
1936-03-31,42.282398
1936-04-30,31.3351
1936-05-31,14.65654
1936-06-30,18.451292
1936-07-31,213.64061
1936-08-31,204.204926
1936-09-30,133.482681
1936-10-31,9.223088
1936-11-30,8.925561
1936-12-31,9.223088
1937-01-31,9.223088
1937-02-28,8.330532
1937-03-31,3.074363
1937-04-30,59.507278
1937-05-31,40.378929
1937-06-30,28.755316
1937-07-31,209.932571
1937-08-31,209.48465
1937-09-30,137.771317
1937-10-31,12.297451
1937-11-30,207.278534
1937-12-31,246.017456
1938-01-31,177.067642
