date,kaf
1921-09-30,2496
1921-10-31,2555.750488
1921-11-30,2614.085938
1921-12-31,2787.327148
1922-01-31,2914.642822
1922-02-28,3254.07666
1922-03-31,3702.11377
1922-04-30,4349.770996
1922-05-31,4536.854004
1922-06-30,4528.092285
1922-07-31,4106.836914
1922-08-31,3646.523926
1922-09-30,3344.015137
1922-10-31,3235.448486
1922-11-30,3251.299072
1922-12-31,3367.219727
1923-01-31,3754.355957
1923-02-28,3962.282471
1923-03-31,4087.762451
1923-04-30,4542.813965
1923-05-31,4498.624023
1923-06-30,4332.942383
1923-07-31,3846.690186
1923-08-31,3582.554932
1923-09-30,3440.683594
1923-10-31,3345.140137
1923-11-30,3249.574463
1923-12-31,3367.539795
1924-01-31,3611.682373
1924-02-29,3883.663574
1924-03-31,3918.750732
1924-04-30,3889.196045
1924-05-31,3683.185059
1924-06-30,2903.490967
1924-07-31,2497.474609
1924-08-31,2160.856201
1924-09-30,1911.317017
1924-10-31,1820.769775
1924-11-30,1968.497314
1924-12-31,2083.176025
1925-01-31,2233.453125
1925-02-28,3430.678467
1925-03-31,3819.51001
1925-04-30,4543.45752
1925-05-31,4538.880859
1925-06-30,4533.324707
1925-07-31,3884.378906
1925-08-31,3502.063965
1925-09-30,3437.013428
1925-10-31,3289.095459
1925-11-30,3250.778564
1925-12-31,3285.272949
1926-01-31,3318.088379
1926-02-28,4036.181885
1926-03-31,4197.431152
1926-04-30,4540.907227
1926-05-31,4024.437744
1926-06-30,3148.728516
1926-07-31,2454.532959
1926-08-31,1756.60376
1926-09-30,1700
1926-10-31,1700
1926-11-30,2128.908936
1926-12-31,2563.993164
1927-01-31,2998.819092
1927-02-28,4039.996338
1927-03-31,4326.086914
1927-04-30,4544.299805
1927-05-31,4538.90332
1927-06-30,4313.68457
1927-07-31,3678.644287
1927-08-31,3008.439209
1927-09-30,2328.500488
1927-10-31,2121.304443
1927-11-30,2311.243408
1927-12-31,2375.80835
1928-01-31,2586.505127
1928-02-29,3084.79541
1928-03-31,3923.033447
1928-04-30,4544.049316
1928-05-31,4536.148438
1928-06-30,4442.265625
1928-07-31,3784.496582
1928-08-31,3428.192871
1928-09-30,3329.928223
1928-10-31,3215.839355
1928-11-30,3250.908691
1928-12-31,3367.742188
1929-01-31,3460.425537
1929-02-28,3640.723389
1929-03-31,3811.299316
1929-04-30,4011.59668
1929-05-31,3994.859375
1929-06-30,3538.376221
1929-07-31,3185.290283
1929-08-31,3006.241943
1929-09-30,2864.230469
1929-10-31,2760.971924
1929-11-30,2740.34668
1929-12-31,3259.409668
1930-01-31,3450.039551
1930-02-28,3823.268311
1930-03-31,4325.112305
1930-04-30,4543.571289
1930-05-31,4541.476562
1930-06-30,4533.825684
1930-07-31,3707.016113
1930-08-31,3383.281006
1930-09-30,3305.059326
1930-10-31,3259.941406
1930-11-30,3250.176514
1930-12-31,3367.455566
1931-01-31,3635
1931-02-28,3715.640137
1931-03-31,3886.899658
1931-04-30,3919.509033
1931-05-31,3855.918213
1931-06-30,3679.975098
1931-07-31,3469.11084
1931-08-31,3270.312012
1931-09-30,3178.130371
1931-10-31,3113.685059
1931-11-30,3092.444336
1931-12-31,3276.670166
1932-01-31,3434.428711
1932-02-29,3563.352783
1932-03-31,4044.89209
1932-04-30,4287.116699
1932-05-31,4538.652832
1932-06-30,4512.388672
1932-07-31,4002.162598
1932-08-31,3596.410645
1932-09-30,3439.943359
1932-10-31,3301.695312
