date,kaf
1921-10-31,142.2
1921-11-30,156.1
1921-12-31,206.1
1922-01-31,221.3
1922-02-28,418.1
1922-03-31,392.1
1922-04-30,736.8
1922-05-31,1268.5
1922-06-30,566.3
1922-07-31,228.9
1922-08-31,176.7
1922-09-30,150
1922-10-31,157.5
1922-11-30,151
1922-12-31,308.3
1923-01-31,340.1
1923-02-28,193.7
1923-03-31,299.5
1923-04-30,515.3
1923-05-31,360.6
1923-06-30,207.5
1923-07-31,120.3
1923-08-31,104.2
1923-09-30,85
1923-10-31,62.2
1923-11-30,42.8
1923-12-31,46.9
1924-01-31,146.7
1924-02-29,269.6
1924-03-31,145.2
1924-04-30,173.9
1924-05-31,135.4
1924-06-30,123.8
1924-07-31,88
1924-08-31,93.9
1924-09-30,69
1924-10-31,60
1924-11-30,93.5
1924-12-31,110.4
1925-01-31,181.5
1925-02-28,654.7
1925-03-31,306.7
1925-04-30,421.6
1925-05-31,325.4
1925-06-30,192.7
1925-07-31,113.8
1925-08-31,114.8
1925-09-30,89
1925-10-31,62.2
1925-11-30,78.2
1925-12-31,107.2
1926-01-31,177.8
1926-02-28,537
1926-03-31,336.8
1926-04-30,719.4
1926-05-31,257.4
1926-06-30,149.3
1926-07-31,110.3
1926-08-31,104.7
1926-09-30,82.2
1926-10-31,61.3
1926-11-30,367.9
1926-12-31,235.1
1927-01-31,340
1927-02-28,1130.1
1927-03-31,636.1
1927-04-30,790.7
1927-05-31,541.1
1927-06-30,294.2
1927-07-31,198
1927-08-31,163.5
1927-09-30,104.2
1927-10-31,63.9
1927-11-30,257.5
1927-12-31,156.2
1928-01-31,262.2
1928-02-29,351.5
1928-03-31,1214
1928-04-30,594.1
1928-05-31,356.2
1928-06-30,183.6
1928-07-31,157.5
1928-08-31,120.8
1928-09-30,81.8
1928-10-31,55.3
1928-11-30,66.1
1928-12-31,91.9
1929-01-31,145.5
1929-02-28,199.9
1929-03-31,233.7
1929-04-30,243.7
1929-05-31,289.2
1929-06-30,183.1
1929-07-31,106.3
1929-08-31,94.4
1929-09-30,68.3
1929-10-31,49.3
1929-11-30,42.5
1929-12-31,737.3
1930-01-31,318.5
1930-02-28,366.2
1930-03-31,499.6
1930-04-30,479.2
1930-05-31,347.3
1930-06-30,189.9
1930-07-31,110.3
1930-08-31,106.8
1930-09-30,80.2
1930-10-31,57.6
1930-11-30,76.4
1930-12-31,75
1931-01-31,178.3
1931-02-28,167.6
1931-03-31,244.4
1931-04-30,193.2
1931-05-31,165
1931-06-30,132.9
1931-07-31,88.6
1931-08-31,88.1
1931-09-30,64.5
1931-10-31,53.5
1931-11-30,65.6
1931-12-31,220.4
1932-01-31,247.4
1932-02-29,225.1
1932-03-31,441.1
1932-04-30,470
1932-05-31,497.4
1932-06-30,272.7
1932-07-31,108.2
1932-08-31,107.7
1932-09-30,83.7
1932-10-31,57.6
1932-11-30,57.9
1932-12-31,72
1933-01-31,146.9
1933-02-28,130.8
1933-03-31,249.2
1933-04-30,289.9
1933-05-31,318.6
1933-06-30,245.1
1933-07-31,111.8
1933-08-31,94.6
1933-09-30,67.6
1933-10-31,51.9
1933-11-30,53.4
1933-12-31,156
1934-01-31,268.3
1934-02-28,282.1
1934-03-31,311
1934-04-30,237.4
1934-05-31,171.7
1934-06-30,132.9
1934-07-31,91.6
1934-08-31,91.5
