date,kaf
31.10.1921,45
30.11.1921,52
31.12.1921,99
31.01.1922,63
28.02.1922,179
31.03.1922,179
30.04.1922,248
31.05.1922,452
30.06.1922,279
31.07.1922,66
31.08.1922,40
30.09.1922,38
31.10.1922,47
30.11.1922,68
31.12.1922,235
31.01.1923,171
28.02.1923,124
31.03.1923,109
30.04.1923,255
31.05.1923,249
30.06.1923,83
31.07.1923,64
31.08.1923,41
30.09.1923,45
31.10.1923,47
30.11.1923,43
31.12.1923,48
31.01.1924,38
29.02.1924,67
31.03.1924,31
30.04.1924,43
31.05.1924,32
30.06.1924,17
31.07.1924,16
31.08.1924,18
30.09.1924,28
31.10.1924,38
30.11.1924,45
31.12.1924,58
31.01.1925,51
28.02.1925,319
31.03.1925,158
30.04.1925,241
31.05.1925,213
30.06.1925,51
31.07.1925,44
31.08.1925,42
30.09.1925,42
31.10.1925,48
30.11.1925,50
31.12.1925,53
31.01.1926,43
28.02.1926,153
31.03.1926,86
30.04.1926,209
31.05.1926,53
30.06.1926,23
31.07.1926,19
31.08.1926,20
30.09.1926,39
31.10.1926,44
30.11.1926,136
31.12.1926,108
31.01.1927,140
28.02.1927,462
31.03.1927,254
30.04.1927,366
31.05.1927,221
30.06.1927,113
31.07.1927,47
31.08.1927,43
30.09.1927,44
31.10.1927,48
30.11.1927,83
31.12.1927,90
31.01.1928,90
29.02.1928,80
31.03.1928,534
30.04.1928,272
31.05.1928,124
30.06.1928,28
31.07.1928,21
31.08.1928,42
30.09.1928,37
31.10.1928,39
30.11.1928,30
31.12.1928,47
31.01.1929,25
28.02.1929,61
31.03.1929,84
30.04.1929,98
31.05.1929,79
30.06.1929,80
31.07.1929,47
31.08.1929,37
30.09.1929,36
31.10.1929,40
30.11.1929,35
31.12.1929,126
31.01.1930,95
28.02.1930,93
31.03.1930,179
30.04.1930,120
31.05.1930,84
30.06.1930,43
31.07.1930,23
31.08.1930,21
30.09.1930,20
31.10.1930,30
30.11.1930,52
31.12.1930,41
31.01.1931,60
28.02.1931,50
31.03.1931,79
30.04.1931,48
31.05.1931,40
30.06.1931,25
31.07.1931,27
31.08.1931,22
30.09.1931,27
31.10.1931,26
30.11.1931,39
31.12.1931,116
31.01.1932,96
29.02.1932,163
31.03.1932,157
30.04.1932,145
31.05.1932,212
30.06.1932,122
31.07.1932,57
31.08.1932,44
30.09.1932,40
31.10.1932,44
30.11.1932,43
31.12.1932,49
31.01.1933,34
28.02.1933,34
31.03.1933,90
30.04.1933,106
31.05.1933,134
30.06.1933,88
31.07.1933,36
31.08.1933,44
30.09.1933,41
31.10.1933,48
30.11.1933,47
31.12.1933,96
31.01.1934,110
28.02.1934,106
31.03.1934,108
30.04.1934,64
31.05.1934,36
30.06.1934,25
31.07.1934,22
31.08.1934,24
30.09.1934,29
31.10.1934,26
30.11.1934,51
31.12.1934,48
31.01.1935,92
28.02.1935,102
31.03.1935,121
30.04.1935,386
31.05.1935,193
30.06.1935,87
31.07.1935,55
31.08.1935,45
30.09.1935,42
31.10.1935,50
30.11.1935,50
31.12.1935,53
31.01.1936,252
29.02.1936,391
31.03.1936,221
30.04.1936,258
31.05.1936,174
30.06.1936,120
31.07.1936,60
31.08.1936,48
30.09.1936,44
31.10.1936,46
30.11.1936,45
31.12.1936,51
31.01.1937,49
28.02.1937,156
31.03.1937,184
30.04.1937,251
31.05.1937,228
30.06.1937,70
31.07.1937,54
31.08.1937,47
30.09.1937,42
31.10.1937,49
30.11.1937,68
31.12.1937,228
31.01.1938,105
28.02.1938,291
31.03.1938,452
30.04.1938,374
31.05.1938,440
30.06.1938,253
31.07.1938,86
31.08.1938,52
30.09.1938,46
31.10.1938,55
30.11.1938,56
31.12.1938,60
31.01.1939,62
28.02.1939,44
31.03.1939,116
30.04.1939,101
31.05.1939,50
30.06.1939,53
31.07.1939,41
31.08.1939,37
30.09.1939,33
31.10.1939,41
30.11.1939,33
31.12.1939,35
31.01.1940,268
29.02.1940,354
31.03.1940,439
30.04.1940,272
31.05.1940,136
30.06.1940,41
31.07.1940,47
31.08.1940,45
30.09.1940,41
31.10.1940,44
30.11.1940,58
31.12.1940,187
31.01.1941,230
28.02.1941,286
31.03.1941,246
30.04.1941,214
31.05.1941,253
30.06.1941,99
31.07.1941,58
31.08.1941,47
30.09.1941,44
31.10.1941,48
30.11.1941,54
31.12.1941,202
31.01.1942,332
28.02.1942,333
31.03.1942,165
30.04.1942,290
31.05.1942,324
30.06.1942,186
31.07.1942,77
31.08.1942,51
30.09.1942,46
31.10.1942,49
30.11.1942,119
31.12.1942,163
31.01.1943,392
28.02.1943,222
31.03.1943,454
30.04.1943,242
31.05.1943,134
30.06.1943,118
31.07.1943,61
31.08.1943,47
30.09.1943,46
31.10.1943,50
30.11.1943,51
31.12.1943,52
31.01.1944,52
29.02.1944,80
31.03.1944,125
30.04.1944,103
31.05.1944,121
30.06.1944,52
31.07.1944,50
31.08.1944,44
30.09.1944,39
31.10.1944,44
30.11.1944,91
31.12.1944,94
31.01.1945,82
28.02.1945,286
31.03.1945,152
30.04.1945,161
31.05.1945,187
30.06.1945,71
31.07.1945,51
31.08.1945,43
30.09.1945,40
31.10.1945,53
30.11.1945,100
31.12.1945,302
31.01.1946,190
28.02.1946,103
31.03.1946,184
30.04.1946,213
31.05.1946,175
30.06.1946,56
31.07.1946,50
31.08.1946,44
30.09.1946,42
31.10.1946,47
30.11.1946,87
31.12.1946,77
31.01.1947,39
28.02.1947,101
31.03.1947,164
30.04.1947,108
31.05.1947,75
30.06.1947,32
31.07.1947,21
31.08.1947,29
30.09.1947,38
31.10.1947,52
30.11.1947,47
31.12.1947,41
31.01.1948,97
29.02.1948,57
31.03.1948,95
30.04.1948,289
31.05.1948,241
30.06.1948,100
31.07.1948,55
31.08.1948,45
30.09.1948,42
31.10.1948,47
30.11.1948,52
31.12.1948,70
31.01.1949,37
28.02.1949,53
31.03.1949,179
30.04.1949,213
31.05.1949,195
30.06.1949,46
31.07.1949,47
31.08.1949,43
30.09.1949,40
31.10.1949,43
30.11.1949,47
31.12.1949,47
31.01.1950,206
28.02.1950,197
31.03.1950,195
30.04.1950,235
31.05.1950,199
30.06.1950,88
31.07.1950,55
31.08.1950,44
30.09.1950,41
31.10.1950,60
30.11.1950,421
31.12.1950,524
31.01.1951,336
28.02.1951,265
31.03.1951,258
30.04.1951,215
31.05.1951,203
30.06.1951,87
31.07.1951,52
31.08.1951,46
