date,kaf
1921-10-31,0.0
1921-11-30,0.0
1921-12-31,1.91
1922-01-31,0.86
1922-02-28,12.1
1922-03-31,6.98
1922-04-30,0.93
1922-05-31,0.0
1922-06-30,0.0
1922-07-31,0.0
1922-08-31,0.0
1922-09-30,0.23
1922-10-31,0.48
1922-11-30,0.9
1922-12-31,10.21
1923-01-31,4.95
1923-02-28,2.28
1923-03-31,1.2
1923-04-30,4.85
1923-05-31,0.0
1923-06-30,0.98
1923-07-31,0.28
1923-08-31,0.18
1923-09-30,0.27
1923-10-31,0.43
1923-11-30,0.16
1923-12-31,0.38
1924-01-31,0.61
1924-02-29,0.76
1924-03-31,0.64
1924-04-30,0.15
1924-05-31,0.39
1924-06-30,0.06
1924-07-31,0.26
1924-08-31,0.52
1924-09-30,0.26
1924-10-31,0.19
1924-11-30,0.06
1924-12-31,0.98
1925-01-31,0.64
1925-02-28,5.12
1925-03-31,2.24
1925-04-30,2.95
1925-05-31,0.94
1925-06-30,0.82
1925-07-31,0.69
1925-08-31,0.62
1925-09-30,0.71
1925-10-31,0.45
1925-11-30,0.18
1925-12-31,0.08
1926-01-31,0.79
1926-02-28,8.88
1926-03-31,0.13
1926-04-30,5.86
1926-05-31,1.77
1926-06-30,0.31
1926-07-31,0.22
1926-08-31,0.25
1926-09-30,0.15
1926-10-31,0.33
1926-11-30,1.88
1926-12-31,0.01
1927-01-31,3.54
1927-02-28,15.74
1927-03-31,0.86
1927-04-30,7.56
1927-05-31,0.0
1927-06-30,0.0
1927-07-31,0.01
1927-08-31,0.01
1927-09-30,0.25
1927-10-31,0.72
1927-11-30,0.5
1927-12-31,1.59
1928-01-31,0.0
1928-02-29,5.69
1928-03-31,2.18
1928-04-30,3.09
1928-05-31,0.0
1928-06-30,0.47
1928-07-31,0.57
1928-08-31,0.4
1928-09-30,0.5
1928-10-31,0.0
1928-11-30,0.95
1928-12-31,0.82
1929-01-31,0.68
1929-02-28,2.96
1929-03-31,1.03
1929-04-30,0.14
1929-05-31,0.0
1929-06-30,0.99
1929-07-31,0.55
1929-08-31,0.29
1929-09-30,0.62
1929-10-31,0.0
1929-11-30,0.0
1929-12-31,0.19
1930-01-31,3.15
1930-02-28,0.0
1930-03-31,4.26
1930-04-30,0.0
1930-05-31,0.0
1930-06-30,0.28
1930-07-31,0.0
1930-08-31,0.25
1930-09-30,0.03
1930-10-31,0.67
1930-11-30,0.0
1930-12-31,0.89
1931-01-31,0.82
1931-02-28,0.94
1931-03-31,0.55
1931-04-30,0.11
1931-05-31,0.17
1931-06-30,0.24
1931-07-31,0.18
1931-08-31,0.03
1931-09-30,0.0
1931-10-31,0.1
1931-11-30,0.57
1931-12-31,3.32
1932-01-31,1.99
1932-02-29,4.01
1932-03-31,0.0
1932-04-30,0.0
1932-05-31,0.0
1932-06-30,0.0
1932-07-31,0.13
1932-08-31,0.07
1932-09-30,0.33
1932-10-31,0.44
1932-11-30,0.16
1932-12-31,0.45
1933-01-31,0.87
1933-02-28,1.1
1933-03-31,2.08
1933-04-30,0.0
1933-05-31,0.0
1933-06-30,0.0
1933-07-31,0.15
1933-08-31,0.2
1933-09-30,0.16
1933-10-31,0.17
1933-11-30,0.2
1933-12-31,2.3
1934-01-31,2.06
1934-02-28,1.76
1934-03-31,0.0
1934-04-30,0.0
1934-05-31,0.45
1934-06-30,0.44
1934-07-31,0.43
1934-08-31,0.35
1934-09-30,0.17
1934-10-31,0.0
1934-11-30,0.81
1934-12-31,1.18
1935-01-31,4.48
1935-02-28,2.55
1935-03-31,5.48
1935-04-30,4.43
1935-05-31,0.0
1935-06-30,0.25
1935-07-31,0.06
1935-08-31,0.55
1935-09-30,0.79
1935-10-31,1.23
1935-11-30,0.0
1935-12-31,1.23
1936-01-31,6.15
1936-02-29,15.87
1936-03-31,0.13
1936-04-30,0.02
1936-05-31,0.0
1936-06-30,0.14
1936-07-31,0.2
1936-08-31,0.08
1936-09-30,0.11
1936-10-31,0.24
