date,kaf
31.10.1921,4.599974
30.11.1921,2.699993
31.12.1921,11.299994
31.01.1922,1.999993
28.02.1922,101.732758
31.03.1922,71.081161
30.04.1922,29.457277
31.05.1922,41.337238
30.06.1922,30.919739
31.07.1922,25.401657
31.08.1922,50.250504
30.09.1922,7.419935
31.10.1922,5.999974
30.11.1922,9.373033
31.12.1922,58.295059
31.01.1923,1.999993
28.02.1923,39.235165
31.03.1923,1.529491
30.04.1923,65.769119
31.05.1923,36.937241
30.06.1923,30.919739
31.07.1923,27.301657
31.08.1923,23.509916
30.09.1923,4.499975
31.10.1923,4.599974
30.11.1923,1.299993
31.12.1923,3.499993
31.01.1924,5.699993
29.02.1924,6.458614
31.03.1924,3.499993
30.04.1924,3.54198
31.05.1924,6.761962
30.06.1924,5.644603
31.07.1924,2.499986
31.08.1924,2.399987
30.09.1924,2.499986
31.10.1924,7.399997
30.11.1924,3.899995
31.12.1924,7.48311
31.01.1925,1.699995
28.02.1925,39.202576
31.03.1925,30.331165
30.04.1925,49.667271
31.05.1925,30.781948
30.06.1925,13.549743
31.07.1925,28.801657
31.08.1925,24.033966
30.09.1925,5.936937
31.10.1925,4.599974
30.11.1925,3.499993
31.12.1925,4.799994
31.01.1926,7.899993
28.02.1926,2.699993
31.03.1926,8.289021
30.04.1926,74.46727
31.05.1926,5.88724
30.06.1926,7.969455
31.07.1926,8.77445
31.08.1926,15.159646
30.09.1926,7.919935
31.10.1926,6.899974
30.11.1926,11.999993
31.12.1926,53.2407
31.01.1927,4.551089
28.02.1927,169.17659
31.03.1927,69.687691
30.04.1927,88.267273
31.05.1927,35.437241
30.06.1927,27.519739
31.07.1927,33.934189
31.08.1927,32.160454
30.09.1927,7.578436
31.10.1927,5.199974
30.11.1927,15.943032
31.12.1927,4.699994
31.01.1928,1.999993
29.02.1928,2.658614
31.03.1928,99.94458
30.04.1928,48.167274
31.05.1928,27.137239
30.06.1928,7.808456
31.07.1928,23.836189
31.08.1928,7.727957
30.09.1928,5.956967
31.10.1928,4.599974
30.11.1928,7.899993
31.12.1928,6.099994
31.01.1929,1.999993
28.02.1929,2.699993
31.03.1929,3.699993
30.04.1929,2.699995
31.05.1929,6.922962
30.06.1929,2.399987
31.07.1929,8.77445
31.08.1929,26.617031
30.09.1929,7.219935
31.10.1929,3.819996
30.11.1929,1.888017
31.12.1929,31.486
31.01.1930,1.699995
28.02.1930,7.507351
31.03.1930,56.007694
30.04.1930,33.137276
31.05.1930,5.151971
30.06.1930,7.969455
31.07.1930,9.770684
31.08.1930,7.566957
30.09.1930,4.910472
31.10.1930,4.599974
30.11.1930,7.499993
31.12.1930,1.799993
31.01.1931,6.699993
28.02.1931,2.699993
31.03.1931,3.699993
30.04.1931,2.414986
31.05.1931,4.346976
30.06.1931,3.116781
31.07.1931,2.606091
31.08.1931,2.399987
30.09.1931,2.499986
31.10.1931,3.676544
30.11.1931,6.699997
31.12.1931,6.599995
31.01.1932,1.699995
29.02.1932,34.555698
31.03.1932,11.017693
30.04.1932,7.727275
31.05.1932,34.837242
30.06.1932,24.71974
31.07.1932,27.001656
31.08.1932,7.919919
30.09.1932,6.117966
31.10.1932,4.599974
30.11.1932,2.599993
31.12.1932,5.499994
31.01.1933,7.999993
28.02.1933,2.699993
31.03.1933,3.699993
30.04.1933,4.024978
31.05.1933,2.499986
30.06.1933,7.969455
31.07.1933,15.163342
31.08.1933,27.0285
30.09.1933,7.678436
31.10.1933,6.799986
30.11.1933,0.899995
31.12.1933,11.199995
31.01.1934,1.699995
28.02.1934,16.596539
31.03.1934,20.597599
30.04.1934,12.18716
31.05.1934,15.42711
30.06.1934,15.194358
31.07.1934,42.31741
31.08.1934,32.160454
30.09.1934,6.712441
31.10.1934,6.899974
30.11.1934,9.599993
31.12.1934,4.499993
31.01.1935,9.140363
28.02.1935,31.096497
31.03.1935,38.587696
30.04.1935,84.767273
31.05.1935,40.23724
30.06.1935,29.819738
31.07.1935,25.409142
31.08.1935,31.660454
30.09.1935,7.219935
31.10.1935,6.899974
30.11.1935,2.999993
31.12.1935,6.299993
31.01.1936,6.799994
29.02.1936,114.128998
31.03.1936,49.881168
30.04.1936,59.967274
31.05.1936,33.23724
30.06.1936,27.11974
31.07.1936,26.301657
31.08.1936,25.491488
30.09.1936,7.678436
31.10.1936,4.599974
30.11.1936,1.199993
31.12.1936,9.199993
31.01.1937,3.699993
28.02.1937,2.699993
31.03.1937,35.581749
30.04.1937,22.067274
31.05.1937,27.73724
30.06.1937,27.11974
31.07.1937,19.385197
31.08.1937,32.060455
30.09.1937,7.919935
31.10.1937,5.499974
30.11.1937,11.999993
31.12.1937,7.363504
31.01.1938,46.129009
28.02.1938,124.436592
31.03.1938,146.62117
30.04.1938,66.967278
31.05.1938,34.037239
30.06.1938,23.319738
31.07.1938,25.401657
31.08.1938,16.469917
30.09.1938,5.634969
31.10.1938,6.299974
30.11.1938,2.899993
31.12.1938,3.399993
31.01.1939,9.799994
28.02.1939,2.699993
31.03.1939,3.699993
30.04.1939,4.829973
31.05.1939,3.232369
30.06.1939,7.808456
31.07.1939,8.77445
31.08.1939,19.487194
30.09.1939,6.390443
31.10.1939,3.599986
30.11.1939,0.599997
31.12.1939,2.199997
31.01.1940,14.998946
29.02.1940,120.032913
31.03.1940,118.487694
30.04.1940,53.367275
31.05.1940,34.137241
30.06.1940,16.53974
31.07.1940,17.391657
31.08.1940,23.904816
30.09.1940,5.907445
31.10.1940,7.199974
30.11.1940,6.899993
31.12.1940,7.299994
31.01.1941,57.779984
28.02.1941,80.956596
31.03.1941,76.701164
30.04.1941,59.527275
31.05.1941,29.437241
30.06.1941,28.919739
31.07.1941,18.901657
31.08.1941,26.079918
30.09.1941,44.074844
31.10.1941,4.599974
30.11.1941,4.999993
31.12.1941,22.693533
31.01.1942,91.613556
28.02.1942,105.956589
31.03.1942,44.051167
30.04.1942,77.267273
31.05.1942,46.937241
30.06.1942,33.719738
31.07.1942,28.701656
31.08.1942,25.979918
30.09.1942,38.272541
31.10.1942,4.599974
30.11.1942,20.206081
31.12.1942,1.999993
31.01.1943,119.809006
28.02.1943,58.886597
31.03.1943,116.321159
30.04.1943,39.767273
31.05.1943,36.637241
30.06.1943,28.11974
31.07.1943,27.301657
31.08.1943,13.579918
30.09.1943,6.117966
31.10.1943,4.599974
30.11.1943,2.999993
31.12.1943,7.099994
31.01.1944,5.999993
29.02.1944,2.658614
31.03.1944,3.699993
30.04.1944,3.299993
31.05.1944,4.599974
30.06.1944,11.21805
31.07.1944,26.501657
31.08.1944,20.297028
30.09.1944,7.919935
31.10.1944,7.399974
30.11.1944,12.499993
31.12.1944,1.999993
31.01.1945,1.999993
28.02.1945,39.022682
31.03.1945,30.371164
30.04.1945,19.317274
31.05.1945,32.337242
30.06.1945,27.319738
31.07.1945,35.472969
31.08.1945,32.160454
30.09.1945,7.919935
31.10.1945,8.299974
30.11.1945,11.399993
31.12.1945,46.257679
31.01.1946,30.313557
28.02.1946,7.196597
31.03.1946,37.437695
30.04.1946,38.367271
31.05.1946,22.037239
30.06.1946,25.61974
31.07.1946,26.101656
31.08.1946,7.727957
30.09.1946,4.499975
31.10.1946,4.599974
30.11.1946,11.499993
31.12.1946,2.499993
31.01.1947,1.999993
28.02.1947,2.699993
31.03.1947,8.264827
30.04.1947,9.297275
31.05.1947,6.359464
30.06.1947,5.071472
31.07.1947,8.77445
31.08.1947,13.669167
30.09.1947,7.919935
31.10.1947,13.399974
30.11.1947,3.199993
31.12.1947,2.699993
31.01.1948,4.799994
