date,kaf
1921-10-31,25.75474894
1921-11-30,17.43422918
1921-12-31,1.0
1922-01-31,7.9984
1922-02-28,103.0
1922-03-31,103.0
1922-04-30,103.0
1922-05-31,103.0
1922-06-30,95.34501106
1922-07-31,1.0
1922-08-31,1.0
1922-09-30,1.0
1922-10-31,1.0
1922-11-30,1.0
1922-12-31,53.88279954
1923-01-31,103.0
1923-02-28,1.0
1923-03-31,1.0
1923-04-30,80.07141469
1923-05-31,103.0
1923-06-30,97.55017116
1923-07-31,83.31656067
1923-08-31,75.08749656
1923-09-30,77.02855212
1923-10-31,81.1639288
1923-11-30,81.96228953
1923-12-31,86.04507707
1924-01-31,93.12644805
1924-02-29,102.5695097
1924-03-31,103.0
1924-04-30,92.71718763
1924-05-31,77.9750246
1924-06-30,43.5294858
1924-07-31,11.98073639
1924-08-31,1.0
1924-09-30,1.0
1924-10-31,1.0
1924-11-30,1.0
1924-12-31,1.0
1925-01-31,2.304404587
1925-02-28,73.2125958
1925-03-31,73.46807104
1925-04-30,103.0
1925-05-31,103.0
1925-06-30,19.7361108
1925-07-31,7.29561343
1925-08-31,1.0
1925-09-30,1.0
1925-10-31,1.0
1925-11-30,5.099898
1925-12-31,11.19765802
1926-01-31,22.29319849
1926-02-28,59.37181694
1926-03-31,16.13187955
1926-04-30,103.0
1926-05-31,85.5726065
1926-06-30,51.70911499
1926-07-31,18.02285806
1926-08-31,1.0
1926-09-30,1.0
1926-10-31,1.0
1926-11-30,23.399532
1926-12-31,1.0
1927-01-31,21.14310897
1927-02-28,103.0
1927-03-31,103.0
1927-04-30,103.0
1927-05-31,20.49433195
1927-06-30,8.897079495
1927-07-31,1.0
1927-08-31,1.0
1927-09-30,1.0
1927-10-31,1.0
1927-11-30,1.0
1927-12-31,1.0
1928-01-31,5.29894
1928-02-29,29.16843558
1928-03-31,103.0
1928-04-30,103.0
1928-05-31,103.0
1928-06-30,69.8965905
1928-07-31,52.16873973
1928-08-31,27.97467187
1928-09-30,26.32957119
1928-10-31,27.67301771
1928-11-30,37.17227425
1928-12-31,45.5631598
1929-01-31,49.45326717
1929-02-28,61.93096399
1929-03-31,70.97342891
1929-04-30,65.82346696
1929-05-31,51.427577
1929-06-30,20.82187701
1929-07-31,1.0
1929-08-31,1.0
1929-09-30,1.0
1929-10-31,1.0
1929-11-30,1.0
1929-12-31,1.0
1930-01-31,15.29694
1930-02-28,27.67870614
1930-03-31,103.0
1930-04-30,103.0
1930-05-31,88.63924888
1930-06-30,54.86882242
1930-07-31,22.04944408
1930-08-31,2.801712929
1930-09-30,1.0
1930-10-31,2.6049479
1930-11-30,9.504757801
1930-12-31,11.50245685
1931-01-31,19.89847636
1931-02-28,24.88951291
1931-03-31,30.6646544
1931-04-30,19.87082316
1931-05-31,10.73519628
1931-06-30,6.221541198
1931-07-31,2.515086052
1931-08-31,1.0
1931-09-30,1.0
1931-10-31,1.0
1931-11-30,1.0
