date,kaf
1921-10-31,7.39
1921-11-30,7.39
1921-12-31,7.39
1922-01-31,7.39
1922-02-28,7.39
1922-03-31,7.39
1922-04-30,8.39
1922-05-31,10.39
1922-06-30,29.33752974
1922-07-31,54.59835982
1922-08-31,10.39
1922-09-30,9.39
1922-10-31,7.39
1922-11-30,7.39
1922-12-31,7.39
1923-01-31,7.39
1923-02-28,7.39
1923-03-31,8.39
1923-04-30,7.39
1923-05-31,10.39
1923-06-30,54.29
1923-07-31,55.29
1923-08-31,10.39
1923-09-30,8.39
1923-10-31,7.39
1923-11-30,7.39
1923-12-31,7.39
1924-01-31,7.39
1924-02-29,7.39
1924-03-31,8.99229
1924-04-30,10.58115
1924-05-31,57.01396
1924-06-30,57.16988
1924-07-31,55.29
1924-08-31,43.53228953
1924-09-30,9.39
1924-10-31,7.39
1924-11-30,7.39
1924-12-31,7.39
1925-01-31,7.39
1925-02-28,24.94680058
1925-03-31,7.39
1925-04-30,7.39
1925-05-31,7.39
1925-06-30,29.33752974
1925-07-31,54.59835982
1925-08-31,10.39
1925-09-30,9.39
1925-10-31,8.39
1925-11-30,7.39
1925-12-31,7.39
1926-01-31,7.39
1926-02-28,32.94253759
1926-03-31,8.39
1926-04-30,127.9635902
1926-05-31,35.08519117
1926-06-30,54.29
1926-07-31,55.29
1926-08-31,43.53228953
1926-09-30,9.39
1926-10-31,7.39
1926-11-30,7.39
1926-12-31,7.39
1927-01-31,7.39
1927-02-28,7.39
1927-03-31,7.39
1927-04-30,7.39
1927-05-31,9.39
1927-06-30,29.33752974
1927-07-31,54.59835982
1927-08-31,10.39
1927-09-30,9.39
1927-10-31,7.39
1927-11-30,7.39
1927-12-31,7.39
1928-01-31,7.39
1928-02-29,47.22980129
1928-03-31,95.17525
1928-04-30,7.39
1928-05-31,36.08519117
1928-06-30,57.16988
1928-07-31,56.99984
1928-08-31,55.69264
1928-09-30,9.39
1928-10-31,8.39
1928-11-30,7.39
1928-12-31,7.39
1929-01-31,7.39
1929-02-28,7.39
1929-03-31,7.39
1929-04-30,8.39
1929-05-31,48.45511666
1929-06-30,52.29
1929-07-31,55.29
1929-08-31,43.53228953
1929-09-30,9.39
1929-10-31,8.39
1929-11-30,7.39
1929-12-31,7.39
1930-01-31,7.39
1930-02-28,7.39
1930-03-31,7.39
1930-04-30,7.39
1930-05-31,54.80196
1930-06-30,57.16988
1930-07-31,56.99984
1930-08-31,43.53228953
1930-09-30,9.39
1930-10-31,7.39
1930-11-30,7.39
1930-12-31,7.39
1931-01-31,7.39
1931-02-28,7.39
1931-03-31,7.39
1931-04-30,10.58015
1931-05-31,55.48496
1931-06-30,55.85788
1931-07-31,56.99984
1931-08-31,43.53228953
1931-09-30,9.39
1931-10-31,7.39
1931-11-30,7.39
1931-12-31,9.49192
1932-01-31,7.39
1932-02-29,7.39
1932-03-31,7.39
1932-04-30,8.39
1932-05-31,36.08519117
1932-06-30,54.29
1932-07-31,55.29
1932-08-31,43.53228953
1932-09-30,9.39
1932-10-31,8.39
1932-11-30,7.39
1932-12-31,7.39
1933-01-31,7.39
1933-02-28,7.39
1933-03-31,7.39
1933-04-30,8.39
1933-05-31,35.08519117
1933-06-30,54.29
1933-07-31,55.29
1933-08-31,43.53228953
1933-09-30,9.39
1933-10-31,7.39
1933-11-30,7.39
1933-12-31,7.39
1934-01-31,7.39
1934-02-28,7.39
1934-03-31,7.39
1934-04-30,8.39
1934-05-31,36.08519117
1934-06-30,52.29
1934-07-31,55.29
1934-08-31,43.53228953
1934-09-30,9.39
1934-10-31,7.39
1934-11-30,7.39
1934-12-31,7.39
1935-01-31,45.52551237
1935-02-28,7.39
1935-03-31,7.39
1935-04-30,87.79917765
1935-05-31,36.08519117
1935-06-30,54.29
1935-07-31,55.29
1935-08-31,43.53228953
1935-09-30,9.39
1935-10-31,7.39
1935-11-30,7.39
1935-12-31,7.39
1936-01-31,7.39
1936-02-29,7.39
1936-03-31,7.39
1936-04-30,7.39
1936-05-31,22.05176117
1936-06-30,52.29
1936-07-31,55.29
1936-08-31,30.36602953
1936-09-30,9.39
1936-10-31,8.39
1936-11-30,7.39
1936-12-31,7.39
1937-01-31,7.39
1937-02-28,7.39
1937-03-31,7.39
1937-04-30,8.39
1937-05-31,10.39
1937-06-30,28.33752974
1937-07-31,54.59835982
1937-08-31,10.39
1937-09-30,9.39
1937-10-31,7.39
1937-11-30,7.39
1937-12-31,7.39
1938-01-31,7.39
1938-02-28,7.39
1938-03-31,7.39
1938-04-30,7.39
1938-05-31,10.39
1938-06-30,30.33752974
1938-07-31,55.29
1938-08-31,55.69264
1938-09-30,8.39
1938-10-31,7.39
1938-11-30,7.39
1938-12-31,7.39
1939-01-31,7.39
1939-02-28,7.39
1939-03-31,7.39
1939-04-30,10.25515
1939-05-31,55.94396
1939-06-30,57.16988
1939-07-31,56.99984
1939-08-31,43.53228953
1939-09-30,9.39
1939-10-31,8.39
1939-11-30,7.39
1939-12-31,7.39
1940-01-31,40.91971
1940-02-29,37.04969
1940-03-31,70.87525
1940-04-30,399.61409
1940-05-31,9.39
1940-06-30,51.44205605
1940-07-31,55.29
