date,kaf
1921-10-31,178.7037392
1921-11-30,201.9623494
1921-12-31,155.208
1922-01-31,177.0954171
1922-02-28,249.916
1922-03-31,263.4039573
1922-04-30,186.0141097
1922-05-31,493.1000317
1922-06-30,389.4030407
1922-07-31,661.064382
1922-08-31,695.4316333
1922-09-30,516.9111714
1922-10-31,357.8220559
1922-11-30,267.767
1922-12-31,221.2948098
1923-01-31,0.0
1923-02-28,101.6340403
1923-03-31,211.0594268
1923-04-30,169.4825494
1923-05-31,424.6966794
1923-06-30,422.3787767
1923-07-31,648.6771586
1923-08-31,457.4996934
1923-09-30,337.6771822
1923-10-31,356.3058228
1923-11-30,307.1139158
1923-12-31,120.8201764
1924-01-31,0.0
1924-02-29,0.0
1924-03-31,255.673355
1924-04-30,299.272309
1924-05-31,743.225391
1924-06-30,764.5962574
1924-07-31,390.7293493
1924-08-31,503.961239
1924-09-30,399.0052833
1924-10-31,307.3163267
1924-11-30,182.8306824
1924-12-31,173.6471476
1925-01-31,182.7765918
1925-02-28,74.89034754
1925-03-31,163.7241551
1925-04-30,133.6204665
1925-05-31,466.4092901
1925-06-30,285.7803683
1925-07-31,748.0605976
1925-08-31,485.4055303
1925-09-30,460.1816329
1925-10-31,363.0237135
1925-11-30,263.8835293
1925-12-31,207.0861905
1926-01-31,201.8366865
1926-02-28,124.8606099
1926-03-31,217.3499066
1926-04-30,162.6067342
1926-05-31,959.2137326
1926-06-30,981.068
1926-07-31,856.795
1926-08-31,788.9417291
1926-09-30,172.1323868
1926-10-31,190.385478
1926-11-30,194.277867
1926-12-31,222.0823208
1927-01-31,244.0705918
1927-02-28,306.8853328
1927-03-31,548.2035295
1927-04-30,785.8202644
1927-05-31,531.0701374
1927-06-30,662.7102578
1927-07-31,856.795
1927-08-31,861.7656267
1927-09-30,760.1114189
1927-10-31,408.8333131
1927-11-30,252.2980918
1927-12-31,270.2686859
1928-01-31,247.168139
1928-02-29,128.1901498
1928-03-31,118.67
1928-04-30,148.0520932
1928-05-31,372.0422455
1928-06-30,321.695
1928-07-31,863.4417152
1928-08-31,519.1440882
1928-09-30,274.2003822
1928-10-31,322.9556718
1928-11-30,199.0223684
1928-12-31,138.7702928
1929-01-31,163.1215675
1929-02-28,180.495
1929-03-31,200.0971579
1929-04-30,264.5723734
1929-05-31,433.0304758
1929-06-30,709.4814737
1929-07-31,360.5880701
1929-08-31,339.3386934
1929-09-30,249.4647522
1929-10-31,276.6413522
1929-11-30,193.387
1929-12-31,170.0763736
1930-01-31,194.6473215
1930-02-28,170.4682687
1930-03-31,168.247507
1930-04-30,190.4125812
1930-05-31,300.2213085
1930-06-30,417.8190994
1930-07-31,911.4958458
1930-08-31,356.1253357
1930-09-30,244.9142822
1930-10-31,222.0881424
1930-11-30,193.9343684
1930-12-31,72.61470846
1931-01-31,0.0
1931-02-28,180.495
1931-03-31,186.1497979
1931-04-30,193.1541987
1931-05-31,233.3772046
1931-06-30,321.8571063
1931-07-31,340.8738916
1931-08-31,336.6556846
1931-09-30,234.6438522
1931-10-31,231.8280742
1931-11-30,193.387
1931-12-31,197.9851429
1932-01-31,180.7299566
1932-02-29,180.495
1932-03-31,164.2786923
1932-04-30,177.9549838
1932-05-31,194.0295109
1932-06-30,429.4670919
1932-07-31,508.5921012
1932-08-31,482.4766236
1932-09-30,322.4616383
1932-10-31,311.2764337
1932-11-30,226.8985959
1932-12-31,71.1398224
1933-01-31,55.21805173
1933-02-28,180.495
1933-03-31,198.7158367
1933-04-30,161.1996564
1933-05-31,565.9381789
1933-06-30,537.6445354
1933-07-31,468.5147306
1933-08-31,343.6846346
1933-09-30,259.0827522
1933-10-31,291.4188228
1933-11-30,193.9343684
1933-12-31,199.834
1934-01-31,97.74170392
1934-02-28,180.495
1934-03-31,156.6858645
1934-04-30,363.70763
1934-05-31,840.7512562
1934-06-30,993.1396702
1934-07-31,363.0251728
1934-08-31,264.6887476
1934-09-30,327.2730999
1934-10-31,290.4324801
