date,kaf
1921-10-31,0
1921-11-30,-0
1921-12-31,0
1922-01-31,0
1922-02-28,153.55629
1922-03-31,3.14
1922-04-30,0
1922-05-31,0
1922-06-30,46.78738
1922-07-31,445.371796
1922-08-31,204.706528
1922-09-30,619.165344
1922-10-31,-0
1922-11-30,387.025757
1922-12-31,0
1923-01-31,0
1923-02-28,0
1923-03-31,3.14
1923-04-30,571.759155
1923-05-31,443.803711
1923-06-30,307.850098
1923-07-31,353.1409
1923-08-31,183.775314
1923-09-30,0
1923-10-31,0
1923-11-30,0
1923-12-31,0
1924-01-31,177.667984
1924-02-29,-0
1924-03-31,124.02726
1924-04-30,0
1924-05-31,175.831772
1924-06-30,190.020416
1924-07-31,199.422775
1924-08-31,122.272896
1924-09-30,0
1924-10-31,0
1924-11-30,0
1924-12-31,0
1925-01-31,177.667984
1925-02-28,0
1925-03-31,3.14
1925-04-30,0
1925-05-31,507.012695
1925-06-30,282.821259
1925-07-31,260.913879
1925-08-31,153.031509
1925-09-30,0
1925-10-31,0
1925-11-30,0
1925-12-31,0
1926-01-31,303.124512
1926-02-28,0
1926-03-31,3.14
1926-04-30,131.950562
1926-05-31,600.383606
1926-06-30,258.870544
1926-07-31,270.892059
1926-08-31,116.422417
1926-09-30,0
1926-10-31,0
1926-11-30,0
1926-12-31,0
1927-01-31,0
1927-02-28,0
1927-03-31,3.14
1927-04-30,0
1927-05-31,0
1927-06-30,257.776062
1927-07-31,445.371796
1927-08-31,183.760162
1927-09-30,1005.010254
1927-10-31,0
1927-11-30,0
1927-12-31,0
1928-01-31,0
1928-02-29,0
1928-03-31,3.14
1928-04-30,0
1928-05-31,0
1928-06-30,408.597717
1928-07-31,572.754517
1928-08-31,147.160156
1928-09-30,498.298218
1928-10-31,0
1928-11-30,99.823212
1928-12-31,0
1929-01-31,177.499725
1929-02-28,0
1929-03-31,3.14
1929-04-30,0
1929-05-31,393.022125
1929-06-30,383.659882
1929-07-31,199.422775
1929-08-31,85.672897
1929-09-30,0
1929-10-31,0
1929-11-30,0
1929-12-31,0
1930-01-31,0
1930-02-28,0
1930-03-31,3.14
