date,kaf
1921-09-30,28
1921-10-31,27.751
1921-11-30,27.667
1921-12-31,27.636
1922-01-31,27.637
1922-02-28,27.599
1922-03-31,27.488
1922-04-30,27.26
1922-05-31,26.847
1922-06-30,26.343
1922-07-31,25.756
1922-08-31,25.264
1922-09-30,24.87
1922-10-31,24.663
1922-11-30,24.593
1922-12-31,24.563
1923-01-31,24.558
1923-02-28,24.518
1923-03-31,24.394
1923-04-30,24.178
1923-05-31,23.823
1923-06-30,23.421
1923-07-31,22.911
1923-08-31,22.469
1923-09-30,22.136
1923-10-31,21.95
1923-11-30,21.866
1923-12-31,21.839
1924-01-31,21.832
1924-02-29,21.79
1924-03-31,21.694
1924-04-30,21.479
1924-05-31,21.137
1924-06-30,20.735
1924-07-31,20.284
1924-08-31,19.894
1924-09-30,19.601
1924-10-31,19.44
1924-11-30,19.377
1924-12-31,19.351
1925-01-31,19.34
1925-02-28,19.301
1925-03-31,19.203
1925-04-30,19.019
1925-05-31,18.735
1925-06-30,18.366
1925-07-31,17.931
1925-08-31,17.575
1925-09-30,17.333
1925-10-31,17.179
1925-11-30,17.115
1925-12-31,17.088
1926-01-31,17.077
1926-02-28,17.039
1926-03-31,16.93
1926-04-30,16.734
1926-05-31,16.465
1926-06-30,16.116
1926-07-31,15.732
1926-08-31,15.414
1926-09-30,15.191
1926-10-31,15.04
1926-11-30,14.968
1926-12-31,14.941
1927-01-31,14.926
1927-02-28,14.89
1927-03-31,14.814
1927-04-30,14.671
1927-05-31,14.439
1927-06-30,14.148
1927-07-31,13.804
1927-08-31,13.522
1927-09-30,13.311
1927-10-31,13.174
1927-11-30,13.114
1927-12-31,13.086
1928-01-31,13.071
1928-02-29,13.038
1928-03-31,12.959
1928-04-30,12.826
1928-05-31,12.594
1928-06-30,12.32
1928-07-31,12.016
1928-08-31,11.754
1928-09-30,11.553
1928-10-31,11.431
1928-11-30,11.378
1928-12-31,11.351
1929-01-31,11.336
1929-02-28,11.304
1929-03-31,11.237
1929-04-30,11.132
1929-05-31,10.938
1929-06-30,10.7
1929-07-31,10.426
1929-08-31,10.185
1929-09-30,10.005
1929-10-31,9.934
1929-11-30,9.916
1929-12-31,10.654
1930-01-31,11.04
1930-02-28,11.033
1930-03-31,10.994
1930-04-30,10.871
1930-05-31,10.7
1930-06-30,10.461
1930-07-31,10.194
1930-08-31,9.96
1930-09-30,9.863
1930-10-31,9.8
1930-11-30,9.8
1930-12-31,9.8
1931-01-31,11.118
1931-02-28,11.109
1931-03-31,11.035
1931-04-30,10.89
1931-05-31,10.673
1931-06-30,10.437
1931-07-31,10.143
1931-08-31,9.902
1931-09-30,9.8
1931-10-31,9.8
1931-11-30,9.8
1931-12-31,10.443
1932-01-31,11.191
1932-02-29,11.186
1932-03-31,11.111
1932-04-30,10.993
1932-05-31,10.802
1932-06-30,10.561
1932-07-31,10.291
1932-08-31,10.057
1932-09-30,9.866
1932-10-31,9.8
1932-11-30,9.8
1932-12-31,9.801
1933-01-31,11.041
1933-02-28,11.037
1933-03-31,10.969
1933-04-30,10.844
1933-05-31,10.669
1933-06-30,10.438
1933-07-31,10.146
1933-08-31,9.905
1933-09-30,9.8
1933-10-31,9.8
1933-11-30,9.8
1933-12-31,10.539
1934-01-31,11.108
1934-02-28,11.1
1934-03-31,11.019
