date,kaf
1921-09-30,117.900002
1921-10-31,121.675797
1921-11-30,128.037842
1921-12-31,135.970001
1922-01-31,143.050003
1922-02-28,148.589996
1922-03-31,151.210007
1922-04-30,145.551956
1922-05-31,147.020004
1922-06-30,145.559067
1922-07-31,124.655418
1922-08-31,116.660515
1922-09-30,116.751747
1922-10-31,120.528816
1922-11-30,126.888145
1922-12-31,134.841003
1923-01-31,143.050003
1923-02-28,148.589996
1923-03-31,151.210007
1923-04-30,148.440002
1923-05-31,149.897629
1923-06-30,145.559067
1923-07-31,124.655418
1923-08-31,116.660515
1923-09-30,116.751747
1923-10-31,120.528816
1923-11-30,126.888145
1923-12-31,134.841003
1924-01-31,143.050003
1924-02-29,148.589996
1924-03-31,136.718811
1924-04-30,122.158218
1924-05-31,104.779099
1924-06-30,85.965385
1924-07-31,84.289589
1924-08-31,83
1924-09-30,83
1924-10-31,83
1924-11-30,88.681198
1924-12-31,86.000809
1925-01-31,83
1925-02-28,88.655357
1925-03-31,95.68248
1925-04-30,85.446426
1925-05-31,87.131157
1925-06-30,85.965385
1925-07-31,84.289589
1925-08-31,83
1925-09-30,83.205811
1925-10-31,87.019836
1925-11-30,93.299927
1925-12-31,101.134583
1926-01-31,109.197098
1926-02-28,114.931099
1926-03-31,118.982292
1926-04-30,104.446426
1926-05-31,87.131157
1926-06-30,85.965385
1926-07-31,84.289589
1926-08-31,83
1926-09-30,83.205811
1926-10-31,87.019836
1926-11-30,93.299927
1926-12-31,101.134583
1927-01-31,109.197098
1927-02-28,114.931099
1927-03-31,122.023499
1927-04-30,112.446075
1927-05-31,114.033463
1927-06-30,112.735107
1927-07-31,110.90905
1927-08-31,109.488739
1927-09-30,109.604385
1927-10-31,113.389328
1927-11-30,119.731773
1927-12-31,127.659447
1928-01-31,135.837234
1928-02-29,141.651215
1928-03-31,148.809998
1928-04-30,152.596893
1928-05-31,149.897629
1928-06-30,130.123138
1928-07-31,109.306137
1928-08-31,107.8937
1928-09-30,108.014778
1928-10-31,111.801468
1928-11-30,118.14016
1928-12-31,126.062233
1929-01-31,134.233078
1929-02-28,140.042252
1929-03-31,128.149826
1929-04-30,113.601181
1929-05-31,96.252907
1929-06-30,85.965385
1929-07-31,84.289589
1929-08-31,83
1929-09-30,83.205811
1929-10-31,87.019836
1929-11-30,93.299927
1929-12-31,101.134583
1930-01-31,109.197098
1930-02-28,114.931099
1930-03-31,118.982292
1930-04-30,104.446426
1930-05-31,87.131157
1930-06-30,85.965385
1930-07-31,84.289589
